rank,candidate_id,risk_score,days_since_last_event,apply_30d,events_30d,reason_codes,suggested_lever,as_of_date,model_version
28,C102119,0.9301,50,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
29,C106018,0.9301,59,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
30,C106609,0.9301,100,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
31,C107454,0.9298,98,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.0),Re-engagement push notification / email,2026-01-10,churn_model_v1
32,C107068,0.9297,110,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
33,C107343,0.9297,110,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.0),Re-engagement push notification / email,2026-01-10,churn_model_v1
34,C106821,0.9297,93,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
35,C105322,0.9297,119,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
36,C109614,0.9297,157,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
37,C104320,0.9297,69,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
38,C105217,0.9297,62,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
39,C110695,0.9297,153,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
40,C106401,0.9297,70,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
41,C103225,0.9297,57,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
42,C104777,0.9297,68,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
43,C104012,0.9297,57,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
44,C103991,0.9297,58,0,0,account age is higher than typical (z=2.2); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
45,C103846,0.9297,101,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
46,C102279,0.9297,178,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
47,C107685,0.9297,56,0,0,activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.4),Re-engagement push notification / email,2026-01-10,churn_model_v1
48,C103322,0.9297,160,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
49,C111271,0.9297,79,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
50,C106354,0.9297,80,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
51,C111227,0.9297,66,0,0,activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.4),Re-engagement push notification / email,2026-01-10,churn_model_v1
52,C102583,0.9297,72,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
53,C110927,0.9297,66,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
54,C106535,0.9297,126,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
55,C105252,0.9297,115,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
56,C103581,0.9297,47,0,0,account age is higher than typical (z=2.3); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
57,C110240,0.9297,80,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
58,C103144,0.9297,98,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
59,C105522,0.9297,58,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
60,C110560,0.9297,81,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
61,C106894,0.9297,81,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
62,C102782,0.9297,122,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
63,C110469,0.9297,71,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
64,C110509,0.9297,47,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
65,C100835,0.9297,121,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
66,C100422,0.9297,114,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
67,C110905,0.9297,126,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
68,C110705,0.9297,109,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
69,C111389,0.9297,66,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
70,C106995,0.9297,71,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
71,C109006,0.9294,45,0,0,account age is higher than typical (z=2.5); activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
72,C105970,0.9293,42,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
73,C108498,0.9292,110,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=0.9),Re-engagement push notification / email,2026-01-10,churn_model_v1
74,C102212,0.929,158,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=0.9),Re-engagement push notification / email,2026-01-10,churn_model_v1
75,C102014,0.9289,73,0,0,activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.3),Re-engagement push notification / email,2026-01-10,churn_model_v1
76,C111514,0.9288,43,0,0,account age is higher than typical (z=2.2); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
77,C107433,0.9288,40,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
78,C109404,0.9288,44,0,0,account age is higher than typical (z=2.3); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
79,C111096,0.9288,43,0,0,account age is higher than typical (z=2.3); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
80,C103611,0.9288,65,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
81,C102841,0.9288,81,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
82,C104082,0.9288,128,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
83,C104338,0.9288,116,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
84,C105280,0.9286,126,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
85,C101730,0.9286,147,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
86,C108123,0.9286,64,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
87,C111953,0.9286,91,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
88,C100190,0.9286,104,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
89,C102210,0.9286,50,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
90,C107805,0.9286,107,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
91,C108818,0.9286,57,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
92,C107316,0.9286,72,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
93,C100176,0.9286,89,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
94,C100812,0.9286,83,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
95,C110865,0.9286,50,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
96,C101063,0.9286,74,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
97,C106250,0.9286,57,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
98,C107420,0.9286,99,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
99,C100390,0.9286,119,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
100,C103783,0.9286,127,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
101,C102048,0.9286,156,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
102,C102008,0.9286,172,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
103,C104071,0.9286,146,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
104,C108420,0.9286,73,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
105,C111622,0.9286,37,0,0,account age is higher than typical (z=2.4); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
106,C103756,0.9283,95,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
107,C108280,0.9283,130,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
108,C105571,0.9282,86,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
109,C103104,0.9282,149,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
110,C102753,0.9282,63,0,0,activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.4),Re-engagement push notification / email,2026-01-10,churn_model_v1
111,C109611,0.9282,67,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
112,C107717,0.9282,71,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
113,C106165,0.9282,87,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
114,C109207,0.9282,90,0,0,activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.4),Re-engagement push notification / email,2026-01-10,churn_model_v1
115,C111726,0.9282,88,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
116,C105957,0.9282,70,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
117,C106207,0.9282,55,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
118,C104945,0.9282,73,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
119,C111553,0.9282,68,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
120,C107907,0.9282,106,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
121,C106971,0.9282,60,0,0,account age is higher than typical (z=2.2); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
122,C100792,0.9282,64,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
123,C106923,0.9282,95,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
124,C102171,0.9282,63,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
125,C110013,0.9282,204,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.4); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
126,C109053,0.9282,106,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
127,C106688,0.9282,88,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
128,C109809,0.9282,82,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
129,C104042,0.9282,47,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
130,C111505,0.9282,58,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
131,C105869,0.9282,70,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
132,C103000,0.9282,62,0,0,account age is higher than typical (z=2.4); activity in the last 90 days is lower than typical (z=-1.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
