student_id,college_id,college_tier,region,skill_score,ai_trust_score,verified_skill_count,years_exposure
S0060,Tier2_Nagpur,2,semi_urban,3.5,0.684,2,2.7
S0061,Tier2_Pune,2,urban,4.08,0.615,7,0.8
S0062,Tier2_Nagpur,2,rural,2.74,0.608,8,1.3
S0063,Tier3_Nashik,3,urban,2.51,0.76,2,2.1
S0064,Tier2_Nagpur,2,semi_urban,2.92,0.789,4,1.5
S0065,Tier2_Nagpur,2,semi_urban,2.85,0.655,5,0.6
S0066,Tier2_Nagpur,2,semi_urban,3.14,0.753,2,1.8
S0067,Tier2_Pune,2,rural,4.01,0.818,3,2.0
S0068,Tier1_Mumbai,1,urban,4.82,0.824,3,1.6
S0069,Tier2_Pune,2,semi_urban,3.13,0.936,3,1.7
S0070,Tier1_Delhi,1,urban,4.85,0.903,4,1.3
S0071,Tier2_Pune,2,urban,3.32,0.63,5,2.7
S0072,Tier3_Aurangabad,3,urban,3.58,0.952,3,0.8
S0073,Tier1_Delhi,1,urban,3.85,0.686,4,1.0
S0074,Tier1_Mumbai,1,urban,3.97,0.875,3,1.5
S0075,Tier1_Delhi,1,urban,4.08,0.758,7,2.2
S0076,Tier1_Delhi,1,urban,5.0,0.701,3,0.3
S0077,Tier2_Nagpur,2,semi_urban,3.73,0.533,8,0.5
S0078,Tier2_Nagpur,2,semi_urban,2.95,0.729,5,0.0
S0079,Tier3_Nashik,3,urban,3.18,0.563,7,1.5
S0080,Tier2_Nagpur,2,urban,3.12,0.866,6,0.6
S0081,Tier2_Pune,2,urban,3.06,0.932,3,1.2
S0082,Tier3_Nashik,3,semi_urban,3.15,0.654,6,2.0
S0083,Tier1_Delhi,1,urban,3.92,0.786,3,1.0
S0084,Tier1_Mumbai,1,urban,4.04,0.663,2,1.7
S0085,Tier1_Mumbai,1,urban,3.91,0.675,3,1.3
S0086,Tier3_Nashik,3,urban,2.87,0.843,3,2.0
S0087,Tier2_Pune,2,urban,3.51,0.745,2,1.9
S0088,Tier1_Delhi,1,semi_urban,2.93,0.959,2,0.9
S0089,Tier2_Nagpur,2,semi_urban,3.63,0.692,8,1.4
S0090,Tier1_Delhi,1,semi_urban,3.41,0.87,5,2.3
S0091,Tier2_Nagpur,2,semi_urban,2.58,0.762,4,1.8
S0092,Tier2_Pune,2,semi_urban,3.27,0.845,8,0.4
S0093,Tier2_Pune,2,urban,3.34,0.696,3,2.0
S0094,Tier2_Pune,2,semi_urban,2.95,0.744,4,0.6
S0095,Tier2_Nagpur,2,semi_urban,3.72,0.736,7,2.6
S0096,Tier2_Pune,2,urban,2.63,0.65,6,2.3
S0097,Tier1_Mumbai,1,semi_urban,3.7,0.829,4,1.7
S0098,Tier1_Mumbai,1,urban,3.61,0.828,3,1.6
S0099,Tier3_Aurangabad,3,semi_urban,2.68,0.821,2,1.3
S0100,Tier3_Aurangabad,3,semi_urban,2.84,0.934,2,2.0
S0101,Tier2_Nagpur,2,rural,2.8,0.924,3,1.2
S0102,Tier1_Delhi,1,rural,4.26,0.705,7,1.7
S0103,Tier3_Aurangabad,3,semi_urban,2.73,0.795,6,2.2
S0104,Tier3_Nashik,3,semi_urban,1.75,0.675,5,1.1
S0105,Tier3_Nashik,3,semi_urban,1.72,0.753,7,1.0
S0106,Tier2_Pune,2,urban,3.29,0.678,3,0.5
S0107,Tier1_Delhi,1,rural,3.79,0.944,3,0.6
S0108,Tier1_Mumbai,1,urban,3.85,0.794,4,0.0
S0109,Tier3_Aurangabad,3,urban,2.69,0.724,8,2.1
S0110,Tier2_Pune,2,urban,3.41,0.893,6,2.9
S0111,Tier1_Delhi,1,rural,4.37,0.49,7,2.6
S0112,Tier2_Pune,2,urban,2.74,0.508,3,0.2
S0113,Tier2_Nagpur,2,urban,2.71,0.846,7,2.1
S0114,Tier1_Delhi,1,urban,3.35,0.757,2,2.6
S0115,Tier3_Aurangabad,3,urban,2.84,0.78,3,1.1
S0116,Tier3_Nashik,3,urban,3.32,0.591,5,1.6
S0117,Tier3_Nashik,3,semi_urban,2.48,0.747,2,0.0
S0118,Tier2_Pune,2,urban,2.05,0.99,8,1.7
S0119,Tier2_Nagpur,2,rural,2.45,0.849,8,0.6
S0120,Tier2_Nagpur,2,rural,2.88,0.77,5,1.7
S0121,Tier2_Nagpur,2,urban,3.02,0.697,4,0.3
S0122,Tier1_Mumbai,1,urban,3.7,0.703,2,1.9
S0123,Tier2_Pune,2,semi_urban,3.32,0.494,6,2.3
S0124,Tier1_Mumbai,1,urban,3.74,0.781,5,0.9
S0125,Tier2_Pune,2,urban,3.82,0.851,7,0.6
S0126,Tier2_Pune,2,rural,2.96,0.561,6,0.0
S0127,Tier1_Mumbai,1,rural,3.47,0.671,2,1.3
S0128,Tier1_Mumbai,1,semi_urban,4.14,0.611,2,1.0
S0129,Tier2_Nagpur,2,urban,2.53,0.634,7,0.3
S0130,Tier1_Delhi,1,semi_urban,4.09,0.756,3,1.9
S0131,Tier3_Aurangabad,3,semi_urban,2.75,0.5,8,1.1
S0132,Tier2_Nagpur,2,urban,3.23,0.824,2,0.6
S0133,Tier2_Pune,2,semi_urban,4.09,0.84,7,1.1
S0134,Tier2_Nagpur,2,urban,2.99,0.72,8,2.4
S0135,Tier1_Mumbai,1,urban,4.93,0.452,5,2.0
S0136,Tier3_Aurangabad,3,semi_urban,2.59,0.63,2,1.4
S0137,Tier2_Pune,2,urban,2.66,0.898,8,2.0
S0138,Tier3_Nashik,3,urban,2.73,0.417,3,0.6
S0139,Tier1_Mumbai,1,rural,3.36,0.708,5,1.5
S0140,Tier2_Pune,2,rural,2.92,0.608,8,1.6
S0141,Tier2_Pune,2,semi_urban,3.5,0.847,7,1.1
S0142,Tier3_Aurangabad,3,rural,2.98,0.669,2,1.8
S0143,Tier2_Nagpur,2,rural,2.99,0.798,7,0.9
S0144,Tier2_Pune,2,urban,3.79,0.818,3,1.9
S0145,Tier1_Delhi,1,urban,4.48,0.97,7,1.9
S0146,Tier2_Pune,2,urban,4.02,0.726,6,0.0
S0147,Tier2_Nagpur,2,urban,3.56,0.795,4,2.5
S0148,Tier2_Pune,2,semi_urban,3.98,0.572,4,0.0
S0149,Tier1_Mumbai,1,urban,2.96,0.893,2,1.0
S0150,Tier3_Nashik,3,urban,2.54,0.659,8,2.3
S0151,Tier3_Aurangabad,3,urban,2.27,0.683,3,1.2
S0152,Tier1_Mumbai,1,urban,3.96,0.747,4,0.3
S0153,Tier2_Nagpur,2,rural,3.01,0.562,5,0.6
S0154,Tier1_Mumbai,1,urban,3.82,0.777,6,2.3
S0155,Tier2_Nagpur,2,urban,4.24,0.866,5,0.0
S0156,Tier1_Delhi,1,urban,3.82,0.785,5,2.4
S0157,Tier2_Nagpur,2,urban,3.51,0.559,6,1.5
S0158,Tier3_Nashik,3,semi_urban,2.58,0.735,8,0.5
S0159,Tier3_Nashik,3,urban,2.74,0.839,4,1.0
S0160,Tier1_Mumbai,1,urban,3.9,0.525,7,0.7
S0161,Tier3_Aurangabad,3,urban,2.92,0.621,7,2.2
S0162,Tier1_Delhi,1,rural,4.48,0.855,8,2.1
S0163,Tier1_Mumbai,1,semi_urban,4.72,0.782,8,0.1
S0164,Tier2_Nagpur,2,semi_urban,3.45,0.799,7,1.2
S0165,Tier2_Pune,2,semi_urban,3.59,0.973,3,0.8
S0166,Tier3_Nashik,3,semi_urban,2.12,0.806,7,2.5
S0167,Tier3_Nashik,3,urban,2.66,0.829,7,0.4
S0168,Tier2_Pune,2,urban,3.77,1.0,4,2.8
S0169,Tier3_Aurangabad,3,semi_urban,3.13,0.724,6,1.5
S0170,Tier1_Delhi,1,urban,4.01,0.654,3,0.6
S0171,Tier2_Nagpur,2,rural,3.74,0.801,5,1.0
S0172,Tier1_Delhi,1,urban,4.15,0.803,7,0.9
S0173,Tier3_Aurangabad,3,semi_urban,3.3,0.687,3,0.5
S0174,Tier1_Delhi,1,rural,4.04,0.626,4,1.6
S0175,Tier1_Mumbai,1,semi_urban,3.72,1.0,7,0.5
S0176,Tier2_Pune,2,rural,3.47,0.789,5,0.0
S0177,Tier3_Aurangabad,3,semi_urban,1.23,0.662,8,1.2
S0178,Tier3_Aurangabad,3,rural,2.89,0.86,2,0.1
S0179,Tier3_Nashik,3,urban,0.88,0.737,7,0.9
S0180,Tier3_Aurangabad,3,urban,1.84,0.72,7,0.8
S0181,Tier3_Aurangabad,3,semi_urban,2.93,0.817,8,0.8
S0182,Tier2_Nagpur,2,urban,3.54,0.595,3,3.1
S0183,Tier2_Pune,2,urban,2.72,0.792,8,1.5
S0184,Tier3_Nashik,3,rural,2.34,0.98,4,1.7
S0185,Tier2_Nagpur,2,semi_urban,3.99,0.806,4,0.1
S0186,Tier2_Pune,2,urban,3.06,0.705,4,1.0
S0187,Tier1_Mumbai,1,urban,5.0,0.689,6,1.7
S0188,Tier3_Nashik,3,urban,2.7,0.701,6,0.7
S0189,Tier1_Delhi,1,urban,4.1,0.72,5,2.2
S0190,Tier3_Aurangabad,3,rural,3.51,0.705,2,0.5
S0191,Tier1_Delhi,1,urban,3.97,0.86,8,1.3
S0192,Tier1_Mumbai,1,urban,3.4,0.542,3,1.0
S0193,Tier3_Nashik,3,semi_urban,2.65,0.853,2,1.6
S0194,Tier1_Delhi,1,urban,3.88,0.704,6,1.0
S0195,Tier1_Delhi,1,urban,3.22,0.795,4,1.3
S0196,Tier2_Nagpur,2,semi_urban,3.17,0.615,6,1.3
S0197,Tier3_Aurangabad,3,semi_urban,2.33,0.909,8,0.9
S0198,Tier1_Delhi,1,rural,4.36,0.899,2,1.9
S0199,Tier2_Pune,2,semi_urban,3.32,0.865,3,1.7
S0200,Tier3_Nashik,3,urban,2.56,0.568,5,1.4
S0201,Tier3_Aurangabad,3,semi_urban,2.65,0.849,7,1.2
S0202,Tier2_Nagpur,2,rural,3.41,0.799,6,2.1
S0203,Tier1_Mumbai,1,semi_urban,4.21,0.557,4,1.3
S0204,Tier1_Mumbai,1,rural,3.4,0.747,6,1.3
S0205,Tier1_Delhi,1,semi_urban,3.38,0.794,8,1.6
S0206,Tier1_Mumbai,1,rural,4.45,0.817,5,2.9
S0207,Tier2_Nagpur,2,urban,3.09,0.771,8,0.4
S0208,Tier1_Mumbai,1,semi_urban,3.19,0.785,7,2.1
S0209,Tier2_Nagpur,2,urban,3.52,0.927,4,0.0
S0210,Tier2_Nagpur,2,semi_urban,3.53,0.897,3,1.7
S0211,Tier2_Nagpur,2,semi_urban,2.53,0.406,7,2.8
S0212,Tier1_Delhi,1,rural,4.01,0.712,3,1.9
S0213,Tier3_Nashik,3,rural,3.07,0.73,4,1.6
S0214,Tier3_Nashik,3,urban,2.89,0.54,3,1.1
S0215,Tier3_Nashik,3,semi_urban,3.02,0.761,6,1.5
S0216,Tier1_Mumbai,1,semi_urban,3.2,0.9,4,1.3
S0217,Tier1_Mumbai,1,urban,4.07,0.62,6,0.9
S0218,Tier3_Aurangabad,3,urban,2.55,0.79,8,1.3
S0219,Tier2_Pune,2,urban,3.06,0.64,7,1.7
S0220,Tier2_Pune,2,semi_urban,3.74,0.669,8,0.9
S0221,Tier2_Pune,2,urban,4.04,0.927,2,0.9
S0222,Tier2_Nagpur,2,rural,4.2,0.685,5,0.4
S0223,Tier3_Aurangabad,3,urban,3.36,0.805,3,1.8
S0224,Tier1_Delhi,1,rural,3.85,0.525,8,1.9
S0225,Tier3_Aurangabad,3,urban,2.88,0.973,6,1.7
S0226,Tier1_Mumbai,1,semi_urban,4.28,0.822,4,2.3
S0227,Tier2_Nagpur,2,urban,3.36,0.728,5,1.6
S0228,Tier2_Nagpur,2,semi_urban,3.37,0.819,6,1.8
S0229,Tier1_Mumbai,1,rural,4.31,0.581,5,1.7
S0230,Tier1_Mumbai,1,rural,3.87,0.892,5,1.4
S0231,Tier2_Pune,2,rural,2.94,0.711,2,1.1
S0232,Tier3_Aurangabad,3,urban,2.49,0.726,5,3.3
S0233,Tier2_Nagpur,2,urban,3.62,0.691,4,1.1
S0234,Tier3_Aurangabad,3,urban,2.7,0.68,7,1.0
S0235,Tier3_Nashik,3,urban,2.87,0.833,8,1.8
S0236,Tier2_Pune,2,semi_urban,3.64,0.781,7,1.7
S0237,Tier3_Nashik,3,semi_urban,2.51,0.828,2,0.4
S0238,Tier1_Mumbai,1,semi_urban,4.28,0.749,7,2.4
S0239,Tier1_Mumbai,1,rural,4.09,0.812,4,1.4
S0240,Tier3_Nashik,3,semi_urban,2.08,0.7,4,0.6
S0241,Tier3_Nashik,3,rural,3.42,1.0,8,2.5
S0242,Tier1_Delhi,1,urban,3.65,0.562,8,2.0
S0243,Tier2_Nagpur,2,urban,2.47,0.901,2,0.5
S0244,Tier2_Nagpur,2,semi_urban,2.78,0.914,4,2.9
S0245,Tier3_Aurangabad,3,rural,2.19,0.648,7,2.0
S0246,Tier2_Nagpur,2,urban,3.33,1.0,5,1.5
S0247,Tier2_Pune,2,semi_urban,3.16,0.869,3,2.8
S0248,Tier2_Pune,2,semi_urban,3.13,0.867,5,1.6
S0249,Tier2_Pune,2,urban,3.61,0.753,8,1.5
S0250,Tier2_Nagpur,2,urban,3.47,0.724,3,1.0
S0251,Tier3_Aurangabad,3,rural,2.86,0.725,7,2.0
S0252,Tier2_Pune,2,semi_urban,3.5,0.797,7,1.9
S0253,Tier1_Delhi,1,urban,4.21,0.918,8,1.5
S0254,Tier1_Delhi,1,rural,2.85,0.772,4,0.9
S0255,Tier3_Nashik,3,urban,2.52,0.641,3,1.6
S0256,Tier3_Nashik,3,rural,1.61,0.849,5,1.4
S0257,Tier1_Mumbai,1,urban,3.92,0.861,5,0.4
S0258,Tier1_Mumbai,1,semi_urban,3.9,0.829,4,0.3
S0259,Tier2_Nagpur,2,urban,3.82,0.839,7,2.0
S0260,Tier1_Mumbai,1,urban,4.49,0.717,7,0.0
S0261,Tier3_Nashik,3,rural,2.8,0.639,3,1.7
S0262,Tier2_Pune,2,urban,3.05,0.646,7,1.1
S0263,Tier1_Mumbai,1,urban,4.14,0.554,3,2.5
S0264,Tier3_Aurangabad,3,urban,2.44,0.778,4,1.1
S0265,Tier1_Delhi,1,semi_urban,3.9,0.74,2,2.0
S0266,Tier1_Delhi,1,rural,4.39,0.697,4,1.2
S0267,Tier1_Delhi,1,rural,3.62,0.395,8,1.6
S0268,Tier1_Mumbai,1,urban,4.3,0.6,5,2.1
S0269,Tier1_Mumbai,1,urban,4.24,0.885,6,1.1
S0270,Tier1_Mumbai,1,urban,3.42,0.67,2,2.3
S0271,Tier1_Delhi,1,semi_urban,4.39,0.793,6,0.7
S0272,Tier1_Mumbai,1,rural,4.25,0.583,4,1.7
S0273,Tier2_Nagpur,2,semi_urban,3.35,0.923,7,2.2
S0274,Tier2_Nagpur,2,semi_urban,2.92,0.733,8,2.0
S0275,Tier2_Pune,2,urban,2.87,0.785,5,3.0
S0276,Tier2_Pune,2,rural,3.03,1.0,2,0.9
S0277,Tier2_Nagpur,2,urban,3.57,0.932,5,0.4
S0278,Tier3_Aurangabad,3,urban,2.22,0.713,2,0.7
S0279,Tier3_Aurangabad,3,urban,2.92,0.679,5,2.0
S0280,Tier1_Mumbai,1,urban,3.28,0.711,2,1.9
S0281,Tier1_Delhi,1,urban,3.8,0.811,6,1.6
S0282,Tier1_Delhi,1,urban,3.95,0.737,4,0.6
S0283,Tier1_Delhi,1,urban,5.0,0.703,3,2.1
S0284,Tier2_Nagpur,2,semi_urban,2.61,0.926,2,0.5
S0285,Tier2_Pune,2,urban,4.04,0.736,8,2.4
S0286,Tier1_Mumbai,1,urban,3.97,1.0,7,3.8
S0287,Tier2_Pune,2,rural,3.51,0.761,7,1.8
S0288,Tier2_Nagpur,2,semi_urban,3.36,0.964,2,2.0
S0289,Tier1_Mumbai,1,semi_urban,4.12,0.793,4,1.1
S0290,Tier3_Nashik,3,urban,2.62,0.866,8,0.1
S0291,Tier1_Mumbai,1,rural,4.63,0.663,6,1.0
S0292,Tier3_Aurangabad,3,urban,2.47,0.648,2,0.6
S0293,Tier1_Mumbai,1,urban,4.47,0.805,2,0.3
S0294,Tier3_Nashik,3,rural,2.38,0.869,3,2.9
S0295,Tier3_Aurangabad,3,semi_urban,2.67,0.755,8,1.7
S0296,Tier3_Aurangabad,3,semi_urban,2.16,0.596,3,1.8
S0297,Tier3_Nashik,3,semi_urban,2.93,0.587,8,1.3
S0298,Tier3_Nashik,3,semi_urban,3.42,0.579,6,1.4
S0299,Tier2_Nagpur,2,urban,3.26,0.538,8,2.3
S0300,Tier3_Nashik,3,urban,2.6,0.763,7,1.5
S0301,Tier1_Mumbai,1,urban,3.34,0.885,4,1.9
S0302,Tier2_Nagpur,2,urban,3.19,0.748,7,1.3
S0303,Tier2_Nagpur,2,rural,2.5,0.479,3,1.2
S0304,Tier3_Aurangabad,3,urban,2.24,0.727,4,0.4
S0305,Tier2_Pune,2,semi_urban,3.41,0.73,3,0.0
S0306,Tier2_Pune,2,semi_urban,3.96,1.0,2,1.3
S0307,Tier2_Nagpur,2,semi_urban,4.7,0.575,2,1.5
S0308,Tier1_Delhi,1,urban,3.61,0.703,3,0.5
S0309,Tier1_Mumbai,1,urban,4.62,0.955,2,1.5
S0310,Tier2_Pune,2,rural,3.42,0.804,4,1.5
S0311,Tier2_Pune,2,semi_urban,3.22,0.818,2,0.0
S0312,Tier1_Delhi,1,rural,4.12,0.764,2,0.8
S0313,Tier2_Pune,2,rural,3.33,0.79,8,1.8
S0314,Tier2_Pune,2,semi_urban,3.36,0.843,2,1.8
S0315,Tier2_Pune,2,urban,3.1,0.653,2,0.6
S0316,Tier2_Pune,2,semi_urban,2.6,0.855,2,1.6
S0317,Tier2_Nagpur,2,urban,2.53,0.585,2,2.3
S0318,Tier1_Delhi,1,semi_urban,4.23,0.789,5,2.1
S0319,Tier3_Aurangabad,3,rural,2.56,0.771,7,1.4
S0320,Tier3_Aurangabad,3,semi_urban,2.4,0.676,7,1.1
S0321,Tier2_Pune,2,urban,3.3,0.747,6,1.0
S0322,Tier2_Pune,2,urban,3.7,0.675,2,1.9
S0323,Tier2_Nagpur,2,rural,3.39,0.621,7,1.7
S0324,Tier3_Nashik,3,urban,2.37,0.708,2,2.0
S0325,Tier2_Nagpur,2,urban,3.91,0.618,6,1.6
S0326,Tier3_Nashik,3,urban,3.49,0.789,4,2.2
S0327,Tier2_Nagpur,2,urban,3.55,0.612,8,1.6
S0328,Tier2_Nagpur,2,urban,3.79,0.835,4,2.1
S0329,Tier1_Delhi,1,semi_urban,4.52,0.608,6,2.2
S0330,Tier3_Nashik,3,urban,3.27,0.682,5,0.9
S0331,Tier1_Delhi,1,urban,4.21,0.675,5,0.1
S0332,Tier2_Nagpur,2,urban,3.6,0.909,8,2.7
S0333,Tier3_Aurangabad,3,urban,2.96,0.79,6,1.7
S0334,Tier1_Mumbai,1,urban,3.35,0.725,4,0.1
S0335,Tier2_Nagpur,2,semi_urban,3.65,0.81,5,0.9
S0336,Tier1_Mumbai,1,urban,3.22,0.497,6,2.1
S0337,Tier3_Nashik,3,urban,2.3,0.745,4,1.3
S0338,Tier1_Mumbai,1,urban,4.55,0.99,3,1.1
S0339,Tier3_Aurangabad,3,urban,3.12,0.766,5,2.6
S0340,Tier1_Mumbai,1,urban,4.64,0.758,2,0.7
S0341,Tier3_Aurangabad,3,urban,2.56,0.816,3,0.9
S0342,Tier3_Nashik,3,rural,2.12,0.857,4,1.7
S0343,Tier2_Nagpur,2,urban,3.18,0.51,7,1.8
S0344,Tier3_Nashik,3,semi_urban,2.75,0.548,7,1.9
S0345,Tier3_Nashik,3,urban,2.74,0.775,3,2.2
S0346,Tier3_Aurangabad,3,urban,3.27,0.664,4,1.7
S0347,Tier1_Delhi,1,urban,3.72,0.907,3,1.9
S0348,Tier2_Nagpur,2,semi_urban,3.48,0.712,7,1.3
S0349,Tier1_Mumbai,1,rural,3.41,0.518,3,1.6
S0350,Tier2_Nagpur,2,urban,3.53,0.598,7,1.6
S0351,Tier1_Delhi,1,urban,3.9,0.42,7,1.7
S0352,Tier2_Nagpur,2,urban,2.93,0.722,6,2.1
S0353,Tier2_Nagpur,2,urban,3.18,0.727,4,1.9
S0354,Tier2_Pune,2,semi_urban,3.21,0.699,8,1.5
S0355,Tier2_Nagpur,2,urban,3.16,0.879,6,0.9
S0356,Tier3_Nashik,3,urban,3.59,0.894,6,1.6
S0357,Tier3_Nashik,3,rural,2.65,0.73,7,1.5
S0358,Tier2_Pune,2,urban,3.18,0.494,8,1.7
S0359,Tier2_Nagpur,2,urban,2.25,0.824,2,3.3
S0360,Tier3_Aurangabad,3,semi_urban,2.25,0.817,8,1.1
S0361,Tier1_Mumbai,1,urban,3.77,0.787,7,1.8
S0362,Tier1_Mumbai,1,urban,3.56,0.868,3,2.4
S0363,Tier1_Mumbai,1,urban,4.59,0.61,4,1.6
S0364,Tier2_Nagpur,2,rural,3.22,0.991,7,3.4
S0365,Tier2_Pune,2,urban,3.94,0.635,3,1.2
S0366,Tier3_Nashik,3,urban,2.73,0.84,5,1.8
S0367,Tier2_Nagpur,2,urban,3.32,0.548,6,0.9
S0368,Tier2_Pune,2,urban,3.26,0.638,6,1.2
S0369,Tier3_Aurangabad,3,semi_urban,2.7,0.932,8,1.7
S0370,Tier3_Nashik,3,urban,3.56,0.719,2,2.2
S0371,Tier1_Delhi,1,semi_urban,2.74,0.851,4,1.8
S0372,Tier2_Pune,2,semi_urban,2.3,0.778,8,2.5
S0373,Tier2_Pune,2,rural,3.03,0.737,5,1.4
S0374,Tier1_Delhi,1,urban,3.91,0.914,3,1.2
S0375,Tier1_Mumbai,1,rural,4.25,0.722,4,3.7
S0376,Tier3_Aurangabad,3,semi_urban,2.94,0.536,4,1.8
S0377,Tier2_Pune,2,urban,3.11,0.654,5,0.9
S0378,Tier2_Pune,2,semi_urban,3.81,0.816,3,0.9
S0379,Tier3_Nashik,3,rural,3.22,0.797,6,0.7
S0380,Tier2_Nagpur,2,urban,3.39,0.562,5,2.2
S0381,Tier3_Aurangabad,3,rural,3.18,0.663,6,1.2
S0382,Tier3_Nashik,3,urban,2.84,0.68,3,1.6
S0383,Tier2_Pune,2,semi_urban,3.02,0.706,6,1.4
S0384,Tier2_Pune,2,rural,3.65,0.585,8,2.1
S0385,Tier3_Aurangabad,3,urban,2.76,0.675,2,0.8
S0386,Tier3_Nashik,3,rural,2.7,0.663,4,0.6
S0387,Tier3_Aurangabad,3,urban,3.44,0.843,6,1.7
S0388,Tier1_Mumbai,1,semi_urban,2.67,0.847,6,2.0
S0389,Tier3_Aurangabad,3,semi_urban,1.99,0.733,6,1.8
S0390,Tier2_Nagpur,2,urban,2.71,0.703,5,0.9
S0391,Tier1_Mumbai,1,urban,3.72,0.767,6,2.0
S0392,Tier2_Nagpur,2,urban,3.17,0.652,6,0.9
S0393,Tier2_Nagpur,2,urban,2.55,0.612,2,1.1
S0394,Tier1_Mumbai,1,urban,3.41,0.637,7,0.7
S0395,Tier2_Pune,2,urban,2.87,0.674,5,2.5
S0396,Tier3_Nashik,3,urban,3.93,0.61,2,2.0
S0397,Tier1_Delhi,1,urban,4.8,0.769,4,2.0
S0398,Tier2_Pune,2,semi_urban,3.09,0.838,5,2.5
S0399,Tier2_Pune,2,semi_urban,3.12,0.56,2,3.8
