student_id,years_experience,skills_json
S0_00025,4,"{""communication"": 0.82, ""ml_fundamentals"": 0.883, ""cloud_security"": 0.775, ""docker"": 0.677, ""jquery"": 0.788, ""data_structures"": 0.674}"
S0_00026,1,"{""python"": 0.495, ""spark"": 0.275, ""jquery"": 0.638, ""node"": 1.0, ""ml_fundamentals"": 0.785}"
S0_00027,3,"{""excel"": 0.92, ""node"": 0.691, ""system_design"": 0.931, ""data_structures"": 0.654, ""ml_fundamentals"": 0.938, ""kubernetes"": 0.74, ""aws"": 0.759, ""sql"": 0.955, ""docker"": 0.666, ""communication"": 0.579, ""python"": 0.653}"
S0_00028,1,"{""python"": 0.751, ""communication"": 0.569, ""cloud_security"": 0.826, ""testing"": 0.819, ""nlp"": 0.778, ""data_structures"": 0.803, ""jquery"": 0.764, ""spark"": 1.0, ""react"": 0.707, ""java"": 0.674}"
S0_00029,3,"{""kubernetes"": 0.605, ""data_structures"": 0.855, ""node"": 0.831, ""excel"": 0.696, ""docker"": 0.622, ""system_design"": 0.802}"
S0_00030,4,"{""ml_fundamentals"": 0.682, ""data_structures"": 0.775, ""nlp"": 0.359, ""react"": 0.547, ""python"": 0.676, ""docker"": 0.559}"
S0_00031,1,"{""git"": 0.528, ""node"": 0.656, ""data_structures"": 0.642, ""kubernetes"": 0.842, ""jquery"": 0.756, ""spark"": 0.454, ""system_design"": 0.797, ""nlp"": 0.633, ""ml_fundamentals"": 0.911}"
S0_00032,3,"{""aws"": 0.528, ""react"": 0.827, ""kubernetes"": 0.756, ""python"": 0.628, ""communication"": 0.938, ""sql"": 0.654, ""excel"": 0.725, ""data_structures"": 0.76, ""nlp"": 0.627}"
S0_00033,2,"{""react"": 0.807, ""jquery"": 0.799, ""aws"": 0.496, ""nlp"": 0.825, ""node"": 1.0, ""excel"": 0.746, ""data_structures"": 0.669, ""system_design"": 0.699, ""testing"": 0.812, ""kubernetes"": 0.46, ""cloud_security"": 0.745}"
S0_00034,2,"{""java"": 0.902, ""sql"": 0.671, ""kubernetes"": 0.466, ""git"": 0.717, ""docker"": 0.585, ""nlp"": 0.669}"
S0_00035,1,"{""system_design"": 0.772, ""jquery"": 1.0, ""react"": 0.783, ""aws"": 0.778, ""git"": 0.695, ""flask"": 0.843, ""nlp"": 0.814, ""docker"": 0.908}"
S0_00036,1,"{""ml_fundamentals"": 0.683, ""flask"": 0.863, ""cloud_security"": 0.382, ""spark"": 0.596, ""react"": 0.603, ""aws"": 0.372, ""system_design"": 0.575}"
S0_00037,0,"{""java"": 0.687, ""spark"": 0.817, ""node"": 0.718, ""nlp"": 0.825, ""python"": 0.565, ""docker"": 0.718, ""cloud_security"": 0.688, ""jquery"": 0.538}"
S0_00038,3,"{""docker"": 0.835, ""jquery"": 0.549, ""git"": 0.552, ""data_structures"": 0.787, ""aws"": 0.729, ""nlp"": 0.802, ""flask"": 0.692, ""spark"": 0.762}"
S0_00039,0,"{""aws"": 0.675, ""nlp"": 0.568, ""spark"": 1.0, ""node"": 0.988, ""git"": 0.89, ""flask"": 0.582, ""system_design"": 0.848, ""ml_fundamentals"": 0.816, ""python"": 0.786, ""sql"": 0.907, ""data_structures"": 0.815, ""cloud_security"": 0.831, ""react"": 0.816, ""jquery"": 0.771}"
S0_00040,3,"{""java"": 0.556, ""communication"": 0.78, ""excel"": 0.729, ""system_design"": 0.525, ""python"": 0.712, ""data_structures"": 0.708, ""kubernetes"": 0.99, ""jquery"": 0.854}"
S0_00041,2,"{""system_design"": 0.879, ""react"": 0.874, ""docker"": 0.726, ""spark"": 0.593, ""java"": 0.557, ""sql"": 0.772, ""flask"": 0.777, ""testing"": 0.913, ""ml_fundamentals"": 0.885, ""data_structures"": 0.7, ""genai"": 0.533}"
S0_00042,1,"{""cloud_security"": 0.546, ""system_design"": 0.403, ""node"": 0.441, ""aws"": 0.724, ""kubernetes"": 0.725, ""excel"": 0.702, ""python"": 0.902, ""sql"": 0.319, ""flask"": 0.779, ""nlp"": 0.954, ""ml_fundamentals"": 0.551, ""data_structures"": 0.663, ""jquery"": 0.607}"
S0_00043,3,"{""java"": 0.848, ""sql"": 0.614, ""python"": 0.865, ""react"": 0.666, ""cloud_security"": 0.647, ""spark"": 0.856, ""nlp"": 0.725, ""kubernetes"": 0.762, ""git"": 0.722}"
S0_00044,0,"{""communication"": 0.519, ""cloud_security"": 0.659, ""aws"": 0.632, ""node"": 0.713, ""docker"": 0.762, ""data_structures"": 0.569, ""python"": 0.829, ""jquery"": 0.729}"
S0_00045,3,"{""java"": 0.464, ""flask"": 0.595, ""cloud_security"": 0.636, ""aws"": 0.659, ""system_design"": 0.726, ""python"": 0.673, ""react"": 0.877, ""jquery"": 0.619, ""sql"": 0.591, ""communication"": 0.792, ""spark"": 0.49, ""git"": 0.778}"
S0_00046,5,"{""testing"": 0.559, ""python"": 0.607, ""spark"": 0.78, ""excel"": 0.803, ""react"": 0.627, ""jquery"": 0.868}"
S0_00047,2,"{""aws"": 0.782, ""git"": 0.685, ""flask"": 0.731, ""nlp"": 0.721, ""node"": 0.787, ""spark"": 0.895, ""testing"": 0.967, ""docker"": 0.766, ""data_structures"": 0.808, ""ml_fundamentals"": 0.547}"
S0_00048,0,"{""git"": 0.792, ""flask"": 0.546, ""sql"": 0.613, ""spark"": 0.926, ""python"": 0.647, ""aws"": 1.0, ""system_design"": 0.72, ""react"": 0.781, ""cloud_security"": 0.963, ""ml_fundamentals"": 0.74, ""communication"": 0.57, ""excel"": 0.704, ""jquery"": 0.715}"
S0_00049,3,"{""ml_fundamentals"": 0.564, ""jquery"": 0.886, ""communication"": 0.658, ""python"": 0.507, ""java"": 0.787, ""react"": 0.79, ""kubernetes"": 0.49}"
S0_00050,5,"{""jquery"": 0.675, ""spark"": 0.648, ""system_design"": 0.851, ""node"": 0.942, ""python"": 0.989}"
S0_00051,1,"{""java"": 0.72, ""node"": 0.771, ""excel"": 0.821, ""system_design"": 0.664, ""docker"": 0.833, ""data_structures"": 0.777, ""ml_fundamentals"": 0.535, ""flask"": 0.936}"
S0_00052,4,"{""kubernetes"": 0.719, ""communication"": 0.877, ""excel"": 0.898, ""spark"": 0.75, ""java"": 0.645, ""git"": 0.793, ""docker"": 0.641, ""ml_fundamentals"": 0.72, ""sql"": 0.868, ""node"": 0.636, ""cloud_security"": 0.841, ""aws"": 0.822, ""system_design"": 0.577, ""jquery"": 0.866}"
S0_00053,5,"{""cloud_security"": 1.0, ""spark"": 0.513, ""ml_fundamentals"": 0.941, ""excel"": 0.742, ""aws"": 0.782, ""nlp"": 0.738, ""docker"": 0.787, ""git"": 0.697}"
S0_00054,3,"{""spark"": 0.583, ""docker"": 0.754, ""data_structures"": 0.918, ""java"": 1.0, ""nlp"": 0.632, ""ml_fundamentals"": 0.935, ""kubernetes"": 0.757, ""python"": 0.697, ""react"": 0.785, ""cloud_security"": 0.729}"
S0_00055,4,"{""excel"": 0.622, ""react"": 0.904, ""data_structures"": 0.957, ""flask"": 0.794, ""system_design"": 0.866, ""sql"": 0.906, ""kubernetes"": 0.89}"
S0_00056,2,"{""python"": 0.943, ""docker"": 0.679, ""spark"": 0.547, ""git"": 0.684, ""communication"": 0.735, ""kubernetes"": 0.732, ""jquery"": 0.89}"
S0_00057,2,"{""aws"": 0.705, ""testing"": 0.683, ""git"": 0.405, ""ml_fundamentals"": 0.586, ""python"": 0.681, ""sql"": 0.617, ""nlp"": 0.927}"
S0_00058,3,"{""excel"": 0.791, ""system_design"": 0.662, ""nlp"": 0.873, ""ml_fundamentals"": 0.875, ""node"": 0.748, ""jquery"": 0.864, ""react"": 0.761, ""aws"": 0.636, ""data_structures"": 0.825}"
S0_00059,0,"{""testing"": 0.572, ""node"": 0.591, ""data_structures"": 1.0, ""communication"": 0.99, ""cloud_security"": 0.658, ""jquery"": 0.665}"
S0_00060,6,"{""cloud_security"": 0.848, ""nlp"": 0.6, ""java"": 0.815, ""ml_fundamentals"": 0.718, ""kubernetes"": 0.514, ""aws"": 0.673, ""react"": 0.775, ""flask"": 0.812, ""jquery"": 0.699}"
S0_00061,0,"{""react"": 0.619, ""python"": 0.613, ""docker"": 0.588, ""communication"": 1.0, ""nlp"": 0.765, ""ml_fundamentals"": 0.853, ""cloud_security"": 0.647, ""testing"": 0.692, ""kubernetes"": 0.613, ""system_design"": 0.322, ""aws"": 0.513, ""data_structures"": 0.448}"
S0_00062,3,"{""testing"": 0.804, ""communication"": 0.805, ""jquery"": 0.638, ""sql"": 0.552, ""excel"": 0.542, ""cloud_security"": 0.733, ""java"": 0.769, ""node"": 0.601}"
S0_00063,2,"{""react"": 0.486, ""spark"": 0.865, ""java"": 0.948, ""jquery"": 0.6, ""sql"": 0.765, ""excel"": 0.611, ""python"": 0.626, ""git"": 0.836, ""flask"": 0.714, ""communication"": 0.981}"
S0_00064,5,"{""testing"": 0.937, ""excel"": 0.664, ""ml_fundamentals"": 0.776, ""system_design"": 0.626, ""communication"": 0.724, ""jquery"": 0.63, ""flask"": 0.963, ""docker"": 0.775, ""react"": 0.687}"
S0_00065,4,"{""react"": 0.844, ""data_structures"": 0.745, ""testing"": 0.654, ""cloud_security"": 0.661, ""ml_fundamentals"": 0.401, ""excel"": 0.759}"
S0_00066,5,"{""jquery"": 0.812, ""communication"": 0.833, ""node"": 0.682, ""cloud_security"": 0.348, ""react"": 0.571}"
S0_00067,3,"{""communication"": 0.486, ""kubernetes"": 0.754, ""sql"": 0.865, ""react"": 0.764, ""excel"": 0.482, ""aws"": 0.701, ""system_design"": 0.831, ""spark"": 0.438, ""jquery"": 0.559, ""testing"": 0.851, ""java"": 0.761, ""docker"": 0.782, ""node"": 0.999}"
S0_00068,2,"{""java"": 0.704, ""git"": 0.682, ""ml_fundamentals"": 0.804, ""communication"": 0.526, ""node"": 0.773, ""docker"": 1.0, ""excel"": 0.79, ""data_structures"": 0.664, ""spark"": 0.644, ""nlp"": 0.658, ""jquery"": 0.682}"
S0_00069,1,"{""node"": 0.803, ""data_structures"": 0.747, ""testing"": 0.764, ""git"": 0.941, ""react"": 0.904, ""system_design"": 0.29, ""python"": 0.672, ""java"": 0.695, ""spark"": 0.457, ""nlp"": 0.734, ""sql"": 0.907, ""cloud_security"": 0.557, ""aws"": 0.77}"
S0_00070,1,"{""system_design"": 0.806, ""jquery"": 0.509, ""sql"": 0.897, ""kubernetes"": 0.671, ""python"": 0.689, ""communication"": 0.646}"
S0_00071,3,"{""system_design"": 0.909, ""jquery"": 0.925, ""docker"": 0.592, ""ml_fundamentals"": 1.0, ""communication"": 0.869, ""aws"": 0.866}"
S0_00072,2,"{""kubernetes"": 0.832, ""spark"": 0.679, ""react"": 0.581, ""ml_fundamentals"": 0.59, ""system_design"": 0.475, ""nlp"": 0.756, ""sql"": 0.707}"
S0_00073,5,"{""sql"": 1.0, ""cloud_security"": 0.947, ""testing"": 0.674, ""nlp"": 0.631, ""ml_fundamentals"": 0.671, ""communication"": 0.796, ""git"": 0.704, ""jquery"": 0.661}"
S0_00074,2,"{""spark"": 0.527, ""nlp"": 0.516, ""system_design"": 0.506, ""java"": 0.455, ""flask"": 0.736, ""communication"": 0.889, ""kubernetes"": 0.718, ""docker"": 0.381, ""ml_fundamentals"": 0.691}"
S0_00075,4,"{""docker"": 0.769, ""react"": 0.747, ""communication"": 0.628, ""excel"": 0.717, ""sql"": 0.627, ""java"": 0.559, ""kubernetes"": 0.667, ""nlp"": 0.554, ""spark"": 0.768, ""aws"": 0.547}"
S0_00076,0,"{""nlp"": 0.714, ""git"": 1.0, ""aws"": 0.74, ""testing"": 0.73, ""kubernetes"": 0.802, ""communication"": 0.854, ""jquery"": 0.42}"
S0_00077,1,"{""data_structures"": 0.9, ""python"": 0.694, ""nlp"": 0.4, ""cloud_security"": 0.813, ""communication"": 0.803, ""spark"": 0.766, ""docker"": 0.867, ""testing"": 0.545, ""system_design"": 1.0}"
S0_00078,1,"{""sql"": 0.925, ""flask"": 0.685, ""testing"": 0.453, ""communication"": 0.6, ""spark"": 0.803, ""git"": 0.779, ""jquery"": 0.485}"
S0_00079,0,"{""jquery"": 0.579, ""system_design"": 0.625, ""react"": 0.545, ""python"": 0.744, ""excel"": 0.829, ""flask"": 0.482, ""cloud_security"": 0.724, ""spark"": 0.687, ""docker"": 0.771, ""data_structures"": 0.718}"
S0_00080,5,"{""nlp"": 0.652, ""spark"": 0.512, ""react"": 0.509, ""docker"": 0.694, ""kubernetes"": 0.611, ""python"": 0.777, ""jquery"": 0.788, ""sql"": 0.768, ""cloud_security"": 0.756, ""testing"": 0.957, ""node"": 0.56, ""flask"": 0.712}"
S0_00081,3,"{""kubernetes"": 0.714, ""aws"": 0.732, ""nlp"": 0.618, ""java"": 0.8, ""ml_fundamentals"": 1.0, ""node"": 0.453, ""sql"": 0.769, ""react"": 0.606, ""jquery"": 0.807}"
S0_00082,0,"{""kubernetes"": 0.742, ""spark"": 0.717, ""jquery"": 0.762, ""aws"": 0.883, ""react"": 0.455, ""java"": 0.866, ""system_design"": 0.721, ""node"": 0.689}"
S0_00083,4,"{""java"": 0.895, ""spark"": 0.693, ""docker"": 0.616, ""communication"": 0.644, ""cloud_security"": 0.911}"
S0_00084,1,"{""cloud_security"": 0.705, ""react"": 0.99, ""jquery"": 0.899, ""ml_fundamentals"": 0.616, ""data_structures"": 0.754, ""kubernetes"": 0.72, ""communication"": 0.762}"
S0_00085,0,"{""nlp"": 0.639, ""aws"": 0.904, ""docker"": 0.624, ""jquery"": 0.816, ""cloud_security"": 0.639, ""git"": 0.757, ""flask"": 0.699, ""communication"": 0.851, ""excel"": 0.64, ""kubernetes"": 0.484}"
S0_00086,2,"{""spark"": 0.646, ""testing"": 0.741, ""git"": 0.371, ""system_design"": 0.756, ""docker"": 1.0, ""react"": 0.652, ""flask"": 0.759, ""genai"": 0.874}"
S0_00087,0,"{""sql"": 0.889, ""java"": 0.735, ""testing"": 0.579, ""excel"": 0.641, ""nlp"": 0.731, ""node"": 0.726, ""react"": 0.706, ""python"": 0.715, ""aws"": 0.688, ""spark"": 0.504, ""cloud_security"": 0.643, ""communication"": 0.857}"
S0_00088,1,"{""nlp"": 0.821, ""testing"": 0.604, ""docker"": 0.633, ""java"": 0.767, ""flask"": 0.646, ""jquery"": 0.854}"
S0_00089,6,"{""react"": 0.561, ""docker"": 0.562, ""jquery"": 0.698, ""system_design"": 0.537, ""kubernetes"": 0.846, ""communication"": 0.582, ""sql"": 1.0, ""testing"": 0.652, ""ml_fundamentals"": 0.731, ""aws"": 0.526}"
S0_00090,0,"{""data_structures"": 0.734, ""cloud_security"": 0.355, ""excel"": 0.572, ""node"": 0.823, ""git"": 0.902, ""jquery"": 0.886}"
S0_00091,0,"{""python"": 0.714, ""nlp"": 0.786, ""communication"": 0.674, ""java"": 0.659, ""docker"": 0.734, ""sql"": 0.432, ""ml_fundamentals"": 0.792, ""data_structures"": 0.72, ""flask"": 0.726, ""spark"": 0.864, ""jquery"": 0.427}"
S0_00092,3,"{""git"": 0.821, ""communication"": 0.849, ""java"": 0.954, ""cloud_security"": 0.589, ""spark"": 0.686, ""jquery"": 0.832, ""excel"": 0.729, ""python"": 0.552, ""ml_fundamentals"": 0.782, ""data_structures"": 0.807, ""react"": 0.733}"
S0_00093,1,"{""nlp"": 0.552, ""docker"": 0.662, ""node"": 0.819, ""kubernetes"": 0.624, ""spark"": 0.755, ""system_design"": 0.675, ""excel"": 0.821, ""data_structures"": 0.791}"
S0_00094,3,"{""sql"": 0.851, ""ml_fundamentals"": 0.636, ""data_structures"": 0.628, ""excel"": 0.541, ""system_design"": 0.56, ""flask"": 0.446, ""git"": 0.829, ""react"": 0.991, ""nlp"": 0.934, ""node"": 0.476, ""java"": 0.829, ""python"": 0.933, ""jquery"": 0.651}"
S0_00095,1,"{""excel"": 0.397, ""jquery"": 0.68, ""kubernetes"": 0.633, ""system_design"": 0.487, ""ml_fundamentals"": 0.788, ""cloud_security"": 0.653, ""aws"": 0.559}"
S0_00096,0,"{""docker"": 0.796, ""ml_fundamentals"": 0.803, ""communication"": 0.282, ""cloud_security"": 0.899, ""python"": 0.263, ""java"": 0.628, ""jquery"": 0.874, ""system_design"": 0.672}"
S0_00097,2,"{""excel"": 0.914, ""java"": 0.517, ""data_structures"": 0.961, ""jquery"": 0.715, ""spark"": 0.546, ""ml_fundamentals"": 0.618, ""python"": 0.6, ""flask"": 0.529, ""nlp"": 0.734, ""system_design"": 0.536, ""kubernetes"": 0.393}"
S0_00098,3,"{""docker"": 0.856, ""excel"": 0.54, ""nlp"": 0.677, ""node"": 0.632, ""data_structures"": 0.745, ""ml_fundamentals"": 0.624, ""sql"": 0.679, ""git"": 0.685, ""cloud_security"": 0.61}"
S0_00099,1,"{""docker"": 0.753, ""nlp"": 0.956, ""spark"": 0.793, ""cloud_security"": 0.746, ""flask"": 0.636, ""react"": 0.725, ""system_design"": 0.682, ""git"": 0.602, ""sql"": 0.677, ""jquery"": 0.75}"
S0_00100,3,"{""react"": 0.785, ""system_design"": 0.758, ""testing"": 0.509, ""communication"": 0.888, ""nlp"": 0.706, ""docker"": 0.553, ""spark"": 0.898, ""python"": 0.814, ""flask"": 0.53, ""sql"": 0.987, ""aws"": 0.819, ""cloud_security"": 0.718, ""genai"": 0.959}"
S0_00101,6,"{""docker"": 0.916, ""testing"": 0.646, ""git"": 0.819, ""spark"": 0.66, ""aws"": 0.737, ""system_design"": 0.831, ""python"": 0.651, ""ml_fundamentals"": 0.869, ""flask"": 0.571, ""communication"": 0.764, ""cloud_security"": 0.858, ""kubernetes"": 0.819}"
S0_00102,3,"{""python"": 0.775, ""jquery"": 0.807, ""ml_fundamentals"": 0.646, ""aws"": 0.448, ""system_design"": 0.63, ""communication"": 0.556, ""sql"": 0.503, ""testing"": 0.978, ""docker"": 0.761}"
S0_00103,3,"{""node"": 0.728, ""docker"": 0.397, ""communication"": 0.583, ""git"": 0.781, ""excel"": 0.778, ""jquery"": 0.547, ""sql"": 0.744, ""system_design"": 0.873, ""python"": 0.837, ""nlp"": 0.706, ""testing"": 0.65, ""aws"": 0.626}"
S0_00104,1,"{""jquery"": 0.599, ""data_structures"": 0.449, ""cloud_security"": 0.952, ""node"": 0.758, ""excel"": 0.463}"
S0_00105,3,"{""jquery"": 0.794, ""python"": 0.857, ""system_design"": 0.75, ""node"": 0.793, ""communication"": 0.681, ""cloud_security"": 0.729}"
S0_00106,1,"{""testing"": 0.663, ""node"": 0.769, ""system_design"": 0.6, ""cloud_security"": 0.667, ""python"": 0.757, ""spark"": 0.847, ""excel"": 0.768, ""aws"": 0.909, ""git"": 0.706, ""data_structures"": 0.67, ""ml_fundamentals"": 1.0, ""nlp"": 0.779}"
S0_00107,1,"{""data_structures"": 0.754, ""testing"": 0.81, ""python"": 0.77, ""flask"": 0.599, ""docker"": 0.822, ""sql"": 0.608, ""react"": 0.642}"
S0_00108,0,"{""aws"": 0.538, ""docker"": 0.77, ""data_structures"": 0.728, ""nlp"": 0.792, ""sql"": 0.796, ""node"": 0.81, ""excel"": 0.664, ""communication"": 1.0, ""react"": 0.755, ""ml_fundamentals"": 0.441, ""cloud_security"": 0.57}"
S0_00109,4,"{""java"": 0.442, ""testing"": 0.693, ""node"": 0.722, ""spark"": 0.688, ""cloud_security"": 0.598, ""kubernetes"": 0.639, ""communication"": 0.693, ""docker"": 0.734}"
S0_00110,3,"{""cloud_security"": 0.987, ""node"": 0.59, ""jquery"": 0.722, ""aws"": 0.722, ""java"": 0.705, ""communication"": 0.623, ""ml_fundamentals"": 0.497}"
S0_00111,5,"{""sql"": 0.714, ""python"": 0.706, ""git"": 0.585, ""excel"": 0.674, ""testing"": 0.904, ""ml_fundamentals"": 0.599, ""aws"": 0.511, ""kubernetes"": 0.861, ""system_design"": 0.794, ""communication"": 0.627, ""jquery"": 0.483, ""cloud_security"": 0.608, ""nlp"": 0.712}"
S0_00112,1,"{""data_structures"": 0.838, ""cloud_security"": 0.811, ""java"": 0.688, ""nlp"": 0.443, ""kubernetes"": 0.652, ""jquery"": 0.782, ""docker"": 0.556, ""git"": 0.815, ""sql"": 0.856, ""flask"": 0.739, ""system_design"": 0.26, ""react"": 0.528, ""communication"": 1.0}"
S0_00113,1,"{""java"": 0.483, ""git"": 0.787, ""node"": 0.891, ""jquery"": 0.9, ""kubernetes"": 0.656, ""ml_fundamentals"": 0.895, ""docker"": 0.859, ""spark"": 1.0}"
S0_00114,4,"{""docker"": 0.646, ""sql"": 1.0, ""git"": 0.722, ""node"": 0.914, ""python"": 0.759}"
S0_00115,4,"{""testing"": 0.387, ""ml_fundamentals"": 0.94, ""data_structures"": 0.745, ""node"": 0.87, ""communication"": 0.585, ""java"": 0.487, ""jquery"": 0.759, ""cloud_security"": 0.715, ""aws"": 0.646, ""excel"": 0.733, ""sql"": 1.0, ""system_design"": 0.845, ""python"": 0.877}"
S0_00116,5,"{""node"": 0.542, ""cloud_security"": 0.392, ""jquery"": 0.743, ""python"": 0.769, ""nlp"": 0.901, ""git"": 0.956, ""ml_fundamentals"": 0.955, ""docker"": 0.57, ""testing"": 0.667, ""react"": 0.792, ""aws"": 1.0, ""system_design"": 0.942}"
S0_00117,0,"{""data_structures"": 0.49, ""git"": 0.642, ""communication"": 0.823, ""python"": 0.628, ""excel"": 0.479, ""spark"": 0.82, ""node"": 0.888, ""react"": 0.713, ""aws"": 0.426, ""flask"": 0.826, ""jquery"": 0.471, ""cloud_security"": 0.766, ""sql"": 0.587}"
S0_00118,0,"{""python"": 0.615, ""spark"": 0.59, ""ml_fundamentals"": 0.473, ""nlp"": 0.764, ""node"": 0.667}"
S0_00119,6,"{""aws"": 0.441, ""react"": 0.678, ""ml_fundamentals"": 0.952, ""python"": 0.655, ""data_structures"": 0.735, ""docker"": 0.89, ""sql"": 1.0, ""cloud_security"": 0.633, ""flask"": 0.717}"
S0_00120,4,"{""spark"": 0.831, ""docker"": 0.843, ""react"": 1.0, ""testing"": 0.664, ""data_structures"": 0.651, ""python"": 0.835, ""jquery"": 0.843, ""system_design"": 0.64, ""java"": 0.66, ""flask"": 0.801, ""communication"": 0.596, ""excel"": 0.658, ""git"": 0.733}"
