job_id,years_required,required_skills_json
J0_00041,1,"{""communication"": 0.67, ""kubernetes"": 0.91, ""cloud_security"": 0.84, ""node"": 0.68, ""spark"": 0.55, ""python"": 0.84, ""jquery"": 0.91}"
J0_00042,4,"{""testing"": 0.67, ""react"": 0.61, ""spark"": 0.62, ""nlp"": 0.48}"
J1_00000,0,"{""communication"": 1.0, ""sql"": 0.91, ""testing"": 0.83, ""kubernetes"": 0.41}"
J1_00001,3,"{""communication"": 0.63, ""ml_fundamentals"": 0.92, ""docker"": 0.6, ""nlp"": 0.44, ""jquery"": 0.98}"
J1_00002,2,"{""testing"": 0.62, ""node"": 0.57, ""data_structures"": 0.8, ""jquery"": 0.78}"
J1_00003,0,"{""testing"": 0.47, ""flask"": 0.88, ""git"": 0.68, ""ml_fundamentals"": 0.59, ""kubernetes"": 0.89, ""react"": 0.61}"
J1_00004,2,"{""cloud_security"": 0.64, ""aws"": 0.58, ""python"": 0.95, ""ml_fundamentals"": 0.69, ""data_structures"": 0.77, ""java"": 0.82, ""genai"": 0.92}"
J1_00005,2,"{""sql"": 0.43, ""ml_fundamentals"": 0.77, ""git"": 0.83, ""node"": 0.58, ""kubernetes"": 0.94, ""python"": 0.67}"
J1_00006,1,"{""git"": 0.56, ""cloud_security"": 0.91, ""docker"": 0.48, ""flask"": 0.48, ""jquery"": 0.84}"
J1_00007,4,"{""java"": 0.67, ""sql"": 0.88, ""aws"": 0.56, ""react"": 0.5, ""jquery"": 0.63}"
J1_00008,0,"{""docker"": 0.96, ""java"": 0.65, ""system_design"": 0.87, ""cloud_security"": 0.58, ""data_structures"": 0.75}"
J1_00009,2,"{""communication"": 0.73, ""python"": 1.0, ""system_design"": 0.69, ""git"": 0.6, ""jquery"": 0.72}"
J1_00010,2,"{""testing"": 0.5, ""java"": 0.71, ""react"": 0.59}"
J1_00011,0,"{""docker"": 0.51, ""python"": 0.6, ""node"": 0.5, ""jquery"": 0.61}"
J1_00012,4,"{""testing"": 0.47, ""cloud_security"": 0.86, ""sql"": 0.44}"
J1_00013,0,"{""java"": 0.78, ""flask"": 0.55, ""react"": 0.77, ""node"": 0.45, ""ml_fundamentals"": 0.71, ""communication"": 0.54, ""jquery"": 0.81}"
J1_00014,1,"{""excel"": 0.9, ""python"": 0.88, ""kubernetes"": 0.71, ""spark"": 0.62, ""communication"": 0.97, ""sql"": 0.78}"
J1_00015,5,"{""data_structures"": 0.5, ""ml_fundamentals"": 0.75, ""cloud_security"": 0.77, ""spark"": 0.71, ""flask"": 0.93}"
J1_00016,3,"{""node"": 0.71, ""aws"": 0.56, ""jquery"": 0.59, ""testing"": 0.79, ""java"": 0.77}"
J1_00017,6,"{""node"": 0.76, ""kubernetes"": 0.71, ""git"": 0.93}"
J1_00018,0,"{""system_design"": 0.99, ""node"": 0.83, ""nlp"": 0.41}"
J1_00019,2,"{""system_design"": 0.56, ""aws"": 0.78, ""testing"": 0.55, ""spark"": 0.78, ""excel"": 0.43}"
J1_00020,4,"{""system_design"": 0.41, ""java"": 0.42, ""docker"": 0.58, ""kubernetes"": 0.77, ""testing"": 0.98}"
J1_00021,3,"{""spark"": 0.56, ""jquery"": 0.88, ""communication"": 1.0, ""excel"": 0.95, ""kubernetes"": 0.58}"
J1_00022,1,"{""jquery"": 0.41, ""communication"": 0.54, ""sql"": 0.43}"
J1_00023,2,"{""node"": 0.76, ""git"": 0.83, ""excel"": 0.77, ""docker"": 0.85, ""kubernetes"": 0.47, ""flask"": 0.86, ""jquery"": 0.52}"
J1_00024,1,"{""data_structures"": 0.74, ""aws"": 0.95, ""spark"": 0.59, ""flask"": 0.7, ""jquery"": 0.92}"
J1_00025,0,"{""java"": 0.77, ""flask"": 0.9, ""ml_fundamentals"": 0.48, ""jquery"": 0.95}"
J1_00026,6,"{""nlp"": 0.56, ""node"": 0.87, ""ml_fundamentals"": 0.59, ""communication"": 0.82, ""jquery"": 0.52}"
J1_00027,2,"{""docker"": 0.95, ""spark"": 0.94, ""ml_fundamentals"": 0.93, ""python"": 0.69, ""data_structures"": 0.5, ""jquery"": 0.85}"
J1_00028,0,"{""data_structures"": 0.71, ""docker"": 0.43, ""flask"": 0.96, ""nlp"": 0.65}"
J1_00029,1,"{""node"": 0.44, ""testing"": 0.74, ""excel"": 0.6, ""cloud_security"": 0.97, ""nlp"": 0.85, ""kubernetes"": 0.7}"
J1_00030,2,"{""excel"": 0.91, ""jquery"": 0.73, ""python"": 0.75, ""communication"": 0.69, ""system_design"": 0.86}"
J1_00031,0,"{""flask"": 0.82, ""ml_fundamentals"": 0.52, ""spark"": 0.43, ""kubernetes"": 0.87}"
J1_00032,3,"{""cloud_security"": 0.98, ""ml_fundamentals"": 0.78, ""python"": 0.54, ""node"": 0.63, ""jquery"": 0.85}"
J1_00033,1,"{""react"": 0.65, ""jquery"": 0.82, ""system_design"": 0.54, ""excel"": 0.88}"
J1_00034,3,"{""testing"": 0.56, ""python"": 0.97, ""docker"": 0.98}"
J1_00035,2,"{""kubernetes"": 0.9, ""ml_fundamentals"": 0.53, ""aws"": 0.84, ""cloud_security"": 0.4, ""java"": 0.73, ""jquery"": 0.62}"
J1_00036,1,"{""aws"": 0.81, ""flask"": 0.55, ""system_design"": 0.42, ""data_structures"": 0.9, ""react"": 0.92}"
J1_00037,3,"{""flask"": 0.63, ""kubernetes"": 0.57, ""node"": 0.62, ""react"": 0.89, ""git"": 0.82, ""system_design"": 0.55}"
J1_00038,1,"{""docker"": 0.81, ""git"": 0.54, ""jquery"": 0.69, ""data_structures"": 0.75, ""nlp"": 0.81, ""cloud_security"": 0.95}"
J1_00039,5,"{""kubernetes"": 0.92, ""nlp"": 0.89, ""jquery"": 0.57}"
J1_00040,5,"{""flask"": 0.64, ""nlp"": 0.43, ""python"": 0.71, ""communication"": 0.63, ""java"": 0.47}"
J1_00041,0,"{""react"": 0.98, ""java"": 0.85, ""node"": 0.79, ""nlp"": 0.85}"
J1_00042,4,"{""data_structures"": 0.56, ""flask"": 0.61, ""excel"": 0.66}"
J2_00000,2,"{""spark"": 0.64, ""node"": 0.6, ""communication"": 0.72, ""aws"": 0.56, ""jquery"": 0.88}"
J2_00001,4,"{""nlp"": 0.42, ""excel"": 0.56, ""java"": 0.47, ""python"": 0.46, ""testing"": 0.97}"
J2_00002,1,"{""kubernetes"": 0.89, ""communication"": 0.83, ""spark"": 0.5, ""jquery"": 0.69}"
J2_00003,2,"{""python"": 0.67, ""spark"": 0.58, ""data_structures"": 0.52, ""docker"": 0.85, ""java"": 0.79}"
J2_00004,5,"{""java"": 0.46, ""cloud_security"": 0.98, ""node"": 0.78}"
J2_00005,2,"{""aws"": 0.83, ""nlp"": 0.94, ""communication"": 0.52}"
J2_00006,2,"{""communication"": 0.64, ""node"": 0.75, ""nlp"": 0.67, ""data_structures"": 0.67}"
J2_00007,4,"{""communication"": 0.7, ""docker"": 0.56, ""spark"": 0.42, ""sql"": 0.78, ""nlp"": 0.87}"
J2_00008,0,"{""nlp"": 0.7, ""jquery"": 0.53, ""flask"": 0.74, ""kubernetes"": 0.62}"
J2_00009,1,"{""node"": 0.86, ""sql"": 0.54, ""git"": 0.84}"
J2_00010,3,"{""python"": 0.62, ""ml_fundamentals"": 0.49, ""nlp"": 0.79, ""data_structures"": 0.86, ""java"": 0.86}"
J2_00011,0,"{""data_structures"": 0.82, ""nlp"": 0.6, ""python"": 0.48, ""ml_fundamentals"": 0.97, ""sql"": 0.93}"
J2_00012,4,"{""react"": 0.65, ""python"": 0.56, ""kubernetes"": 0.57, ""node"": 0.88, ""jquery"": 0.85, ""java"": 0.82}"
J2_00013,2,"{""docker"": 0.75, ""kubernetes"": 0.67, ""java"": 0.69, ""flask"": 0.9, ""ml_fundamentals"": 0.47}"
J2_00014,5,"{""spark"": 0.64, ""communication"": 0.93, ""git"": 0.87}"
J2_00015,4,"{""aws"": 0.58, ""python"": 0.56, ""spark"": 0.62, ""sql"": 0.81, ""ml_fundamentals"": 0.4, ""data_structures"": 0.85}"
J2_00016,3,"{""docker"": 0.9, ""excel"": 0.77, ""data_structures"": 0.54, ""python"": 0.6, ""ml_fundamentals"": 0.91, ""spark"": 0.82}"
J2_00017,0,"{""java"": 0.57, ""system_design"": 0.69, ""spark"": 0.59, ""flask"": 0.44}"
J2_00018,0,"{""excel"": 0.49, ""react"": 0.72, ""node"": 0.91}"
J2_00019,3,"{""ml_fundamentals"": 0.72, ""sql"": 0.58, ""jquery"": 0.66, ""react"": 0.9}"
J2_00020,0,"{""git"": 0.5, ""node"": 0.86, ""docker"": 0.42}"
J2_00021,3,"{""node"": 0.86, ""docker"": 0.42, ""git"": 0.89, ""cloud_security"": 0.83, ""react"": 0.94, ""flask"": 0.78}"
J2_00022,4,"{""excel"": 0.9, ""sql"": 0.59, ""docker"": 0.98, ""communication"": 0.41, ""nlp"": 0.77, ""jquery"": 0.47}"
J2_00023,1,"{""kubernetes"": 0.81, ""cloud_security"": 0.66, ""testing"": 0.61}"
J2_00024,5,"{""kubernetes"": 0.86, ""python"": 0.71, ""system_design"": 0.51, ""aws"": 0.92, ""testing"": 0.85, ""ml_fundamentals"": 0.9}"
J2_00025,0,"{""data_structures"": 0.5, ""ml_fundamentals"": 0.43, ""flask"": 0.49, ""jquery"": 0.54}"
J2_00026,1,"{""cloud_security"": 0.68, ""ml_fundamentals"": 0.98, ""jquery"": 0.62, ""docker"": 0.98, ""nlp"": 0.55, ""spark"": 0.46}"
J2_00027,2,"{""python"": 0.75, ""testing"": 0.91, ""react"": 0.69, ""data_structures"": 0.59, ""spark"": 0.75, ""system_design"": 0.48, ""jquery"": 0.58}"
J2_00028,0,"{""react"": 0.93, ""data_structures"": 0.48, ""spark"": 0.95, ""python"": 0.8, ""java"": 0.72, ""node"": 0.57, ""jquery"": 0.62}"
J2_00029,2,"{""sql"": 0.85, ""jquery"": 0.83, ""data_structures"": 0.41}"
J2_00030,0,"{""nlp"": 0.51, ""kubernetes"": 0.41, ""testing"": 0.9, ""java"": 0.42, ""jquery"": 0.78}"
J2_00031,3,"{""ml_fundamentals"": 0.84, ""git"": 0.9, ""nlp"": 0.98, ""python"": 0.67}"
J2_00032,0,"{""testing"": 0.72, ""java"": 0.72, ""python"": 0.92}"
J2_00033,0,"{""data_structures"": 0.97, ""cloud_security"": 0.43, ""docker"": 0.81, ""communication"": 0.59, ""jquery"": 0.65}"
J2_00034,5,"{""jquery"": 0.63, ""communication"": 0.63, ""flask"": 0.61, ""system_design"": 0.93, ""java"": 0.41, ""kubernetes"": 0.96}"
J2_00035,2,"{""nlp"": 0.83, ""spark"": 0.64, ""communication"": 0.87, ""cloud_security"": 0.5, ""docker"": 0.43}"
J2_00036,2,"{""git"": 0.47, ""docker"": 0.41, ""java"": 0.67, ""excel"": 0.46, ""sql"": 0.87, ""react"": 0.44, ""jquery"": 0.95}"
J2_00037,3,"{""spark"": 0.56, ""sql"": 0.99, ""java"": 0.56, ""git"": 0.48, ""jquery"": 0.62}"
J2_00038,3,"{""excel"": 0.59, ""cloud_security"": 0.67, ""system_design"": 0.83, ""git"": 0.5, ""kubernetes"": 0.94, ""spark"": 0.59, ""jquery"": 0.99}"
J2_00039,4,"{""testing"": 0.56, ""jquery"": 0.99, ""system_design"": 0.96, ""flask"": 0.48, ""nlp"": 0.52, ""kubernetes"": 0.46}"
J2_00040,2,"{""sql"": 0.72, ""jquery"": 0.52, ""react"": 0.84, ""testing"": 0.75, ""aws"": 0.47}"
J2_00041,2,"{""system_design"": 0.66, ""java"": 0.81, ""git"": 0.62, ""aws"": 0.74, ""data_structures"": 0.4}"
J2_00042,5,"{""communication"": 0.83, ""flask"": 0.67, ""testing"": 0.44, ""aws"": 0.47, ""jquery"": 0.4}"
J3_00000,3,"{""jquery"": 0.57, ""data_structures"": 0.74, ""spark"": 0.44, ""flask"": 0.43}"
J3_00001,3,"{""flask"": 0.85, ""node"": 0.92, ""excel"": 0.9, ""java"": 0.7, ""cloud_security"": 0.86}"
J3_00002,5,"{""docker"": 0.5, ""kubernetes"": 0.94, ""testing"": 0.45, ""genai"": 0.43}"
J3_00003,0,"{""cloud_security"": 0.41, ""react"": 0.42, ""git"": 0.47, ""sql"": 0.88, ""jquery"": 0.67}"
J3_00004,0,"{""jquery"": 0.8, ""cloud_security"": 0.54, ""flask"": 0.48, ""python"": 0.98, ""communication"": 0.68}"
J3_00005,3,"{""spark"": 0.42, ""java"": 0.51, ""communication"": 0.8, ""genai"": 0.53}"
J3_00006,0,"{""ml_fundamentals"": 0.89, ""excel"": 0.41, ""sql"": 0.71, ""git"": 0.48, ""data_structures"": 0.53}"
J3_00007,3,"{""docker"": 0.95, ""python"": 0.91, ""java"": 0.51, ""git"": 0.93, ""node"": 0.52, ""ml_fundamentals"": 0.69}"
J3_00008,1,"{""testing"": 0.5, ""react"": 0.9, ""kubernetes"": 0.41, ""python"": 0.88}"
J3_00009,0,"{""kubernetes"": 0.5, ""communication"": 0.45, ""excel"": 0.57, ""testing"": 0.61, ""aws"": 0.68, ""react"": 0.46}"
J3_00010,1,"{""aws"": 0.63, ""nlp"": 0.73, ""ml_fundamentals"": 0.91, ""genai"": 0.62, ""jquery"": 0.93}"
J3_00011,0,"{""excel"": 0.71, ""python"": 0.98, ""system_design"": 0.61, ""genai"": 0.53}"
J3_00012,1,"{""java"": 0.85, ""excel"": 0.76, ""communication"": 0.98, ""sql"": 0.74, ""jquery"": 0.57}"
J3_00013,1,"{""python"": 0.41, ""cloud_security"": 0.49, ""node"": 0.45, ""docker"": 0.51}"
J3_00014,0,"{""communication"": 0.93, ""excel"": 0.44, ""spark"": 0.99, ""node"": 0.43}"
J3_00015,0,"{""flask"": 0.48, ""node"": 0.44, ""jquery"": 0.43, ""genai"": 0.74}"
J3_00016,3,"{""python"": 0.72, ""excel"": 0.71, ""java"": 0.88, ""aws"": 0.9, ""kubernetes"": 0.62, ""node"": 0.65}"
J3_00017,1,"{""excel"": 0.89, ""data_structures"": 0.59, ""communication"": 0.98, ""genai"": 0.86}"
J3_00018,0,"{""data_structures"": 0.88, ""testing"": 0.53, ""aws"": 0.69, ""kubernetes"": 0.8, ""communication"": 0.85, ""genai"": 0.98}"
J3_00019,0,"{""flask"": 0.68, ""cloud_security"": 0.76, ""aws"": 0.86, ""jquery"": 0.47}"
J3_00020,2,"{""jquery"": 0.75, ""git"": 0.89, ""nlp"": 0.99}"
J3_00021,5,"{""excel"": 0.65, ""jquery"": 0.94, ""react"": 0.98, ""spark"": 0.74, ""aws"": 0.97}"
J3_00022,4,"{""flask"": 0.57, ""communication"": 0.75, ""ml_fundamentals"": 0.48, ""nlp"": 0.59, ""cloud_security"": 0.53, ""excel"": 0.46, ""genai"": 0.81, ""jquery"": 0.94}"
J3_00023,2,"{""data_structures"": 0.9, ""kubernetes"": 0.5, ""cloud_security"": 0.99, ""flask"": 0.71, ""system_design"": 0.95}"
J3_00024,1,"{""excel"": 0.77, ""docker"": 0.52, ""java"": 0.43, ""aws"": 0.92, ""cloud_security"": 0.54, ""jquery"": 0.96, ""genai"": 0.43}"
J3_00025,0,"{""excel"": 0.81, ""cloud_security"": 0.49, ""data_structures"": 0.42, ""flask"": 0.49, ""git"": 0.78, ""java"": 0.84, ""jquery"": 0.7}"
J3_00026,5,"{""communication"": 0.41, ""testing"": 0.64, ""react"": 0.71, ""excel"": 0.79, ""genai"": 0.86, ""jquery"": 0.98}"
J3_00027,3,"{""aws"": 0.83, ""system_design"": 0.69, ""spark"": 1.0, ""kubernetes"": 0.44}"
J3_00028,1,"{""spark"": 0.59, ""kubernetes"": 0.55, ""jquery"": 0.63, ""ml_fundamentals"": 0.6, ""nlp"": 0.84, ""genai"": 0.76}"
J3_00029,2,"{""java"": 0.93, ""testing"": 0.88, ""jquery"": 0.75, ""react"": 0.56, ""nlp"": 0.8, ""data_structures"": 0.4}"
J3_00030,4,"{""cloud_security"": 0.44, ""data_structures"": 0.97, ""java"": 0.44, ""aws"": 0.98, ""excel"": 0.65, ""testing"": 0.61, ""jquery"": 0.79}"
J3_00031,5,"{""jquery"": 0.71, ""excel"": 0.81, ""nlp"": 0.75, ""genai"": 0.77}"
J3_00032,1,"{""node"": 0.68, ""ml_fundamentals"": 0.41, ""communication"": 0.59}"
J3_00033,3,"{""react"": 0.47, ""docker"": 0.47, ""cloud_security"": 0.53, ""sql"": 0.76, ""genai"": 0.96}"
J3_00034,2,"{""excel"": 0.85, ""python"": 0.81, ""react"": 0.41, ""genai"": 0.9}"
J3_00035,0,"{""data_structures"": 0.58, ""flask"": 0.63, ""cloud_security"": 0.7, ""testing"": 0.75}"
J3_00036,0,"{""data_structures"": 0.52, ""ml_fundamentals"": 0.67, ""spark"": 0.83, ""java"": 0.69, ""sql"": 0.94, ""excel"": 0.93, ""genai"": 0.7}"
J3_00037,3,"{""flask"": 0.54, ""aws"": 0.62, ""communication"": 0.95, ""cloud_security"": 0.9, ""sql"": 0.71, ""genai"": 0.69}"
J3_00038,3,"{""nlp"": 0.94, ""spark"": 0.53, ""kubernetes"": 0.95, ""jquery"": 0.78, ""node"": 0.65}"
J3_00039,1,"{""system_design"": 0.68, ""python"": 0.65, ""node"": 0.55}"
J3_00040,2,"{""ml_fundamentals"": 0.64, ""docker"": 0.63, ""spark"": 0.45, ""jquery"": 0.6}"
J3_00041,3,"{""sql"": 0.82, ""jquery"": 0.69, ""aws"": 0.75, ""system_design"": 0.87}"
J3_00042,3,"{""flask"": 0.82, ""aws"": 0.61, ""python"": 0.7, ""testing"": 0.88, ""nlp"": 0.93, ""cloud_security"": 0.47}"
J4_00000,2,"{""java"": 0.76, ""kubernetes"": 0.76, ""python"": 0.72, ""aws"": 0.84, ""genai"": 0.55}"
J4_00001,1,"{""aws"": 0.57, ""docker"": 0.72, ""excel"": 0.64, ""jquery"": 0.9}"
J4_00002,1,"{""cloud_security"": 0.46, ""excel"": 0.89, ""docker"": 0.99, ""genai"": 0.84}"
J4_00003,0,"{""excel"": 0.58, ""git"": 0.46, ""docker"": 0.66, ""ml_fundamentals"": 0.46, ""aws"": 0.51, ""genai"": 0.94}"
J4_00004,1,"{""data_structures"": 0.5, ""node"": 0.97, ""sql"": 0.92, ""communication"": 0.48, ""testing"": 0.42, ""cloud_security"": 0.62}"
J4_00005,0,"{""cloud_security"": 0.87, ""git"": 0.92, ""react"": 0.86, ""jquery"": 0.7, ""docker"": 0.48}"
J4_00006,7,"{""aws"": 0.64, ""spark"": 0.51, ""java"": 0.79, ""flask"": 0.58, ""genai"": 0.79}"
J4_00007,4,"{""data_structures"": 0.7, ""node"": 0.46, ""kubernetes"": 0.8, ""docker"": 0.44, ""excel"": 0.42, ""git"": 0.94, ""jquery"": 0.95}"
J4_00008,0,"{""jquery"": 0.46, ""nlp"": 0.83, ""cloud_security"": 0.73, ""communication"": 0.71, ""genai"": 0.46}"
J4_00009,0,"{""testing"": 0.52, ""system_design"": 0.97, ""data_structures"": 0.46}"
J4_00010,0,"{""java"": 0.59, ""sql"": 0.59, ""flask"": 0.98, ""jquery"": 0.75}"
J4_00011,4,"{""aws"": 0.81, ""flask"": 0.83, ""kubernetes"": 0.51, ""docker"": 0.79, ""nlp"": 0.93, ""genai"": 0.76, ""jquery"": 0.8}"
J4_00012,2,"{""python"": 0.83, ""react"": 0.4, ""docker"": 0.97, ""genai"": 0.96}"
J4_00013,3,"{""ml_fundamentals"": 0.92, ""git"": 0.54, ""nlp"": 0.54, ""react"": 0.66, ""kubernetes"": 0.93}"
J4_00014,5,"{""node"": 0.41, ""nlp"": 0.59, ""spark"": 0.88, ""jquery"": 0.42}"
J4_00015,0,"{""system_design"": 0.73, ""kubernetes"": 0.61, ""data_structures"": 0.7, ""node"": 0.93, ""jquery"": 0.86, ""docker"": 0.74, ""genai"": 0.51}"
J4_00016,4,"{""ml_fundamentals"": 0.84, ""nlp"": 0.76, ""git"": 0.59}"
J4_00017,0,"{""aws"": 0.86, ""ml_fundamentals"": 0.78, ""kubernetes"": 0.57}"
J4_00018,1,"{""system_design"": 0.68, ""testing"": 0.58, ""java"": 0.61, ""excel"": 0.62, ""ml_fundamentals"": 0.56, ""nlp"": 0.86}"
J4_00019,1,"{""kubernetes"": 0.99, ""communication"": 0.76, ""cloud_security"": 0.98, ""data_structures"": 0.46}"
J4_00020,3,"{""docker"": 0.45, ""jquery"": 0.85, ""java"": 0.96, ""ml_fundamentals"": 0.84, ""sql"": 0.47}"
J4_00021,2,"{""java"": 0.78, ""jquery"": 0.48, ""node"": 0.85, ""testing"": 0.49, ""kubernetes"": 0.84, ""genai"": 0.83}"
J4_00022,0,"{""git"": 0.83, ""excel"": 0.71, ""communication"": 0.89, ""nlp"": 0.59}"
J4_00023,0,"{""node"": 0.43, ""testing"": 0.89, ""sql"": 0.57, ""ml_fundamentals"": 0.71, ""git"": 0.94, ""genai"": 0.41, ""jquery"": 0.73}"
J4_00024,0,"{""sql"": 0.54, ""docker"": 0.9, ""aws"": 0.63, ""communication"": 0.65, ""genai"": 0.88}"
J4_00025,2,"{""system_design"": 0.48, ""jquery"": 0.62, ""git"": 0.51, ""genai"": 0.83}"
J4_00026,3,"{""excel"": 0.61, ""spark"": 0.63, ""sql"": 0.55, ""nlp"": 0.98, ""react"": 0.76, ""docker"": 0.44, ""genai"": 0.52}"
J4_00027,2,"{""system_design"": 0.62, ""kubernetes"": 0.94, ""git"": 0.91, ""node"": 0.86, ""react"": 0.91, ""genai"": 0.45, ""jquery"": 0.47}"
J4_00028,7,"{""flask"": 0.86, ""java"": 0.63, ""sql"": 0.96, ""spark"": 0.94, ""python"": 0.79}"
J4_00029,0,"{""kubernetes"": 0.56, ""flask"": 0.99, ""sql"": 0.72, ""genai"": 0.98}"
J4_00030,3,"{""spark"": 0.63, ""ml_fundamentals"": 0.67, ""docker"": 0.93, ""aws"": 0.51, ""genai"": 0.95}"
J4_00031,4,"{""data_structures"": 0.95, ""communication"": 0.8, ""sql"": 0.51, ""system_design"": 0.65, ""aws"": 0.96, ""java"": 0.51, ""genai"": 0.5}"
J4_00032,2,"{""ml_fundamentals"": 0.78, ""react"": 0.56, ""excel"": 0.46, ""testing"": 0.98, ""python"": 0.42, ""genai"": 0.51}"
