candidate_id,job_id,baseline_score,prediction_score,is_success
277,74,33.33,40.61,0
166,59,33.33,42.88,0
83,36,66.67,73.41,1
100,48,50.0,51.68,1
130,104,40.0,38.97,0
300,102,66.67,68.13,1
152,101,28.57,15.06,0
262,13,25.0,13.97,0
181,32,66.67,61.16,1
4,42,42.86,41.46,1
213,76,42.86,29.11,1
180,16,28.57,19.03,0
192,30,25.0,32.32,0
217,63,33.33,29.67,1
254,100,33.33,40.86,0
138,100,0.0,0.0,0
196,102,33.33,42.36,0
8,64,83.33,74.15,1
132,105,33.33,23.51,0
36,24,0.0,8.69,0
195,76,71.43,61.93,1
86,49,57.14,56.61,1
258,63,66.67,61.43,1
193,78,57.14,63.81,1
141,77,0.0,0.0,0
12,20,33.33,25.62,1
137,32,66.67,65.86,0
297,63,33.33,23.12,1
25,81,20.0,29.48,0
73,2,50.0,52.41,1
167,9,33.33,32.95,0
218,108,33.33,33.98,0
6,116,50.0,61.32,1
214,14,0.0,4.49,0
144,20,66.67,54.44,1
88,41,57.14,57.02,0
33,111,50.0,54.56,1
217,36,0.0,0.0,0
65,14,66.67,66.19,1
25,63,0.0,0.0,0
297,58,33.33,29.89,1
82,85,50.0,52.27,1
127,9,16.67,2.82,0
32,27,20.0,27.18,0
80,99,50.0,52.4,0
51,44,33.33,26.04,1
16,67,50.0,55.92,1
166,109,20.0,32.24,0
203,36,33.33,32.26,1
150,49,28.57,36.72,0
150,36,66.67,55.65,1
173,55,42.86,40.24,0
226,119,33.33,40.47,0
103,119,50.0,46.14,0
73,13,50.0,49.42,0
66,21,60.0,67.92,1
273,114,40.0,37.73,1
147,10,20.0,31.63,0
123,91,75.0,86.43,1
212,38,33.33,41.81,1
270,78,57.14,49.61,0
75,52,66.67,72.42,1
76,64,33.33,36.2,0
292,26,75.0,62.08,1
153,70,42.86,39.14,0
224,17,75.0,76.67,1
126,107,33.33,25.73,1
233,76,14.29,1.12,0
3,94,20.0,31.33,0
66,5,80.0,91.37,1
293,108,16.67,27.46,0
11,99,50.0,58.62,1
53,92,20.0,9.38,0
70,76,14.29,25.35,0
209,62,40.0,35.7,1
221,86,14.29,5.5,0
166,40,0.0,0.91,0
181,39,80.0,72.7,1
173,71,28.57,38.03,0
192,85,50.0,39.96,1
208,120,28.57,21.6,0
33,52,50.0,64.9,1
236,39,40.0,44.78,1
233,55,0.0,0.0,0
285,98,28.57,18.82,0
120,17,25.0,23.41,1
20,71,71.43,57.55,1
103,90,66.67,60.69,1
245,104,80.0,70.32,1
60,26,75.0,70.88,1
232,89,50.0,47.81,1
248,76,28.57,21.31,0
31,65,28.57,36.1,0
15,9,33.33,38.99,0
133,18,33.33,38.83,1
154,58,66.67,73.04,1
4,120,14.29,8.86,0
36,16,28.57,31.46,0
75,35,66.67,56.16,0
138,116,50.0,52.11,1
128,15,28.57,15.63,0
10,91,50.0,38.26,0
143,80,0.0,0.0,0
164,107,66.67,67.29,1
111,79,60.0,71.74,1
69,81,40.0,31.12,0
244,116,33.33,20.71,1
218,98,14.29,24.05,0
280,32,33.33,26.74,0
192,40,66.67,57.35,1
152,29,60.0,48.99,0
24,81,40.0,37.68,1
293,78,14.29,4.1,1
196,71,42.86,28.1,1
282,109,20.0,5.2,0
67,36,0.0,11.32,0
136,103,33.33,31.76,1
80,120,42.86,30.32,1
33,12,75.0,79.26,1
174,103,0.0,0.0,0
145,48,50.0,44.9,1
257,62,0.0,0.0,0
219,52,33.33,30.64,0
277,79,20.0,16.97,0
88,21,60.0,47.44,1
235,69,50.0,42.05,0
159,29,40.0,25.26,0
155,116,0.0,0.0,0
201,98,28.57,39.89,0
121,19,0.0,0.0,0
146,95,16.67,2.32,1
189,55,42.86,31.64,0
155,52,0.0,0.0,0
152,112,25.0,32.69,1
210,54,100.0,100.0,1
193,85,50.0,44.82,1
187,18,33.33,38.44,1
227,52,66.67,73.73,1
23,15,71.43,84.09,1
219,20,50.0,41.01,1
151,45,33.33,35.7,0
10,72,0.0,0.0,0
245,2,66.67,64.68,0
123,118,40.0,30.48,0
149,67,33.33,24.87,0
179,74,33.33,45.91,1
27,76,57.14,67.57,1
54,116,16.67,21.55,0
141,25,42.86,43.0,1
207,47,16.67,2.07,0
233,113,42.86,48.28,0
87,51,80.0,91.99,1
183,115,40.0,32.36,0
85,67,33.33,35.19,1
18,16,28.57,41.99,1
174,20,33.33,45.1,1
215,102,33.33,36.06,0
76,85,16.67,24.64,0
212,80,0.0,0.0,0
207,96,16.67,14.42,1
272,18,66.67,81.32,1
134,50,40.0,47.21,0
60,53,100.0,99.24,1
54,35,16.67,12.46,0
15,96,33.33,33.51,1
232,35,33.33,23.61,0
138,88,25.0,33.85,0
26,97,66.67,67.7,1
209,70,42.86,51.86,1
88,111,66.67,80.67,1
133,53,75.0,71.9,1
278,69,66.67,62.76,1
242,57,25.0,31.18,0
154,46,42.86,38.94,0
46,111,33.33,34.49,0
226,50,0.0,7.27,0
132,75,0.0,8.68,0
230,17,50.0,55.53,1
28,36,100.0,100.0,1
207,78,14.29,16.43,0
62,39,80.0,72.16,1
141,96,33.33,29.94,0
208,16,14.29,23.41,0
82,2,33.33,44.36,0
277,13,0.0,7.08,0
11,14,33.33,34.97,0
265,2,50.0,48.78,0
112,5,60.0,64.3,0
236,24,66.67,79.04,0
51,113,57.14,57.64,0
187,9,0.0,10.19,0
42,39,60.0,70.84,1
7,86,14.29,25.79,0
206,47,66.67,80.07,1
176,57,25.0,27.84,0
49,91,25.0,38.04,0
187,97,33.33,21.15,0
93,2,50.0,42.15,1
259,105,100.0,100.0,1
57,41,14.29,18.59,0
39,41,57.14,45.18,1
150,25,57.14,61.0,0
109,55,42.86,45.43,1
185,118,40.0,37.08,0
280,68,40.0,48.82,1
259,68,40.0,54.66,1
52,101,42.86,53.63,0
225,53,50.0,44.99,0
235,75,50.0,47.23,1
163,21,40.0,26.88,0
62,47,66.67,53.68,1
226,113,14.29,29.03,0
31,31,33.33,38.13,0
5,11,40.0,41.42,1
94,27,40.0,26.58,0
88,35,66.67,72.09,1
188,7,20.0,14.97,0
234,45,33.33,44.26,0
102,103,0.0,9.28,0
95,41,71.43,84.68,1
38,74,0.0,0.0,0
280,3,28.57,14.46,0
127,92,40.0,40.18,0
169,77,33.33,25.82,0
178,4,28.57,29.77,1
31,87,0.0,9.15,0
262,25,42.86,51.43,0
181,37,33.33,28.73,0
81,63,66.67,76.68,1
293,45,33.33,36.13,0
138,57,25.0,32.82,0
4,19,33.33,43.18,0
91,21,60.0,52.38,1
77,87,0.0,3.99,0
247,87,33.33,21.51,1
32,75,0.0,10.84,0
24,12,25.0,15.41,0
239,57,25.0,14.97,0
268,44,66.67,56.65,1
86,35,50.0,64.98,0
103,1,57.14,65.91,1
217,51,20.0,8.85,0
195,94,60.0,51.65,1
194,78,57.14,44.15,0
237,3,42.86,48.43,1
173,14,33.33,28.28,0
201,69,50.0,60.78,1
193,66,66.67,70.91,1
12,115,60.0,47.51,0
97,20,16.67,12.66,0
37,99,33.33,44.25,0
141,46,14.29,2.2,0
177,19,33.33,24.58,1
148,53,25.0,24.87,0
91,21,60.0,58.51,1
274,58,33.33,26.75,0
241,21,60.0,59.8,1
198,82,57.14,43.07,0
259,90,50.0,35.8,0
33,93,66.67,62.72,1
92,89,75.0,82.24,1
206,82,57.14,51.06,1
98,62,60.0,63.5,1
239,3,57.14,63.74,0
82,32,0.0,0.0,0
199,69,66.67,74.84,0
220,10,80.0,67.64,1
159,84,33.33,43.25,0
55,11,60.0,47.99,1
14,106,75.0,81.75,1
191,10,20.0,33.83,0
96,62,80.0,89.53,1
205,12,50.0,60.5,0
222,12,75.0,82.4,1
277,46,42.86,39.12,0
103,76,57.14,62.18,1
212,26,50.0,50.48,1
71,51,20.0,15.62,1
68,120,14.29,27.12,1
273,11,40.0,48.62,1
193,72,33.33,45.49,0
154,82,57.14,44.56,0
37,23,33.33,19.22,1
69,45,50.0,62.4,1
300,2,50.0,58.67,0
266,28,57.14,61.68,0
281,66,0.0,0.0,0
270,40,66.67,66.02,0
240,77,33.33,38.01,1
98,16,28.57,39.19,0
76,25,14.29,10.66,1
188,8,33.33,44.63,0
260,23,33.33,43.03,1
137,53,100.0,100.0,1
97,10,0.0,0.0,0
298,119,50.0,58.06,1
161,26,25.0,32.15,1
39,63,33.33,25.31,0
188,20,33.33,25.32,1
107,77,33.33,47.77,0
38,24,0.0,0.0,0
160,32,66.67,71.16,1
205,97,0.0,0.0,0
250,15,71.43,85.07,1
25,35,33.33,40.47,0
292,36,33.33,34.05,0
295,69,33.33,47.23,1
