student_id,college_id,seniority,college_size
fresh_college_C_12,college_C,mid,medium
fresh_college_C_13,college_C,senior,medium
fresh_college_C_14,college_C,mid,medium
fresh_college_C_15,college_C,mid,medium
fresh_college_C_16,college_C,senior,medium
fresh_college_C_17,college_C,mid,medium
fresh_college_C_18,college_C,mid,medium
fresh_college_C_19,college_C,senior,medium
fresh_college_C_20,college_C,senior,medium
fresh_college_C_21,college_C,junior,medium
fresh_college_C_22,college_C,mid,medium
fresh_college_C_23,college_C,mid,medium
fresh_college_C_24,college_C,mid,medium
fresh_college_C_25,college_C,junior,medium
fresh_college_C_26,college_C,mid,medium
fresh_college_C_27,college_C,senior,medium
fresh_college_C_28,college_C,senior,medium
fresh_college_C_29,college_C,senior,medium
fresh_college_C_30,college_C,mid,medium
fresh_college_C_31,college_C,mid,medium
fresh_college_C_32,college_C,junior,medium
fresh_college_C_33,college_C,mid,medium
fresh_college_C_34,college_C,senior,medium
fresh_college_C_35,college_C,mid,medium
fresh_college_C_36,college_C,junior,medium
fresh_college_C_37,college_C,senior,medium
fresh_college_C_38,college_C,mid,medium
fresh_college_C_39,college_C,mid,medium
fresh_college_C_40,college_C,mid,medium
fresh_college_C_41,college_C,junior,medium
fresh_college_C_42,college_C,junior,medium
fresh_college_C_43,college_C,senior,medium
fresh_college_C_44,college_C,mid,medium
fresh_college_D_0,college_D,junior,small
fresh_college_D_1,college_D,mid,small
fresh_college_D_2,college_D,junior,small
fresh_college_D_3,college_D,junior,small
fresh_college_D_4,college_D,junior,small
fresh_college_D_5,college_D,mid,small
fresh_college_D_6,college_D,senior,small
fresh_college_D_7,college_D,senior,small
fresh_college_E_0,college_E,junior,large
fresh_college_E_1,college_E,senior,large
fresh_college_E_2,college_E,junior,large
fresh_college_E_3,college_E,junior,large
fresh_college_E_4,college_E,junior,large
fresh_college_E_5,college_E,senior,large
fresh_college_E_6,college_E,junior,large
fresh_college_E_7,college_E,senior,large
fresh_college_E_8,college_E,mid,large
fresh_college_E_9,college_E,senior,large
fresh_college_E_10,college_E,senior,large
fresh_college_E_11,college_E,mid,large
fresh_college_E_12,college_E,junior,large
fresh_college_E_13,college_E,junior,large
fresh_college_E_14,college_E,mid,large
fresh_college_E_15,college_E,senior,large
fresh_college_E_16,college_E,senior,large
fresh_college_E_17,college_E,senior,large
fresh_college_E_18,college_E,mid,large
fresh_college_E_19,college_E,senior,large
fresh_college_E_20,college_E,senior,large
fresh_college_E_21,college_E,junior,large
fresh_college_E_22,college_E,senior,large
fresh_college_E_23,college_E,junior,large
fresh_college_E_24,college_E,mid,large
fresh_college_E_25,college_E,senior,large
fresh_college_E_26,college_E,junior,large
fresh_college_E_27,college_E,senior,large
fresh_college_E_28,college_E,senior,large
fresh_college_E_29,college_E,senior,large
fresh_college_E_30,college_E,mid,large
fresh_college_E_31,college_E,junior,large
fresh_college_E_32,college_E,mid,large
fresh_college_E_33,college_E,senior,large
fresh_college_E_34,college_E,junior,large
fresh_college_E_35,college_E,junior,large
fresh_college_E_36,college_E,senior,large
fresh_college_E_37,college_E,mid,large
fresh_college_E_38,college_E,senior,large
fresh_college_E_39,college_E,mid,large
fresh_college_E_40,college_E,mid,large
fresh_college_E_41,college_E,junior,large
fresh_college_E_42,college_E,senior,large
fresh_college_E_43,college_E,junior,large
fresh_college_E_44,college_E,mid,large
fresh_college_E_45,college_E,junior,large
fresh_college_E_46,college_E,junior,large
fresh_college_E_47,college_E,mid,large
fresh_college_E_48,college_E,junior,large
fresh_college_E_49,college_E,junior,large
fresh_college_F_0,college_F,mid,medium
fresh_college_F_1,college_F,senior,medium
fresh_college_F_2,college_F,mid,medium
fresh_college_F_3,college_F,junior,medium
fresh_college_F_4,college_F,junior,medium
fresh_college_F_5,college_F,senior,medium
fresh_college_F_6,college_F,mid,medium
fresh_college_F_7,college_F,mid,medium
fresh_college_F_8,college_F,senior,medium
fresh_college_F_9,college_F,mid,medium
fresh_college_F_10,college_F,mid,medium
fresh_college_F_11,college_F,mid,medium
fresh_college_F_12,college_F,junior,medium
fresh_college_F_13,college_F,mid,medium
fresh_college_F_14,college_F,mid,medium
fresh_college_F_15,college_F,senior,medium
fresh_college_F_16,college_F,senior,medium
fresh_college_F_17,college_F,junior,medium
fresh_college_F_18,college_F,junior,medium
fresh_college_F_19,college_F,senior,medium
fresh_college_F_20,college_F,senior,medium
fresh_college_F_21,college_F,junior,medium
fresh_college_F_22,college_F,mid,medium
fresh_college_F_23,college_F,senior,medium
fresh_college_F_24,college_F,mid,medium
fresh_college_F_25,college_F,mid,medium
fresh_college_F_26,college_F,senior,medium
fresh_college_F_27,college_F,junior,medium
fresh_college_F_28,college_F,senior,medium
fresh_college_F_29,college_F,senior,medium
fresh_college_F_30,college_F,junior,medium
fresh_college_F_31,college_F,senior,medium
fresh_college_F_32,college_F,mid,medium
fresh_college_F_33,college_F,junior,medium
fresh_college_F_34,college_F,junior,medium
fresh_college_F_35,college_F,senior,medium
fresh_college_F_36,college_F,junior,medium
fresh_college_F_37,college_F,junior,medium
fresh_college_F_38,college_F,senior,medium
fresh_college_F_39,college_F,senior,medium
fresh_college_G_0,college_G,junior,medium
fresh_college_G_1,college_G,mid,medium
fresh_college_G_2,college_G,senior,medium
fresh_college_G_3,college_G,junior,medium
fresh_college_G_4,college_G,mid,medium
fresh_college_G_5,college_G,senior,medium
fresh_college_G_6,college_G,senior,medium
fresh_college_G_7,college_G,junior,medium
fresh_college_G_8,college_G,junior,medium
fresh_college_G_9,college_G,senior,medium
fresh_college_G_10,college_G,senior,medium
fresh_college_G_11,college_G,junior,medium
fresh_college_G_12,college_G,senior,medium
fresh_college_G_13,college_G,junior,medium
fresh_college_G_14,college_G,junior,medium
fresh_college_G_15,college_G,senior,medium
fresh_college_G_16,college_G,junior,medium
fresh_college_G_17,college_G,mid,medium
fresh_college_G_18,college_G,mid,medium
fresh_college_G_19,college_G,mid,medium
fresh_college_G_20,college_G,senior,medium
fresh_college_G_21,college_G,mid,medium
fresh_college_G_22,college_G,junior,medium
fresh_college_G_23,college_G,mid,medium
fresh_college_G_24,college_G,mid,medium
fresh_college_G_25,college_G,junior,medium
fresh_college_G_26,college_G,mid,medium
fresh_college_G_27,college_G,junior,medium
fresh_college_G_28,college_G,mid,medium
fresh_college_G_29,college_G,mid,medium
fresh_college_G_30,college_G,mid,medium
fresh_college_G_31,college_G,mid,medium
fresh_college_G_32,college_G,mid,medium
fresh_college_G_33,college_G,mid,medium
fresh_college_G_34,college_G,junior,medium
fresh_college_H_0,college_H,mid,small
fresh_college_H_1,college_H,senior,small
fresh_college_H_2,college_H,mid,small
fresh_college_H_3,college_H,mid,small
fresh_college_H_4,college_H,junior,small
fresh_college_A_alllow,college_A,junior,large
