student_id,skills,experience_years,verified_score
340,"Data Analysis,Docker,SQL,Project Management,Deep Learning,Java",8,99
341,"Agile,Communication",4,45
342,"Docker,NLP,Agile",2,93
343,"Machine Learning,AWS,NLP,Node.js,Agile",0,66
344,"Statistics,Agile",5,55
345,"Machine Learning,Node.js,AWS,Python,Java",1,93
346,"React,Data Analysis,Scrum,SQL,Agile,Deep Learning,AWS",2,88
347,"Project Management,NLP,Python,Machine Learning,Agile,Data Analysis,Communication",2,75
348,"Agile,Deep Learning,Communication,Kubernetes,Git,Data Analysis,SQL",0,55
349,"NLP,Machine Learning,Communication,Project Management,Kubernetes",8,41
350,"Agile,AWS,Data Analysis,Kubernetes,C++,Python,Project Management",5,55
351,"Deep Learning,Java,Machine Learning,Node.js,SQL,Docker",8,72
352,"Scrum,Python,Statistics,Project Management,Git,React",6,63
353,"Python,Node.js,Machine Learning,Scrum",3,86
354,"Communication,React,Data Analysis,SQL,Java,Docker,NLP",10,51
355,"NLP,Project Management,Java,Data Analysis,SQL,Node.js,Statistics",7,42
356,"C++,SQL,Git,Scrum",5,99
357,"Agile,Statistics,Project Management,Docker",0,88
358,"C++,Kubernetes,Node.js,SQL,Deep Learning,React,Java",4,47
359,"Deep Learning,Statistics,NLP,Scrum",5,51
360,"Project Management,Node.js,Agile,Docker,Statistics",1,86
361,"Machine Learning,Deep Learning,Java,Kubernetes,Agile",1,45
362,"Kubernetes,Git,NLP,Deep Learning",2,84
363,"Node.js,NLP,SQL,Git,Kubernetes",6,57
364,"SQL,Machine Learning,Statistics,Node.js,Docker,Agile,Project Management",10,50
365,"Data Analysis,NLP",0,48
366,"AWS,Node.js",5,64
367,"SQL,Data Analysis,NLP,Node.js,Java,AWS",1,76
368,"Agile,Node.js,Statistics",5,81
369,"AWS,Communication,Python,Java",7,73
370,"Scrum,Communication,Docker,Agile,Node.js",7,53
371,"Kubernetes,Project Management,C++,Communication,Machine Learning,Deep Learning",1,68
372,"NLP,Machine Learning,React",10,62
373,"Machine Learning,Scrum,Kubernetes,Agile,Deep Learning,Git,Node.js",10,51
374,"Agile,AWS,Communication,C++",2,55
375,"Python,Node.js,Scrum,NLP,Statistics",8,48
376,"Machine Learning,Git,Kubernetes,Statistics,Node.js,NLP",7,73
377,"Deep Learning,Machine Learning,Data Analysis,React,Project Management",1,68
378,"Agile,Node.js,Data Analysis,Java,Statistics",2,67
379,"SQL,Communication,Agile,Data Analysis,Project Management,Machine Learning",2,60
380,"AWS,Node.js,Agile,Kubernetes,Deep Learning,SQL,Data Analysis",3,80
381,"Docker,Data Analysis,Kubernetes,Machine Learning,Git,React",2,77
382,"Data Analysis,Java,React,SQL,Deep Learning,NLP",0,45
383,"Git,Docker",10,53
384,"Deep Learning,Python,Project Management,Kubernetes,React,Data Analysis",7,55
385,"Statistics,Kubernetes,NLP,Machine Learning,Node.js,Python,Project Management",7,66
386,"NLP,C++,React,Data Analysis,Java",5,86
387,"Statistics,Data Analysis,Node.js,Communication",5,55
388,"Communication,Docker,NLP,AWS,Machine Learning",1,43
389,"Statistics,Deep Learning,AWS,Java",5,99
390,"React,C++,Java,Project Management,Docker,AWS",7,96
391,"Project Management,Python,Machine Learning,Statistics",8,69
392,"C++,Node.js,SQL",0,58
393,"Project Management,Kubernetes,Python,Communication,C++",2,96
394,"Node.js,Statistics,Git,SQL",6,43
395,"Scrum,C++,Node.js,Kubernetes,SQL,Git",8,68
396,"Docker,Communication,Data Analysis,Scrum,C++,Java",5,75
397,"Data Analysis,C++,Agile,Statistics",8,42
398,"SQL,Data Analysis",5,91
399,"Agile,NLP,Data Analysis,Git,Java",9,60
400,"Statistics,Kubernetes,React",8,93
401,"Scrum,Project Management,Kubernetes,Git,Deep Learning,Python",5,61
402,"Communication,Deep Learning,Kubernetes,Python,Agile,AWS,Data Analysis",10,90
403,"Git,AWS,SQL,Project Management,Machine Learning,Docker",10,86
404,"Statistics,Data Analysis,AWS,SQL,Kubernetes,Node.js",1,52
405,"NLP,React",6,49
406,"C++,Deep Learning,Agile,Project Management,Scrum",0,85
407,"Agile,C++,React",10,70
408,"Statistics,React,Java,NLP,Project Management,Docker",5,74
409,"Docker,Project Management,C++,AWS",4,75
410,"AWS,Kubernetes,Scrum,C++",7,60
411,"Node.js,Scrum,Docker,Kubernetes,SQL",9,83
412,"Statistics,Git,Node.js,Data Analysis,Project Management,Python",4,85
413,"Node.js,NLP",10,56
414,"Project Management,C++,Scrum,Docker,NLP,Git,Node.js",4,48
415,"Git,AWS",3,43
416,"Agile,AWS,Scrum,SQL,Project Management,C++,Java",7,46
417,"Data Analysis,Python,Java,Deep Learning,React,AWS,Project Management",10,52
418,"React,Kubernetes,SQL,Machine Learning",10,76
419,"Scrum,SQL,Java",6,96
420,"SQL,Statistics,Project Management",2,99
421,"Kubernetes,SQL,Python,Git,Project Management,NLP,Scrum",5,58
422,"Scrum,Agile,Project Management,Data Analysis,Deep Learning",8,69
423,"C++,Communication,React,Java",7,81
424,"Java,Python,React,Kubernetes",9,83
425,"Java,Statistics,Deep Learning",8,60
426,"Statistics,Communication",2,48
427,"React,AWS,Python,Docker,C++",3,68
428,"React,Kubernetes,Python,Docker",10,63
429,"AWS,SQL,Communication,NLP,Data Analysis,Machine Learning,C++",10,72
430,"Kubernetes,Communication,Git,Node.js,Agile,Scrum,Deep Learning",2,70
431,"NLP,Node.js,Deep Learning",8,98
432,"Scrum,C++,AWS,Machine Learning,Docker",7,73
433,"Node.js,Machine Learning,Communication,SQL,Deep Learning,Docker,NLP",3,76
434,"Data Analysis,Java,React,NLP,SQL,Agile",3,85
435,"Project Management,Machine Learning,Agile,NLP,Statistics,Python",7,48
436,"Deep Learning,NLP,SQL,Scrum,React,Statistics",4,86
437,"Statistics,Docker",0,87
438,"Git,Machine Learning,SQL",6,62
439,"Machine Learning,Scrum,SQL,Git,NLP,AWS,Python",4,66
440,"Data Analysis,Deep Learning,Node.js",6,68
441,"Statistics,Machine Learning,Data Analysis,Node.js,SQL",2,74
442,"Agile,Data Analysis,AWS,Python,Statistics",0,59
443,"Scrum,Deep Learning,Statistics,AWS,Communication",7,62
444,"Docker,C++,Communication",0,91
445,"Deep Learning,Python,AWS,C++,SQL,NLP,Kubernetes",0,68
446,"SQL,AWS,Git,Statistics,Scrum,Communication",8,53
447,"Data Analysis,Agile",4,54
448,"Git,React,Scrum,AWS,Data Analysis,Machine Learning,Agile",8,54
449,"Kubernetes,Docker,SQL,Java,React",10,67
450,"Project Management,SQL,Node.js,Statistics,Git,Docker",5,84
451,"Deep Learning,Data Analysis,Kubernetes,Statistics,Machine Learning",8,70
452,"AWS,Kubernetes,Data Analysis",7,98
453,"Scrum,Deep Learning",6,75
454,"Data Analysis,Statistics,AWS,Docker,Communication,Java",10,45
455,"Node.js,Machine Learning,C++,SQL,Data Analysis",6,83
456,"SQL,Machine Learning,C++,Agile,AWS,Communication",5,59
457,"C++,Git",1,87
458,"AWS,C++,Statistics,Git,Docker",5,89
459,"Statistics,NLP,Node.js,Kubernetes",4,63
460,"Project Management,NLP,Communication,Git,Statistics,Deep Learning",5,98
461,"Node.js,React,Deep Learning",0,76
462,"Data Analysis,Python,Docker",8,99
463,"Git,Deep Learning,Kubernetes,Data Analysis,Communication,Java",3,64
464,"AWS,Project Management,React,Docker,Statistics,Deep Learning",7,86
465,"Project Management,NLP,Java,Node.js,Machine Learning,Scrum,Git",8,71
466,"Scrum,SQL,Agile",0,93
467,"SQL,Python",6,48
468,"AWS,Machine Learning,Data Analysis,Python,Communication,Docker,Git",5,43
469,"Project Management,Git,Python,Agile,Docker,NLP",6,40
470,"Agile,Docker",8,58
471,"Agile,Deep Learning",2,46
472,"Agile,Data Analysis",3,52
473,"Agile,Docker,Node.js,Scrum,Statistics,C++",1,63
474,"NLP,AWS,Scrum,Kubernetes,React",1,81
475,"SQL,Machine Learning,Statistics,Agile,C++,Docker,AWS",0,80
476,"Java,Machine Learning",7,94
477,"React,Communication,Agile,SQL,Scrum",3,97
478,"Git,Project Management,Docker,SQL,NLP,Scrum,React",4,97
479,"Git,SQL,Java,React,Python,Communication",9,49
480,"Statistics,Machine Learning,Kubernetes,Java,Agile,Communication,NLP",6,83
481,"React,Statistics,Data Analysis,Machine Learning,Docker,Node.js",5,43
482,"Deep Learning,AWS",1,61
483,"Statistics,React,Python,Docker,Git,AWS",7,54
484,"Scrum,Statistics,Deep Learning,Java",10,77
485,"Statistics,Machine Learning,Kubernetes,AWS,Node.js,SQL,Deep Learning",4,49
486,"Data Analysis,Statistics,React,Node.js,SQL",1,40
487,"NLP,Node.js,Docker,Communication",2,45
488,"Deep Learning,NLP,Agile",6,46
489,"Machine Learning,Node.js",8,45
490,"React,Statistics,Python,Kubernetes,C++,NLP",1,86
491,"AWS,Agile,Java,Statistics,Machine Learning,NLP",4,59
492,"Project Management,Data Analysis,Machine Learning,Java",6,57
493,"Kubernetes,Project Management,Machine Learning,Node.js,Data Analysis",3,86
494,"Project Management,C++,NLP,Communication,Machine Learning,Data Analysis,Python",6,61
495,"Statistics,React,NLP,Scrum,C++,Deep Learning",10,78
496,"Kubernetes,React,C++",7,60
497,"Statistics,React,Kubernetes",10,71
498,"AWS,React,Statistics,Docker,Deep Learning,Agile",6,63
499,"Git,C++",9,74
500,"Scrum,Python,NLP",3,68
501,"Machine Learning,Deep Learning,Project Management,Data Analysis",10,59
502,"Docker,Data Analysis,Deep Learning",6,44
503,"Project Management,Statistics,Agile,Deep Learning,Docker",0,90
504,"Scrum,Machine Learning,Communication,AWS",10,82
505,"Java,SQL,Statistics,React",6,46
506,"Communication,Docker",3,72
507,"Agile,Scrum,AWS,NLP,Java,C++,Git",10,77
508,"Agile,Data Analysis,Node.js,Python,AWS,SQL,Scrum",6,98
509,"Communication,Data Analysis",5,59
510,"NLP,C++,Agile,Project Management",5,70
511,"NLP,Git",5,44
512,"SQL,Communication,Python,React",10,46
513,"Java,AWS,Agile,Git,Docker,Machine Learning,Project Management",8,67
514,"AWS,Statistics,Java,Agile,React",10,67
515,"Python,C++,NLP,Deep Learning,Scrum",0,85
516,"C++,Docker,Machine Learning",9,46
517,"Java,Node.js,React,C++,AWS,SQL",4,82
518,"Agile,React,Statistics,Git,Kubernetes",1,62
519,"NLP,Java,Kubernetes,Machine Learning",10,48
520,"Communication,AWS,Kubernetes,Git",2,63
521,"Data Analysis,Agile,Statistics,Deep Learning,Kubernetes,Machine Learning,NLP",6,67
522,"Project Management,Scrum,Java",8,50
523,"Kubernetes,Data Analysis,Java,React,Deep Learning",7,79
524,"Node.js,Python",7,48
525,"Statistics,Scrum,Agile",10,71
526,"Project Management,Deep Learning,NLP,Git,Machine Learning",1,76
527,"AWS,Kubernetes",0,57
528,"Scrum,Kubernetes,Java",7,76
529,"Project Management,Scrum,Agile,Communication,Kubernetes,SQL,Data Analysis",8,92
530,"Scrum,SQL,NLP,C++",6,46
531,"AWS,Kubernetes,SQL,NLP,Data Analysis,Java,Agile",7,95
532,"AWS,C++",9,84
533,"Deep Learning,Java,Data Analysis,C++",3,91
534,"Git,Node.js",8,57
535,"Scrum,Java,React,Kubernetes,Data Analysis,Project Management",4,100
536,"Communication,Data Analysis,Deep Learning,SQL,Scrum,Agile",10,48
537,"Data Analysis,AWS,Git,React,Deep Learning,Communication,Statistics",10,65
538,"Data Analysis,Docker,Deep Learning,Statistics,AWS",1,80
539,"Statistics,Agile",4,84
540,"NLP,Project Management,React,Python",1,86
541,"Node.js,Machine Learning,Statistics,C++,Project Management",3,71
542,"React,Kubernetes,Git,Data Analysis",9,94
543,"React,SQL,Scrum,Communication,Git",7,41
544,"Java,NLP",7,40
545,"C++,Data Analysis,Kubernetes,Java,Deep Learning",4,45
546,"Node.js,Docker,Machine Learning,Git,React,NLP,Agile",0,65
547,"Kubernetes,AWS,Deep Learning,Machine Learning,Node.js,SQL,Python",3,70
548,"Data Analysis,AWS",8,83
549,"Python,Git,React,Communication,Deep Learning",6,84
550,"Project Management,Machine Learning,AWS",6,45
551,"Communication,Git,React,Node.js,NLP,Data Analysis,Machine Learning",6,89
552,"Data Analysis,Machine Learning,Agile",9,40
553,"Java,NLP,Node.js,C++,React,Agile",2,98
554,"NLP,C++,Machine Learning,Communication,Agile",1,77
555,"Statistics,Node.js,Deep Learning,React,Git,Machine Learning,Communication",4,81
556,"AWS,Scrum",9,78
557,"Kubernetes,Python,Git,C++,Docker,Agile,NLP",3,87
558,"Kubernetes,SQL,AWS,Project Management,C++",1,55
559,"Machine Learning,Agile,Python,Node.js,NLP",5,48
560,"Git,Deep Learning,Node.js,Java,Statistics",7,89
561,"Python,Machine Learning",0,56
562,"SQL,Git,Statistics",8,58
563,"Agile,Deep Learning,Scrum,Statistics,SQL,React,Docker",8,79
564,"Docker,Machine Learning,Kubernetes",1,72
565,"Data Analysis,Scrum,React",6,77
566,"Machine Learning,Kubernetes,Deep Learning,AWS,Python,Communication,SQL",6,47
567,"SQL,Kubernetes,Java,Communication,Python",2,84
568,"Java,Project Management",5,73
569,"Docker,Java,Node.js,Data Analysis,Agile,Statistics",4,86
570,"Python,React",6,57
571,"Machine Learning,Docker,Git,Project Management,AWS,Scrum",5,43
572,"Git,Java,Node.js,Scrum,Data Analysis",1,97
573,"Communication,AWS,Agile,Python,Project Management,Deep Learning",0,55
574,"Project Management,Node.js",6,98
575,"Java,SQL,Deep Learning",3,60
576,"Deep Learning,React,Docker",1,76
577,"Communication,Agile,SQL,Java",3,91
578,"SQL,Statistics,Machine Learning,NLP,Deep Learning,Data Analysis",4,60
579,"Scrum,NLP",0,63
580,"Kubernetes,Git,AWS",7,63
581,"Project Management,C++,AWS,Data Analysis,Python,Scrum",0,54
582,"Node.js,Python,React,Scrum,Statistics,Agile",6,94
583,"Kubernetes,Communication,C++,AWS,Agile,Project Management,Python",2,85
584,"Machine Learning,SQL,AWS,Deep Learning",5,69
585,"Machine Learning,Communication,Agile,Data Analysis,React,Deep Learning,C++",1,77
586,"SQL,Deep Learning,Data Analysis,AWS,Agile,NLP",5,99
587,"React,Git,NLP,Docker,Communication",1,100
588,"Data Analysis,Communication,Git",1,50
589,"NLP,React,Deep Learning,Communication,Docker",5,89
590,"NLP,Kubernetes,Git",4,94
591,"Machine Learning,Java",10,59
592,"SQL,C++,React,Data Analysis,Git,Node.js,Communication",5,65
593,"SQL,Kubernetes,Docker,Java,Python,C++",7,75
594,"Scrum,AWS,Communication,NLP,SQL,Statistics,Deep Learning",2,47
595,"SQL,AWS",2,52
596,"Node.js,Machine Learning,Docker,Scrum,Python",1,52
597,"NLP,Data Analysis,Machine Learning,React,SQL,Python,AWS",0,50
