student_id,assessment_id,subject,difficulty_level,student_skill_level,time_spent_minutes,study_sessions_count,study_hours_mean,study_hours_variance,days_since_last_study,previous_scores_avg,previous_scores_trend,questions_attempted,questions_correct,assessment_score,passed
9684,566,Mathematics,1,6,55.0,6,1.85,0.2611,2.7,60.19,-1.2418,22,15,79.1,1
8208,404,English,4,8,15.2,7,2.255,0.3292,17.6,75.7,1.2257,21,12,64.9,1
6276,243,Computer Science,5,6,78.7,4,2.126,0.1212,6.7,63.96,-0.9754,19,8,60.4,1
3062,210,Mathematics,2,10,53.2,9,2.809,0.3348,1.1,79.89,2.1843,25,18,100.0,1
1064,331,History,4,8,69.3,4,1.968,0.0964,1.7,70.91,-0.6157,24,14,88.0,1
9006,790,Computer Science,5,4,44.4,6,1.559,0.1754,14.8,53.16,-2.5179,48,18,38.9,0
3568,683,Computer Science,1,7,90.8,7,1.89,0.1057,1.2,66.18,1.8167,39,26,100.0,1
6463,821,English,4,3,71.1,4,1.857,0.4087,2.9,50.79,0.1846,50,16,44.3,0
3027,831,Computer Science,5,1,114.2,6,1.301,0.0919,2.2,49.19,0.4117,42,10,36.9,0
3695,691,Science,4,9,77.8,2,2.448,0.012,3.4,73.85,-2.3385,30,20,81.7,1
6258,599,Mathematics,1,9,54.2,6,2.147,0.0428,1.3,,1.6088,22,17,100.0,1
6618,694,Science,4,6,38.4,4,2.198,0.0992,5.5,63.88,2.3654,43,24,65.2,1
7736,653,English,4,2,24.6,3,1.444,0.0558,1.3,43.53,-0.649,11,3,33.0,0
1391,372,English,5,8,56.8,3,,0.0303,4.6,79.66,3.4643,28,16,76.1,1
6892,802,Mathematics,3,10,57.8,5,2.642,0.3978,2.2,78.51,-0.6613,36,21,79.4,1
4561,272,Computer Science,4,6,99.8,3,2.313,0.2595,1.4,65.1,-0.4333,16,9,58.1,0
7184,106,History,3,7,49.7,4,1.79,0.4992,5.9,66.57,1.0647,49,32,74.4,1
4099,254,English,2,1,85.4,3,1.584,0.0501,16.8,50.37,0.9751,10,4,23.7,0
7278,621,Mathematics,4,3,57.3,6,1.693,0.3127,10.2,51.97,4.2468,13,4,51.5,0
9392,645,History,3,1,107.3,9,1.637,0.1776,0.5,42.83,-0.7535,25,9,48.0,0
4104,647,Computer Science,2,10,20.9,5,2.286,0.2078,3.0,76.67,-1.5755,36,31,99.2,1
8215,617,English,5,1,93.8,6,1.339,0.0409,5.9,42.93,0.8207,16,2,37.5,0
3454,314,Mathematics,4,1,47.5,4,1.335,0.076,4.1,48.59,1.5037,27,8,42.2,0
9996,233,Mathematics,5,4,82.3,3,1.89,0.1111,6.5,60.07,1.2301,10,3,45.2,0
3731,384,Mathematics,2,7,99.3,9,1.943,0.191,18.5,65.65,5.6974,10,5,82.6,1
9154,225,English,5,7,51.2,3,1.988,0.086,2.1,70.32,0.3751,21,9,77.8,1
6056,538,History,5,5,32.6,9,2.083,0.1849,7.4,60.35,-1.3957,20,8,72.6,1
9110,948,Mathematics,1,6,30.2,4,2.322,0.2103,0.5,63.02,-0.9966,15,10,70.5,1
4840,785,Computer Science,2,2,38.7,8,1.434,0.1057,10.2,42.82,0.2902,32,14,56.8,0
2028,251,Mathematics,5,5,10.0,3,1.639,0.1973,7.5,57.69,-19.7185,16,4,46.7,0
8385,430,History,3,7,54.3,3,2.079,0.0738,3.7,70.87,0.1396,45,28,64.4,1
1502,637,English,2,9,76.2,5,2.285,0.1898,8.6,74.11,7.3057,20,15,86.1,1
7910,482,Mathematics,1,6,66.1,8,1.922,0.2171,5.5,62.66,1.1941,10,7,100.0,1
7938,214,Mathematics,4,10,50.5,3,2.634,0.153,4.0,78.86,-0.8016,31,24,86.6,1
5488,993,Computer Science,5,4,37.8,4,1.876,0.0586,14.6,52.64,2.451,40,14,42.4,0
1206,581,Computer Science,3,3,45.7,8,1.858,0.1812,0.7,54.95,1.0461,23,10,65.2,1
6134,383,Mathematics,1,9,67.1,3,1.938,0.6175,24.8,75.76,3.101,19,13,82.3,1
6977,998,Mathematics,2,7,80.6,3,1.949,0.0322,0.8,68.3,-0.6391,45,32,89.9,1
8721,174,Computer Science,5,6,22.6,2,1.989,0.0027,3.3,62.22,0.7092,42,20,72.7,1
8035,265,History,1,7,63.9,7,1.919,0.2378,1.3,66.55,-0.5675,50,40,97.2,1
2484,288,Science,1,8,66.6,2,2.178,0.0044,1.6,66.13,-1.8596,11,8,93.2,1
8858,177,Science,3,5,36.4,6,2.134,0.1122,5.0,69.27,1.157,24,13,71.1,1
1863,701,Mathematics,4,3,73.7,5,1.704,0.1489,0.2,56.46,2.5647,21,5,46.2,0
3790,787,Computer Science,4,3,83.3,6,1.786,0.1907,14.1,52.96,-3.5125,17,5,42.5,0
8408,120,English,4,2,45.7,2,1.611,0.0544,1.6,48.41,-0.3257,50,12,41.0,0
9755,665,English,2,8,38.3,10,2.612,0.4271,1.6,69.24,-1.9217,47,27,95.0,1
6116,283,Science,1,1,113.9,3,1.582,0.0578,10.0,42.7,-2.738,27,12,46.6,0
7019,970,History,2,8,80.0,6,2.308,0.0634,7.2,70.93,-4.9767,22,15,94.4,1
2757,321,Science,1,3,64.5,5,1.794,0.2068,5.6,52.17,0.3316,36,21,52.5,0
8574,926,Mathematics,3,9,43.1,7,2.358,0.1857,0.8,73.86,-3.2056,37,25,99.9,1
7374,427,History,3,2,40.7,6,2.036,0.2158,7.3,52.61,3.7772,12,3,26.3,0
7892,278,English,2,10,74.3,7,2.696,0.1116,2.2,76.8,-0.9661,39,31,100.0,1
2678,887,Computer Science,2,9,39.4,4,2.175,0.3983,25.5,,-2.268,34,28,99.8,1
4242,211,Computer Science,3,6,38.4,7,1.822,0.2507,5.6,61.06,-1.86,46,29,81.5,1
5636,835,Mathematics,5,1,56.6,2,2.596,0.1203,9.0,38.7,0.8242,36,5,20.9,0
2059,825,Science,4,5,76.0,6,1.92,0.316,6.6,53.96,-1.1727,24,11,50.4,0
7668,158,Mathematics,4,10,104.1,7,2.574,0.2308,,83.28,-4.3765,47,39,100.0,1
4157,426,Computer Science,3,9,66.0,5,2.369,0.1314,6.3,73.63,-4.5431,20,14,75.8,1
6915,720,English,4,6,39.5,4,1.51,0.0374,4.6,65.5,3.5175,41,20,61.4,1
3693,996,Computer Science,5,7,53.3,5,1.977,0.093,0.3,69.13,0.3175,16,9,73.2,1
4627,768,History,5,4,92.6,2,1.782,0.1158,2.1,57.31,7.1582,26,9,41.6,0
6450,290,Computer Science,1,1,90.1,8,1.61,0.0945,1.9,39.45,-0.6925,18,7,55.4,0
2663,299,Computer Science,2,5,91.2,5,1.355,0.2154,6.3,58.34,-0.1135,48,26,66.3,1
6592,411,History,4,2,85.3,6,1.713,0.1873,4.3,46.31,1.9142,39,10,41.9,0
8392,807,Science,5,8,107.9,5,2.107,0.1117,4.7,72.16,2.8389,43,22,51.9,0
2306,134,Computer Science,2,4,65.2,6,1.892,0.0849,9.4,65.16,-1.0962,12,6,90.5,1
7776,478,Mathematics,2,1,78.8,8,1.918,0.2531,3.7,44.26,0.0106,38,18,60.7,1
6864,486,Computer Science,1,10,39.8,7,2.797,0.341,1.2,79.27,-0.1916,13,11,100.0,1
8526,857,Mathematics,2,7,65.8,1,3.101,0.0,0.1,61.11,-12.9687,33,24,84.6,1
9901,336,History,2,2,66.8,4,1.704,0.2207,0.9,47.65,-3.7917,38,18,74.8,1
6575,715,Computer Science,3,3,79.7,7,1.824,0.039,0.2,54.59,1.8423,27,11,64.3,1
6530,618,History,1,9,44.4,7,2.497,0.1828,1.4,79.97,3.4184,46,35,100.0,1
5413,382,History,1,9,20.9,2,2.296,0.0751,5.0,75.69,-0.2879,48,42,100.0,1
4748,100,Science,4,2,45.5,3,1.5,0.1138,0.8,46.33,-0.3536,26,9,42.8,0
1663,830,Computer Science,2,3,86.5,9,1.546,0.3957,0.4,50.78,0.174,48,17,60.6,1
2998,563,Mathematics,4,9,54.7,7,2.403,0.0669,17.7,81.96,0.662,12,7,90.1,1
8994,329,Mathematics,5,1,71.7,8,1.775,0.3559,28.9,46.97,-0.1217,24,5,29.2,0
2495,271,Computer Science,2,2,45.0,4,1.661,0.172,5.1,48.42,-5.9723,19,9,63.5,1
4304,186,Science,5,2,86.0,2,1.321,0.0052,0.6,49.99,-1.8109,35,11,24.6,0
4763,652,Science,3,10,57.4,6,2.502,0.3225,8.6,76.74,-7.6626,49,37,85.3,1
6232,222,Science,2,3,57.0,2,1.782,0.1034,3.9,50.68,3.6166,24,9,52.7,0
2853,942,Mathematics,4,10,93.2,4,2.231,0.0779,,84.24,-0.0108,45,25,95.1,1
7585,397,History,4,3,99.4,9,1.967,0.2104,4.3,47.06,-1.4312,21,11,48.1,0
2291,984,Science,2,10,93.7,4,2.951,0.0087,0.2,80.07,-4.1815,37,31,100.0,1
4581,789,Mathematics,4,2,51.8,3,2.129,0.0266,18.0,46.56,-0.3024,27,8,25.1,0
8554,674,Mathematics,2,8,45.1,4,2.351,0.0146,8.7,72.88,-1.5576,12,8,94.3,1
8280,583,History,1,8,37.2,2,3.0,0.054,1.5,73.2,0.6531,35,30,97.9,1
2636,264,Computer Science,4,8,22.8,7,2.175,0.094,2.7,70.52,-0.5295,36,19,86.4,1
4696,798,Computer Science,2,2,36.7,7,1.524,0.1401,2.5,50.61,4.6365,25,13,62.9,1
1698,482,Science,2,9,38.8,2,2.298,0.0171,9.9,79.81,14.7842,29,25,91.3,1
5737,308,Science,4,7,28.5,4,2.197,0.569,2.2,66.23,-2.651,36,21,58.0,0
1854,838,History,1,5,22.1,4,1.791,0.004,0.2,64.18,-1.307,28,19,93.6,1
9164,531,Science,4,7,27.4,5,2.429,0.2722,1.2,68.86,1.7403,13,6,69.9,1
6855,488,History,2,8,58.7,6,2.176,0.2364,1.2,70.38,-0.6759,48,35,99.9,1
8392,659,Mathematics,1,9,71.0,6,2.41,0.2565,14.9,77.28,-4.0919,48,35,97.1,1
7528,323,Science,5,2,68.8,8,1.685,0.1117,12.9,49.2,1.3807,46,9,30.2,0
6249,102,Mathematics,3,6,47.0,4,2.444,0.3907,1.8,61.4,4.798,42,18,75.6,1
6172,471,English,4,9,51.3,1,3.071,0.0,,72.14,-1.8135,10,5,68.0,1
2707,786,History,2,6,69.2,4,2.048,0.2404,3.6,59.91,-3.8184,11,6,68.4,1
6791,545,English,1,2,,6,1.774,0.3143,8.0,,5.8172,41,16,51.4,0
6535,710,Science,1,1,74.0,3,1.289,0.1288,1.6,49.27,0.2715,34,15,54.6,0
5931,215,Mathematics,5,3,35.9,4,1.709,0.2446,2.9,52.32,-2.0821,24,8,47.1,0
4510,369,Science,4,5,103.3,1,2.894,0.0,0.9,59.07,-3.3519,47,23,56.9,0
1202,546,English,1,7,75.8,7,2.068,0.1117,2.0,71.55,-3.4051,43,31,89.0,1
5218,467,Science,5,10,78.6,2,2.716,0.0052,7.1,79.44,-1.8915,23,17,86.1,1
9958,352,Computer Science,2,10,33.5,9,2.527,0.2905,2.8,85.47,-8.0228,44,38,100.0,1
5389,416,English,5,3,32.9,6,1.866,0.2231,3.0,53.46,4.0505,48,14,40.7,0
3327,514,Science,4,9,42.6,5,2.532,0.274,7.8,76.06,-0.4104,18,13,76.6,1
9004,194,Mathematics,5,10,78.4,10,2.375,0.1126,7.2,78.19,0.9736,47,31,89.2,1
3931,884,Science,1,4,31.1,7,1.818,0.0463,1.0,54.04,-2.0411,40,24,82.1,1
8777,991,Mathematics,1,10,71.2,5,2.658,0.1146,2.7,77.16,-2.8789,25,19,100.0,1
1197,123,Computer Science,3,2,96.5,4,1.456,0.0233,9.4,44.85,2.1987,50,16,44.2,0
8125,727,Science,5,3,42.3,11,1.904,0.4156,3.1,51.97,-5.9603,43,14,61.8,1
2930,762,Computer Science,2,5,36.6,4,1.38,0.1791,5.4,57.25,1.2693,32,18,66.1,1
7287,949,English,4,3,41.7,3,1.768,0.0552,1.8,54.12,1.5228,27,12,35.8,0
9800,149,Mathematics,3,5,55.9,1,2.447,0.0,0.3,63.47,0.3209,19,10,68.2,1
5282,601,English,5,4,83.8,7,,0.1925,0.9,48.73,-9.0468,18,7,47.8,0
3511,817,Mathematics,2,10,85.3,5,2.67,0.3559,2.6,76.02,-1.1893,30,22,100.0,1
1659,597,Computer Science,3,3,80.0,7,1.985,0.1465,2.2,52.43,-2.4055,28,15,64.8,1
3811,434,History,1,6,11.4,5,2.185,0.4218,11.3,66.52,-3.9478,20,16,75.3,1
8098,178,Science,4,8,55.3,2,2.474,0.0019,3.9,73.05,0.3299,16,10,69.3,1
7546,681,Computer Science,5,4,37.9,5,1.937,0.048,4.9,56.68,2.5896,13,3,40.7,0
2986,126,Mathematics,2,9,70.1,9,2.688,0.1855,5.8,78.47,1.7109,27,18,100.0,1
9338,370,Mathematics,1,6,82.5,11,2.055,0.0849,3.8,65.27,1.1166,26,16,88.4,1
3911,661,Mathematics,3,5,47.5,6,2.064,0.2039,7.3,62.53,1.969,38,18,66.2,1
2734,903,Mathematics,4,3,108.0,6,1.62,0.2057,7.6,49.23,-0.1999,37,16,31.8,0
2843,346,Science,3,5,37.3,3,2.178,0.0614,2.2,60.49,7.1614,44,27,66.4,1
9680,875,English,3,5,73.3,8,1.9,0.2138,0.4,64.78,3.0678,37,16,80.8,1
3976,690,History,2,4,113.6,3,1.748,0.257,21.5,57.7,-1.7889,50,24,66.6,1
2959,486,Science,1,6,83.0,8,2.047,0.2501,5.1,64.46,-0.4872,13,9,94.5,1
6759,801,Mathematics,5,3,74.9,7,2.026,0.1303,6.2,51.47,7.0112,21,6,43.3,0
7694,658,Science,2,10,55.7,6,2.427,0.0895,7.1,81.78,2.2304,36,33,100.0,1
3385,460,Computer Science,4,1,75.3,6,1.71,0.1816,4.7,42.08,-2.0387,39,6,35.9,0
5736,965,Mathematics,3,7,46.2,3,2.177,0.2105,3.2,68.91,1.1197,13,9,71.2,1
2802,587,History,4,7,88.2,7,2.095,0.181,20.9,65.78,-0.811,46,24,65.9,1
9155,451,Mathematics,2,4,41.9,4,2.127,0.0222,6.5,54.94,-0.5307,20,13,66.3,1
9120,800,History,2,9,53.8,4,1.94,0.0181,9.3,71.16,-4.9949,10,8,87.8,1
7616,355,History,5,2,39.0,10,1.606,0.4903,2.9,49.32,0.4712,36,11,51.9,0
6534,321,English,3,1,51.4,6,1.617,0.2191,11.8,40.5,-4.3822,45,10,27.0,0
5061,983,English,2,3,48.6,2,1.453,0.0006,6.6,53.83,-0.1613,23,8,56.0,0
1262,852,Science,4,7,10.0,4,1.771,0.0009,6.9,69.44,-0.2635,32,16,74.6,1
7287,880,Science,5,9,60.8,3,2.25,0.1707,0.5,75.03,-2.957,35,19,74.1,1
9815,100,History,4,2,47.9,9,1.735,0.1377,4.8,50.17,3.6942,24,7,49.5,0
3049,645,Mathematics,3,6,,6,1.936,0.0643,2.0,57.22,-3.058,12,5,78.2,1
6423,545,Computer Science,5,3,42.9,3,1.865,0.0262,5.5,48.57,-0.5153,40,15,51.0,0
5548,178,Computer Science,5,5,69.0,7,1.805,0.2644,4.2,61.18,2.8505,33,14,48.1,0
4108,335,Mathematics,5,9,15.7,5,2.519,0.1387,0.6,75.41,-4.4143,42,18,77.1,1
8158,433,Mathematics,1,3,56.0,7,1.765,0.2072,3.8,50.67,0.7973,36,18,72.1,1
8400,988,English,5,1,88.6,7,1.844,0.1755,3.0,44.87,1.6965,34,8,36.7,0
4170,448,Computer Science,4,5,49.2,2,2.292,0.0159,7.5,60.96,1.8701,48,20,61.6,1
3255,197,History,4,1,96.6,7,1.644,0.142,3.5,46.15,1.7258,25,4,27.5,0
2154,181,Science,3,8,86.9,3,2.16,0.1082,3.3,70.52,-0.8076,15,8,81.9,1
5499,601,English,2,7,,7,2.411,0.3359,6.4,64.35,-0.4534,19,13,89.2,1
7295,576,Computer Science,2,2,59.4,5,1.972,0.2915,5.5,48.21,-2.4836,35,11,48.4,0
7197,803,Mathematics,1,9,60.2,8,2.385,0.0741,24.1,76.87,1.3773,15,12,100.0,1
2648,864,Computer Science,5,5,72.2,3,2.324,0.0151,2.2,56.57,-1.716,30,10,52.4,0
6539,649,History,1,7,110.0,7,2.452,0.4872,5.8,65.43,-0.3877,31,24,93.9,1
5199,113,English,3,4,72.5,4,1.773,0.4182,0.9,68.48,2.4134,18,9,45.5,0
9445,491,Mathematics,3,1,97.2,3,1.486,0.2721,8.2,41.9,-0.5385,49,23,51.0,0
3557,446,History,2,8,31.0,3,2.348,0.0717,7.7,79.7,-6.1114,28,19,79.5,1
6592,409,Science,3,1,46.5,2,1.441,0.0481,6.5,41.58,0.4945,47,19,38.9,0
1098,485,English,5,3,60.4,9,2.06,0.1677,0.6,52.92,-0.5399,37,13,52.5,0
3200,308,History,4,6,93.6,10,2.189,0.1634,21.9,59.59,2.9159,22,9,69.4,1
3961,456,History,3,8,15.2,7,2.112,0.1809,14.3,74.24,-2.1043,32,26,81.0,1
5973,700,Mathematics,1,8,135.4,7,2.422,0.2481,2.3,73.43,2.4551,38,30,100.0,1
5433,667,Science,5,2,60.0,4,1.95,0.0488,4.3,45.81,0.4844,21,8,48.7,0
3869,193,History,3,9,89.4,4,2.31,0.31,11.0,78.63,0.286,33,21,84.5,1
1956,192,English,3,4,59.6,5,1.763,0.2387,3.4,55.68,0.6977,33,18,65.6,1
9352,439,History,5,4,39.6,3,1.382,0.0399,4.6,60.97,3.5274,14,3,33.1,0
6699,696,Computer Science,3,2,102.8,7,2.371,0.2598,4.6,52.5,-0.6622,18,3,54.1,0
7944,544,English,4,1,55.2,4,1.496,0.4539,5.2,45.68,2.5444,42,18,31.0,0
5493,856,English,2,10,41.9,4,2.49,0.1829,4.3,82.34,-0.7539,44,40,100.0,1
5911,121,History,5,7,69.6,4,2.141,0.0913,2.6,68.16,-6.6514,28,17,70.7,1
4987,390,Mathematics,1,10,74.9,8,2.774,0.216,3.9,82.34,0.1519,37,32,100.0,1
7015,584,English,3,3,68.4,5,2.091,0.5152,10.3,55.14,7.2838,10,3,51.4,0
2218,883,Computer Science,2,4,70.4,3,1.747,0.0335,,55.14,1.0833,49,29,63.0,1
5496,405,Mathematics,1,9,69.5,11,2.251,0.1812,7.4,74.37,1.202,47,35,100.0,1
5735,733,Mathematics,1,6,90.8,7,2.091,0.2849,2.7,61.69,0.8271,37,22,85.8,1
5555,227,Mathematics,4,1,61.4,5,1.845,0.413,7.7,42.37,1.629,20,4,41.2,0
9050,724,English,2,9,43.8,6,2.711,0.1219,2.5,79.34,0.9811,30,25,100.0,1
4446,372,Mathematics,5,9,78.1,2,2.279,0.0709,5.5,75.24,-0.1453,29,15,75.7,1
2045,947,History,2,5,10.0,1,2.867,0.0,4.2,60.6,2.0099,16,10,64.7,1
7893,541,Mathematics,2,8,75.1,3,2.261,0.0355,1.8,70.6,2.3331,10,7,97.4,1
2693,602,Computer Science,1,7,97.7,5,2.56,0.1447,3.0,68.09,0.3058,30,23,100.0,1
4436,229,Science,4,8,79.1,7,2.485,0.0982,8.9,67.73,-2.2363,16,7,83.8,1
9754,231,Computer Science,4,9,20.3,3,2.661,0.0592,12.2,80.37,21.3243,25,15,64.9,1
6895,696,English,2,2,96.1,4,1.756,0.0235,1.1,43.48,-0.3107,20,8,41.3,0
4354,581,Mathematics,2,10,46.2,2,2.201,0.0012,3.0,75.31,-3.3399,31,26,82.2,1
1225,961,Mathematics,3,5,65.0,5,2.216,0.0587,2.8,57.08,-1.0877,23,11,55.2,0
5893,489,History,1,8,92.3,2,2.033,0.0882,3.4,68.78,0.7364,47,43,88.7,1
8022,692,Mathematics,5,3,44.6,5,1.791,0.2949,18.8,50.42,-2.9913,11,3,34.1,0
6600,424,Computer Science,5,6,63.5,7,1.824,0.1517,3.7,68.36,10.2096,29,14,48.0,0
8996,168,English,4,6,27.4,3,2.634,0.0359,8.9,66.6,1.8581,13,6,62.7,1
8683,759,Science,1,7,55.3,6,2.192,0.0624,5.5,76.35,2.2701,39,31,91.4,1
5642,547,Mathematics,4,3,30.8,3,1.94,0.0048,0.6,47.01,1.7267,47,17,52.5,0
