candidate_id,skill_score,exp_years,group
119,-0.5634127292008303,7,B
120,-0.4736552125360425,9,A
121,-0.30974244600201356,6,B
122,0.08450109157128341,2,B
123,-1.7590268375039713,13,B
124,-0.26072657659447357,7,A
125,-1.2026110351196775,5,B
126,-0.3739290581687834,2,A
127,1.2447281409127704,2,A
128,-1.9155040235679937,14,B
129,-1.292410234839239,7,A
130,-0.5201739369575917,13,B
131,-2.2988616982653967,6,A
132,2.385126952243134,4,B
133,-0.6351038724703052,10,A
134,1.6142547086707912,13,B
135,-0.0868650763080445,13,B
136,1.1845518699437108,3,A
137,0.8083278742845112,4,A
138,-0.3092626617007144,8,A
139,0.49812482510587974,0,A
140,-0.66247863612088,8,B
141,-0.48188630027727875,7,B
142,1.4860425949661098,14,B
143,-0.8679636283330758,5,A
144,-0.9139831259420692,1,A
145,2.555921717240161,6,A
146,-0.3870872219959422,2,A
147,0.3001704587592878,13,A
148,1.6387117406856069,1,B
149,-0.48802181482552254,0,B
150,-0.5634098574599227,8,A
151,1.8272322026730894,4,A
152,-0.02150280438129188,6,B
153,0.2650441808022512,5,A
154,-0.33137745996055884,3,A
155,0.529754029149427,3,A
156,-1.5881390785605611,5,B
157,0.16812773168946157,3,B
158,1.0017032746325099,8,B
159,0.956801207213286,2,A
160,-0.5126004004939266,8,A
161,0.6357007386673099,5,B
162,2.1370932680737873,11,A
163,0.12329710286963186,10,B
164,0.6756783421469383,11,B
165,-0.3551360587548742,13,A
166,-1.731340651200614,13,B
167,0.7429987937643826,14,B
168,-0.9557259297220158,9,A
169,-0.6988802016476103,13,A
170,0.0584779298430523,12,B
171,-0.018708764383634197,5,B
172,-0.12451102697758105,3,B
173,1.1128121805839744,4,B
174,0.1362000178845666,12,B
175,0.04067868434202199,8,B
176,-1.0799535241821707,12,A
177,0.9090852055306673,9,B
178,-1.2787490765489131,3,A
179,-2.269146079521028,2,B
180,-0.8147103520802578,4,B
181,0.7023180730608086,6,A
182,0.3481900112411395,2,A
183,1.2712628509707942,9,A
184,0.4011626052109944,0,A
185,0.37109931618431297,5,A
186,0.33000729588161104,9,B
187,-0.6417974256253315,14,A
188,-0.46001850480298323,10,B
189,-0.4583461731369784,2,A
190,0.1830759458821705,10,A
191,-0.9317044859931699,0,A
192,-0.42222202486715676,3,B
193,0.27634254968484084,13,A
194,-0.07804333270551765,1,A
195,-0.28068464289011696,14,B
196,-0.20696937818217478,4,B
197,-1.2353850232037318,10,A
198,-1.3597756869302537,8,B
199,-0.8045038061207221,5,A
200,0.9471725339217494,0,A
201,0.7827091127930011,12,A
202,0.2702689444069532,10,A
203,0.616187774192549,0,B
204,0.7862415356311107,8,B
205,-2.3686881696580784,7,B
206,-0.5535839717032988,10,B
207,0.8344891908913972,3,A
208,1.7596526505367276,2,B
209,0.17959006982930398,1,A
210,1.724191521667953,14,A
211,1.160823659574389,9,A
212,0.14011635188676083,14,B
213,-1.0495783064638748,3,A
214,-1.0097186586554114,1,A
215,-0.058459689096036056,2,A
216,0.19172205047106686,8,A
217,-0.07185534909255721,0,A
218,0.6091925801265499,11,B
219,0.5702230069167668,6,B
220,0.044031096296146745,6,B
221,0.43691688006331564,13,B
222,0.29647678686115725,2,B
223,-1.8856059016570288,13,B
224,-1.2806739116798018,10,B
225,0.31277362946223664,13,B
226,0.7626791933408243,0,B
227,0.09485397053239812,9,B
228,-0.2959518161659941,1,A
229,0.2099805813467306,4,A
230,0.45782030007796753,3,A
231,0.1752653790892617,8,A
232,-1.9810163679485508,13,B
233,0.3211463707552701,5,A
234,0.73521873654347,13,B
235,0.11781525148310629,3,A
236,2.2046494529738454,3,B
237,-1.418160682168752,11,A
238,-1.8082021553228729,10,B
239,3.370023181831863,0,B
240,-1.0000690137088297,12,B
241,-2.4453801820724297,12,A
242,-0.566224032434944,10,A
243,0.827222135071063,2,A
244,-0.7153881007925209,7,A
245,-0.4227392727410965,13,A
246,0.7465454922302805,9,B
247,1.9446185857629645,4,A
248,0.7620217988102919,6,B
249,0.31547230811398624,9,A
250,-0.4419744070480968,2,B
251,0.7531307534793433,10,A
252,2.793154990748989,6,A
253,-1.129498677765437,0,B
254,-1.0726666993098672,13,A
255,-0.37124593537805245,0,A
256,0.7187868409621374,5,A
257,0.6176247612327831,3,A
258,-0.22207633881890204,8,B
259,-0.4678343147818037,4,A
260,1.357409691958232,10,A
261,0.45893314154344245,12,B
262,1.3322976895833891,5,B
263,-0.23313095782934345,14,B
264,1.143265674789309,3,B
265,-0.8404007761486365,5,A
266,2.0613681165508844,1,A
267,-0.3998595001041209,1,A
268,-0.3578531754698278,11,B
269,0.43681065220995413,11,A
270,-0.18594421917422793,5,A
271,-0.6032693016990295,2,A
272,0.455052108224932,0,A
273,-0.6450958593331355,2,A
274,1.9272831228844158,8,A
275,-0.6923062361321382,12,B
276,0.828613722344223,1,A
277,-0.7530497179293031,5,B
278,-1.7399053321501032,2,B
279,-2.3303258803220372,6,A
280,0.043196536565342024,13,A
281,-1.4124378975062128,7,A
282,0.14361799425387786,2,A
283,-0.8081774126549782,2,A
284,-0.0854248665664205,4,A
285,-0.026163410317532936,12,A
286,1.7792866562003042,0,A
287,-0.18872808445476,13,A
288,-1.3955092836964225,14,A
289,-2.327373435539872,12,A
290,0.8980586868367981,6,A
291,0.0986320196795216,14,A
292,1.4260336429328788,4,A
293,-1.604322190603503,9,B
294,-0.18285459418876454,12,B
295,-0.8292471892104415,6,A
296,0.4915122878570852,9,B
297,-0.32271916335137946,3,B
298,1.4067976206967492,5,A
299,-0.42496654794347555,12,A
300,-0.22048545567502253,10,B
301,-0.6408268445418258,9,A
302,0.4702186960356857,7,B
303,1.0928876091372461,11,A
304,0.5420536442248179,6,B
305,-0.6172525111912264,6,A
306,-1.0557209891136248,8,B
307,-0.9116841941241273,1,A
308,0.18325677831132295,14,B
309,-0.5024521824672545,5,A
310,-0.1653632617870115,4,A
311,1.1267548399449159,6,B
312,0.4745349134301127,11,A
313,0.22323933664835047,6,A
314,-0.4972657790124328,13,A
315,-0.19358817099999884,6,B
316,-0.29441439055535024,7,A
317,0.044412448248318886,8,B
318,-0.20884257207760334,8,A
319,0.17016347886414396,6,A
320,-0.6398335327550475,3,B
321,1.298880568548161,1,A
322,0.38487987557375164,0,B
323,0.30609635043370326,6,B
324,0.9028976392528592,8,B
325,-1.0678546199537908,14,A
326,-1.1880679760957022,5,A
327,-1.4888833512354818,7,A
328,-0.7590063246044053,4,A
329,0.5647461253844039,13,B
330,0.18287631390182438,0,B
331,1.576467479632227,11,A
332,-1.4075137998684015,13,A
333,0.4419233728367722,10,A
334,-1.2741434167862464,5,A
335,-1.278116868999641,3,A
336,-1.2705424555307891,4,B
337,1.2005269681783062,9,A
338,0.07562601958032478,12,A
339,1.2620675564196968,11,A
340,0.0873031578324804,13,A
341,0.6998676951007154,0,B
342,0.6604934472505254,11,B
343,0.5495834985709621,3,A
344,0.1465220563334789,2,B
345,0.9552068820468754,3,A
346,0.19037619235790756,2,A
347,0.07814387145746318,9,A
348,0.042409416360465226,1,B
349,-0.5795018434504766,7,B
350,-1.5187849816001224,9,A
351,-0.7634604089523968,3,A
352,1.7860276985331929,12,B
353,0.15366393549667254,9,A
354,-1.0187214376338747,14,B
355,-0.26527005692315664,7,B
356,0.9750909452813495,9,B
357,1.8527714923370258,6,B
358,-1.8617493720649188,8,A
359,-1.614904083795972,4,A
360,-2.145078984397006,8,B
361,-0.6131197548233105,2,A
362,-0.9310182327710218,10,A
363,1.1536863171751823,5,B
364,0.6548707670216672,11,A
365,-0.5611751406538557,10,A
366,2.312537542776966,9,A
367,-0.6124496127596035,6,A
368,0.32174056535458734,10,B
369,0.7631548889759052,0,B
370,-1.0090384581693503,4,B
371,0.1275425701535049,2,A
372,0.27510309229291524,14,B
373,-0.1675858691818282,13,A
374,0.7187221671634141,0,B
375,-0.1655426253125277,9,B
376,-0.648960171034972,2,A
377,0.8466534655256985,6,B
378,-0.4958118895446977,13,A
379,0.4629523629599924,0,A
380,-0.4913921142632256,5,B
381,0.587965235715295,6,A
382,0.14372812681033814,14,A
383,-1.2071354612358436,10,A
384,0.4148422407084458,3,B
385,-0.43263543225271606,10,A
386,1.7708758009328895,11,B
387,-0.5388532355537631,9,B
388,0.8409868467772856,12,A
389,-2.269504419420257,10,B
390,-0.5079391020857246,8,A
391,-1.7945074727449966,11,A
392,0.04786134469819158,11,B
393,-0.8068141664651547,5,B
394,1.3793754410911117,13,A
395,0.7011934278415044,9,B
396,1.482794091132957,5,B
397,-0.9185391859534852,9,B
398,-2.236912057546303,4,B
399,-0.027369191766853956,4,B
400,1.4111081967506844,1,A
401,0.2959430395026134,7,A
402,1.911644215117884,0,B
403,-0.25143091552955643,0,A
404,-0.6657519980069967,13,B
405,0.5412935143175563,12,A
406,1.096906933003817,8,A
407,-0.3772937887072629,12,A
408,-0.6397460820747768,12,B
409,-0.6674967515428102,1,A
410,1.9852591497080092,12,B
411,-2.0868496711576383,4,B
412,1.207563778480383,14,A
413,-0.12540675377957253,7,B
414,1.590458284083731,8,A
415,0.8254867928063687,14,B
416,-1.134246255496575,5,B
417,0.2409608741302857,12,B
418,-0.4806449722588052,7,A
419,-0.5433575387106238,11,B
420,-1.3876899996484502,7,B
421,1.293394694458536,7,A
422,-1.901886350682376,5,A
423,0.2457005986971033,12,B
424,2.06956482228666,3,A
425,0.523731301817298,7,B
426,1.6468506071696942,4,B
427,0.9246980704996453,9,B
428,1.332842380312345,12,A
429,-0.8571843853305717,5,B
430,0.18057028956418614,2,B
431,0.5059074522871886,9,A
432,0.25041527122262847,1,B
433,-0.9066606857599893,5,B
434,-0.9915658131915795,11,A
435,0.034911947425910146,14,A
436,0.4416569845266169,4,B
437,0.28692033572757136,12,A
438,-1.6218597143476525,9,B
439,-0.5278388873410679,4,B
440,-0.5540454054467021,3,A
441,0.42182601114824014,3,A
442,-0.8593392461625653,12,A
443,0.11774550354033447,11,A
444,-1.2235044282134153,8,A
445,-0.3991783356913868,1,A
446,0.7069233401050825,14,B
447,0.8408275253396778,12,A
448,-1.2298738533114901,7,A
449,0.11224129724061226,8,A
450,-0.6764009159171281,11,A
451,1.8942880277259206,8,A
452,0.4744419570399953,12,B
453,0.08337295805421349,11,A
454,1.9416391017449228,8,A
455,-2.922139069851382,2,A
456,-0.8272198136265027,4,A
457,0.6668223381641396,11,B
458,-0.0034668171666841574,1,B
459,0.4583281480306128,3,B
460,-0.5602060064908454,0,B
461,-0.2036550569132401,5,A
462,0.31896388498438905,11,A
463,1.246109113547895,6,A
464,2.252940140990888,6,A
465,-1.0781754674335802,12,A
466,0.6088685998015129,8,B
467,-2.090406998918412,13,A
468,-0.39988881258210107,1,A
469,0.4042273492680625,0,A
470,-0.7506775593311028,4,B
471,0.3103683623810141,9,A
472,-0.08123135665121275,9,B
473,1.8283738760539674,8,A
474,0.191524033456207,14,A
475,-0.5462208743105064,0,B
476,-1.552081174483661,12,A
477,-0.3152469353164281,5,A
478,0.829565722651191,10,B
479,2.4289143283149373,14,B
480,0.26351097043779453,0,A
481,-0.15076196600355005,0,A
482,-0.02165607470947082,0,A
483,0.4842352989425276,11,A
484,1.1139442611292143,10,A
485,1.0919073944141449,13,A
486,0.25215539946861903,12,B
487,0.5446321354464523,7,A
488,-0.10750169347308944,10,A
489,1.2827207781959817,5,B
490,-1.3906250712366302,11,B
491,1.0728246747390735,8,B
492,0.16350537700934484,9,B
493,0.08529948822896441,13,A
494,0.31906458774479773,14,A
495,0.0057568224502638245,9,B
496,-0.7633813780626244,7,B
497,0.05366409963879276,7,A
498,0.1882499330590873,2,B
499,0.36332684327810133,6,B
500,0.9432300020790735,3,B
501,-0.2007154549506611,3,B
502,-1.8307727074682436,3,B
503,-0.047723566913363644,2,A
504,0.28773966649798033,14,A
505,0.3809008962258231,14,A
506,-1.8273430366075754,14,A
507,0.9213080220617557,11,A
508,1.6664987005338796,3,A
509,0.10545116267187564,13,B
510,1.025916721254949,3,A
511,1.2512287620725577,4,A
512,1.5609830256316393,10,B
513,-1.2672738918448072,5,B
514,0.9535306102944304,4,A
515,-0.22588912890212628,14,A
516,-1.3569998968864014,13,A
517,0.24448351320143114,7,B
518,-0.1318039419586428,7,B
519,1.0924679516064577,11,A
520,0.8578482424620275,6,B
521,-0.7484178223259444,14,A
522,0.5546380366963489,14,B
523,0.6555108259087249,1,B
524,-1.3060015391709217,4,A
525,0.3276516015380726,8,A
526,-0.17748251989980404,3,A
527,1.369624197062164,6,B
528,0.6510522949790514,4,B
529,-0.5300987298753022,0,A
530,-0.7337866409552519,14,B
531,-2.204632148631518,13,A
532,1.237175133453444,2,A
533,1.1893673517425662,9,A
534,0.9442264833204694,10,A
535,0.0839963628125847,6,A
536,0.5970410398701771,1,A
537,-0.7532670108392491,12,B
538,0.46014340514998064,14,B
539,0.6323076226013064,0,A
540,0.09458069873989527,14,A
541,1.9890173298410811,8,B
542,-0.024073464335339436,9,B
543,-0.7748229175568815,3,B
544,-1.190349812620315,9,A
545,0.8191542219780403,1,B
546,-0.43998513309630893,14,A
547,-0.4948387411855132,6,B
548,-0.8640188712580082,8,A
549,-1.1864450562126292,5,A
550,0.6688238649466778,12,A
551,-1.723998907285714,3,A
552,2.263675916175712,10,B
553,-0.5752335714113794,10,B
554,0.7814316886608378,1,B
555,-0.28053281249860673,6,B
556,0.6901406950580118,8,A
557,0.7140390676383461,10,B
558,0.4347693373101135,2,A
559,1.9608377604252045,0,A
560,-1.1337206787563239,3,A
561,0.08148893909663188,1,A
562,-0.6243628639635315,0,A
563,0.23214412241600632,9,A
564,-0.4869163881842201,1,B
565,-0.9703828551702931,8,B
566,-0.12819804439729876,8,B
567,-0.29487952100001663,10,B
568,0.050030244321855856,5,A
569,0.16214448912655896,1,A
570,-0.8758420861433159,7,B
571,-0.911556498132822,9,B
572,-1.5728866538113246,5,B
573,-0.23699250933614333,7,A
574,-0.15583870795919771,5,B
575,0.4731418698103659,14,B
576,0.5989896220198799,9,B
577,-1.1920662679149163,5,A
578,0.3007291576712736,4,B
579,0.046891128319084305,4,A
580,-2.4330376586819074,1,B
581,-0.3718501662759629,11,A
582,0.4488180830489662,0,B
583,1.014074084123022,9,A
584,0.5226077421865001,5,A
585,0.8857384495638305,12,B
586,-1.0260680605866446,7,B
587,1.8183617630624034,9,A
588,-1.6822136735169402,8,A
589,0.7969407363927932,4,A
590,-0.7183329075257088,4,A
591,-0.08039208257178349,12,B
592,-0.3818779501906152,0,B
593,-1.349673611775668,12,A
594,1.2615692087981485,11,B
595,-1.254102681921808,12,A
596,-1.5147204087061112,8,B
597,0.6189478171457624,9,B
598,-0.23858462272122327,11,B
599,1.9763498729439495,14,A
600,0.5904279577469914,1,A
601,0.32642093583099246,13,B
602,0.6377762796846818,8,A
603,0.7853402429667239,4,A
604,-1.9079178236431704,13,A
605,-1.2121418425723816,0,B
606,-1.077543711677101,5,B
607,2.0670087158986212,12,A
608,-0.4153322206953148,12,A
609,-0.26448006814383124,4,B
610,1.264254619267204,13,A
611,0.4747965114935715,4,B
612,-0.1402177643696717,6,A
613,-0.6691805193931334,7,A
614,-0.7765864312859958,0,B
615,0.08076830198583004,3,B
616,0.53690894924866,1,B
617,0.657169614131833,0,B
618,0.8907253626374284,6,A
619,-1.1926742009707454,14,A
620,-0.011924395346617375,8,A
621,-0.35814034560878105,3,A
622,-0.8850427401764006,12,B
623,0.6503368155390958,10,A
624,1.6813684803399598,12,B
625,0.2813990783341646,3,B
626,-1.322406873420879,8,A
627,0.31658447988926525,11,A
628,1.3856293402396576,8,B
629,-0.6372558112632766,12,B
630,-0.8051263744047689,2,A
631,0.19070281535622258,7,A
632,-0.5966973643360965,8,A
633,0.21484145418838488,11,A
634,2.1014304816482023,14,B
635,0.14688107263483882,1,A
636,-0.42718921190185494,0,A
637,0.5446815854420519,12,A
638,-0.1932871831660271,10,A
639,1.9222906848757095,3,A
640,0.4990087418338103,0,B
641,0.07894165326089694,10,B
642,-1.1970503639552899,2,A
643,0.908311795086305,0,A
644,1.492109371747783,5,B
645,-0.22178178667551407,0,A
646,0.454370864165918,0,B
647,0.8330466735668678,4,A
648,1.0595364702089465,10,A
649,1.6802434193163345,8,A
650,0.33133506934314083,13,A
651,0.5473522902035275,13,B
652,0.6535605259296325,12,B
653,0.22902363761059655,8,A
654,1.3488625398575997,8,A
655,1.2583178745794648,14,B
656,-1.979257958889817,5,A
657,0.03702557816214311,13,A
658,-1.9809189733910755,12,B
659,0.8038466642313734,13,A
660,0.7750686710323533,2,A
661,-0.1168328645593898,10,A
662,2.5185328067655193,8,A
663,-0.6626582006338383,13,A
664,0.8195617883963846,4,A
665,-0.07602657457268963,8,A
666,-0.07521298109363635,5,A
667,-1.7174638780244624,2,B
668,0.323116476944179,6,B
669,1.4855493603438061,10,B
670,0.10537733537913357,12,B
671,1.7739643280515223,1,B
672,0.3590785553012173,0,A
673,0.43251778415180736,7,B
674,-0.26019047196712347,1,B
675,-0.035498778266983604,3,B
676,-0.14147432120551062,8,A
677,1.052034114045305,13,B
678,-0.1958370323231901,14,A
679,0.676780529447545,2,A
680,0.8176385331098441,0,A
681,0.741019696164929,1,A
682,-0.20248267234240733,6,A
683,-1.7295428050027455,7,A
684,0.781209056842613,7,A
685,0.3220046240947859,0,B
686,1.7032638376928417,10,A
687,0.26105124369391697,8,B
688,-0.01990472198323141,5,B
689,-0.5501593711146301,1,A
690,0.8105605967625449,1,A
691,-0.8458520984713276,9,B
692,-6.532737296412542e-05,1,B
693,-0.21452405635342905,10,B
694,-0.5374458082534393,11,B
695,-1.8032100483143116,11,A
696,1.648132340203381,13,A
697,0.7685333202158618,7,A
698,-1.4098516467860354,10,A
699,-1.363115990334221,14,B
700,-1.5369317745832876,6,A
701,-0.4187380276539156,8,A
702,0.7278717375259459,6,B
703,-0.6431841262473791,9,B
704,0.3393067424232017,7,B
705,0.9197139307827427,8,A
706,-0.6308718276658295,13,B
707,-0.6873143158628925,5,A
708,-0.5261520128602722,6,A
709,-0.5145635686926345,8,A
710,0.17304457966140702,7,B
711,0.8020983071332954,11,B
712,1.7744231021914998,10,A
713,0.29200863934928917,6,A
714,-0.40537842444728883,4,A
715,-0.06889708639506885,0,B
716,-1.3854389845809958,7,B
717,0.8118983012199678,3,B
718,-0.4472466386697959,6,A
719,0.6774116659417867,13,B
720,-0.29968298272125254,12,B
721,-0.7835340992946592,7,B
722,1.2871413028819219,2,B
723,-0.026352515880994704,5,A
724,-0.15673994510750527,12,A
725,0.16599569384055737,9,A
726,-1.9259551230348049,0,B
727,-0.6514935675726998,6,A
728,-0.10184586977545411,8,B
729,-0.4389027311964484,4,A
730,-1.7670819965180635,12,A
731,0.7532157521987758,1,B
732,0.37007597950590826,9,A
733,1.272757855997376,10,A
734,1.4404701954384753,10,A
735,-1.7608218221297547,5,A
736,0.6198453206964726,5,A
737,0.49298548969534395,7,B
738,-0.7530305383944589,5,B
739,0.3734219975987154,2,B
740,0.7987282312208517,9,B
741,-0.3506111952750646,14,B
742,-0.293277699090594,11,A
743,-1.8727423707011899,10,A
744,-1.5005067306951134,14,B
745,-0.43144824137661736,11,B
746,1.4398299119693365,3,B
747,-1.5132960134010414,7,B
748,0.43974238195478427,11,A
749,0.11301745964155745,1,A
750,0.1842094750234255,3,B
751,-2.2746244592958975,3,B
752,-1.0128435772135325,6,B
753,1.0061260720637397,5,A
754,-0.16064366343827138,1,B
755,-1.2149029102615503,4,A
756,0.12515292746940307,13,A
757,0.28566690039225173,13,B
758,-0.33694021590303747,0,B
759,-1.289256740591428,13,A
760,0.06491332695280869,8,B
761,-0.3196406276605067,10,B
762,0.42421904102379354,2,A
763,-0.8784635976470633,0,A
764,-0.1196100685527967,9,A
765,-1.5204012512344982,8,B
766,-1.0040020397533127,12,B
767,-0.5516654524788953,0,A
768,0.3966055547192223,10,A
769,-0.717010500250434,14,A
770,-1.1006225651169077,3,A
771,0.04520879742309364,14,A
772,0.7053184091767911,13,B
773,-0.9444224998769055,2,B
774,0.22095942760308354,10,B
775,1.0856091368285696,0,B
776,0.4730707507873113,6,A
777,-1.0354575539436217,10,B
778,0.19935644607003566,9,A
779,-1.0871937533099445,13,A
780,-0.2752838636533429,8,B
781,1.5766337754223108,10,A
782,1.8576823377672718,0,B
783,-0.9780593301348692,9,B
784,0.14253904769926512,12,B
785,0.971848765816184,4,A
786,-1.6109283853540284,0,A
787,-0.021116238445531725,5,B
788,-0.6054508396005917,12,B
789,-0.05060183619047457,13,B
790,0.49151815931081067,11,A
791,-0.6328367152769029,8,A
792,-1.2730817271716877,9,A
793,-0.9894800724491529,9,B
794,0.9246075906554593,12,B
795,0.4348563369752469,7,B
796,0.6115640773018285,2,A
797,-0.5925033434721673,10,A
798,0.29006516175423414,1,A
799,0.26223924181589686,5,A
800,0.790677649245144,6,B
801,0.13423206962561435,3,A
802,1.3147159011697551,7,B
803,0.13051809161525538,3,A
804,2.076640184562776,8,A
805,-1.0081243182362576,10,B
806,0.5922658211731363,7,A
807,-0.4789320252634903,2,B
808,0.33178043238344374,13,B
809,0.695038333533125,12,A
810,-1.348873956290093,4,A
811,1.881614560318695,1,B
812,-0.4136550861752891,11,A
813,-0.2146289193421864,12,A
814,-2.020272702480875,10,B
815,0.4240103308474943,14,A
816,1.6306555713769548,5,A
817,0.4440063302834734,3,A
818,0.1777132468640157,10,B
819,0.5839757803921187,7,A
820,-0.5130727259722622,7,A
821,-0.3018736333989752,6,A
822,1.4383366128608828,5,B
823,-0.2956401186797726,4,A
824,-0.732601881123305,5,B
825,-0.8390175350112968,3,B
826,0.4137311596018112,8,B
827,0.7369372200299382,6,A
828,-1.2909475683730993,5,B
829,-0.015352774099290478,12,A
830,-0.159556873348838,14,B
831,-1.6628314726202273,3,B
832,2.36973699190532,0,B
833,0.3782143062956548,9,A
834,-0.5971737807364713,4,A
835,-1.629815730803451,12,A
836,-0.47198620530652335,2,B
837,0.44657220634499556,2,B
838,-1.2976316688453475,14,A
839,-0.5631147767454939,3,A
840,1.156049535270715,8,A
841,0.8633997576797235,0,B
842,0.4770060950521914,10,B
843,-0.005872014939088369,5,B
844,-0.693738961987068,0,A
845,-0.7777867439101203,1,A
846,0.8539906780100607,14,A
847,-0.37393042993802533,10,A
848,-0.8178644852546819,7,A
849,0.3466090032745329,14,A
850,-0.2969507192368515,0,B
851,0.1356204277279551,8,A
852,0.12450256593152483,14,B
853,1.6152167216316218,12,A
854,-0.2338565284372821,13,A
855,1.2799648569323916,9,B
856,-0.23199421689156102,6,A
857,0.5916234085036173,9,B
858,-0.3527894760400785,2,B
859,-0.19091320381032323,4,A
860,0.6721396774468701,13,A
861,0.3940697481740373,5,A
862,-1.409441237567761,3,A
863,-0.2101421611750808,6,A
864,1.336764699192227,0,B
865,-0.0861349514159269,10,A
866,0.038412712857441654,5,B
867,-1.447765081088067,7,A
868,2.616358018156856,12,A
869,-0.3892183724683466,5,A
870,-1.0011368552491906,12,B
871,-1.0255099805322936,14,A
872,-0.29210571803497953,12,B
873,-0.915285771267115,2,B
874,-1.0868055917118107,3,A
875,0.5060754225524964,5,A
876,0.2862507728379951,4,A
877,-0.0378359927330581,13,B
878,0.9014085369082514,8,B
879,0.3434777426316576,10,A
880,1.8294590533563027,9,A
881,2.332550408206132,11,B
882,0.8114873454032063,9,B
883,-0.16553639071117018,2,A
884,1.30497994013759,9,B
885,-0.8938290268022338,4,A
886,-0.013496897893174533,1,A
887,-0.2237753573892378,2,A
888,0.48445175254716,9,B
889,0.6311053884253093,14,A
890,0.12122176909797754,6,A
891,1.3776662953879928,13,B
892,0.016101814497015064,3,A
893,0.071876180102668,7,A
894,-0.3212610417738743,1,A
895,-0.6240882084901116,5,A
896,0.11459653546817015,8,B
897,0.41778997381811583,2,B
898,0.18733389724373384,6,A
899,1.3650076231505053,7,A
900,0.5409386306522056,10,B
901,1.0085378506463352,14,A
902,0.34660429486265054,11,B
903,-2.339056079745845,8,A
904,0.08783851031400154,7,A
905,-0.2767111070557566,3,A
906,0.5672480114928954,1,B
907,-0.2714880212310314,4,B
908,-0.35629119362591977,6,A
