student_id,college_id,years_of_experience,degree
student_142,college_4,0,PhD
student_143,college_14,2,PhD
student_144,college_2,2,Bachelors
student_145,college_14,3,Bachelors
student_146,college_2,0,Masters
student_147,college_16,0,PhD
student_148,college_4,2,PhD
student_149,college_2,2,Masters
student_150,college_11,2,PhD
student_151,college_5,2,None
student_152,college_17,0,PhD
student_153,college_19,2,Bachelors
student_154,college_17,2,PhD
student_155,college_3,0,Masters
student_156,college_8,4,Bachelors
student_157,college_3,2,Masters
student_158,college_8,0,PhD
student_159,college_19,2,Masters
student_160,college_10,0,Masters
student_161,college_8,3,None
student_162,college_8,3,Bachelors
student_163,college_2,0,None
student_164,college_8,3,Bachelors
student_165,college_0,2,PhD
student_166,college_4,3,PhD
student_167,college_5,4,None
student_168,college_17,1,None
student_169,college_17,0,Bachelors
student_170,college_3,0,Bachelors
student_171,college_4,0,Bachelors
student_172,college_11,1,Masters
student_173,college_13,2,Masters
student_174,college_1,2,PhD
student_175,college_11,3,Bachelors
student_176,college_11,2,Masters
student_177,college_7,4,Bachelors
student_178,college_11,1,None
student_179,college_19,6,Masters
student_180,college_7,2,Masters
student_181,college_5,0,None
student_182,college_0,0,Masters
student_183,college_10,2,None
student_184,college_7,1,PhD
student_185,college_5,3,Bachelors
student_186,college_12,2,Bachelors
student_187,college_15,1,Masters
student_188,college_6,0,None
student_189,college_11,0,PhD
student_190,college_7,1,Masters
student_191,college_0,3,Masters
student_192,college_12,2,PhD
student_193,college_8,0,Bachelors
student_194,college_8,2,PhD
student_195,college_16,2,None
student_196,college_17,0,PhD
student_197,college_0,2,Bachelors
student_198,college_8,2,Masters
student_199,college_18,0,PhD
student_200,college_1,2,Bachelors
student_201,college_19,2,None
student_202,college_11,3,PhD
student_203,college_13,3,Bachelors
student_204,college_12,0,Masters
student_205,college_8,0,Bachelors
student_206,college_13,2,Bachelors
student_207,college_16,2,Masters
student_208,college_11,2,None
student_209,college_2,7,PhD
student_210,college_19,2,PhD
student_211,college_3,3,PhD
student_212,college_16,3,PhD
student_213,college_13,2,PhD
student_214,college_12,1,PhD
student_215,college_17,3,Masters
student_216,college_6,0,None
student_217,college_12,1,Masters
student_218,college_19,1,PhD
student_219,college_12,2,Bachelors
student_220,college_9,5,PhD
student_221,college_6,0,None
student_222,college_18,3,PhD
student_223,college_14,0,None
student_224,college_14,1,Masters
student_225,college_16,3,None
student_226,college_5,2,Bachelors
student_227,college_9,0,PhD
student_228,college_2,0,Masters
student_229,college_9,3,Masters
student_230,college_6,0,Masters
student_231,college_0,2,Bachelors
student_232,college_7,2,None
student_233,college_19,1,Bachelors
student_234,college_14,5,None
student_235,college_18,2,Masters
student_236,college_12,0,None
student_237,college_12,2,Masters
student_238,college_4,1,Bachelors
student_239,college_3,3,None
student_240,college_7,0,Masters
student_241,college_16,1,None
student_242,college_1,2,Masters
student_243,college_3,3,None
student_244,college_4,0,None
student_245,college_16,1,PhD
student_246,college_14,1,None
student_247,college_17,1,None
student_248,college_5,4,None
student_249,college_14,2,PhD
student_250,college_7,0,PhD
student_251,college_16,3,None
student_252,college_7,5,PhD
student_253,college_14,3,Bachelors
student_254,college_9,0,Masters
student_255,college_8,1,PhD
student_256,college_10,3,Bachelors
student_257,college_4,0,Masters
student_258,college_7,2,None
student_259,college_4,3,Masters
student_260,college_2,0,None
student_261,college_13,1,PhD
student_262,college_17,0,None
student_263,college_13,0,Bachelors
student_264,college_6,1,None
student_265,college_12,0,Bachelors
student_266,college_18,4,None
student_267,college_15,0,Bachelors
student_268,college_11,1,PhD
student_269,college_12,2,None
student_270,college_17,4,Masters
student_271,college_15,0,Masters
student_272,college_8,3,None
student_273,college_15,2,Bachelors
student_274,college_12,0,PhD
student_275,college_12,2,Masters
student_276,college_14,2,Masters
student_277,college_19,1,Bachelors
student_278,college_12,2,Bachelors
student_279,college_2,1,None
student_280,college_4,2,None
student_281,college_5,2,Bachelors
student_282,college_8,4,None
student_283,college_10,0,Masters
student_284,college_14,5,PhD
student_285,college_10,0,None
student_286,college_8,1,None
student_287,college_8,2,Bachelors
student_288,college_15,2,Bachelors
student_289,college_17,1,Bachelors
student_290,college_11,1,Masters
student_291,college_2,1,Bachelors
student_292,college_0,1,Masters
student_293,college_6,3,Bachelors
student_294,college_19,2,Masters
student_295,college_7,0,Masters
student_296,college_15,3,Bachelors
student_297,college_18,2,Masters
student_298,college_14,3,PhD
student_299,college_11,2,Masters
student_300,college_19,0,Bachelors
student_301,college_5,1,PhD
student_302,college_3,3,Bachelors
student_303,college_9,2,None
student_304,college_12,1,Masters
student_305,college_2,2,Masters
student_306,college_3,3,PhD
student_307,college_19,1,Bachelors
student_308,college_18,2,Bachelors
student_309,college_11,1,None
student_310,college_11,1,Bachelors
student_311,college_16,3,PhD
student_312,college_0,3,None
student_313,college_15,3,Bachelors
student_314,college_13,3,PhD
student_315,college_14,2,Masters
student_316,college_13,3,Masters
student_317,college_16,1,PhD
student_318,college_19,2,None
student_319,college_14,1,None
student_320,college_18,2,PhD
student_321,college_10,2,Masters
student_322,college_2,0,PhD
student_323,college_14,5,Masters
student_324,college_14,0,None
student_325,college_10,0,Bachelors
student_326,college_15,3,PhD
student_327,college_5,3,None
student_328,college_6,2,PhD
student_329,college_8,2,PhD
student_330,college_8,1,PhD
student_331,college_17,0,Bachelors
student_332,college_16,2,Masters
student_333,college_2,0,Masters
student_334,college_13,3,None
student_335,college_17,1,Masters
student_336,college_15,0,None
student_337,college_14,1,Bachelors
student_338,college_2,2,PhD
student_339,college_7,1,None
student_340,college_7,0,PhD
student_341,college_18,2,PhD
student_342,college_15,2,PhD
student_343,college_13,1,PhD
student_344,college_11,1,None
student_345,college_8,2,PhD
student_346,college_8,0,Masters
student_347,college_3,0,Masters
student_348,college_10,0,Bachelors
student_349,college_17,1,Masters
student_350,college_6,2,Masters
student_351,college_15,4,PhD
student_352,college_18,3,PhD
student_353,college_3,1,Masters
student_354,college_9,1,Masters
student_355,college_11,0,Masters
student_356,college_9,1,Bachelors
student_357,college_17,1,Masters
student_358,college_8,2,Bachelors
student_359,college_1,0,PhD
student_360,college_4,2,None
student_361,college_3,4,Bachelors
student_362,college_18,1,PhD
student_363,college_15,2,None
student_364,college_14,3,PhD
student_365,college_5,1,Bachelors
student_366,college_8,2,None
student_367,college_3,2,Bachelors
student_368,college_12,2,None
student_369,college_2,0,Bachelors
student_370,college_4,2,Masters
student_371,college_18,2,PhD
student_372,college_2,4,Masters
student_373,college_3,3,None
student_374,college_19,5,Masters
student_375,college_16,0,None
student_376,college_14,3,None
student_377,college_9,2,None
student_378,college_9,5,Bachelors
student_379,college_19,0,Bachelors
student_380,college_6,0,Masters
student_381,college_8,1,Bachelors
student_382,college_5,0,Masters
student_383,college_5,1,Bachelors
student_384,college_5,0,Bachelors
student_385,college_13,2,None
student_386,college_19,2,None
student_387,college_9,4,Bachelors
student_388,college_7,3,PhD
student_389,college_9,1,None
student_390,college_2,0,Masters
student_391,college_8,2,Masters
student_392,college_13,0,Bachelors
student_393,college_17,4,Masters
student_394,college_4,3,PhD
student_395,college_4,1,Bachelors
student_396,college_1,0,Masters
student_397,college_9,4,PhD
student_398,college_14,1,Bachelors
student_399,college_14,3,PhD
student_400,college_12,0,PhD
student_401,college_16,1,None
student_402,college_14,2,Bachelors
student_403,college_19,2,Bachelors
student_404,college_13,1,PhD
student_405,college_19,2,PhD
student_406,college_0,0,Bachelors
student_407,college_7,1,Bachelors
student_408,college_8,2,Bachelors
student_409,college_5,2,None
student_410,college_16,3,None
student_411,college_8,0,Masters
student_412,college_18,0,None
student_413,college_15,3,Bachelors
student_414,college_15,2,PhD
student_415,college_13,0,PhD
student_416,college_10,4,Bachelors
student_417,college_5,2,PhD
student_418,college_13,3,None
student_419,college_9,2,None
student_420,college_17,5,Bachelors
student_421,college_14,4,Bachelors
student_422,college_10,1,PhD
student_423,college_10,3,Bachelors
student_424,college_12,2,Bachelors
student_425,college_17,4,None
student_426,college_13,0,Bachelors
student_427,college_6,3,PhD
student_428,college_19,3,None
student_429,college_14,0,Bachelors
student_430,college_6,0,PhD
student_431,college_17,0,Masters
student_432,college_9,1,None
student_433,college_15,3,Bachelors
student_434,college_0,4,Masters
student_435,college_5,2,PhD
student_436,college_17,4,Bachelors
student_437,college_17,0,None
student_438,college_2,0,Masters
student_439,college_3,1,None
student_440,college_3,2,Masters
student_441,college_15,1,PhD
student_442,college_16,0,PhD
student_443,college_13,1,None
student_444,college_15,0,Masters
student_445,college_14,3,Masters
student_446,college_12,2,Masters
student_447,college_19,0,Masters
student_448,college_2,1,PhD
student_449,college_13,0,PhD
student_450,college_16,1,PhD
student_451,college_0,3,PhD
student_452,college_9,0,None
student_453,college_4,2,None
student_454,college_17,1,None
student_455,college_11,0,PhD
student_456,college_17,1,None
student_457,college_14,0,PhD
student_458,college_6,1,Masters
student_459,college_18,0,None
student_460,college_7,4,None
student_461,college_1,2,PhD
student_462,college_15,0,None
student_463,college_12,2,Masters
student_464,college_15,1,Bachelors
student_465,college_4,1,PhD
student_466,college_3,2,None
student_467,college_3,3,None
student_468,college_0,1,Masters
student_469,college_13,1,Masters
student_470,college_2,1,None
student_471,college_8,0,PhD
student_472,college_19,0,None
student_473,college_2,4,PhD
student_474,college_17,4,None
student_475,college_10,1,None
student_476,college_17,2,Bachelors
student_477,college_19,2,Bachelors
student_478,college_7,6,PhD
student_479,college_7,3,Bachelors
student_480,college_13,1,Bachelors
student_481,college_3,0,None
student_482,college_5,0,PhD
student_483,college_0,2,Bachelors
student_484,college_10,0,Bachelors
student_485,college_9,0,PhD
student_486,college_11,1,None
student_487,college_4,0,Masters
student_488,college_16,4,None
student_489,college_18,3,Masters
student_490,college_5,1,Masters
student_491,college_2,4,None
student_492,college_19,2,Masters
student_493,college_15,0,Masters
student_494,college_7,4,None
student_495,college_8,2,None
student_496,college_8,0,Bachelors
student_497,college_14,1,PhD
student_498,college_17,0,Masters
student_499,college_2,0,None
student_500,college_11,3,PhD
student_501,college_13,4,PhD
student_502,college_14,0,PhD
student_503,college_6,2,None
student_504,college_15,1,Bachelors
student_505,college_7,1,None
student_506,college_18,1,PhD
student_507,college_18,0,PhD
student_508,college_9,2,Bachelors
student_509,college_12,0,PhD
student_510,college_0,2,Bachelors
student_511,college_19,1,None
student_512,college_9,1,Masters
student_513,college_19,0,PhD
student_514,college_7,1,Masters
student_515,college_19,3,PhD
student_516,college_4,2,Bachelors
student_517,college_1,0,PhD
student_518,college_14,2,Bachelors
student_519,college_18,3,PhD
student_520,college_4,0,Bachelors
student_521,college_9,2,PhD
student_522,college_13,1,Masters
student_523,college_6,2,Masters
student_524,college_17,0,PhD
student_525,college_16,0,PhD
student_526,college_5,0,PhD
student_527,college_15,2,PhD
student_528,college_10,2,Bachelors
student_529,college_14,0,Bachelors
student_530,college_4,2,Masters
student_531,college_12,0,PhD
student_532,college_2,1,None
student_533,college_0,0,PhD
student_534,college_17,1,Bachelors
student_535,college_14,2,PhD
student_536,college_8,0,None
student_537,college_11,1,Bachelors
student_538,college_7,3,None
student_539,college_0,1,PhD
student_540,college_19,3,Masters
student_541,college_2,0,None
student_542,college_9,2,None
student_543,college_3,4,Masters
student_544,college_1,0,Bachelors
student_545,college_9,0,None
student_546,college_3,2,Bachelors
student_547,college_7,1,Masters
student_548,college_12,2,None
student_549,college_11,1,None
student_550,college_18,2,Masters
student_551,college_13,1,Bachelors
student_552,college_15,3,None
student_553,college_8,2,Bachelors
student_554,college_11,2,Masters
student_555,college_14,1,None
student_556,college_7,1,PhD
student_557,college_3,1,PhD
student_558,college_17,2,PhD
student_559,college_1,1,None
student_560,college_8,2,Masters
student_561,college_3,5,None
student_562,college_2,3,Masters
student_563,college_19,1,Bachelors
student_564,college_1,3,PhD
student_565,college_7,1,Masters
student_566,college_18,0,Masters
student_567,college_2,0,Masters
student_568,college_18,0,Masters
student_569,college_7,1,PhD
student_570,college_4,2,Bachelors
student_571,college_8,4,Masters
student_572,college_4,2,PhD
student_573,college_5,1,Bachelors
student_574,college_0,3,Masters
student_575,college_0,0,PhD
student_576,college_7,2,PhD
student_577,college_0,3,Masters
student_578,college_8,0,Bachelors
student_579,college_4,3,None
student_580,college_16,2,Bachelors
student_581,college_2,1,None
student_582,college_14,2,PhD
student_583,college_16,5,Bachelors
student_584,college_14,2,Masters
student_585,college_19,2,Bachelors
student_586,college_16,1,PhD
student_587,college_14,0,Bachelors
student_588,college_1,3,None
student_589,college_12,0,None
student_590,college_3,2,None
student_591,college_14,1,Bachelors
student_592,college_2,2,PhD
student_593,college_19,2,Masters
student_594,college_2,3,Masters
student_595,college_8,1,PhD
student_596,college_12,1,PhD
student_597,college_14,0,None
student_598,college_3,1,Bachelors
student_599,college_17,2,Masters
student_600,college_13,3,None
student_601,college_7,0,None
student_602,college_10,3,None
student_603,college_12,4,None
student_604,college_3,2,PhD
student_605,college_13,4,PhD
student_606,college_8,0,PhD
student_607,college_4,0,None
student_608,college_2,0,Bachelors
student_609,college_2,4,Bachelors
student_610,college_13,2,Bachelors
student_611,college_11,1,Masters
student_612,college_17,2,Bachelors
student_613,college_18,0,PhD
student_614,college_3,5,None
student_615,college_11,2,None
student_616,college_1,2,PhD
student_617,college_19,3,PhD
student_618,college_11,2,Bachelors
student_619,college_18,2,Masters
student_620,college_4,0,None
student_621,college_7,2,Bachelors
student_622,college_11,4,PhD
student_623,college_3,4,PhD
student_624,college_18,4,Masters
student_625,college_13,1,Bachelors
student_626,college_19,0,PhD
student_627,college_0,1,Masters
student_628,college_8,2,PhD
student_629,college_10,3,PhD
student_630,college_0,0,Masters
student_631,college_4,4,None
student_632,college_2,1,Masters
student_633,college_0,1,Bachelors
student_634,college_16,0,Masters
student_635,college_12,0,None
student_636,college_14,3,PhD
student_637,college_5,2,PhD
student_638,college_9,0,PhD
student_639,college_18,0,Bachelors
student_640,college_1,1,Masters
student_641,college_5,4,Bachelors
student_642,college_2,1,PhD
student_643,college_14,0,None
student_644,college_15,1,None
student_645,college_13,1,PhD
student_646,college_6,0,Bachelors
student_647,college_11,1,None
student_648,college_3,1,PhD
student_649,college_18,3,None
student_650,college_16,4,PhD
student_651,college_1,3,Masters
student_652,college_12,1,Bachelors
student_653,college_0,0,Masters
student_654,college_9,5,Masters
student_655,college_4,2,PhD
student_656,college_9,2,PhD
student_657,college_3,1,Bachelors
student_658,college_15,2,None
student_659,college_5,1,Masters
student_660,college_12,1,Masters
student_661,college_16,1,PhD
student_662,college_2,1,None
student_663,college_1,1,None
student_664,college_0,0,None
student_665,college_2,2,PhD
student_666,college_18,1,None
student_667,college_18,4,None
student_668,college_13,0,PhD
student_669,college_3,3,None
student_670,college_0,3,PhD
student_671,college_5,0,None
student_672,college_11,1,Bachelors
student_673,college_13,1,Bachelors
student_674,college_7,0,None
student_675,college_18,0,None
student_676,college_16,0,Bachelors
student_677,college_12,4,PhD
student_678,college_10,3,Masters
student_679,college_10,3,Masters
student_680,college_2,3,Bachelors
student_681,college_16,0,Masters
student_682,college_11,1,PhD
student_683,college_4,2,Masters
student_684,college_3,0,Masters
student_685,college_8,3,Masters
student_686,college_5,1,Masters
student_687,college_2,1,Masters
student_688,college_15,3,None
student_689,college_18,2,None
student_690,college_18,1,PhD
student_691,college_10,3,Masters
student_692,college_14,0,Bachelors
student_693,college_15,2,None
student_694,college_9,2,PhD
student_695,college_18,1,Bachelors
student_696,college_11,2,Bachelors
student_697,college_9,0,None
student_698,college_14,3,Bachelors
student_699,college_1,1,PhD
student_700,college_9,1,Bachelors
student_701,college_2,3,None
student_702,college_14,0,Bachelors
student_703,college_14,0,Masters
student_704,college_10,0,None
student_705,college_16,2,Masters
student_706,college_1,0,None
student_707,college_3,4,PhD
student_708,college_2,0,Masters
student_709,college_1,4,Masters
student_710,college_14,2,None
student_711,college_16,1,Masters
student_712,college_11,1,PhD
student_713,college_9,2,None
student_714,college_13,1,PhD
student_715,college_19,3,Bachelors
student_716,college_10,2,Bachelors
student_717,college_10,2,Bachelors
student_718,college_17,1,None
student_719,college_9,1,PhD
student_720,college_19,2,Masters
student_721,college_10,0,Bachelors
student_722,college_18,0,Masters
student_723,college_11,3,PhD
student_724,college_12,2,Masters
student_725,college_19,1,Bachelors
student_726,college_9,2,None
student_727,college_10,2,Masters
student_728,college_16,1,Bachelors
student_729,college_13,0,PhD
student_730,college_0,2,PhD
student_731,college_9,0,Masters
student_732,college_6,2,PhD
student_733,college_15,0,Masters
student_734,college_7,3,Masters
student_735,college_4,2,Bachelors
student_736,college_9,2,Bachelors
student_737,college_16,3,Bachelors
student_738,college_10,4,Masters
student_739,college_19,3,None
student_740,college_4,0,Masters
student_741,college_5,0,Masters
student_742,college_14,1,Bachelors
student_743,college_13,2,PhD
student_744,college_7,2,None
student_745,college_19,0,PhD
student_746,college_14,2,Masters
student_747,college_17,0,Masters
student_748,college_9,1,None
student_749,college_6,0,PhD
student_750,college_18,0,None
student_751,college_14,0,PhD
student_752,college_12,0,None
student_753,college_5,3,Masters
student_754,college_19,0,Masters
student_755,college_8,5,Bachelors
student_756,college_15,2,PhD
student_757,college_17,2,Bachelors
student_758,college_16,0,Bachelors
student_759,college_9,3,Bachelors
student_760,college_5,1,PhD
student_761,college_14,2,Masters
student_762,college_13,5,Bachelors
student_763,college_7,1,None
student_764,college_11,3,Bachelors
student_765,college_13,0,Bachelors
student_766,college_12,1,PhD
student_767,college_7,4,None
student_768,college_2,1,PhD
student_769,college_7,4,Bachelors
student_770,college_10,3,Bachelors
student_771,college_10,1,Masters
student_772,college_4,2,Bachelors
student_773,college_9,3,None
student_774,college_4,2,None
student_775,college_14,0,Bachelors
student_776,college_2,0,Bachelors
student_777,college_8,1,Masters
student_778,college_4,1,None
student_779,college_3,2,PhD
student_780,college_7,2,PhD
student_781,college_3,0,Bachelors
student_782,college_7,2,None
student_783,college_19,2,None
student_784,college_2,2,Bachelors
student_785,college_15,3,Bachelors
student_786,college_16,3,Masters
student_787,college_4,2,PhD
student_788,college_13,1,Bachelors
student_789,college_19,0,PhD
student_790,college_7,2,None
student_791,college_5,2,Bachelors
student_792,college_16,2,PhD
student_793,college_2,0,Bachelors
student_794,college_12,0,None
student_795,college_1,3,None
student_796,college_11,1,PhD
student_797,college_0,3,PhD
student_798,college_2,2,PhD
student_799,college_7,2,Bachelors
student_800,college_18,3,PhD
student_801,college_4,1,Bachelors
student_802,college_11,2,PhD
student_803,college_5,1,None
student_804,college_15,1,Masters
student_805,college_4,1,Bachelors
student_806,college_14,2,Bachelors
student_807,college_9,1,Masters
student_808,college_1,3,Masters
student_809,college_1,0,PhD
student_810,college_9,1,None
student_811,college_17,1,None
student_812,college_8,4,Bachelors
student_813,college_6,2,PhD
student_814,college_11,3,Bachelors
student_815,college_10,0,PhD
student_816,college_3,2,PhD
student_817,college_13,3,None
student_818,college_14,2,None
student_819,college_10,3,Masters
student_820,college_15,1,None
student_821,college_11,4,PhD
student_822,college_2,5,None
student_823,college_2,1,None
student_824,college_19,1,Masters
student_825,college_17,4,PhD
student_826,college_10,4,Bachelors
student_827,college_2,1,PhD
student_828,college_9,1,PhD
student_829,college_14,1,None
student_830,college_5,0,None
student_831,college_11,0,None
student_832,college_1,0,PhD
student_833,college_19,0,None
student_834,college_8,1,Bachelors
student_835,college_2,2,None
student_836,college_11,4,Masters
student_837,college_0,0,Masters
student_838,college_19,3,None
student_839,college_1,1,Masters
student_840,college_2,1,Masters
student_841,college_11,3,PhD
student_842,college_12,0,Bachelors
student_843,college_19,2,Masters
student_844,college_14,2,PhD
student_845,college_11,2,None
student_846,college_2,2,Masters
student_847,college_16,5,PhD
student_848,college_12,1,PhD
student_849,college_8,1,Masters
student_850,college_3,1,Bachelors
student_851,college_5,1,None
student_852,college_16,1,None
student_853,college_17,3,Bachelors
student_854,college_8,4,PhD
student_855,college_14,1,Masters
student_856,college_19,0,PhD
student_857,college_15,2,Masters
student_858,college_3,1,Masters
student_859,college_2,2,None
student_860,college_5,2,None
student_861,college_2,0,PhD
student_862,college_11,4,Bachelors
student_863,college_17,4,PhD
student_864,college_9,1,Masters
student_865,college_5,1,PhD
student_866,college_16,2,Masters
student_867,college_3,2,Masters
student_868,college_4,2,Masters
student_869,college_15,5,Bachelors
student_870,college_11,1,PhD
student_871,college_14,0,Masters
student_872,college_19,0,Bachelors
student_873,college_2,0,PhD
student_874,college_12,1,None
student_875,college_16,4,None
student_876,college_13,1,Bachelors
student_877,college_4,2,PhD
student_878,college_2,1,None
student_879,college_14,3,PhD
student_880,college_4,5,Masters
student_881,college_4,1,None
student_882,college_16,1,Bachelors
student_883,college_3,3,Masters
student_884,college_9,3,Masters
student_885,college_5,4,PhD
student_886,college_7,2,PhD
student_887,college_16,1,PhD
student_888,college_2,2,PhD
student_889,college_6,3,PhD
student_890,college_4,3,PhD
student_891,college_19,2,Bachelors
student_892,college_16,3,Masters
student_893,college_18,3,Masters
student_894,college_5,4,PhD
student_895,college_18,2,Bachelors
student_896,college_0,1,Bachelors
student_897,college_1,2,PhD
student_898,college_6,3,None
student_899,college_19,0,Bachelors
student_900,college_15,2,PhD
student_901,college_9,1,None
student_902,college_7,2,None
student_903,college_9,3,None
student_904,college_2,2,Bachelors
student_905,college_5,2,None
student_906,college_13,0,None
student_907,college_14,3,Masters
student_908,college_10,2,Masters
student_909,college_10,5,PhD
student_910,college_11,1,None
student_911,college_4,2,PhD
student_912,college_16,2,Bachelors
student_913,college_10,4,Masters
student_914,college_14,1,Bachelors
student_915,college_8,2,None
student_916,college_7,2,Masters
student_917,college_3,2,Bachelors
student_918,college_9,1,None
student_919,college_19,2,None
student_920,college_7,3,Masters
student_921,college_10,0,PhD
student_922,college_6,2,Masters
student_923,college_15,0,None
student_924,college_15,3,PhD
student_925,college_15,0,Bachelors
student_926,college_2,1,None
student_927,college_16,2,None
student_928,college_7,4,Masters
student_929,college_18,1,PhD
student_930,college_1,1,Bachelors
student_931,college_9,4,None
student_932,college_19,0,None
student_933,college_9,0,Bachelors
student_934,college_3,2,None
student_935,college_4,1,PhD
student_936,college_11,0,None
student_937,college_11,3,Bachelors
student_938,college_12,2,Bachelors
student_939,college_18,1,Masters
student_940,college_11,0,PhD
student_941,college_2,3,None
student_942,college_16,2,None
student_943,college_17,1,PhD
student_944,college_19,4,Bachelors
student_945,college_4,0,Bachelors
student_946,college_12,0,PhD
student_947,college_10,0,PhD
student_948,college_4,1,Masters
student_949,college_19,2,None
student_950,college_16,1,Bachelors
student_951,college_1,2,Bachelors
student_952,college_4,0,PhD
student_953,college_15,4,None
student_954,college_4,1,Masters
student_955,college_10,3,PhD
student_956,college_5,2,None
student_957,college_19,2,PhD
student_958,college_18,2,PhD
student_959,college_16,2,None
student_960,college_18,2,PhD
student_961,college_15,3,Bachelors
student_962,college_11,2,PhD
student_963,college_3,3,None
student_964,college_18,1,PhD
student_965,college_0,4,None
student_966,college_8,0,Masters
student_967,college_1,4,None
student_968,college_5,1,None
student_969,college_4,0,Masters
student_970,college_1,2,Bachelors
student_971,college_6,0,Bachelors
student_972,college_14,3,PhD
student_973,college_13,1,Masters
student_974,college_13,1,Masters
student_975,college_13,0,None
student_976,college_1,1,Masters
student_977,college_16,0,Masters
student_978,college_17,0,PhD
student_979,college_15,3,None
student_980,college_10,3,Masters
student_981,college_14,2,PhD
student_982,college_17,0,PhD
student_983,college_8,1,None
student_984,college_6,1,Masters
student_985,college_8,0,PhD
student_986,college_7,4,PhD
student_987,college_9,3,Masters
student_988,college_15,1,PhD
student_989,college_15,2,PhD
student_990,college_17,2,PhD
student_991,college_9,0,Bachelors
student_992,college_18,1,None
student_993,college_12,0,PhD
student_994,college_4,0,PhD
student_995,college_1,1,PhD
student_996,college_2,4,PhD
student_997,college_14,2,PhD
student_998,college_15,1,Masters
student_999,college_6,2,PhD
