student_id,years_of_exposure,Python,JavaScript,React,Node.js,SQL,Docker,AWS,Machine Learning
S091,0.9,4.0,1.0,,3.0,,2.0,2.0,4.0
S092,5.6,,,5.0,,,4.0,3.0,
S093,5.0,,,3.0,1.0,,,,5.0
S094,9.6,2.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0
S095,7.9,3.0,5.0,1.0,,4.0,4.0,1.0,3.0
S096,3.4,2.0,1.0,5.0,,2.0,2.0,5.0,1.0
S097,9.3,5.0,5.0,5.0,,1.0,,5.0,2.0
S098,8.9,4.0,1.0,2.0,4.0,3.0,3.0,3.0,
S099,9.9,1.0,2.0,1.0,,4.0,,4.0,2.0
S100,10.2,,5.0,2.0,3.0,,5.0,4.0,1.0
S101,2.0,5.0,3.0,1.0,4.0,,3.0,5.0,1.0
S102,2.1,,,2.0,,5.0,,1.0,
S103,3.9,,3.0,,5.0,3.0,5.0,5.0,5.0
S104,7.1,5.0,,1.0,,,3.0,,5.0
S105,2.7,,4.0,,,2.0,,,1.0
S106,6.8,,1.0,5.0,3.0,4.0,3.0,4.0,3.0
S107,8.3,3.0,2.0,4.0,,3.0,,3.0,5.0
S108,3.3,1.0,4.0,4.0,,5.0,5.0,2.0,5.0
S109,6.8,3.0,1.0,,2.0,,,,
S110,11.0,,3.0,,1.0,,1.0,2.0,1.0
S111,3.8,2.0,3.0,,1.0,,,5.0,3.0
S112,8.2,4.0,2.0,,3.0,2.0,4.0,5.0,4.0
S113,8.0,2.0,3.0,3.0,5.0,,,,
S114,6.0,5.0,,3.0,3.0,,2.0,,2.0
S115,2.8,5.0,,1.0,5.0,1.0,1.0,,5.0
S116,9.1,,1.0,5.0,5.0,,3.0,4.0,1.0
S117,1.9,4.0,,2.0,4.0,4.0,4.0,5.0,3.0
S118,3.3,5.0,4.0,2.0,2.0,1.0,,5.0,1.0
S119,2.1,1.0,1.0,,2.0,1.0,,,
S120,7.7,,,3.0,2.0,5.0,3.0,5.0,2.0
S121,5.0,3.0,5.0,2.0,2.0,1.0,4.0,,2.0
S122,8.8,,2.0,,5.0,,1.0,,5.0
S123,3.5,1.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0
S124,6.2,5.0,2.0,,5.0,4.0,2.0,4.0,2.0
S125,9.3,3.0,,,5.0,5.0,1.0,1.0,1.0
S126,0.6,,3.0,,5.0,,4.0,,4.0
S127,8.0,2.0,5.0,3.0,4.0,,4.0,2.0,1.0
S128,7.0,,1.0,,2.0,,,3.0,
S129,11.2,1.0,3.0,,,5.0,,2.0,
S130,1.1,5.0,4.0,,5.0,2.0,,1.0,3.0
S131,1.4,4.0,3.0,4.0,5.0,,1.0,3.0,1.0
S132,2.7,,1.0,,,,4.0,3.0,1.0
S133,2.1,3.0,,1.0,4.0,5.0,2.0,2.0,2.0
S134,4.0,3.0,1.0,,2.0,4.0,2.0,2.0,
S135,4.2,,5.0,3.0,2.0,2.0,3.0,4.0,2.0
S136,9.9,2.0,5.0,,,2.0,,3.0,1.0
S137,7.3,4.0,,4.0,5.0,,4.0,3.0,5.0
S138,11.6,,5.0,,,,,4.0,3.0
S139,4.5,4.0,5.0,2.0,,1.0,3.0,1.0,2.0
S140,8.3,,4.0,,4.0,3.0,,1.0,1.0
S141,10.7,,4.0,,2.0,2.0,4.0,5.0,
S142,4.5,5.0,3.0,,1.0,4.0,3.0,5.0,1.0
S143,8.5,2.0,,2.0,2.0,4.0,5.0,2.0,5.0
S144,8.0,,4.0,3.0,4.0,4.0,,,5.0
S145,9.4,2.0,,3.0,3.0,4.0,4.0,1.0,3.0
S146,2.9,2.0,1.0,,3.0,1.0,1.0,2.0,
S147,11.1,1.0,5.0,5.0,3.0,3.0,5.0,1.0,4.0
S148,5.1,,2.0,4.0,,5.0,4.0,1.0,1.0
S149,4.4,,,3.0,5.0,4.0,4.0,3.0,
S150,4.6,,2.0,1.0,4.0,2.0,3.0,3.0,
S151,3.0,,,,,,2.0,1.0,1.0
S152,8.5,,1.0,,,1.0,,4.0,
S153,7.7,3.0,2.0,,2.0,,5.0,4.0,2.0
S154,3.3,,,,1.0,4.0,4.0,2.0,
S155,6.4,,,,3.0,1.0,3.0,5.0,
S156,11.5,5.0,,,1.0,3.0,5.0,5.0,4.0
S157,8.6,1.0,,,,4.0,5.0,,4.0
S158,4.1,,,2.0,,,,4.0,1.0
S159,9.1,1.0,2.0,,2.0,2.0,3.0,3.0,2.0
S160,4.7,3.0,5.0,4.0,3.0,,,,2.0
S161,3.1,1.0,1.0,4.0,,2.0,1.0,,4.0
S162,5.8,1.0,,1.0,,,5.0,4.0,
S163,9.2,3.0,,3.0,2.0,5.0,2.0,,5.0
S164,11.8,1.0,1.0,4.0,3.0,,,5.0,
S165,8.1,5.0,3.0,1.0,5.0,4.0,,,4.0
S166,2.4,,,3.0,3.0,,2.0,5.0,1.0
S167,11.6,3.0,1.0,3.0,5.0,,3.0,,2.0
S168,4.8,5.0,2.0,,2.0,,1.0,2.0,4.0
S169,1.9,2.0,,,,4.0,1.0,3.0,
S170,5.2,4.0,2.0,,3.0,2.0,,2.0,4.0
S171,4.2,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0
S172,7.1,5.0,,2.0,2.0,,,1.0,2.0
S173,6.1,,3.0,1.0,3.0,5.0,2.0,4.0,2.0
S174,8.7,,3.0,,,2.0,,3.0,
S175,9.6,3.0,3.0,,,4.0,3.0,2.0,4.0
S176,1.7,3.0,1.0,5.0,5.0,,5.0,,5.0
S177,11.6,1.0,3.0,3.0,1.0,,1.0,1.0,4.0
S178,2.5,5.0,2.0,1.0,1.0,3.0,,1.0,
S179,3.6,4.0,2.0,4.0,,1.0,2.0,5.0,5.0
S180,0.8,4.0,3.0,,,5.0,1.0,,
S181,4.7,4.0,,3.0,,2.0,,4.0,
S182,5.3,2.0,1.0,,5.0,,5.0,1.0,5.0
S183,12.0,5.0,5.0,4.0,2.0,2.0,4.0,,2.0
S184,1.8,4.0,,3.0,,1.0,5.0,,4.0
S185,7.1,5.0,,3.0,,3.0,3.0,4.0,
S186,10.4,,3.0,1.0,3.0,1.0,3.0,4.0,
S187,11.0,,3.0,4.0,1.0,,,,2.0
S188,1.1,,,4.0,5.0,1.0,2.0,2.0,
S189,9.1,,,1.0,4.0,2.0,4.0,3.0,3.0
S190,8.0,5.0,,,2.0,2.0,,3.0,
S191,7.2,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0
S192,10.4,,,,,3.0,4.0,,3.0
S193,7.2,5.0,3.0,,,1.0,3.0,4.0,1.0
S194,5.3,5.0,1.0,3.0,5.0,2.0,3.0,2.0,3.0
S195,1.1,5.0,,5.0,,5.0,4.0,4.0,
S196,3.6,,2.0,4.0,2.0,1.0,,,
S197,9.2,4.0,4.0,1.0,3.0,,,3.0,
S198,4.6,4.0,3.0,1.0,3.0,5.0,3.0,2.0,4.0
S199,9.4,2.0,1.0,2.0,1.0,,,3.0,
S200,6.4,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0
