student_id,verified_skills,skill_scores,experience,education
S022,"Python, Data Engineering, Statistics","{'Python': 48, 'Data Engineering': 74, 'Statistics': 56}",2,Bachelors
S023,Statistics,{'Statistics': 40},5,Masters
S024,"Python, NLP, Data Engineering, Node.js, Machine Learning, C++","{'Python': 66, 'NLP': 73, 'Data Engineering': 47, 'Node.js': 87, 'Machine Learning': 44, 'C++': 70}",7,PhD
S025,"Docker, React","{'Docker': 54, 'React': 100}",0,Self-Taught
S026,"Docker, Python, SQL, MLOps, GCP","{'Docker': 65, 'Python': 67, 'SQL': 83, 'MLOps': 46, 'GCP': 71}",7,Bachelors
S027,"Java, Statistics","{'Java': 44, 'Statistics': 48}",4,Self-Taught
S028,"AWS, React, R, MLOps, Data Engineering, Kubernetes","{'AWS': 67, 'React': 46, 'R': 90, 'MLOps': 84, 'Data Engineering': 47, 'Kubernetes': 94}",3,Bootcamp
S029,"MLOps, GCP, Java, React, Node.js, Computer Vision, AWS, SQL","{'MLOps': 60, 'GCP': 67, 'Java': 60, 'React': 82, 'Node.js': 56, 'Computer Vision': 63, 'AWS': 49, 'SQL': 83}",7,Bachelors
S030,"Machine Learning, Node.js","{'Machine Learning': 67, 'Node.js': 46}",5,Masters
S031,Node.js,{'Node.js': 75},5,Bachelors
S032,"C++, GCP, SQL, Statistics, R, Docker, NLP","{'C++': 46, 'GCP': 76, 'SQL': 72, 'Statistics': 53, 'R': 49, 'Docker': 82, 'NLP': 70}",3,Bachelors
S033,"Node.js, C++, Deep Learning, AWS, Statistics, R","{'Node.js': 54, 'C++': 91, 'Deep Learning': 67, 'AWS': 94, 'Statistics': 75, 'R': 89}",0,Self-Taught
S034,"Python, NLP, Data Engineering, C++, AWS","{'Python': 59, 'NLP': 98, 'Data Engineering': 61, 'C++': 62, 'AWS': 40}",2,Masters
S035,"Machine Learning, Statistics, Python, SQL, C++, Data Engineering, Deep Learning","{'Machine Learning': 64, 'Statistics': 66, 'Python': 69, 'SQL': 61, 'C++': 50, 'Data Engineering': 63, 'Deep Learning': 59}",5,Self-Taught
S036,"SQL, Statistics","{'SQL': 50, 'Statistics': 88}",0,Bachelors
S037,"Docker, GCP, Kubernetes, R, MLOps","{'Docker': 66, 'GCP': 57, 'Kubernetes': 53, 'R': 88, 'MLOps': 72}",1,PhD
S038,"Deep Learning, R, Kubernetes, Data Engineering, Java, Statistics, Python","{'Deep Learning': 54, 'R': 65, 'Kubernetes': 78, 'Data Engineering': 43, 'Java': 40, 'Statistics': 53, 'Python': 59}",3,Masters
S039,"R, Java, Deep Learning, Python, MLOps","{'R': 87, 'Java': 67, 'Deep Learning': 51, 'Python': 48, 'MLOps': 64}",3,Self-Taught
S040,"Machine Learning, AWS, SQL, Computer Vision, Python, MLOps","{'Machine Learning': 98, 'AWS': 44, 'SQL': 95, 'Computer Vision': 60, 'Python': 76, 'MLOps': 67}",6,Bootcamp
S041,"Deep Learning, AWS, Python, NLP, Machine Learning","{'Deep Learning': 91, 'AWS': 100, 'Python': 79, 'NLP': 69, 'Machine Learning': 93}",5,Bachelors
S042,"Deep Learning, MLOps, GCP, R, Computer Vision, Data Engineering, SQL","{'Deep Learning': 65, 'MLOps': 95, 'GCP': 59, 'R': 87, 'Computer Vision': 61, 'Data Engineering': 54, 'SQL': 61}",2,Bachelors
S043,"React, Node.js","{'React': 52, 'Node.js': 97}",5,PhD
S044,"MLOps, Deep Learning, Statistics","{'MLOps': 56, 'Deep Learning': 52, 'Statistics': 51}",2,Bachelors
S045,"Kubernetes, Docker, React","{'Kubernetes': 83, 'Docker': 99, 'React': 96}",5,PhD
S046,"Docker, Machine Learning, Kubernetes","{'Docker': 68, 'Machine Learning': 80, 'Kubernetes': 59}",4,Self-Taught
S047,C++,{'C++': 72},1,PhD
S048,"Docker, SQL, React, NLP, GCP, Statistics, Kubernetes, Java","{'Docker': 95, 'SQL': 94, 'React': 45, 'NLP': 79, 'GCP': 78, 'Statistics': 72, 'Kubernetes': 64, 'Java': 69}",0,Bootcamp
S049,"Java, Kubernetes, Statistics, Python","{'Java': 68, 'Kubernetes': 46, 'Statistics': 91, 'Python': 97}",5,Bachelors
S050,"SQL, MLOps, Docker","{'SQL': 68, 'MLOps': 73, 'Docker': 73}",2,PhD
S051,"R, AWS, GCP, React, NLP, Java","{'R': 78, 'AWS': 43, 'GCP': 90, 'React': 80, 'NLP': 81, 'Java': 61}",1,PhD
S052,"Node.js, AWS","{'Node.js': 58, 'AWS': 56}",2,PhD
S053,"Statistics, C++","{'Statistics': 59, 'C++': 81}",6,Masters
S054,"R, AWS","{'R': 81, 'AWS': 90}",5,Masters
S055,"GCP, React","{'GCP': 63, 'React': 41}",5,PhD
S056,"Computer Vision, Java, Kubernetes","{'Computer Vision': 52, 'Java': 54, 'Kubernetes': 48}",2,Bachelors
S057,"Deep Learning, React, SQL, Java, NLP","{'Deep Learning': 96, 'React': 89, 'SQL': 79, 'Java': 48, 'NLP': 78}",6,Masters
S058,"NLP, Node.js, Docker","{'NLP': 42, 'Node.js': 66, 'Docker': 63}",3,Bootcamp
S059,"Docker, MLOps, React, Statistics, AWS","{'Docker': 90, 'MLOps': 70, 'React': 97, 'Statistics': 93, 'AWS': 52}",5,Self-Taught
S060,"Docker, R, AWS, Data Engineering, Node.js, Computer Vision, Machine Learning, Deep Learning","{'Docker': 91, 'R': 78, 'AWS': 48, 'Data Engineering': 95, 'Node.js': 56, 'Computer Vision': 43, 'Machine Learning': 81, 'Deep Learning': 70}",5,Self-Taught
S061,"React, Deep Learning","{'React': 58, 'Deep Learning': 45}",2,PhD
S062,"React, Statistics, GCP, SQL, Deep Learning, MLOps, NLP, Python","{'React': 66, 'Statistics': 43, 'GCP': 65, 'SQL': 72, 'Deep Learning': 63, 'MLOps': 55, 'NLP': 64, 'Python': 45}",5,Masters
S063,Java,{'Java': 99},1,PhD
S064,"Statistics, SQL, R","{'Statistics': 98, 'SQL': 93, 'R': 70}",2,Bootcamp
S065,"Python, Machine Learning, Node.js, Statistics, Deep Learning, React, Data Engineering, R","{'Python': 73, 'Machine Learning': 67, 'Node.js': 47, 'Statistics': 89, 'Deep Learning': 58, 'React': 55, 'Data Engineering': 59, 'R': 47}",0,Masters
S066,"Docker, Machine Learning, Deep Learning, GCP, MLOps, R, Data Engineering","{'Docker': 41, 'Machine Learning': 80, 'Deep Learning': 72, 'GCP': 76, 'MLOps': 55, 'R': 85, 'Data Engineering': 49}",4,Bootcamp
S067,C++,{'C++': 55},6,Masters
S068,"React, C++","{'React': 44, 'C++': 73}",0,Bootcamp
S069,"SQL, AWS, C++, Statistics, Kubernetes, Python, NLP, Node.js","{'SQL': 62, 'AWS': 55, 'C++': 86, 'Statistics': 82, 'Kubernetes': 80, 'Python': 46, 'NLP': 89, 'Node.js': 77}",5,Masters
S070,C++,{'C++': 74},5,Masters
S071,"Kubernetes, NLP, Statistics, SQL, C++, AWS, MLOps, Python","{'Kubernetes': 58, 'NLP': 52, 'Statistics': 42, 'SQL': 90, 'C++': 52, 'AWS': 96, 'MLOps': 42, 'Python': 60}",4,Self-Taught
S072,"Node.js, Kubernetes, Data Engineering, Python, AWS, Java, Deep Learning","{'Node.js': 58, 'Kubernetes': 62, 'Data Engineering': 95, 'Python': 89, 'AWS': 43, 'Java': 95, 'Deep Learning': 81}",5,PhD
S073,"C++, GCP","{'C++': 96, 'GCP': 65}",7,Bootcamp
S074,"NLP, Kubernetes, React, Node.js, AWS, Data Engineering","{'NLP': 57, 'Kubernetes': 91, 'React': 45, 'Node.js': 86, 'AWS': 67, 'Data Engineering': 45}",6,Self-Taught
S075,"Node.js, R, Java","{'Node.js': 46, 'R': 45, 'Java': 60}",4,PhD
S076,"GCP, NLP, Docker, React, MLOps, Python, C++, Kubernetes","{'GCP': 79, 'NLP': 67, 'Docker': 57, 'React': 80, 'MLOps': 90, 'Python': 100, 'C++': 43, 'Kubernetes': 44}",6,PhD
S077,"Python, Statistics, Docker","{'Python': 42, 'Statistics': 48, 'Docker': 44}",3,PhD
S078,"AWS, SQL, Statistics, Java, MLOps, NLP","{'AWS': 63, 'SQL': 68, 'Statistics': 88, 'Java': 44, 'MLOps': 76, 'NLP': 48}",5,Bootcamp
S079,"Data Engineering, MLOps, Deep Learning, Python, C++, Machine Learning","{'Data Engineering': 71, 'MLOps': 73, 'Deep Learning': 64, 'Python': 98, 'C++': 75, 'Machine Learning': 47}",4,PhD
S080,"Computer Vision, R, Kubernetes, Deep Learning, SQL, Machine Learning, GCP, MLOps","{'Computer Vision': 51, 'R': 97, 'Kubernetes': 85, 'Deep Learning': 68, 'SQL': 45, 'Machine Learning': 91, 'GCP': 83, 'MLOps': 94}",5,PhD
S081,"Node.js, R","{'Node.js': 97, 'R': 59}",2,Masters
S082,"React, MLOps, Deep Learning, Kubernetes, AWS, Machine Learning","{'React': 55, 'MLOps': 90, 'Deep Learning': 71, 'Kubernetes': 41, 'AWS': 63, 'Machine Learning': 75}",5,Bootcamp
S083,"Machine Learning, Node.js, R","{'Machine Learning': 65, 'Node.js': 85, 'R': 86}",7,Self-Taught
S084,"GCP, Machine Learning, Statistics, NLP, Java, SQL, MLOps","{'GCP': 69, 'Machine Learning': 83, 'Statistics': 73, 'NLP': 62, 'Java': 48, 'SQL': 96, 'MLOps': 93}",2,Masters
S085,"React, SQL, Deep Learning, Data Engineering, Machine Learning, Statistics, GCP","{'React': 50, 'SQL': 60, 'Deep Learning': 99, 'Data Engineering': 85, 'Machine Learning': 54, 'Statistics': 62, 'GCP': 100}",4,Bachelors
S086,"Computer Vision, Data Engineering, Statistics, Java, Kubernetes","{'Computer Vision': 79, 'Data Engineering': 74, 'Statistics': 45, 'Java': 72, 'Kubernetes': 81}",2,Self-Taught
S087,"NLP, Java, SQL","{'NLP': 92, 'Java': 95, 'SQL': 41}",1,Bachelors
S088,"Computer Vision, GCP, Python, MLOps, Java","{'Computer Vision': 74, 'GCP': 58, 'Python': 81, 'MLOps': 59, 'Java': 70}",3,Bootcamp
S089,"Docker, Machine Learning, SQL, React, MLOps","{'Docker': 66, 'Machine Learning': 70, 'SQL': 69, 'React': 53, 'MLOps': 61}",2,PhD
S090,"C++, AWS, Statistics, React, NLP, Data Engineering","{'C++': 75, 'AWS': 46, 'Statistics': 60, 'React': 55, 'NLP': 69, 'Data Engineering': 47}",4,Bootcamp
S091,"Statistics, Deep Learning, SQL, Node.js","{'Statistics': 100, 'Deep Learning': 64, 'SQL': 95, 'Node.js': 79}",6,Masters
S092,"Java, Node.js, Computer Vision","{'Java': 88, 'Node.js': 50, 'Computer Vision': 71}",7,Bootcamp
S093,"Kubernetes, Python, Machine Learning, Computer Vision, Data Engineering","{'Kubernetes': 69, 'Python': 55, 'Machine Learning': 53, 'Computer Vision': 77, 'Data Engineering': 62}",0,Bachelors
S094,"Kubernetes, Node.js, R, Data Engineering, Python","{'Kubernetes': 94, 'Node.js': 46, 'R': 67, 'Data Engineering': 48, 'Python': 96}",4,PhD
S095,"C++, SQL, AWS, Python, R, Data Engineering, Deep Learning","{'C++': 63, 'SQL': 75, 'AWS': 58, 'Python': 44, 'R': 64, 'Data Engineering': 72, 'Deep Learning': 68}",4,Self-Taught
S096,"Statistics, Deep Learning","{'Statistics': 65, 'Deep Learning': 63}",5,Self-Taught
S097,"Statistics, Computer Vision, AWS, Data Engineering, Python, GCP","{'Statistics': 42, 'Computer Vision': 48, 'AWS': 85, 'Data Engineering': 61, 'Python': 91, 'GCP': 70}",7,Masters
S098,"Java, Node.js, NLP","{'Java': 65, 'Node.js': 79, 'NLP': 87}",4,Self-Taught
S099,"React, Node.js, Kubernetes, C++, R, Statistics","{'React': 70, 'Node.js': 92, 'Kubernetes': 41, 'C++': 63, 'R': 61, 'Statistics': 83}",1,Bootcamp
S100,"Python, Kubernetes, Data Engineering, Java, AWS","{'Python': 89, 'Kubernetes': 77, 'Data Engineering': 76, 'Java': 54, 'AWS': 86}",0,Self-Taught
S101,"NLP, React, AWS, Machine Learning, GCP, Java, Deep Learning, Python","{'NLP': 76, 'React': 100, 'AWS': 84, 'Machine Learning': 47, 'GCP': 52, 'Java': 41, 'Deep Learning': 68, 'Python': 60}",6,Masters
S102,"Computer Vision, GCP, Kubernetes, React, Docker, C++, AWS","{'Computer Vision': 43, 'GCP': 85, 'Kubernetes': 48, 'React': 73, 'Docker': 53, 'C++': 75, 'AWS': 60}",7,Self-Taught
S103,"Java, NLP, Docker, Kubernetes, Data Engineering, React, GCP","{'Java': 62, 'NLP': 83, 'Docker': 89, 'Kubernetes': 95, 'Data Engineering': 86, 'React': 83, 'GCP': 81}",4,Self-Taught
S104,"Computer Vision, MLOps, Data Engineering, Kubernetes, Statistics, Deep Learning, GCP, C++","{'Computer Vision': 85, 'MLOps': 53, 'Data Engineering': 84, 'Kubernetes': 85, 'Statistics': 71, 'Deep Learning': 60, 'GCP': 70, 'C++': 62}",4,PhD
S105,"Node.js, AWS","{'Node.js': 97, 'AWS': 65}",5,Masters
S106,"SQL, R, Machine Learning, NLP, MLOps","{'SQL': 81, 'R': 56, 'Machine Learning': 87, 'NLP': 70, 'MLOps': 53}",3,Self-Taught
S107,"Node.js, Data Engineering, Statistics, SQL, R","{'Node.js': 87, 'Data Engineering': 77, 'Statistics': 55, 'SQL': 55, 'R': 43}",3,Masters
S108,Deep Learning,{'Deep Learning': 66},5,Bootcamp
S109,"Statistics, Python","{'Statistics': 75, 'Python': 99}",2,Bootcamp
S110,"Kubernetes, Computer Vision, R, NLP, Statistics, Java, Python, SQL","{'Kubernetes': 81, 'Computer Vision': 76, 'R': 54, 'NLP': 74, 'Statistics': 87, 'Java': 86, 'Python': 94, 'SQL': 99}",0,Masters
S111,"NLP, SQL, AWS, Kubernetes, MLOps, Machine Learning, C++","{'NLP': 95, 'SQL': 99, 'AWS': 58, 'Kubernetes': 96, 'MLOps': 42, 'Machine Learning': 40, 'C++': 59}",1,PhD
S112,"Docker, React, Kubernetes, Node.js, Machine Learning","{'Docker': 94, 'React': 72, 'Kubernetes': 69, 'Node.js': 57, 'Machine Learning': 52}",1,PhD
S113,"Docker, Data Engineering, NLP","{'Docker': 40, 'Data Engineering': 87, 'NLP': 61}",4,Self-Taught
S114,"NLP, AWS, GCP, Data Engineering","{'NLP': 60, 'AWS': 45, 'GCP': 65, 'Data Engineering': 82}",1,Masters
S115,"Kubernetes, Java, MLOps","{'Kubernetes': 40, 'Java': 56, 'MLOps': 64}",3,Bootcamp
S116,"Java, R, Python, Statistics, Node.js","{'Java': 63, 'R': 84, 'Python': 55, 'Statistics': 43, 'Node.js': 82}",1,Bootcamp
S117,"NLP, AWS, R, C++, SQL","{'NLP': 80, 'AWS': 98, 'R': 100, 'C++': 58, 'SQL': 63}",3,Masters
S118,"Kubernetes, Statistics, Docker","{'Kubernetes': 87, 'Statistics': 78, 'Docker': 63}",6,Self-Taught
S119,"Node.js, Computer Vision, MLOps, Java, AWS, R, SQL, Data Engineering","{'Node.js': 68, 'Computer Vision': 73, 'MLOps': 85, 'Java': 63, 'AWS': 44, 'R': 98, 'SQL': 76, 'Data Engineering': 47}",0,Self-Taught
S120,"Node.js, Statistics, NLP, Kubernetes","{'Node.js': 94, 'Statistics': 73, 'NLP': 68, 'Kubernetes': 47}",3,Self-Taught
S121,"Machine Learning, React, Docker, AWS, Python, MLOps, Node.js, Data Engineering","{'Machine Learning': 66, 'React': 69, 'Docker': 76, 'AWS': 43, 'Python': 75, 'MLOps': 69, 'Node.js': 83, 'Data Engineering': 91}",4,Bachelors
S122,"Data Engineering, Python, Computer Vision, R, SQL, React, Kubernetes","{'Data Engineering': 62, 'Python': 84, 'Computer Vision': 44, 'R': 74, 'SQL': 43, 'React': 99, 'Kubernetes': 97}",1,Bootcamp
S123,R,{'R': 66},2,Masters
S124,"C++, AWS, Docker, GCP, Computer Vision, Kubernetes, SQL","{'C++': 83, 'AWS': 82, 'Docker': 95, 'GCP': 74, 'Computer Vision': 48, 'Kubernetes': 81, 'SQL': 95}",5,Bachelors
S125,"Node.js, AWS, Statistics","{'Node.js': 86, 'AWS': 54, 'Statistics': 93}",0,Bachelors
S126,"Docker, GCP, AWS, React, Deep Learning","{'Docker': 55, 'GCP': 69, 'AWS': 62, 'React': 49, 'Deep Learning': 57}",3,Bachelors
S127,GCP,{'GCP': 79},0,Masters
S128,"Machine Learning, Deep Learning, SQL, MLOps","{'Machine Learning': 78, 'Deep Learning': 83, 'SQL': 85, 'MLOps': 95}",0,Masters
S129,AWS,{'AWS': 68},3,Self-Taught
S130,"SQL, Statistics, R, Deep Learning","{'SQL': 92, 'Statistics': 98, 'R': 86, 'Deep Learning': 76}",5,Self-Taught
S131,"MLOps, R, Statistics, Java, Data Engineering, Deep Learning","{'MLOps': 66, 'R': 59, 'Statistics': 57, 'Java': 43, 'Data Engineering': 75, 'Deep Learning': 100}",2,Bootcamp
S132,"SQL, C++, AWS, Kubernetes, Data Engineering, NLP, React, Computer Vision","{'SQL': 66, 'C++': 49, 'AWS': 59, 'Kubernetes': 64, 'Data Engineering': 51, 'NLP': 88, 'React': 74, 'Computer Vision': 70}",3,Masters
S133,"Statistics, Docker, SQL, Data Engineering, Computer Vision","{'Statistics': 66, 'Docker': 75, 'SQL': 73, 'Data Engineering': 48, 'Computer Vision': 64}",3,PhD
S134,"Java, Machine Learning, Docker, GCP","{'Java': 63, 'Machine Learning': 45, 'Docker': 74, 'GCP': 86}",3,Bachelors
S135,"AWS, SQL, Machine Learning, Deep Learning, Node.js","{'AWS': 88, 'SQL': 77, 'Machine Learning': 86, 'Deep Learning': 82, 'Node.js': 75}",3,Bootcamp
S136,"Java, R, Python, Deep Learning","{'Java': 99, 'R': 52, 'Python': 87, 'Deep Learning': 47}",7,Masters
S137,"AWS, MLOps, Java, Node.js","{'AWS': 58, 'MLOps': 64, 'Java': 69, 'Node.js': 74}",5,PhD
S138,"C++, React, Kubernetes, MLOps, SQL","{'C++': 91, 'React': 86, 'Kubernetes': 70, 'MLOps': 88, 'SQL': 93}",5,Masters
S139,"Java, GCP, SQL, R, React, Deep Learning","{'Java': 87, 'GCP': 49, 'SQL': 41, 'R': 56, 'React': 75, 'Deep Learning': 99}",6,PhD
S140,"Computer Vision, Java, MLOps","{'Computer Vision': 64, 'Java': 76, 'MLOps': 93}",3,Bootcamp
S141,"Data Engineering, Kubernetes, React, MLOps, Machine Learning, C++","{'Data Engineering': 90, 'Kubernetes': 62, 'React': 50, 'MLOps': 48, 'Machine Learning': 86, 'C++': 74}",7,Masters
S142,React,{'React': 42},1,Bachelors
S143,GCP,{'GCP': 48},3,Bachelors
S144,"Python, Computer Vision, Docker","{'Python': 63, 'Computer Vision': 43, 'Docker': 79}",7,Bootcamp
S145,Python,{'Python': 74},6,Bachelors
S146,React,{'React': 86},4,Self-Taught
S147,"Python, React, GCP, AWS, Machine Learning","{'Python': 46, 'React': 98, 'GCP': 46, 'AWS': 73, 'Machine Learning': 49}",3,Masters
S148,"C++, Data Engineering, AWS, SQL, NLP","{'C++': 65, 'Data Engineering': 69, 'AWS': 76, 'SQL': 55, 'NLP': 84}",3,PhD
S149,"SQL, Machine Learning","{'SQL': 65, 'Machine Learning': 64}",6,Self-Taught
S150,"SQL, Python, NLP, Node.js, MLOps, Computer Vision, Java, Kubernetes","{'SQL': 76, 'Python': 94, 'NLP': 46, 'Node.js': 97, 'MLOps': 73, 'Computer Vision': 98, 'Java': 42, 'Kubernetes': 54}",3,Self-Taught
S151,"Data Engineering, SQL, Machine Learning, Java, Statistics, Node.js, R, Docker","{'Data Engineering': 42, 'SQL': 51, 'Machine Learning': 99, 'Java': 94, 'Statistics': 60, 'Node.js': 41, 'R': 53, 'Docker': 77}",2,Bootcamp
S152,"R, NLP","{'R': 76, 'NLP': 55}",6,Self-Taught
S153,"AWS, Statistics, Machine Learning, Data Engineering, C++, NLP","{'AWS': 43, 'Statistics': 46, 'Machine Learning': 67, 'Data Engineering': 54, 'C++': 93, 'NLP': 44}",5,Self-Taught
S154,"Java, Python, Data Engineering, AWS, MLOps, GCP, Deep Learning","{'Java': 62, 'Python': 75, 'Data Engineering': 100, 'AWS': 64, 'MLOps': 67, 'GCP': 51, 'Deep Learning': 83}",6,Bachelors
S155,"MLOps, Machine Learning, React, Statistics, Kubernetes","{'MLOps': 64, 'Machine Learning': 85, 'React': 90, 'Statistics': 80, 'Kubernetes': 49}",6,PhD
S156,"Deep Learning, Machine Learning, Python, Statistics, MLOps, NLP","{'Deep Learning': 88, 'Machine Learning': 57, 'Python': 46, 'Statistics': 48, 'MLOps': 45, 'NLP': 51}",6,Bootcamp
S157,"Deep Learning, Python, Machine Learning, NLP, Data Engineering, SQL, R","{'Deep Learning': 78, 'Python': 90, 'Machine Learning': 60, 'NLP': 95, 'Data Engineering': 64, 'SQL': 40, 'R': 58}",6,Bootcamp
S158,"Node.js, MLOps","{'Node.js': 76, 'MLOps': 73}",2,Bootcamp
S159,"Statistics, Data Engineering, R","{'Statistics': 57, 'Data Engineering': 71, 'R': 49}",1,Masters
S160,"Data Engineering, GCP, R, MLOps, AWS, SQL, NLP","{'Data Engineering': 56, 'GCP': 100, 'R': 55, 'MLOps': 86, 'AWS': 80, 'SQL': 71, 'NLP': 78}",3,Bootcamp
S161,"Statistics, R","{'Statistics': 40, 'R': 100}",6,PhD
S162,"Java, Docker, Node.js, Computer Vision, GCP, Kubernetes, R","{'Java': 48, 'Docker': 59, 'Node.js': 60, 'Computer Vision': 78, 'GCP': 100, 'Kubernetes': 84, 'R': 52}",7,PhD
S163,"AWS, Java, R","{'AWS': 87, 'Java': 84, 'R': 80}",7,Self-Taught
S164,"Java, AWS, Data Engineering, GCP","{'Java': 90, 'AWS': 65, 'Data Engineering': 63, 'GCP': 47}",3,Self-Taught
S165,"Node.js, Python, Docker","{'Node.js': 100, 'Python': 85, 'Docker': 53}",7,PhD
S166,"GCP, Kubernetes","{'GCP': 48, 'Kubernetes': 80}",4,Masters
S167,"Statistics, GCP, AWS, SQL, MLOps","{'Statistics': 78, 'GCP': 70, 'AWS': 77, 'SQL': 65, 'MLOps': 74}",6,Self-Taught
S168,C++,{'C++': 84},1,Bachelors
S169,"C++, NLP, SQL, R","{'C++': 81, 'NLP': 83, 'SQL': 81, 'R': 65}",5,Bootcamp
S170,"Python, Deep Learning","{'Python': 56, 'Deep Learning': 54}",3,Bootcamp
S171,"AWS, Docker, Statistics, NLP, Python, MLOps","{'AWS': 46, 'Docker': 58, 'Statistics': 66, 'NLP': 98, 'Python': 45, 'MLOps': 47}",2,PhD
S172,"Java, Docker, Computer Vision, Data Engineering, MLOps","{'Java': 62, 'Docker': 70, 'Computer Vision': 46, 'Data Engineering': 68, 'MLOps': 86}",7,PhD
S173,"R, SQL","{'R': 91, 'SQL': 85}",1,Bachelors
S174,"Deep Learning, NLP, MLOps, Data Engineering, Machine Learning, Docker","{'Deep Learning': 50, 'NLP': 61, 'MLOps': 75, 'Data Engineering': 67, 'Machine Learning': 69, 'Docker': 54}",6,Masters
S175,"GCP, AWS, Python","{'GCP': 87, 'AWS': 79, 'Python': 96}",3,Bootcamp
S176,"AWS, Python, Computer Vision, Deep Learning, Statistics, Node.js, C++","{'AWS': 91, 'Python': 90, 'Computer Vision': 44, 'Deep Learning': 76, 'Statistics': 46, 'Node.js': 91, 'C++': 95}",2,PhD
S177,"Computer Vision, Docker, Deep Learning, Statistics, Java, MLOps","{'Computer Vision': 73, 'Docker': 80, 'Deep Learning': 60, 'Statistics': 78, 'Java': 64, 'MLOps': 79}",6,Self-Taught
S178,"C++, Node.js","{'C++': 94, 'Node.js': 69}",2,PhD
S179,"Statistics, Java","{'Statistics': 47, 'Java': 55}",4,Bachelors
S180,"C++, Statistics, AWS","{'C++': 66, 'Statistics': 78, 'AWS': 48}",6,Bootcamp
S181,"Kubernetes, NLP, React","{'Kubernetes': 71, 'NLP': 58, 'React': 48}",2,PhD
S182,"SQL, C++, Python, MLOps, Machine Learning, Deep Learning, Computer Vision, Data Engineering","{'SQL': 72, 'C++': 81, 'Python': 71, 'MLOps': 66, 'Machine Learning': 83, 'Deep Learning': 71, 'Computer Vision': 66, 'Data Engineering': 85}",7,Bootcamp
S183,"Machine Learning, Python, MLOps","{'Machine Learning': 58, 'Python': 42, 'MLOps': 57}",3,Self-Taught
S184,"NLP, Docker, Kubernetes, Data Engineering, React","{'NLP': 47, 'Docker': 76, 'Kubernetes': 47, 'Data Engineering': 57, 'React': 89}",5,Self-Taught
S185,Docker,{'Docker': 74},3,Bootcamp
