candidate_id,as_of_date,days_since_signup,days_since_last_event,events_7d,events_14d,events_30d,events_90d,apply_30d,apply_90d,login_30d,distinct_event_types_30d,recency_trend_ratio,seniority_enc,city_tier_enc,channel_enc,device_enc,fairness_group,churned
C100732,2025-03-01,16,5,3,5,5,5,1,1,3,3,1.3333333333333333,0,0,3,0,group_B,0
C100750,2025-03-01,37,2,1,3,5,6,0,0,5,1,0.6666666666666666,2,1,2,1,group_A,0
C100753,2025-03-01,24,12,0,1,4,4,0,0,2,2,0.5,2,0,0,2,group_A,0
C100762,2025-03-01,31,3,2,3,6,6,1,1,1,4,1.5,1,0,2,0,group_A,0
C100763,2025-03-01,24,15,0,0,1,1,0,0,1,1,1.0,1,0,2,2,group_A,0
C100771,2025-03-01,51,27,0,0,1,1,0,0,0,1,1.0,2,2,0,0,group_A,1
C100775,2025-03-01,32,3,1,1,6,6,2,2,2,3,2.0,3,2,0,0,group_A,0
C100796,2025-03-01,41,2,2,4,7,13,1,1,3,3,1.0,1,1,3,0,group_B,0
C100803,2025-03-01,14,14,0,0,0,0,0,0,0,0,0.0,2,0,0,0,group_B,1
C100809,2025-03-01,57,4,2,4,12,20,1,6,6,4,1.0,2,2,0,0,group_B,0
C100819,2025-03-01,58,0,4,8,13,21,2,5,6,5,1.0,1,0,2,0,group_B,0
C100839,2025-03-01,10,2,1,2,2,2,0,0,0,2,1.0,3,1,0,0,group_A,0
C100842,2025-03-01,9,1,6,6,6,6,1,1,0,2,7.0,1,0,2,2,group_A,0
C100850,2025-03-01,48,5,1,2,4,6,1,1,2,3,1.0,2,0,3,2,group_B,0
C100852,2025-03-01,38,0,6,11,17,19,5,5,8,4,1.1666666666666667,3,1,0,2,group_B,0
C100860,2025-03-01,41,0,5,6,14,22,3,3,5,5,3.0,3,1,1,2,group_B,0
C100861,2025-03-01,19,5,2,4,6,6,0,0,2,2,1.0,0,2,2,0,group_B,0
C100893,2025-03-01,48,0,5,6,13,14,1,1,9,4,3.0,2,2,3,0,group_A,0
C100913,2025-03-01,48,5,1,3,7,13,0,0,4,2,0.6666666666666666,2,0,1,1,group_A,0
C100925,2025-03-01,29,1,2,7,9,9,0,0,5,4,0.5,1,1,3,2,group_B,0
C100935,2025-03-01,26,0,6,10,11,11,2,2,4,4,1.4,0,0,0,2,group_B,0
C100942,2025-03-01,11,2,3,4,4,4,1,1,3,2,2.0,0,1,0,0,group_A,0
C100946,2025-03-01,44,8,0,4,7,9,2,2,2,4,0.2,0,1,0,2,group_B,1
C100948,2025-03-01,30,2,2,6,14,14,0,0,5,3,0.6,1,0,2,0,group_A,0
C100958,2025-03-01,43,1,6,9,17,23,7,8,4,4,1.75,0,2,0,0,group_A,0
C100964,2025-03-01,31,3,3,4,11,11,4,4,5,3,2.0,1,1,1,0,group_B,0
C100968,2025-03-01,15,2,2,4,4,4,0,0,2,2,1.0,1,1,3,0,group_A,0
C100998,2025-03-01,38,1,2,3,6,11,0,0,3,2,1.5,1,1,0,2,group_A,0
C101005,2025-03-01,15,0,7,11,11,11,1,1,7,3,1.6,1,0,2,2,group_B,0
C101053,2025-03-01,36,3,1,2,10,11,2,2,5,5,1.0,2,1,0,0,group_B,0
C101055,2025-03-01,56,17,0,0,4,11,1,3,2,3,1.0,0,1,0,2,group_A,0
C101066,2025-03-01,18,3,2,2,3,3,0,0,1,2,3.0,1,1,1,0,group_A,0
C101080,2025-03-01,15,3,1,3,3,3,2,2,0,2,0.6666666666666666,0,1,0,2,group_A,0
C101081,2025-03-01,53,0,6,8,14,24,1,2,4,5,2.3333333333333335,1,0,2,2,group_A,0
C101082,2025-03-01,36,3,4,5,10,13,3,4,3,4,2.5,2,0,0,0,group_B,0
C101087,2025-03-01,53,7,1,2,9,17,0,1,5,3,1.0,2,1,1,0,group_B,0
C101102,2025-03-01,14,3,4,7,7,7,0,0,3,2,1.25,1,1,0,0,group_B,0
C101107,2025-03-01,8,0,2,2,2,2,0,0,2,1,3.0,2,0,1,1,group_A,0
C101108,2025-03-01,26,3,1,2,5,5,1,1,1,3,1.0,1,1,1,0,group_B,0
C101116,2025-03-01,56,1,3,5,16,33,2,4,6,5,1.3333333333333333,2,1,0,1,group_A,0
C101142,2025-03-01,21,2,1,2,3,3,0,0,2,2,1.0,1,1,0,1,group_B,0
C101153,2025-03-01,9,3,1,1,1,1,0,0,0,1,2.0,1,1,2,0,group_B,0
C101168,2025-03-01,58,5,3,3,8,16,0,2,3,4,4.0,3,0,0,0,group_A,0
C101169,2025-03-01,13,0,10,12,12,12,1,1,4,5,3.6666666666666665,1,2,0,1,group_B,0
C101181,2025-03-01,19,0,3,4,4,4,0,0,2,3,2.0,2,0,3,0,group_B,0
C101197,2025-03-01,49,42,0,0,0,3,0,0,0,0,1.0,2,2,1,0,group_B,0
C101202,2025-03-01,50,1,3,4,6,14,0,0,4,2,2.0,0,0,0,0,group_B,0
C101209,2025-03-01,38,7,1,1,1,1,0,0,0,1,2.0,0,0,0,0,group_A,0
C101222,2025-03-01,38,2,3,5,7,12,1,1,3,5,1.3333333333333333,0,1,1,2,group_A,0
C101225,2025-03-01,42,6,1,2,4,4,0,0,1,2,1.0,1,1,1,1,group_A,1
C101227,2025-03-01,50,11,0,3,6,9,1,2,3,4,0.25,0,2,2,1,group_A,1
C101232,2025-03-01,42,25,0,0,1,3,0,0,1,1,1.0,1,1,1,0,group_A,0
C101242,2025-03-01,38,0,4,6,18,22,8,8,6,3,1.6666666666666667,2,1,1,0,group_A,0
C101245,2025-03-01,51,1,4,6,10,25,2,6,3,5,1.6666666666666667,0,1,1,0,group_A,0
C101249,2025-03-01,46,16,0,0,1,2,0,0,1,1,1.0,2,1,0,0,group_B,1
C101261,2025-03-01,17,8,0,1,2,2,1,1,1,2,0.5,2,2,2,2,group_A,0
C101268,2025-03-01,33,0,5,6,8,9,1,1,5,4,3.0,0,0,3,1,group_B,0
C101272,2025-03-01,21,7,2,2,3,3,1,1,0,2,3.0,1,0,2,0,group_B,1
C101286,2025-03-01,8,1,1,1,1,1,0,0,0,1,2.0,0,0,1,0,group_B,0
C101294,2025-03-01,32,0,2,3,5,5,1,1,3,3,1.5,0,2,3,1,group_A,0
C101335,2025-03-01,58,11,0,1,1,1,0,0,0,1,0.5,3,1,0,1,group_B,0
C101345,2025-03-01,57,1,2,4,7,15,0,1,6,2,1.0,1,1,0,2,group_A,0
C101353,2025-03-01,12,0,1,1,1,1,0,0,0,1,2.0,1,1,0,0,group_B,0
C101368,2025-03-01,38,0,1,1,11,13,0,1,6,2,2.0,0,0,0,0,group_A,0
C101375,2025-03-01,36,0,2,4,6,7,2,2,3,3,1.0,2,2,0,2,group_A,0
C101376,2025-03-01,38,1,2,4,10,16,3,3,5,3,1.0,1,0,0,2,group_A,0
C101380,2025-03-01,48,8,0,1,3,7,0,0,1,3,0.5,0,0,2,1,group_A,0
C101389,2025-03-01,9,5,1,1,1,1,0,0,0,1,2.0,0,0,2,0,group_A,0
C101392,2025-03-01,50,1,4,6,20,36,3,6,7,5,1.6666666666666667,1,0,2,1,group_A,0
C101420,2025-03-01,31,0,3,4,13,13,2,2,6,4,2.0,1,0,0,1,group_A,0
C101421,2025-03-01,56,0,2,2,7,12,0,0,4,3,3.0,2,0,0,0,group_A,0
C101439,2025-03-01,34,8,0,3,3,3,0,0,0,1,0.25,0,0,3,2,group_A,0
C101442,2025-03-01,23,3,3,5,11,11,1,1,3,4,1.3333333333333333,0,0,0,2,group_B,0
C101446,2025-03-01,25,0,2,3,7,7,0,0,4,3,1.5,0,0,1,0,group_B,0
C101447,2025-03-01,37,7,1,4,4,7,1,2,2,3,0.5,2,0,2,2,group_B,0
C101456,2025-03-01,50,2,3,10,20,33,5,8,10,5,0.5,1,1,0,0,group_A,0
C101474,2025-03-01,46,17,0,0,5,7,0,0,3,3,1.0,0,1,0,0,group_B,0
C101506,2025-03-01,12,4,3,3,3,3,1,1,2,2,4.0,0,0,1,0,group_A,0
C101515,2025-03-01,21,2,2,2,3,3,1,1,1,3,3.0,1,0,1,2,group_B,0
C101529,2025-03-01,14,8,0,1,1,1,0,0,0,1,0.5,1,1,3,1,group_A,0
C101532,2025-03-01,22,2,2,2,3,3,0,0,2,2,3.0,2,0,3,0,group_B,0
C101558,2025-03-01,56,12,0,2,4,11,0,1,1,2,0.3333333333333333,1,2,1,2,group_B,0
C101563,2025-03-01,14,5,2,4,4,4,1,1,1,3,1.0,1,1,2,0,group_B,0
C101566,2025-03-01,41,2,4,5,9,15,0,1,3,4,2.5,2,1,1,1,group_A,0
C101568,2025-03-01,9,0,3,3,3,3,2,2,1,2,4.0,3,0,2,2,group_A,0
C101569,2025-03-01,50,29,0,0,1,5,0,0,1,1,1.0,2,1,3,2,group_B,0
C101619,2025-03-01,54,6,1,1,3,8,0,1,2,2,2.0,0,0,0,0,group_B,1
C101622,2025-03-01,17,7,1,1,1,1,1,1,0,1,2.0,2,0,2,2,group_B,0
C101625,2025-03-01,55,3,1,2,3,6,0,1,1,3,1.0,0,0,3,2,group_A,0
C101648,2025-03-01,46,3,5,8,23,34,4,5,12,4,1.5,1,0,0,0,group_B,0
C101675,2025-03-01,49,0,1,2,3,8,0,2,2,2,1.0,0,0,1,2,group_B,1
C101678,2025-03-01,17,0,2,5,5,5,2,2,2,3,0.75,2,1,0,1,group_B,0
C101680,2025-03-01,27,3,5,7,13,13,0,0,5,3,2.0,1,1,2,0,group_A,0
C101688,2025-03-01,26,8,0,1,4,4,0,0,2,2,0.5,1,0,0,1,group_A,0
C101699,2025-03-01,38,9,0,3,11,13,3,4,0,3,0.25,3,1,2,0,group_B,0
C101704,2025-03-01,15,3,1,2,2,2,2,2,0,1,1.0,3,1,1,0,group_A,0
C101706,2025-03-01,50,1,1,2,8,13,0,0,4,2,1.0,0,1,0,1,group_B,0
C101707,2025-03-01,11,2,2,3,3,3,0,0,1,3,1.5,2,0,0,0,group_A,0
C101726,2025-03-01,31,7,2,2,4,4,2,2,2,2,3.0,1,0,0,0,group_A,0
C101745,2025-03-01,47,0,1,1,3,6,1,2,1,3,2.0,3,2,3,0,group_A,0
C101746,2025-03-01,52,0,2,2,9,15,2,2,4,4,3.0,2,2,1,0,group_A,0
C101750,2025-03-01,21,9,0,2,6,6,1,1,1,4,0.3333333333333333,3,1,2,0,group_A,0
C101765,2025-03-01,23,1,1,4,7,7,0,0,4,2,0.5,2,0,1,2,group_A,0
C101783,2025-03-01,34,9,0,1,6,9,2,3,2,3,0.5,0,1,3,1,group_A,0
C101796,2025-03-01,45,4,1,1,3,5,1,2,0,2,2.0,1,0,2,2,group_A,1
C101809,2025-03-01,36,4,2,2,5,5,0,0,1,4,3.0,1,0,0,2,group_B,0
C101827,2025-03-01,50,0,3,8,12,17,2,3,8,4,0.6666666666666666,2,1,2,1,group_B,0
C101829,2025-03-01,49,2,2,2,4,6,2,3,1,3,3.0,1,2,2,0,group_A,1
C101831,2025-03-01,33,6,1,3,5,5,2,2,2,3,0.6666666666666666,3,2,1,2,group_B,0
C101836,2025-03-01,26,4,1,1,1,1,0,0,0,1,2.0,1,0,3,0,group_A,0
C101873,2025-03-01,27,1,4,5,6,6,2,2,2,4,2.5,1,0,0,2,group_A,0
C101909,2025-03-01,26,1,2,4,10,10,4,4,1,4,1.0,3,1,0,1,group_A,0
C101929,2025-03-01,32,4,1,2,3,3,1,1,1,3,1.0,0,0,1,0,group_A,0
C101933,2025-03-01,33,6,1,4,5,6,1,1,2,3,0.5,1,1,0,0,group_B,0
C101938,2025-03-01,37,5,3,3,4,4,0,0,2,3,4.0,2,1,1,0,group_B,0
C101947,2025-03-01,13,0,3,3,3,3,1,1,2,2,4.0,1,0,0,0,group_A,0
C101950,2025-03-01,12,2,8,15,15,15,3,3,5,4,1.125,1,0,0,1,group_B,0
C101954,2025-03-01,43,7,1,1,3,7,1,1,2,2,2.0,0,1,0,1,group_B,0
C101961,2025-03-01,52,3,1,1,4,9,0,0,0,2,2.0,0,0,2,0,group_A,0
C101971,2025-03-01,15,5,2,4,4,4,0,0,1,3,1.0,3,0,3,0,group_B,0
C101976,2025-03-01,21,0,4,5,9,9,2,2,3,3,2.5,3,2,2,0,group_A,0
C101989,2025-03-01,17,7,1,2,2,2,1,1,0,2,1.0,1,0,2,0,group_A,0
C101997,2025-03-01,55,0,1,3,9,21,1,3,3,3,0.6666666666666666,3,1,2,0,group_B,0
C102013,2025-03-01,16,7,1,2,2,2,0,0,0,1,1.0,0,0,0,0,group_A,0
C102027,2025-03-01,31,7,1,2,3,3,0,0,0,1,1.0,1,1,0,0,group_B,0
C102034,2025-03-01,51,1,5,6,9,15,3,3,3,4,3.0,3,1,1,2,group_B,0
C102038,2025-03-01,52,12,0,1,4,8,1,3,1,4,0.5,0,2,0,2,group_B,0
C102045,2025-03-01,54,3,2,4,6,14,2,3,2,3,1.0,2,1,1,0,group_A,0
C102053,2025-03-01,30,8,0,2,2,2,0,0,2,1,0.3333333333333333,1,0,2,0,group_A,0
C102067,2025-03-01,8,0,3,3,3,3,1,1,1,3,4.0,0,0,0,1,group_B,0
C102096,2025-03-01,26,2,2,5,8,8,0,0,1,3,0.75,1,2,3,2,group_A,0
C102100,2025-03-01,11,6,3,4,4,4,1,1,2,3,2.0,1,1,2,1,group_B,0
C102112,2025-03-01,12,12,0,0,0,0,0,0,0,0,0.0,2,2,1,0,group_A,1
C102113,2025-03-01,10,0,3,3,3,3,1,1,2,2,4.0,0,0,2,0,group_B,0
C102116,2025-03-01,37,7,1,2,6,8,1,1,5,2,1.0,0,1,0,0,group_A,0
C102121,2025-03-01,33,1,3,5,9,9,2,2,3,4,1.3333333333333333,2,1,2,0,group_B,0
C102131,2025-03-01,45,0,2,3,7,18,1,1,3,4,1.5,0,0,0,0,group_A,0
C102142,2025-03-01,38,0,3,8,20,26,3,3,8,4,0.6666666666666666,2,0,1,0,group_A,0
C102147,2025-03-01,24,2,6,8,10,10,0,0,3,4,2.3333333333333335,0,2,2,0,group_B,0
C102163,2025-03-01,11,5,1,2,2,2,1,1,0,2,1.0,2,1,3,2,group_A,0
C102164,2025-03-01,34,1,3,3,6,6,2,2,2,3,4.0,2,2,2,0,group_B,0
C102165,2025-03-01,17,5,2,5,6,6,0,0,2,4,0.75,1,0,2,0,group_B,0
C102168,2025-03-01,24,0,3,4,6,6,2,2,4,2,2.0,0,1,1,2,group_B,0
C102169,2025-03-01,47,16,0,0,2,6,1,2,0,2,1.0,3,2,0,0,group_A,0
C102172,2025-03-01,57,15,0,0,3,7,1,1,1,3,1.0,1,0,2,2,group_A,0
C102217,2025-03-01,58,3,1,2,7,16,0,1,4,3,1.0,2,1,0,0,group_B,0
C102220,2025-03-01,29,6,1,2,4,4,1,1,2,3,1.0,0,0,0,1,group_B,0
C102227,2025-03-01,22,2,3,4,6,6,0,0,3,2,2.0,1,0,1,0,group_A,0
C102229,2025-03-01,48,5,1,2,6,11,3,5,1,4,1.0,2,2,0,0,group_A,0
C102232,2025-03-01,25,0,2,6,12,12,2,2,8,4,0.6,1,1,1,0,group_A,0
C102259,2025-03-01,54,0,2,3,3,7,0,0,2,2,1.5,2,0,0,0,group_B,0
C102261,2025-03-01,58,5,4,5,15,23,2,5,9,4,2.5,0,0,1,0,group_A,0
C102269,2025-03-01,46,31,0,0,0,2,0,2,0,0,1.0,1,1,0,0,group_B,0
C102286,2025-03-01,7,2,1,1,1,1,0,0,0,1,2.0,2,1,0,2,group_A,0
C102288,2025-03-01,24,10,0,3,5,5,0,0,2,3,0.25,0,1,3,0,group_B,0
C102304,2025-03-01,13,10,0,2,2,2,0,0,1,2,0.3333333333333333,0,1,1,0,group_B,0
C102362,2025-03-01,38,2,2,4,6,6,0,0,5,2,1.0,0,2,2,0,group_A,0
C102375,2025-03-01,53,22,0,0,3,7,0,1,0,2,1.0,2,0,1,0,group_A,0
C102378,2025-03-01,52,1,2,4,6,15,1,2,3,4,1.0,1,2,0,0,group_A,0
C102382,2025-03-01,14,7,1,3,3,3,1,1,1,3,0.6666666666666666,0,1,0,2,group_B,0
C102386,2025-03-01,33,3,1,1,2,2,0,0,0,1,2.0,1,1,3,2,group_A,0
C102387,2025-03-01,45,4,2,2,7,12,0,2,2,4,3.0,2,0,1,0,group_A,0
C102388,2025-03-01,34,2,2,3,5,6,1,1,3,3,1.5,0,2,2,0,group_A,1
C102396,2025-03-01,29,0,4,5,6,6,0,0,2,2,2.5,1,0,0,2,group_A,0
C102412,2025-03-01,21,0,7,10,12,12,0,0,8,3,2.0,0,2,1,0,group_A,0
C102457,2025-03-01,23,8,0,3,6,6,1,1,3,3,0.25,2,0,0,0,group_B,0
C102492,2025-03-01,20,0,3,4,6,6,0,0,1,4,2.0,1,0,0,0,group_A,0
C102499,2025-03-01,20,0,2,3,3,3,0,0,2,2,1.5,0,1,0,1,group_B,0
C102512,2025-03-01,38,18,0,0,5,6,2,2,2,3,1.0,0,1,3,0,group_A,0
C102519,2025-03-01,57,0,3,4,10,20,3,7,2,4,2.0,2,1,3,2,group_A,0
C102527,2025-03-01,31,0,2,6,10,10,3,3,1,4,0.6,1,0,0,1,group_A,0
C102530,2025-03-01,13,12,0,1,1,1,1,1,0,1,0.5,1,0,1,2,group_A,0
C102532,2025-03-01,18,8,0,6,6,6,2,2,0,2,0.14285714285714285,0,0,2,1,group_A,0
C102535,2025-03-01,47,1,2,5,6,8,1,1,2,4,0.75,1,1,2,0,group_A,0
C102541,2025-03-01,43,0,3,4,7,11,2,2,2,5,2.0,0,1,0,0,group_A,0
C102542,2025-03-01,35,4,1,2,8,9,1,1,4,5,1.0,1,1,2,0,group_A,0
C102554,2025-03-01,49,3,2,4,9,19,2,5,3,4,1.0,2,0,0,0,group_B,0
C102569,2025-03-01,19,0,2,3,4,4,2,2,1,3,1.5,1,2,2,2,group_B,0
C102571,2025-03-01,22,3,2,3,6,6,0,0,4,3,1.5,1,0,2,0,group_A,0
C102578,2025-03-01,42,22,0,0,1,2,0,0,1,1,1.0,0,1,1,2,group_B,1
C102588,2025-03-01,42,0,1,2,2,2,0,0,1,2,1.0,3,1,3,1,group_B,1
C102598,2025-03-01,41,2,2,7,21,26,1,1,10,5,0.5,0,1,2,0,group_B,0
C102610,2025-03-01,43,0,3,5,9,9,0,0,6,3,1.3333333333333333,0,0,0,0,group_A,0
C102611,2025-03-01,19,0,7,8,8,8,0,0,3,5,4.0,3,0,0,0,group_A,0
C102616,2025-03-01,54,2,2,6,17,34,4,6,7,5,0.6,1,1,1,0,group_A,0
C102619,2025-03-01,29,0,3,7,14,14,3,3,7,4,0.8,2,0,2,0,group_A,0
C102623,2025-03-01,17,2,3,5,5,5,2,2,2,3,1.3333333333333333,1,1,1,0,group_B,0
C102624,2025-03-01,16,0,3,4,5,5,1,1,0,3,2.0,1,1,2,2,group_B,0
C102626,2025-03-01,47,2,3,4,12,21,1,3,3,5,2.0,3,0,2,0,group_A,0
C102630,2025-03-01,23,12,0,1,1,1,0,0,0,1,0.5,2,0,0,0,group_A,1
C102632,2025-03-01,11,5,1,2,2,2,1,1,1,2,1.0,1,0,2,0,group_A,0
C102648,2025-03-01,24,2,2,4,5,5,0,0,3,3,1.0,0,0,2,0,group_A,0
C102652,2025-03-01,52,7,1,2,7,13,2,2,3,3,1.0,1,2,0,2,group_B,0
C102667,2025-03-01,40,8,0,1,3,3,2,2,0,2,0.5,1,0,3,0,group_A,0
C102669,2025-03-01,39,2,1,1,4,4,0,0,1,3,2.0,2,0,1,1,group_B,0
C102674,2025-03-01,21,2,2,6,8,8,1,1,2,4,0.6,0,1,1,2,group_B,0
C102676,2025-03-01,38,0,3,6,10,14,2,3,3,3,1.0,3,0,0,0,group_A,0
C102689,2025-03-01,49,0,2,2,6,11,2,3,0,3,3.0,0,1,0,2,group_A,0
C102692,2025-03-01,9,0,1,2,2,2,0,0,2,1,1.0,1,1,0,0,group_B,0
C102694,2025-03-01,23,9,0,2,6,6,1,1,4,3,0.3333333333333333,1,1,1,2,group_A,0
C102712,2025-03-01,26,0,2,4,4,4,0,0,2,2,1.0,0,2,0,2,group_A,0
C102730,2025-03-01,37,1,3,6,11,14,1,1,3,3,1.0,1,0,1,0,group_B,0
C102732,2025-03-01,21,0,4,12,15,15,2,2,7,5,0.5555555555555556,0,2,0,2,group_B,0
C102743,2025-03-01,30,6,1,2,2,2,0,0,0,1,1.0,2,1,1,2,group_A,0
