student_id,python,machine_learning,sql,data_analysis,communication
375,100,89,86,34,91
376,58,55,89,46,87
377,83,46,71,59,51
378,72,80,61,47,100
379,100,47,70,74,83
380,57,96,77,51,70
381,57,73,65,100,81
382,61,50,65,86,82
383,38,100,78,68,71
384,62,47,74,83,82
385,58,74,75,84,72
386,72,65,67,54,75
387,75,86,72,50,71
388,98,91,65,66,62
389,84,60,83,80,81
390,61,44,85,67,87
391,56,69,56,36,86
392,77,46,65,50,89
393,50,100,60,63,83
394,97,62,68,63,73
395,87,52,74,100,90
396,62,63,60,40,63
397,44,33,65,74,69
398,90,40,64,91,68
399,68,84,77,100,92
400,88,46,75,57,91
401,46,39,67,73,85
402,61,70,76,75,92
403,70,83,69,68,69
404,70,74,72,63,84
405,63,79,91,72,78
406,79,44,88,19,90
407,53,31,62,77,78
408,67,90,83,67,75
409,71,53,83,60,86
410,77,54,63,100,90
411,80,86,83,52,71
412,53,71,90,57,79
413,46,69,63,100,67
414,89,100,65,50,50
415,74,47,85,55,82
416,58,78,77,62,87
417,93,61,80,80,83
418,71,65,78,68,56
419,87,90,78,41,75
420,71,70,61,55,53
421,100,70,85,54,96
422,96,81,86,63,66
423,66,52,72,72,95
424,84,43,74,72,91
425,79,39,59,33,69
426,90,20,80,84,66
427,55,100,80,69,84
428,80,37,74,89,69
429,85,55,86,72,81
430,43,54,71,84,74
431,52,66,80,73,58
432,39,76,64,89,53
433,65,77,74,74,82
434,80,48,73,63,73
435,92,56,77,100,73
436,71,65,71,81,88
437,94,55,73,75,94
438,49,92,83,42,76
439,44,69,70,41,75
440,69,74,58,70,86
441,75,73,92,67,63
442,69,83,88,53,82
443,38,63,62,67,86
444,68,34,81,93,88
445,50,67,69,77,56
446,80,46,77,44,70
447,75,49,77,62,69
448,55,71,72,50,81
449,62,84,67,58,85
450,54,60,68,57,97
451,69,66,65,56,74
452,84,94,66,42,74
453,55,64,74,62,93
454,77,100,67,54,83
455,62,71,81,12,95
456,58,24,89,100,83
457,68,75,69,84,66
458,54,67,77,58,64
459,61,85,79,65,61
460,52,73,79,43,87
461,99,57,75,95,94
462,70,35,82,99,100
463,59,55,79,67,90
464,73,42,62,83,93
465,68,48,83,68,73
466,66,71,83,40,66
467,79,93,67,57,90
468,81,67,75,67,85
469,62,36,81,56,81
470,61,68,72,61,84
471,65,83,85,63,83
472,35,47,98,63,95
473,47,57,67,65,95
474,90,60,61,45,86
475,94,44,78,52,90
476,66,72,82,41,86
477,78,57,72,82,74
478,74,68,89,27,89
479,100,42,61,85,63
480,86,51,81,89,92
481,68,74,68,59,65
482,55,52,92,18,83
483,45,94,94,58,69
484,73,52,67,63,86
485,58,64,69,46,79
486,48,78,83,55,60
487,60,31,71,92,85
488,53,24,74,76,73
489,95,29,75,48,90
490,83,85,55,36,80
491,69,48,74,59,84
492,92,100,68,61,68
493,71,48,70,73,72
494,57,63,89,55,74
495,92,90,62,74,90
496,78,100,83,99,100
497,54,100,72,79,70
498,67,84,72,64,92
499,56,80,82,61,53
500,49,71,78,58,65
501,83,75,80,86,68
502,98,48,84,53,63
503,49,43,71,65,60
504,78,59,68,65,84
505,60,56,64,55,77
506,62,50,66,40,84
507,61,73,100,70,88
508,57,79,87,63,83
509,70,61,61,74,87
510,57,89,61,55,79
511,74,37,79,86,65
512,69,56,80,49,92
513,66,45,80,95,72
514,56,22,72,33,68
515,61,58,73,72,77
516,81,57,78,73,69
517,77,90,75,50,74
518,55,72,52,72,84
519,71,39,72,88,84
520,81,97,66,25,69
521,44,84,76,74,74
522,78,71,100,20,92
523,60,55,78,47,85
524,78,40,71,94,100
525,58,52,84,54,94
526,42,81,79,43,93
527,45,97,79,61,63
528,70,90,81,100,89
529,73,50,95,32,79
530,56,37,63,46,73
531,79,62,79,91,82
532,45,24,65,98,91
533,69,66,80,63,86
534,51,57,65,42,69
535,60,50,70,100,88
536,70,28,72,93,72
537,57,70,84,77,82
538,64,49,84,50,76
539,85,36,62,64,77
540,61,2,75,62,89
541,82,59,67,70,67
542,53,95,62,91,100
543,77,93,72,80,58
544,91,50,71,45,72
545,32,47,99,89,84
546,58,69,79,70,87
547,78,40,61,77,78
548,66,66,69,91,79
549,75,75,85,44,84
550,60,84,95,64,77
551,71,57,59,55,96
552,67,55,56,36,90
553,87,42,93,71,90
554,73,43,78,100,68
555,75,55,66,31,79
556,63,67,80,64,76
557,62,78,48,76,67
558,63,43,75,67,84
559,75,89,78,62,73
560,63,54,84,41,87
561,74,59,64,69,67
562,100,45,75,51,100
563,83,11,65,25,69
564,65,77,77,86,82
565,88,74,66,82,89
566,63,54,70,65,73
567,39,61,65,69,90
568,54,70,81,84,65
569,41,28,83,69,97
570,64,49,72,81,80
571,70,75,75,59,72
572,95,34,60,88,76
573,74,65,72,70,89
574,66,32,74,68,72
575,82,69,100,42,71
576,36,59,63,70,77
577,73,27,89,50,65
578,81,83,84,53,100
579,47,45,77,50,73
580,87,43,92,45,89
581,75,64,78,100,82
582,63,82,78,88,68
583,79,39,74,99,79
584,100,61,87,42,89
585,72,68,85,66,77
586,73,73,68,41,94
587,63,63,61,52,92
588,57,52,72,48,91
589,82,43,66,87,74
590,57,61,74,57,67
591,71,38,87,84,72
592,62,1,70,75,82
593,77,68,74,100,86
594,75,78,75,38,53
595,85,12,83,87,79
596,62,39,52,85,81
597,65,72,68,47,76
598,55,100,77,83,95
599,63,60,87,71,85
600,75,45,70,60,95
601,81,56,56,50,77
602,56,87,81,52,91
603,83,47,68,100,99
604,90,44,63,65,95
605,76,50,68,79,66
606,98,40,73,50,76
607,58,62,68,50,75
608,51,92,52,84,85
609,43,66,83,40,88
610,92,54,87,57,69
611,79,54,81,65,80
612,69,28,63,67,55
613,74,77,72,61,97
614,53,58,74,72,73
615,100,56,80,77,80
616,71,100,81,78,76
617,71,65,67,47,93
618,80,44,75,59,45
619,77,51,79,86,79
620,73,82,89,81,78
621,58,62,82,40,74
622,77,31,82,71,100
623,98,78,75,29,69
624,90,46,89,65,89
625,93,97,79,99,84
626,62,81,66,47,95
627,55,51,89,49,71
628,68,85,81,78,71
629,70,61,70,37,93
630,86,77,70,53,85
631,44,69,77,75,61
632,92,43,79,53,73
633,67,47,76,60,84
634,63,80,78,78,90
635,54,53,91,72,71
636,45,51,85,69,45
637,82,40,76,58,86
638,71,68,84,71,65
639,50,100,64,62,55
640,50,38,78,73,46
641,64,60,93,56,89
642,95,88,72,61,81
643,66,58,66,47,77
644,47,69,68,64,96
645,66,38,64,50,87
646,65,68,67,44,99
647,29,56,71,69,63
648,69,79,60,68,79
649,66,83,75,79,60
650,80,100,84,57,77
651,97,71,65,72,77
652,86,66,90,74,87
653,65,63,80,73,80
654,53,52,85,50,87
655,100,66,68,67,88
656,70,54,83,71,100
657,70,63,64,65,76
658,69,86,83,27,68
659,72,39,76,67,82
660,67,82,80,100,70
661,61,86,63,58,97
662,61,57,66,51,76
663,69,17,80,71,73
664,61,47,65,70,74
665,59,85,79,86,88
666,71,59,61,42,78
667,66,40,83,78,72
668,92,49,62,75,99
669,30,76,80,62,69
670,86,70,81,71,80
671,88,55,68,83,87
672,38,52,80,80,60
673,64,52,77,44,85
674,64,41,69,79,67
675,48,92,64,63,89
676,58,53,55,66,68
677,53,84,78,66,88
678,96,90,59,62,93
679,84,79,75,86,90
680,89,51,72,63,83
681,80,68,81,44,77
682,53,59,71,57,73
683,62,41,71,68,97
684,77,66,82,87,71
685,51,36,78,75,67
686,80,83,78,49,87
687,66,50,79,100,70
688,64,64,59,69,68
689,80,65,82,87,62
690,76,54,81,62,74
691,64,71,64,74,79
692,87,50,72,80,82
693,53,77,74,86,91
694,79,33,73,84,86
695,78,62,78,80,77
696,65,98,89,59,77
697,74,39,85,54,86
698,51,46,61,70,95
699,83,70,81,81,81
700,67,63,88,60,74
701,62,67,78,84,68
702,85,69,85,91,62
703,59,72,95,48,87
704,48,82,85,49,86
705,46,68,77,62,86
706,79,55,85,70,78
707,50,73,76,55,96
708,96,97,75,89,74
709,38,57,71,72,91
710,95,40,90,65,79
711,73,82,66,39,72
712,68,57,90,41,87
713,61,16,79,70,84
714,75,76,61,26,84
715,69,49,78,83,80
716,86,58,53,62,79
717,71,66,81,100,100
718,72,63,83,100,94
719,64,74,69,61,88
720,69,51,76,63,81
721,74,70,94,82,92
722,44,54,69,95,86
723,49,74,64,35,80
724,81,72,89,32,76
725,72,41,94,53,79
726,67,81,75,75,41
727,70,49,85,73,82
728,75,76,88,84,74
729,61,67,67,43,99
730,58,96,70,23,80
731,72,55,87,80,65
732,55,53,91,50,79
733,76,59,80,28,67
734,44,53,66,67,85
735,85,75,94,79,83
736,77,27,69,62,91
737,73,38,71,56,70
738,84,38,78,62,80
739,94,79,90,58,63
740,85,94,83,40,88
741,42,57,79,52,86
742,50,56,79,74,85
743,60,61,75,70,80
744,70,83,80,68,84
745,77,41,49,47,99
746,59,64,72,61,76
747,72,79,77,25,81
748,58,70,63,68,66
749,60,63,78,90,69
750,48,80,72,38,81
751,56,5,92,54,93
752,49,73,90,70,76
753,55,46,70,87,77
754,85,23,73,56,75
755,55,70,74,52,73
756,100,87,70,29,83
757,77,57,76,66,62
758,72,79,67,100,95
759,57,92,63,69,72
760,80,86,81,64,88
761,61,92,81,70,64
762,71,74,66,64,88
763,100,61,83,50,88
764,68,27,68,79,84
765,87,55,77,69,68
766,59,43,83,65,82
767,69,100,74,47,65
768,96,56,79,88,76
769,60,62,69,76,92
770,97,71,73,55,89
771,80,60,72,83,80
772,61,93,67,56,68
773,79,47,73,50,87
774,84,63,59,51,80
775,79,45,70,33,52
776,46,33,72,73,89
777,59,47,72,32,79
778,66,59,72,42,94
779,68,51,74,27,66
780,79,46,79,63,41
781,72,31,83,62,83
782,49,58,68,59,83
783,75,29,62,46,59
784,79,75,64,43,68
785,78,61,70,73,100
786,86,30,71,55,76
787,82,53,67,70,88
788,76,44,62,49,72
789,68,66,70,68,54
790,45,86,76,88,77
791,76,22,80,75,76
792,73,62,69,57,75
793,74,56,70,69,78
794,50,73,65,60,83
795,53,64,74,65,78
796,85,44,66,59,64
797,69,53,80,62,85
798,80,44,57,68,56
799,70,81,71,47,55
800,70,60,78,46,88
801,84,98,76,40,86
802,62,58,100,36,79
803,71,45,78,43,63
804,63,29,64,67,71
805,63,23,74,48,76
806,65,28,57,74,60
807,73,65,74,65,71
808,62,70,66,29,87
809,88,28,84,76,97
810,56,77,69,79,74
811,67,50,73,47,89
812,63,62,68,72,57
813,91,92,92,49,87
814,72,77,71,66,70
815,85,54,93,42,83
816,47,42,83,32,77
817,74,16,79,58,95
818,83,45,78,62,69
819,71,55,78,57,87
820,85,40,55,43,76
821,62,57,72,57,78
822,91,61,83,69,77
823,100,55,74,64,69
824,64,46,60,68,79
825,63,63,74,52,79
826,91,68,92,86,82
827,93,38,87,43,81
828,62,88,74,73,89
829,63,58,84,86,91
830,65,60,71,73,67
831,49,74,57,61,90
832,56,64,65,55,65
833,54,79,90,83,87
834,58,65,72,39,87
835,69,47,72,47,57
836,73,67,72,57,81
837,93,37,94,87,74
838,55,62,91,71,70
839,84,59,97,47,96
840,66,55,73,59,72
841,69,57,77,53,70
842,80,22,59,52,80
843,53,49,89,82,88
844,75,61,63,40,78
845,72,63,77,93,93
846,77,39,64,79,86
847,74,85,69,84,53
848,100,42,66,56,73
849,60,79,68,62,73
850,62,68,69,39,85
851,60,47,69,55,48
852,61,95,83,73,100
853,60,36,63,88,86
854,87,78,77,45,81
855,91,80,87,58,94
856,61,46,69,62,100
857,57,87,67,39,90
858,77,54,72,75,91
859,61,65,86,51,81
860,79,65,76,61,78
861,73,57,69,56,74
862,47,76,79,50,70
863,93,75,63,64,71
864,96,25,81,61,63
865,60,86,79,58,79
866,64,26,71,51,59
867,74,80,66,70,82
868,75,82,66,94,79
869,79,38,80,67,81
870,100,51,87,82,73
871,67,37,68,39,100
872,58,55,79,67,96
873,49,53,54,45,65
874,59,75,69,38,82
875,69,86,74,51,72
876,96,87,65,86,67
877,62,48,65,82,63
878,73,55,68,69,85
879,69,26,77,37,71
880,87,43,73,61,91
881,100,79,52,70,91
882,62,92,53,68,96
883,62,35,68,31,69
884,85,48,79,48,85
885,80,59,47,63,87
886,97,65,70,74,74
887,78,43,69,25,70
888,64,68,88,62,99
889,78,50,71,67,82
890,86,59,78,80,87
891,82,70,76,77,70
892,77,60,53,75,65
893,86,51,82,50,73
894,87,57,77,30,78
895,90,58,80,57,67
896,79,52,100,83,79
897,67,54,54,90,59
898,72,91,92,77,66
899,88,71,72,72,88
900,57,54,77,71,87
901,75,73,74,54,75
902,64,53,70,62,67
903,70,83,69,95,67
904,89,67,78,48,75
905,72,57,59,94,87
906,70,68,82,59,91
907,49,28,70,88,74
908,81,37,63,39,66
909,79,36,70,75,83
910,100,62,87,51,70
911,65,94,69,39,73
912,73,100,78,68,95
913,73,72,67,83,89
914,93,70,82,49,81
915,68,23,81,38,64
916,74,49,93,63,82
917,79,44,73,63,92
918,72,47,81,74,75
919,63,56,75,82,96
920,72,50,87,63,95
921,86,20,67,98,99
922,54,74,82,69,83
923,71,38,73,58,87
924,59,64,74,35,96
925,87,100,75,60,85
926,47,41,77,58,73
927,61,9,73,82,74
928,75,54,77,73,82
929,93,82,90,43,64
930,69,99,84,68,78
931,61,35,83,77,93
932,98,69,70,92,53
933,48,50,66,80,98
934,37,57,84,78,93
935,76,100,83,66,74
936,62,29,89,71,86
937,54,65,68,87,80
938,80,69,72,41,94
939,73,81,58,58,91
940,61,61,71,51,63
941,50,66,84,71,87
942,83,52,70,87,77
943,79,65,81,54,80
944,68,53,73,21,71
945,97,72,78,57,100
946,53,52,63,81,92
947,47,67,75,74,71
948,59,59,45,72,63
949,69,82,73,59,75
950,73,58,58,41,85
951,66,24,87,74,82
952,75,85,82,49,95
953,51,41,79,100,89
954,91,46,90,75,91
955,68,48,65,54,83
956,86,87,92,53,63
957,75,17,84,63,77
958,76,100,72,60,92
959,78,81,86,85,79
960,76,64,63,68,86
961,79,58,66,51,76
962,89,65,68,99,67
963,72,70,69,65,78
964,80,72,64,78,83
965,68,71,87,54,72
966,91,61,72,71,77
967,59,56,78,70,68
968,97,56,69,30,93
969,69,56,56,100,76
970,48,82,77,88,97
971,71,71,55,57,98
972,59,1,74,45,79
973,82,73,61,71,67
974,60,63,94,66,54
975,63,59,84,71,62
976,41,52,76,68,63
977,63,82,87,74,96
978,33,78,66,91,81
979,46,44,80,75,84
980,81,68,76,46,53
981,81,40,77,89,65
982,76,32,87,94,90
983,55,47,82,100,83
984,69,77,77,44,78
985,69,79,58,69,86
986,52,70,65,27,99
987,92,74,73,74,77
988,83,70,75,55,80
989,66,47,63,99,82
990,70,68,99,51,100
991,73,76,90,34,54
992,39,75,81,56,88
993,66,83,75,29,78
994,59,74,72,78,86
995,54,67,65,27,72
996,65,81,75,65,79
997,96,59,77,27,88
998,79,42,62,59,100
999,61,56,78,94,89
1000,78,45,73,71,69
