threshold,true_negative_malignant_caught,missed_malignancy,unnecessary_biopsy,true_positive_benign_cleared,confusion_matrix_raw,confusion_matrix_labels,expected_cost
0.66,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.67,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.68,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.69,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.7,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.71,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.72,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.73,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.74,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.75,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.76,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.77,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.78,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.79,32,0,3,50,"[[32, 0], [3, 50]]","['true=0 (malignant)', 'true=1 (benign)']",3.0
0.8,32,0,3,50,"[[32, 0], [3, 50]]","['true=0 (malignant)', 'true=1 (benign)']",3.0
0.81,32,0,3,50,"[[32, 0], [3, 50]]","['true=0 (malignant)', 'true=1 (benign)']",3.0
0.82,32,0,4,49,"[[32, 0], [4, 49]]","['true=0 (malignant)', 'true=1 (benign)']",4.0
0.83,32,0,5,48,"[[32, 0], [5, 48]]","['true=0 (malignant)', 'true=1 (benign)']",5.0
0.84,32,0,5,48,"[[32, 0], [5, 48]]","['true=0 (malignant)', 'true=1 (benign)']",5.0
0.85,32,0,7,46,"[[32, 0], [7, 46]]","['true=0 (malignant)', 'true=1 (benign)']",7.0
0.86,32,0,7,46,"[[32, 0], [7, 46]]","['true=0 (malignant)', 'true=1 (benign)']",7.0
0.87,32,0,7,46,"[[32, 0], [7, 46]]","['true=0 (malignant)', 'true=1 (benign)']",7.0
0.88,32,0,7,46,"[[32, 0], [7, 46]]","['true=0 (malignant)', 'true=1 (benign)']",7.0
0.89,32,0,8,45,"[[32, 0], [8, 45]]","['true=0 (malignant)', 'true=1 (benign)']",8.0
0.9,32,0,9,44,"[[32, 0], [9, 44]]","['true=0 (malignant)', 'true=1 (benign)']",9.0
0.91,32,0,10,43,"[[32, 0], [10, 43]]","['true=0 (malignant)', 'true=1 (benign)']",10.0
0.92,32,0,10,43,"[[32, 0], [10, 43]]","['true=0 (malignant)', 'true=1 (benign)']",10.0
0.93,32,0,11,42,"[[32, 0], [11, 42]]","['true=0 (malignant)', 'true=1 (benign)']",11.0
0.94,32,0,12,41,"[[32, 0], [12, 41]]","['true=0 (malignant)', 'true=1 (benign)']",12.0
0.95,32,0,13,40,"[[32, 0], [13, 40]]","['true=0 (malignant)', 'true=1 (benign)']",13.0
0.96,32,0,14,39,"[[32, 0], [14, 39]]","['true=0 (malignant)', 'true=1 (benign)']",14.0
0.97,32,0,15,38,"[[32, 0], [15, 38]]","['true=0 (malignant)', 'true=1 (benign)']",15.0
0.98,32,0,18,35,"[[32, 0], [18, 35]]","['true=0 (malignant)', 'true=1 (benign)']",18.0
0.99,32,0,23,30,"[[32, 0], [23, 30]]","['true=0 (malignant)', 'true=1 (benign)']",23.0
