log_id,student_id,job_id,model_version,rank_position,timestamp,clicked,applied,shortlisted,college_tier,region
L000050,S0210,J001,v1.2,5,2026-04-16T21:00:00,1,0,0,2,urban
L000051,S0086,J010,v1.0,1,2026-04-20T04:00:00,1,1,0,3,semi_urban
L000052,S0289,J028,v1.0,4,2026-04-03T03:00:00,0,0,0,1,urban
L000053,S0060,J014,v1.2,5,2026-06-09T09:00:00,0,0,0,2,rural
L000054,S0225,J014,v1.1,3,2026-06-03T08:00:00,0,0,0,3,urban
L000055,S0207,J000,v1.0,2,2026-04-24T18:00:00,0,0,0,2,rural
L000056,S0003,J030,v1.2,2,2026-05-29T20:00:00,0,0,0,2,semi_urban
L000057,S0189,J005,v1.2,5,2026-04-20T15:00:00,0,0,0,2,semi_urban
L000058,S0215,J014,v1.2,5,2026-04-26T14:00:00,0,0,0,3,urban
L000059,S0264,J014,v1.2,4,2026-06-02T13:00:00,0,0,0,3,semi_urban
L000060,S0212,J029,v1.0,5,2026-06-29T05:00:00,0,0,0,1,urban
L000061,S0048,J015,v1.2,3,2026-04-22T11:00:00,1,0,0,2,semi_urban
L000062,S0145,J031,v1.2,4,2026-06-04T22:00:00,0,0,0,2,semi_urban
L000063,S0028,J039,v1.0,3,2026-06-06T09:00:00,0,0,0,1,semi_urban
L000064,S0025,J013,v1.1,3,2026-05-21T11:00:00,0,0,0,1,semi_urban
L000065,S0216,J006,v1.0,1,2026-04-20T14:00:00,1,0,0,1,urban
L000066,S0294,J021,v1.2,1,2026-06-03T00:00:00,0,0,0,3,urban
L000067,S0183,J010,v1.2,2,2026-04-16T04:00:00,0,0,0,2,urban
L000068,S0264,J040,v1.1,3,2026-04-23T21:00:00,0,0,0,3,semi_urban
L000069,S0239,J043,v1.1,2,2026-06-29T17:00:00,0,0,0,1,rural
L000070,S0293,J001,v1.2,4,2026-04-01T23:00:00,0,0,0,1,semi_urban
L000071,S0235,J029,v1.1,3,2026-06-23T09:00:00,0,0,0,3,urban
L000072,S0156,J047,v1.2,5,2026-05-11T23:00:00,0,0,0,2,rural
L000073,S0083,J001,v1.1,3,2026-04-29T01:00:00,0,0,0,1,urban
L000074,S0210,J013,v1.2,3,2026-06-12T08:00:00,0,0,0,2,urban
L000075,S0255,J044,v1.1,2,2026-06-16T01:00:00,0,0,0,3,urban
L000076,S0039,J013,v1.1,4,2026-04-11T04:00:00,1,0,0,2,rural
L000077,S0173,J013,v1.2,1,2026-04-05T19:00:00,1,0,0,3,urban
L000078,S0044,J026,v1.1,4,2026-05-31T10:00:00,0,0,0,3,semi_urban
L000079,S0189,J018,v1.0,5,2026-04-01T14:00:00,0,0,0,2,semi_urban
L000080,S0154,J041,v1.1,5,2026-06-12T15:00:00,0,0,0,1,urban
L000081,S0003,J011,v1.1,3,2026-05-15T22:00:00,0,0,0,2,semi_urban
L000082,S0145,J038,v1.1,3,2026-05-14T17:00:00,0,0,0,2,semi_urban
L000083,S0253,J004,v1.2,5,2026-05-25T12:00:00,0,0,0,1,rural
L000084,S0055,J017,v1.2,3,2026-06-02T05:00:00,1,0,0,3,semi_urban
L000085,S0104,J012,v1.0,5,2026-05-08T03:00:00,1,1,0,3,rural
L000086,S0047,J021,v1.2,3,2026-05-18T00:00:00,0,0,0,2,urban
L000087,S0073,J006,v1.2,5,2026-06-08T04:00:00,0,0,0,1,urban
L000088,S0256,J036,v1.2,4,2026-04-06T14:00:00,1,1,0,3,urban
L000089,S0001,J030,v1.2,1,2026-04-14T17:00:00,0,0,0,2,urban
L000090,S0180,J022,v1.1,1,2026-05-20T07:00:00,1,0,0,3,urban
L000091,S0008,J038,v1.1,3,2026-04-16T17:00:00,0,0,0,1,urban
L000092,S0181,J046,v1.2,3,2026-05-30T09:00:00,0,0,0,3,urban
L000093,S0240,J007,v1.1,4,2026-06-23T02:00:00,0,0,0,3,rural
L000094,S0044,J043,v1.2,4,2026-06-17T08:00:00,0,0,0,3,semi_urban
L000095,S0129,J045,v1.1,5,2026-04-26T00:00:00,0,0,0,2,rural
L000096,S0279,J011,v1.2,4,2026-04-23T15:00:00,0,0,0,3,urban
L000097,S0292,J017,v1.0,4,2026-04-13T04:00:00,1,1,0,3,urban
L000098,S0136,J034,v1.0,3,2026-04-19T10:00:00,0,0,0,3,urban
L000099,S0073,J040,v1.0,4,2026-04-26T16:00:00,0,0,0,1,urban
L000100,S0006,J034,v1.0,2,2026-05-08T00:00:00,0,0,0,3,urban
L000101,S0164,J019,v1.2,2,2026-05-06T00:00:00,0,0,0,2,semi_urban
L000102,S0028,J025,v1.1,1,2026-06-08T08:00:00,0,0,0,1,semi_urban
L000103,S0162,J011,v1.0,4,2026-06-24T23:00:00,0,0,0,1,rural
L000104,S0120,J027,v1.2,4,2026-05-16T15:00:00,0,0,0,2,semi_urban
L000105,S0125,J034,v1.1,1,2026-05-11T12:00:00,0,0,0,2,rural
L000106,S0175,J005,v1.1,1,2026-04-10T20:00:00,0,0,0,1,urban
L000107,S0018,J040,v1.0,1,2026-05-13T04:00:00,0,0,0,3,urban
L000108,S0050,J046,v1.1,4,2026-04-05T02:00:00,0,0,0,1,semi_urban
L000109,S0133,J046,v1.1,3,2026-06-27T21:00:00,1,0,0,2,rural
L000110,S0144,J012,v1.2,2,2026-06-17T09:00:00,0,0,0,2,urban
L000111,S0060,J003,v1.0,2,2026-04-28T09:00:00,1,1,1,2,rural
L000112,S0179,J039,v1.0,3,2026-05-16T16:00:00,0,0,0,3,urban
L000113,S0143,J016,v1.2,3,2026-05-02T11:00:00,0,0,0,2,urban
L000114,S0194,J006,v1.1,3,2026-04-04T21:00:00,1,0,0,1,semi_urban
L000115,S0187,J042,v1.1,4,2026-04-12T16:00:00,1,0,0,1,urban
L000116,S0183,J025,v1.2,3,2026-04-14T17:00:00,0,0,0,2,urban
L000117,S0296,J008,v1.1,3,2026-04-15T19:00:00,0,0,0,3,semi_urban
L000118,S0013,J013,v1.2,4,2026-05-25T06:00:00,0,0,0,3,urban
L000119,S0059,J026,v1.0,2,2026-04-25T08:00:00,1,1,0,1,semi_urban
L000120,S0074,J049,v1.1,4,2026-06-28T08:00:00,0,0,0,1,urban
L000121,S0290,J004,v1.2,5,2026-04-19T14:00:00,0,0,0,3,rural
L000122,S0248,J011,v1.1,3,2026-04-03T18:00:00,0,0,0,2,semi_urban
L000123,S0240,J015,v1.2,5,2026-05-10T17:00:00,0,0,0,3,rural
L000124,S0195,J029,v1.2,1,2026-05-11T18:00:00,1,1,0,1,semi_urban
L000125,S0222,J037,v1.2,4,2026-06-09T19:00:00,0,0,0,2,urban
L000126,S0261,J033,v1.1,5,2026-06-16T01:00:00,1,0,0,3,urban
L000127,S0008,J037,v1.2,2,2026-05-09T04:00:00,1,0,0,1,urban
L000128,S0254,J003,v1.1,1,2026-04-05T10:00:00,1,0,0,1,urban
L000129,S0112,J023,v1.2,3,2026-05-02T13:00:00,1,0,0,2,urban
L000130,S0267,J030,v1.2,5,2026-05-15T23:00:00,0,0,0,1,urban
L000131,S0116,J002,v1.2,3,2026-04-16T07:00:00,0,0,0,3,urban
L000132,S0026,J014,v1.2,1,2026-05-05T17:00:00,0,0,0,2,rural
L000133,S0010,J034,v1.1,2,2026-04-07T07:00:00,1,1,0,2,urban
L000134,S0141,J013,v1.2,2,2026-04-24T04:00:00,0,0,0,2,urban
L000135,S0253,J004,v1.0,1,2026-05-10T17:00:00,1,0,0,1,rural
L000136,S0121,J025,v1.2,4,2026-06-22T02:00:00,0,0,0,2,urban
L000137,S0169,J040,v1.1,3,2026-04-29T16:00:00,1,0,0,3,semi_urban
L000138,S0010,J021,v1.1,1,2026-05-13T16:00:00,0,0,0,2,urban
L000139,S0250,J020,v1.2,1,2026-05-01T10:00:00,0,0,0,2,urban
L000140,S0034,J004,v1.0,5,2026-06-16T07:00:00,0,0,0,2,urban
L000141,S0174,J021,v1.0,2,2026-04-27T11:00:00,0,0,0,1,urban
L000142,S0123,J029,v1.0,2,2026-06-02T06:00:00,0,0,0,2,urban
L000143,S0164,J006,v1.1,4,2026-05-02T23:00:00,1,1,0,2,semi_urban
L000144,S0169,J041,v1.1,4,2026-04-12T21:00:00,1,0,0,3,semi_urban
L000145,S0094,J034,v1.2,3,2026-06-02T19:00:00,0,0,0,2,urban
L000146,S0165,J010,v1.2,3,2026-04-03T12:00:00,0,0,0,2,semi_urban
L000147,S0053,J027,v1.2,5,2026-05-26T14:00:00,0,0,0,2,semi_urban
L000148,S0136,J012,v1.1,1,2026-04-15T20:00:00,1,1,1,3,urban
L000149,S0141,J008,v1.2,2,2026-05-01T07:00:00,1,1,0,2,urban
L000150,S0099,J006,v1.0,1,2026-04-25T07:00:00,1,1,1,3,urban
L000151,S0147,J029,v1.1,2,2026-05-25T14:00:00,0,0,0,2,semi_urban
L000152,S0146,J019,v1.0,2,2026-06-25T17:00:00,1,1,0,2,rural
L000153,S0083,J039,v1.1,3,2026-05-13T20:00:00,0,0,0,1,urban
L000154,S0221,J039,v1.2,2,2026-05-27T21:00:00,1,0,0,2,urban
L000155,S0282,J048,v1.1,2,2026-04-17T03:00:00,0,0,0,1,urban
L000156,S0128,J040,v1.2,4,2026-06-15T00:00:00,0,0,0,1,urban
L000157,S0206,J043,v1.2,2,2026-04-24T07:00:00,1,0,0,1,urban
L000158,S0055,J000,v1.2,4,2026-04-14T09:00:00,0,0,0,3,semi_urban
L000159,S0073,J010,v1.2,2,2026-06-02T19:00:00,1,0,0,1,urban
L000160,S0136,J020,v1.0,1,2026-05-17T17:00:00,1,0,0,3,urban
L000161,S0106,J026,v1.2,5,2026-04-06T16:00:00,1,0,0,2,urban
L000162,S0064,J003,v1.2,2,2026-06-06T05:00:00,0,0,0,2,semi_urban
L000163,S0261,J006,v1.1,5,2026-05-15T21:00:00,1,0,0,3,urban
L000164,S0005,J017,v1.1,4,2026-04-09T21:00:00,0,0,0,3,urban
L000165,S0217,J019,v1.1,3,2026-05-08T08:00:00,0,0,0,1,semi_urban
L000166,S0033,J001,v1.1,2,2026-06-17T08:00:00,0,0,0,2,rural
L000167,S0043,J010,v1.2,5,2026-04-13T23:00:00,0,0,0,2,semi_urban
L000168,S0096,J047,v1.0,2,2026-04-27T18:00:00,0,0,0,2,rural
L000169,S0284,J001,v1.0,3,2026-06-07T20:00:00,0,0,0,2,rural
L000170,S0071,J045,v1.0,5,2026-04-28T14:00:00,0,0,0,2,urban
L000171,S0248,J028,v1.0,3,2026-04-18T09:00:00,0,0,0,2,semi_urban
L000172,S0245,J049,v1.2,3,2026-05-13T21:00:00,0,0,0,3,urban
L000173,S0275,J045,v1.1,5,2026-04-27T12:00:00,0,0,0,2,semi_urban
L000174,S0100,J033,v1.1,5,2026-06-22T11:00:00,0,0,0,3,urban
L000175,S0126,J025,v1.2,1,2026-04-07T18:00:00,0,0,0,2,urban
L000176,S0282,J048,v1.2,5,2026-06-23T17:00:00,0,0,0,1,urban
L000177,S0230,J036,v1.2,4,2026-06-08T21:00:00,0,0,0,1,semi_urban
L000178,S0282,J016,v1.2,4,2026-04-06T14:00:00,1,0,0,1,urban
L000179,S0063,J008,v1.0,2,2026-06-29T00:00:00,0,0,0,3,urban
L000180,S0116,J007,v1.2,4,2026-04-06T01:00:00,0,0,0,3,urban
L000181,S0079,J017,v1.2,4,2026-05-30T04:00:00,1,0,0,3,semi_urban
L000182,S0054,J044,v1.1,2,2026-06-15T12:00:00,1,0,0,3,urban
L000183,S0279,J012,v1.1,4,2026-05-24T00:00:00,0,0,0,3,urban
L000184,S0039,J031,v1.1,2,2026-06-05T10:00:00,0,0,0,2,rural
L000185,S0137,J030,v1.0,1,2026-05-04T18:00:00,0,0,0,2,semi_urban
L000186,S0280,J001,v1.2,2,2026-05-05T12:00:00,0,0,0,1,urban
L000187,S0289,J017,v1.1,4,2026-06-13T20:00:00,1,0,0,1,urban
L000188,S0059,J034,v1.0,4,2026-06-26T22:00:00,0,0,0,1,semi_urban
L000189,S0116,J038,v1.1,5,2026-05-20T17:00:00,0,0,0,3,urban
L000190,S0262,J015,v1.2,3,2026-05-15T19:00:00,0,0,0,2,rural
L000191,S0012,J007,v1.1,4,2026-06-24T18:00:00,1,0,0,2,urban
L000192,S0088,J023,v1.0,2,2026-06-03T05:00:00,0,0,0,1,urban
L000193,S0189,J003,v1.1,2,2026-04-21T23:00:00,0,0,0,2,semi_urban
L000194,S0276,J021,v1.2,1,2026-04-27T21:00:00,0,0,0,2,rural
L000195,S0252,J029,v1.2,4,2026-06-14T12:00:00,0,0,0,2,urban
L000196,S0003,J016,v1.2,2,2026-06-21T14:00:00,0,0,0,2,semi_urban
L000197,S0209,J018,v1.1,3,2026-05-16T00:00:00,0,0,0,2,urban
L000198,S0047,J016,v1.0,3,2026-05-26T07:00:00,1,0,0,2,urban
L000199,S0142,J021,v1.2,5,2026-05-15T18:00:00,0,0,0,3,semi_urban
L000200,S0221,J023,v1.1,4,2026-04-23T11:00:00,1,0,0,2,urban
L000201,S0209,J016,v1.1,4,2026-06-07T16:00:00,0,0,0,2,urban
L000202,S0164,J013,v1.2,4,2026-04-08T23:00:00,1,0,0,2,semi_urban
L000203,S0045,J022,v1.1,4,2026-06-14T03:00:00,0,0,0,3,semi_urban
L000204,S0156,J023,v1.2,4,2026-05-05T00:00:00,0,0,0,2,rural
L000205,S0230,J032,v1.1,2,2026-04-01T20:00:00,0,0,0,1,semi_urban
L000206,S0175,J014,v1.2,4,2026-05-28T21:00:00,0,0,0,1,urban
L000207,S0282,J018,v1.1,5,2026-04-08T22:00:00,0,0,0,1,urban
L000208,S0200,J002,v1.1,3,2026-06-03T18:00:00,0,0,0,3,semi_urban
L000209,S0224,J013,v1.2,2,2026-04-21T01:00:00,0,0,0,2,urban
L000210,S0130,J035,v1.2,2,2026-04-08T06:00:00,1,1,0,1,rural
L000211,S0175,J031,v1.2,5,2026-06-14T08:00:00,0,0,0,1,urban
L000212,S0193,J040,v1.2,1,2026-04-14T10:00:00,0,0,0,3,urban
L000213,S0153,J040,v1.0,3,2026-04-22T14:00:00,1,1,0,2,urban
L000214,S0233,J023,v1.1,2,2026-04-17T10:00:00,1,0,0,2,semi_urban
L000215,S0005,J029,v1.2,4,2026-04-18T19:00:00,0,0,0,3,urban
L000216,S0209,J004,v1.2,1,2026-05-01T17:00:00,0,0,0,2,urban
L000217,S0168,J034,v1.1,5,2026-06-29T05:00:00,0,0,0,2,urban
L000218,S0237,J047,v1.1,2,2026-05-07T13:00:00,0,0,0,3,urban
L000219,S0211,J047,v1.1,2,2026-05-06T13:00:00,0,0,0,2,rural
L000220,S0021,J042,v1.0,2,2026-06-06T13:00:00,1,0,0,2,urban
L000221,S0081,J033,v1.1,3,2026-05-11T11:00:00,0,0,0,2,rural
L000222,S0258,J038,v1.2,3,2026-06-02T17:00:00,0,0,0,1,semi_urban
L000223,S0054,J038,v1.2,2,2026-04-14T15:00:00,0,0,0,3,urban
L000224,S0078,J023,v1.1,1,2026-05-14T12:00:00,1,0,0,2,urban
L000225,S0219,J010,v1.2,1,2026-06-28T04:00:00,0,0,0,2,rural
L000226,S0297,J016,v1.2,4,2026-06-16T16:00:00,0,0,0,3,semi_urban
L000227,S0148,J019,v1.1,5,2026-06-03T12:00:00,0,0,0,2,urban
L000228,S0047,J036,v1.2,5,2026-04-07T05:00:00,1,0,0,2,urban
L000229,S0293,J022,v1.2,1,2026-05-16T09:00:00,1,0,0,1,semi_urban
L000230,S0056,J011,v1.1,5,2026-05-31T09:00:00,0,0,0,2,semi_urban
L000231,S0066,J016,v1.1,5,2026-04-13T12:00:00,0,0,0,2,semi_urban
L000232,S0157,J033,v1.1,1,2026-05-20T06:00:00,0,0,0,2,urban
L000233,S0264,J000,v1.2,1,2026-06-03T23:00:00,1,1,0,3,semi_urban
L000234,S0067,J010,v1.1,4,2026-05-13T18:00:00,0,0,0,2,semi_urban
L000235,S0072,J039,v1.1,4,2026-04-03T00:00:00,0,0,0,3,urban
L000236,S0183,J019,v1.2,3,2026-06-21T20:00:00,0,0,0,2,urban
L000237,S0256,J024,v1.2,1,2026-05-29T14:00:00,0,0,0,3,urban
L000238,S0220,J001,v1.1,2,2026-04-08T16:00:00,0,0,0,2,rural
L000239,S0133,J016,v1.2,1,2026-06-11T03:00:00,1,0,0,2,rural
L000240,S0022,J019,v1.1,4,2026-04-10T06:00:00,0,0,0,3,urban
L000241,S0266,J013,v1.1,2,2026-05-28T07:00:00,0,0,0,2,semi_urban
L000242,S0098,J047,v1.2,3,2026-05-11T09:00:00,1,0,0,1,urban
L000243,S0237,J037,v1.2,3,2026-06-28T01:00:00,0,0,0,3,urban
L000244,S0277,J048,v1.2,3,2026-05-01T23:00:00,0,0,0,2,semi_urban
L000245,S0173,J043,v1.1,2,2026-04-11T15:00:00,0,0,0,3,urban
L000246,S0183,J032,v1.0,3,2026-04-19T20:00:00,1,0,0,2,urban
L000247,S0176,J010,v1.2,2,2026-04-03T12:00:00,1,0,0,2,urban
L000248,S0211,J000,v1.1,5,2026-05-31T16:00:00,0,0,0,2,rural
L000249,S0224,J003,v1.1,2,2026-06-06T05:00:00,0,0,0,2,urban
L000250,S0011,J034,v1.1,2,2026-05-20T11:00:00,0,0,0,3,urban
L000251,S0243,J002,v1.1,2,2026-05-29T12:00:00,0,0,0,2,rural
L000252,S0215,J017,v1.1,5,2026-06-08T05:00:00,0,0,0,3,urban
L000253,S0238,J015,v1.2,2,2026-04-06T17:00:00,0,0,0,1,urban
L000254,S0180,J019,v1.1,5,2026-05-19T18:00:00,0,0,0,3,urban
L000255,S0123,J039,v1.1,3,2026-06-07T23:00:00,0,0,0,2,urban
L000256,S0125,J024,v1.1,2,2026-06-15T02:00:00,0,0,0,2,rural
L000257,S0188,J022,v1.2,3,2026-04-04T21:00:00,0,0,0,3,semi_urban
L000258,S0116,J022,v1.1,1,2026-04-13T09:00:00,0,0,0,3,urban
L000259,S0233,J033,v1.1,2,2026-04-09T07:00:00,0,0,0,2,semi_urban
L000260,S0163,J021,v1.2,5,2026-05-06T02:00:00,0,0,0,1,urban
L000261,S0215,J022,v1.2,5,2026-05-26T13:00:00,0,0,0,3,urban
L000262,S0298,J028,v1.2,2,2026-05-21T10:00:00,0,0,0,3,rural
L000263,S0157,J013,v1.1,4,2026-06-29T16:00:00,0,0,0,2,urban
L000264,S0290,J008,v1.2,1,2026-05-26T16:00:00,0,0,0,3,rural
L000265,S0094,J006,v1.0,2,2026-05-12T19:00:00,0,0,0,2,urban
L000266,S0007,J049,v1.2,1,2026-06-10T23:00:00,1,0,0,3,semi_urban
L000267,S0212,J032,v1.2,4,2026-04-06T06:00:00,0,0,0,1,urban
L000268,S0282,J037,v1.2,5,2026-05-22T04:00:00,0,0,0,1,urban
L000269,S0279,J017,v1.1,1,2026-05-13T17:00:00,1,0,0,3,urban
L000270,S0090,J002,v1.1,4,2026-04-12T19:00:00,0,0,0,1,semi_urban
L000271,S0134,J016,v1.2,5,2026-04-30T00:00:00,0,0,0,2,urban
L000272,S0018,J001,v1.0,1,2026-05-13T21:00:00,0,0,0,3,urban
L000273,S0162,J003,v1.0,2,2026-04-15T07:00:00,0,0,0,1,rural
L000274,S0109,J017,v1.2,5,2026-06-22T02:00:00,0,0,0,3,rural
L000275,S0200,J045,v1.1,3,2026-04-29T03:00:00,0,0,0,3,semi_urban
L000276,S0083,J026,v1.0,3,2026-04-24T22:00:00,0,0,0,1,urban
L000277,S0083,J036,v1.2,4,2026-05-29T05:00:00,0,0,0,1,urban
L000278,S0027,J046,v1.0,4,2026-06-04T14:00:00,0,0,0,1,semi_urban
L000279,S0142,J014,v1.1,1,2026-04-06T22:00:00,0,0,0,3,semi_urban
L000280,S0009,J022,v1.1,5,2026-06-22T13:00:00,0,0,0,2,urban
L000281,S0140,J047,v1.2,1,2026-04-19T18:00:00,1,1,0,2,rural
L000282,S0258,J022,v1.2,3,2026-04-07T02:00:00,0,0,0,1,semi_urban
L000283,S0065,J012,v1.2,2,2026-04-08T06:00:00,0,0,0,2,urban
L000284,S0278,J022,v1.1,3,2026-06-18T17:00:00,0,0,0,3,rural
L000285,S0207,J003,v1.1,4,2026-04-22T08:00:00,0,0,0,2,rural
L000286,S0235,J027,v1.0,1,2026-05-06T06:00:00,1,0,0,3,urban
L000287,S0018,J008,v1.2,1,2026-05-05T09:00:00,0,0,0,3,urban
L000288,S0284,J043,v1.2,3,2026-06-04T14:00:00,1,0,0,2,rural
L000289,S0133,J016,v1.2,4,2026-05-05T16:00:00,0,0,0,2,rural
L000290,S0057,J019,v1.2,5,2026-06-11T05:00:00,0,0,0,2,semi_urban
L000291,S0122,J042,v1.2,3,2026-06-10T20:00:00,1,1,0,1,urban
L000292,S0093,J002,v1.1,1,2026-04-21T14:00:00,0,0,0,2,semi_urban
L000293,S0120,J018,v1.1,3,2026-05-04T21:00:00,0,0,0,2,semi_urban
L000294,S0189,J006,v1.0,3,2026-05-18T23:00:00,0,0,0,2,semi_urban
L000295,S0143,J028,v1.2,2,2026-06-18T15:00:00,0,0,0,2,urban
L000296,S0043,J026,v1.1,5,2026-04-21T02:00:00,0,0,0,2,semi_urban
L000297,S0149,J008,v1.1,3,2026-04-29T11:00:00,0,0,0,1,semi_urban
L000298,S0183,J014,v1.2,5,2026-04-17T20:00:00,0,0,0,2,urban
L000299,S0057,J017,v1.1,2,2026-04-08T14:00:00,0,0,0,2,semi_urban
L000300,S0064,J047,v1.2,3,2026-06-03T18:00:00,0,0,0,2,semi_urban
L000301,S0088,J028,v1.0,5,2026-05-29T00:00:00,0,0,0,1,urban
L000302,S0038,J030,v1.2,1,2026-05-24T15:00:00,0,0,0,1,urban
L000303,S0244,J001,v1.1,2,2026-05-31T23:00:00,1,0,0,2,urban
L000304,S0088,J040,v1.1,2,2026-04-06T04:00:00,0,0,0,1,urban
L000305,S0205,J011,v1.2,3,2026-06-02T02:00:00,1,0,0,1,semi_urban
L000306,S0247,J010,v1.2,1,2026-05-16T18:00:00,0,0,0,2,urban
L000307,S0154,J046,v1.1,1,2026-05-04T14:00:00,1,0,0,1,urban
L000308,S0176,J039,v1.2,2,2026-04-04T17:00:00,0,0,0,2,urban
L000309,S0178,J015,v1.2,2,2026-04-01T07:00:00,1,1,0,3,semi_urban
L000310,S0117,J013,v1.0,3,2026-06-16T01:00:00,0,0,0,3,semi_urban
L000311,S0198,J031,v1.2,1,2026-06-28T22:00:00,0,0,0,1,urban
L000312,S0289,J037,v1.0,5,2026-04-06T04:00:00,0,0,0,1,urban
L000313,S0067,J016,v1.2,4,2026-06-28T04:00:00,0,0,0,2,semi_urban
L000314,S0247,J048,v1.2,4,2026-06-06T08:00:00,0,0,0,2,urban
L000315,S0135,J044,v1.1,1,2026-04-24T19:00:00,0,0,0,1,urban
L000316,S0201,J036,v1.2,4,2026-04-13T03:00:00,0,0,0,3,rural
L000317,S0265,J012,v1.2,4,2026-05-20T05:00:00,1,0,0,1,semi_urban
L000318,S0191,J014,v1.0,2,2026-05-22T22:00:00,0,0,0,1,semi_urban
L000319,S0274,J036,v1.2,5,2026-06-22T12:00:00,0,0,0,2,rural
L000320,S0084,J021,v1.0,1,2026-06-28T02:00:00,0,0,0,1,urban
L000321,S0028,J036,v1.2,1,2026-06-11T16:00:00,1,0,0,1,semi_urban
L000322,S0045,J039,v1.1,2,2026-06-15T06:00:00,0,0,0,3,semi_urban
L000323,S0113,J004,v1.2,4,2026-04-13T23:00:00,0,0,0,2,rural
