log_id,timestamp,student_id,job_id,model_version,rank_position,offline_score,served_score,skew,feat_skill_score,feat_skill_gap,feat_verified_skills,feat_years_exp,college_tier,region,defect_probability,is_predicted_defect,estimated_user_impact,clicked,applied,defect_category,defect_rank
L007149,2026-06-18T21:00:00,S0183,J027,v1.1,1,0.6394,0.745,0.1056,4.053,0.6,2,0.8,2,urban,0.9252,1,1.1206,1,0,skew_induced,21
L004725,2026-06-26T17:00:00,S0183,J041,v1.2,1,0.7455,0.8541,0.1086,4.054,0.7,2,0.8,2,urban,0.9204,1,1.1203,1,1,skew_induced,22
L005757,2026-04-26T04:00:00,S0280,J031,v1.1,1,0.6278,0.7332,0.1055,3.393,0.04,7,1.3,1,urban,0.925,1,1.1202,1,0,skew_induced,23
L003516,2026-05-06T23:00:00,S0045,J049,v1.2,1,0.7458,0.8553,0.1095,3.275,1.32,4,1.4,3,semi_urban,0.9174,1,1.1183,0,0,false_positive,24
L003544,2026-06-06T23:00:00,S0227,J010,v1.2,1,0.6004,0.7119,0.1115,4.086,0.73,8,2.7,2,rural,0.9105,1,1.1135,1,1,skew_induced,25
L002611,2026-04-15T12:00:00,S0167,J042,v1.2,1,0.7123,0.8051,0.0929,3.126,0.88,7,2.3,3,rural,0.9371,1,1.1113,1,0,skew_induced,26
L002820,2026-05-06T10:00:00,S0110,J004,v1.1,1,0.7314,0.8361,0.1047,4.252,1.3,3,1.4,2,semi_urban,0.9184,1,1.1107,0,0,false_positive,27
L007621,2026-05-20T17:00:00,S0277,J019,v1.1,1,0.6271,0.7359,0.1088,3.274,0.62,7,0.0,2,semi_urban,0.9113,1,1.1096,0,0,false_positive,28
L004009,2026-06-11T07:00:00,S0227,J014,v1.2,1,0.2654,0.3759,0.1105,4.085,-0.87,8,2.7,2,rural,0.9049,1,1.1049,1,0,false_negative,29
L004671,2026-06-15T03:00:00,S0215,J003,v1.2,1,0.7014,0.8048,0.1035,3.462,1.51,6,2.7,3,urban,0.9117,1,1.1004,1,0,skew_induced,30
L006404,2026-05-28T08:00:00,S0047,J040,v1.1,1,0.6768,0.7721,0.0953,3.428,0.68,4,0.6,2,urban,0.921,1,1.0966,1,0,skew_induced,31
L000953,2026-06-06T01:00:00,S0260,J031,v1.2,1,0.6807,0.7824,0.1017,4.191,0.84,3,1.5,1,urban,0.9111,1,1.0964,0,0,false_positive,32
L006931,2026-04-01T16:00:00,S0219,J033,v1.2,1,0.7158,0.8079,0.0921,3.846,1.2,2,1.1,2,rural,0.9218,1,1.0916,1,0,skew_induced,33
L007261,2026-05-09T07:00:00,S0123,J003,v1.2,1,0.7259,0.8496,0.1238,3.952,1.99,3,1.2,2,urban,0.8745,1,1.091,1,0,skew_induced,34
L004582,2026-04-16T12:00:00,S0037,J037,v1.2,1,0.264,0.3783,0.1143,2.407,-1.25,7,2.7,2,semi_urban,0.8873,1,1.0902,1,1,false_negative,35
L002519,2026-04-24T02:00:00,S0257,J009,v1.2,1,0.2861,0.3974,0.1114,2.456,-0.8,4,0.0,1,urban,0.8912,1,1.0898,1,1,false_negative,36
L002496,2026-04-26T15:00:00,S0226,J034,v1.1,1,0.6328,0.7424,0.1097,3.355,0.6,3,2.3,1,rural,0.8901,1,1.0854,1,0,skew_induced,37
L001538,2026-06-03T16:00:00,S0186,J040,v1.2,1,0.684,0.7787,0.0947,3.557,0.81,7,2.2,2,urban,0.9123,1,1.0851,0,0,false_positive,38
L007339,2026-06-27T00:00:00,S0295,J034,v1.2,1,0.6231,0.7343,0.1111,3.636,0.88,8,2.5,3,urban,0.8844,1,1.0809,1,0,skew_induced,39
L007246,2026-04-05T17:00:00,S0263,J036,v1.1,1,0.8321,0.9473,0.1152,4.578,1.82,2,1.5,1,semi_urban,0.8747,1,1.0762,0,0,false_positive,40
L007457,2026-04-20T17:00:00,S0186,J023,v1.2,1,0.632,0.741,0.109,3.565,1.01,7,2.2,2,urban,0.8803,1,1.0722,1,0,skew_induced,41
L000754,2026-04-08T13:00:00,S0105,J048,v1.2,1,0.6756,0.7684,0.0928,4.046,0.7,5,0.0,3,rural,0.9033,1,1.0709,0,0,false_positive,42
L001321,2026-04-03T20:00:00,S0272,J025,v1.1,1,0.7464,0.8421,0.0957,3.828,0.88,8,0.2,1,urban,0.8883,1,1.0583,1,1,skew_induced,43
L005375,2026-04-09T17:00:00,S0159,J028,v1.2,1,0.8249,0.9302,0.1053,3.673,1.52,4,2.0,3,semi_urban,0.8723,1,1.056,1,0,skew_induced,44
L000468,2026-06-20T18:00:00,S0125,J010,v1.2,1,0.2344,0.3302,0.0958,2.228,-1.12,2,2.3,2,rural,0.877,1,1.045,0,0,skew_induced,45
L002442,2026-04-19T09:00:00,S0155,J006,v1.1,1,0.8098,0.8602,0.0504,3.465,1.74,4,1.8,2,urban,0.9481,1,1.0436,1,0,skew_induced,46
L001894,2026-05-09T14:00:00,S0061,J021,v1.2,1,0.2469,0.338,0.0911,3.506,-1.14,2,1.2,2,urban,0.8815,1,1.0421,0,0,skew_induced,47
L002841,2026-04-28T02:00:00,S0159,J006,v1.2,1,0.8282,0.9389,0.1107,3.675,1.92,4,2.0,3,semi_urban,0.8522,1,1.0409,1,0,skew_induced,48
L006962,2026-05-08T11:00:00,S0055,J038,v1.1,1,0.7366,0.8627,0.1261,2.743,0.88,8,2.6,3,semi_urban,0.8264,1,1.0348,1,0,skew_induced,49
L004941,2026-05-24T00:00:00,S0020,J049,v1.2,1,0.7487,0.8437,0.0951,3.698,1.75,3,0.9,3,rural,0.864,1,1.0283,0,0,false_positive,50
L004269,2026-04-10T23:00:00,S0187,J016,v1.2,1,0.7332,0.8311,0.0979,3.319,0.87,2,1.1,1,urban,0.8549,1,1.0223,1,0,skew_induced,51
L004256,2026-06-08T15:00:00,S0117,J047,v1.2,1,0.2193,0.3109,0.0916,2.386,-1.26,3,0.0,3,semi_urban,0.8634,1,1.0215,1,0,false_negative,52
L006659,2026-04-20T16:00:00,S0140,J004,v1.2,1,0.6779,0.8185,0.1406,3.62,0.65,6,0.7,2,rural,0.7952,1,1.0188,1,0,skew_induced,53
L001892,2026-05-02T01:00:00,S0291,J036,v1.1,1,0.5981,0.7014,0.1033,2.582,-0.17,3,3.0,1,urban,0.8439,1,1.0183,0,0,false_positive,54
L000070,2026-05-01T13:00:00,S0227,J005,v1.1,1,0.6809,0.8289,0.148,4.104,0.53,8,2.7,2,rural,0.778,1,1.0083,0,0,false_positive,55
L006758,2026-06-20T22:00:00,S0039,J040,v1.2,1,0.698,0.8302,0.1322,3.636,0.87,6,2.4,2,rural,0.7972,1,1.0079,1,0,skew_induced,56
L006663,2026-06-15T10:00:00,S0113,J028,v1.2,1,0.7423,0.8388,0.0965,3.298,1.15,5,1.5,2,rural,0.8438,1,1.0066,0,0,false_positive,57
L000885,2026-06-06T10:00:00,S0205,J025,v1.1,1,0.7104,0.8018,0.0914,4.486,1.54,6,2.0,1,semi_urban,0.8498,1,1.0051,0,0,false_positive,58
L001508,2026-06-24T02:00:00,S0110,J047,v1.1,1,0.6578,0.7551,0.0973,4.249,0.6,3,1.4,2,semi_urban,0.8381,1,1.0012,1,1,skew_induced,59
L000058,2026-05-04T17:00:00,S0110,J022,v1.2,1,0.6918,0.8289,0.1371,4.269,1.0,3,1.4,2,semi_urban,0.782,1,0.9964,1,1,skew_induced,60
L003094,2026-04-05T05:00:00,S0294,J043,v1.2,1,0.2062,0.3163,0.1101,2.245,-1.71,8,0.3,3,urban,0.806,1,0.9835,0,0,skew_induced,61
L007235,2026-06-17T07:00:00,S0185,J048,v1.1,1,0.6554,0.7078,0.0524,3.616,0.29,5,1.7,2,urban,0.8875,1,0.9805,0,0,false_positive,62
L003255,2026-04-01T03:00:00,S0021,J038,v1.2,1,0.7498,0.8423,0.0926,3.236,1.39,5,0.8,2,urban,0.8263,1,0.9793,0,0,false_positive,63
L003274,2026-04-25T05:00:00,S0262,J011,v1.2,1,0.1729,0.261,0.0881,2.774,-1.57,7,0.4,2,rural,0.8301,1,0.9764,1,0,false_negative,64
L004028,2026-06-09T21:00:00,S0050,J031,v1.1,1,0.7155,0.7576,0.0422,4.111,0.79,2,0.8,1,semi_urban,0.8973,1,0.973,0,0,false_positive,65
L006883,2026-06-16T13:00:00,S0223,J046,v1.1,1,0.6139,0.7177,0.1038,2.372,0.42,8,0.1,3,semi_urban,0.7999,1,0.9659,1,0,skew_induced,66
L004210,2026-06-14T21:00:00,S0185,J028,v1.1,1,0.8186,0.9435,0.125,3.652,1.49,5,1.7,2,urban,0.7726,1,0.9658,1,0,skew_induced,67
L004637,2026-06-11T23:00:00,S0084,J007,v1.1,1,0.6794,0.7708,0.0914,3.036,0.79,7,2.5,1,urban,0.804,1,0.951,1,1,skew_induced,68
L003615,2026-06-21T06:00:00,S0052,J019,v1.2,1,0.2398,0.3278,0.088,1.114,-1.53,2,2.6,3,semi_urban,0.8063,1,0.9482,0,0,skew_induced,69
L006128,2026-04-27T10:00:00,S0169,J046,v1.1,1,0.947,1.0,0.105,4.492,2.54,3,2.1,3,semi_urban,0.7827,1,0.9471,1,0,skew_induced,70
L002160,2026-05-07T13:00:00,S0003,J019,v1.1,1,0.2085,0.3037,0.0952,1.118,-1.53,7,1.5,2,semi_urban,0.7951,1,0.9465,1,1,false_negative,71
L001074,2026-06-13T17:00:00,S0148,J019,v1.2,1,0.8099,0.8598,0.0499,4.195,1.57,4,1.4,2,urban,0.8605,1,0.9463,1,1,none,72
L003374,2026-04-30T21:00:00,S0211,J015,v1.2,1,0.2785,0.3701,0.0916,2.176,-0.77,4,0.9,2,rural,0.7994,1,0.9458,0,0,skew_induced,73
L004689,2026-05-02T10:00:00,S0254,J037,v1.2,1,0.6062,0.7043,0.0981,4.299,0.65,4,1.8,1,urban,0.7765,1,0.9289,0,0,false_positive,74
L003712,2026-04-05T22:00:00,S0035,J010,v1.2,1,0.2852,0.375,0.0898,1.905,-1.44,3,1.9,1,semi_urban,0.7867,1,0.928,0,0,skew_induced,75
L003165,2026-04-11T19:00:00,S0281,J031,v1.2,1,0.208,0.3134,0.1054,1.503,-1.85,3,0.0,1,semi_urban,0.766,1,0.9274,1,0,false_negative,76
L004708,2026-06-14T04:00:00,S0282,J036,v1.2,1,0.609,0.705,0.096,3.578,0.83,8,0.7,1,urban,0.7767,1,0.9258,1,1,skew_induced,77
L005486,2026-06-17T00:00:00,S0193,J033,v1.1,1,0.8255,0.9254,0.0999,4.43,1.78,4,0.0,3,urban,0.7696,1,0.9234,1,0,skew_induced,78
L004108,2026-05-27T15:00:00,S0023,J034,v1.2,1,0.6116,0.7129,0.1013,3.461,0.71,2,1.9,3,semi_urban,0.7652,1,0.9202,0,0,false_positive,79
L005449,2026-04-26T03:00:00,S0054,J015,v1.2,1,0.7845,0.8272,0.0427,5.021,2.1,6,1.0,3,urban,0.8442,1,0.9163,1,0,none,80
L001493,2026-04-14T17:00:00,S0169,J049,v1.1,1,0.948,1.0,0.073,4.476,2.54,3,2.1,3,semi_urban,0.7933,1,0.9091,1,0,skew_induced,81
L000060,2026-06-27T13:00:00,S0093,J020,v1.1,1,0.7337,0.7834,0.0496,3.655,1.33,8,1.2,2,semi_urban,0.827,1,0.909,1,0,none,82
L002444,2026-04-18T14:00:00,S0113,J028,v1.2,1,0.6931,0.7367,0.0435,3.272,1.15,5,1.5,2,rural,0.8342,1,0.9068,0,0,false_positive,83
L007044,2026-05-02T05:00:00,S0127,J048,v1.2,1,0.6555,0.7503,0.0948,3.887,0.54,2,2.3,1,rural,0.7575,1,0.9011,1,0,skew_induced,84
L002570,2026-04-11T06:00:00,S0081,J032,v1.2,1,0.7568,0.7982,0.0414,3.991,1.27,4,2.1,2,rural,0.8316,1,0.9005,0,0,false_positive,85
L001324,2026-04-10T06:00:00,S0132,J041,v1.2,1,0.6186,0.7117,0.0932,3.567,0.22,8,1.5,2,semi_urban,0.7582,1,0.8995,1,1,skew_induced,86
L004996,2026-06-17T07:00:00,S0260,J023,v1.1,1,0.8368,0.8856,0.0488,4.164,1.64,3,1.5,1,urban,0.8191,1,0.8991,1,1,none,87
L004539,2026-06-26T13:00:00,S0129,J027,v1.2,1,0.2941,0.3824,0.0883,2.314,-1.13,8,1.1,2,rural,0.7616,1,0.8961,0,0,skew_induced,88
L007217,2026-05-20T22:00:00,S0216,J007,v1.1,1,0.8279,0.8926,0.0647,3.342,1.11,8,2.5,1,urban,0.7923,1,0.8948,1,0,skew_induced,89
L006711,2026-06-21T16:00:00,S0013,J027,v1.0,1,0.3467,0.3467,0.0,2.02,-1.38,8,1.1,3,urban,0.8892,1,0.8892,1,0,false_negative,90
L004277,2026-05-29T17:00:00,S0013,J031,v1.0,1,0.3487,0.3487,0.0,2.02,-1.28,8,1.1,3,urban,0.8892,1,0.8892,0,0,none,91
L005457,2026-06-23T23:00:00,S0006,J025,v1.0,1,0.3547,0.3547,0.0,2.14,-0.76,7,2.5,3,urban,0.8892,1,0.8892,1,0,false_negative,92
L007161,2026-06-01T23:00:00,S0007,J006,v1.0,1,0.8294,0.8294,0.0,3.57,1.87,8,1.7,3,semi_urban,0.8882,1,0.8882,1,0,none,93
L007810,2026-06-20T20:00:00,S0127,J049,v1.0,1,0.8105,0.8105,0.0,3.84,1.94,2,2.3,1,rural,0.8875,1,0.8875,1,1,none,94
L006054,2026-05-28T05:00:00,S0050,J020,v1.0,1,0.8095,0.8095,0.0,4.09,1.79,2,0.8,1,semi_urban,0.8875,1,0.8875,0,0,false_positive,95
L001274,2026-04-20T12:00:00,S0142,J024,v1.0,1,0.3388,0.3388,0.0,2.18,-1.42,7,3.5,3,semi_urban,0.8875,1,0.8875,1,0,false_negative,96
L007382,2026-06-29T14:00:00,S0059,J049,v1.1,1,0.6894,0.7713,0.0819,2.891,0.95,8,1.5,1,semi_urban,0.7606,1,0.8852,1,1,skew_induced,97
L004358,2026-05-24T15:00:00,S0144,J034,v1.2,1,0.6986,0.7822,0.0836,3.942,1.2,2,1.2,2,urban,0.7582,1,0.885,0,0,false_positive,98
L004101,2026-05-27T08:00:00,S0042,J040,v1.1,1,0.7589,0.8219,0.063,4.191,1.46,7,0.6,3,rural,0.7836,1,0.8823,0,0,false_positive,99
L001435,2026-06-09T10:00:00,S0158,J026,v1.1,1,0.637,0.7297,0.0926,3.176,0.33,8,0.9,3,semi_urban,0.7443,1,0.8822,0,0,false_positive,100
L005703,2026-05-16T22:00:00,S0252,J039,v1.0,1,0.0823,0.0823,0.0,0.86,-2.74,3,1.0,2,urban,0.8804,1,0.8804,1,1,false_negative,101
L000420,2026-05-13T14:00:00,S0173,J031,v1.0,1,0.394,0.394,0.0,3.01,-0.29,5,0.8,3,urban,0.8798,1,0.8798,0,0,none,102
L001309,2026-05-03T08:00:00,S0138,J020,v1.0,1,0.3784,0.3784,0.0,2.03,-0.27,5,1.3,3,semi_urban,0.878,1,0.878,1,0,false_negative,103
L006267,2026-04-29T09:00:00,S0086,J040,v1.0,1,0.3913,0.3913,0.0,2.73,0.03,4,2.7,3,semi_urban,0.878,1,0.878,1,0,false_negative,104
L001470,2026-05-12T13:00:00,S0296,J031,v1.0,1,0.379,0.379,0.0,3.05,-0.25,7,0.9,3,semi_urban,0.878,1,0.878,1,0,false_negative,105
L002359,2026-06-02T02:00:00,S0049,J003,v1.2,1,0.6965,0.777,0.0805,2.71,0.77,7,0.2,1,urban,0.7556,1,0.8772,0,0,false_positive,106
L006938,2026-06-17T10:00:00,S0206,J031,v1.1,1,0.633,0.7267,0.0937,3.767,0.42,2,1.1,1,urban,0.7362,1,0.8741,1,1,skew_induced,107
L005499,2026-06-27T22:00:00,S0234,J003,v1.2,1,0.5803,0.7172,0.1369,2.608,0.64,4,2.9,3,urban,0.6861,1,0.8739,1,1,skew_induced,108
L006250,2026-04-03T04:00:00,S0025,J026,v1.2,1,0.6709,0.7632,0.0923,4.066,1.22,7,1.9,1,semi_urban,0.7332,1,0.8686,1,0,skew_induced,109
L001162,2026-05-16T04:00:00,S0110,J041,v1.1,1,0.768,0.8345,0.0665,4.233,0.9,3,1.4,2,semi_urban,0.7663,1,0.8682,0,0,false_positive,110
L003884,2026-05-28T03:00:00,S0105,J009,v1.2,1,0.6656,0.7602,0.0946,4.047,0.8,5,0.0,3,rural,0.729,1,0.8669,0,0,false_positive,111
L002609,2026-04-27T08:00:00,S0008,J032,v1.1,1,0.8154,0.8881,0.0728,4.636,1.9,2,1.1,1,urban,0.7564,1,0.8665,1,0,skew_induced,112
L006221,2026-04-07T09:00:00,S0261,J040,v1.2,1,0.7782,0.8294,0.0512,4.496,1.77,2,1.7,3,urban,0.7854,1,0.8658,1,0,skew_induced,113
L004337,2026-04-14T17:00:00,S0219,J036,v1.2,1,0.6931,0.7455,0.0524,3.826,1.1,2,1.1,2,rural,0.7828,1,0.8648,1,0,skew_induced,114
L001504,2026-05-23T06:00:00,S0094,J038,v1.0,1,0.8132,0.8132,0.0,3.22,1.42,2,1.8,2,urban,0.8612,1,0.8612,1,1,none,115
L001677,2026-05-21T22:00:00,S0018,J022,v1.0,1,0.358,0.358,0.0,2.66,-0.54,8,2.1,3,urban,0.8579,1,0.8579,1,0,false_negative,116
L005250,2026-06-03T08:00:00,S0023,J011,v1.0,1,0.3613,0.3613,0.0,3.41,-0.89,2,1.9,3,semi_urban,0.856,1,0.856,0,0,none,117
L000121,2026-05-17T10:00:00,S0273,J028,v1.1,1,0.6946,0.7344,0.0398,2.73,0.61,4,1.0,2,semi_urban,0.7921,1,0.8551,0,0,false_positive,118
L006648,2026-06-19T19:00:00,S0016,J045,v1.0,1,0.0906,0.0906,0.0,1.68,-2.02,4,0.7,2,urban,0.8547,1,0.8547,0,0,none,119
L003499,2026-05-09T14:00:00,S0001,J014,v1.0,1,0.1013,0.1013,0.0,2.8,-2.1,4,1.2,2,urban,0.8547,1,0.8547,0,0,none,120
L005833,2026-04-17T23:00:00,S0164,J025,v1.1,1,0.643,0.8197,0.1768,4.038,1.05,2,2.0,2,semi_urban,0.6284,1,0.8506,0,0,false_positive,121
L001964,2026-05-20T07:00:00,S0048,J030,v1.0,1,0.0971,0.0971,0.0,2.57,-1.73,2,1.3,2,semi_urban,0.8483,1,0.8483,1,0,false_negative,122
L004666,2026-06-12T00:00:00,S0032,J006,v1.0,1,0.8669,0.8669,0.0,3.43,1.73,2,1.6,2,semi_urban,0.8474,1,0.8474,1,1,none,123
L001814,2026-04-03T15:00:00,S0025,J034,v1.1,1,0.75,0.8329,0.0829,4.061,1.32,7,1.9,1,semi_urban,0.7197,1,0.839,1,0,skew_induced,124
L001241,2026-06-01T23:00:00,S0210,J047,v1.0,1,0.343,0.343,0.0,2.84,-0.76,5,1.8,2,urban,0.8378,1,0.8378,0,0,none,125
L005283,2026-05-06T06:00:00,S0123,J028,v1.1,1,0.7843,0.8338,0.0495,3.915,1.79,3,1.2,2,urban,0.7617,1,0.8371,0,0,false_positive,126
L001023,2026-06-13T05:00:00,S0042,J024,v1.2,1,0.657,0.7072,0.0502,4.185,0.56,7,0.6,3,rural,0.7596,1,0.8359,1,0,skew_induced,127
L004868,2026-04-13T09:00:00,S0260,J032,v1.1,1,0.7066,0.7465,0.0399,4.16,1.44,3,1.5,1,urban,0.774,1,0.8358,0,0,false_positive,128
L004206,2026-05-24T12:00:00,S0274,J005,v1.0,1,0.3381,0.3381,0.0,2.61,-0.89,7,0.6,2,rural,0.8355,1,0.8355,1,0,false_negative,129
L003898,2026-06-11T13:00:00,S0221,J014,v1.0,1,0.3524,0.3524,0.0,3.82,-1.08,5,1.6,2,urban,0.8348,1,0.8348,0,0,none,130
L004183,2026-06-05T05:00:00,S0089,J028,v1.0,1,0.354,0.354,0.0,1.71,-0.39,3,1.3,2,rural,0.8325,1,0.8325,0,0,none,131
L005401,2026-05-03T15:00:00,S0122,J043,v1.0,1,0.3505,0.3505,0.0,2.84,-1.06,3,1.9,1,urban,0.8307,1,0.8307,0,0,none,132
L000257,2026-06-07T02:00:00,S0155,J049,v1.0,1,0.8782,0.8782,0.0,3.44,1.54,4,1.8,2,urban,0.8306,1,0.8306,1,0,none,133
L003862,2026-05-03T22:00:00,S0000,J003,v1.1,1,0.8798,0.9446,0.0647,4.032,2.1,2,0.0,3,semi_urban,0.7346,1,0.8297,1,0,skew_induced,134
L002457,2026-04-03T22:00:00,S0267,J011,v1.2,1,0.2019,0.3164,0.1145,3.157,-1.2,6,1.1,1,urban,0.6737,1,0.8279,0,0,skew_induced,135
L002997,2026-05-26T15:00:00,S0084,J047,v1.0,1,0.3378,0.3378,0.0,2.99,-0.61,7,2.5,1,urban,0.8252,1,0.8252,1,0,false_negative,136
L001206,2026-04-23T06:00:00,S0260,J006,v1.0,1,0.9388,0.9388,0.0,4.14,2.44,3,1.5,1,urban,0.824,1,0.824,1,0,none,137
L007260,2026-05-07T08:00:00,S0261,J049,v1.0,1,0.9415,0.9415,0.0,4.47,2.57,2,1.7,3,urban,0.824,1,0.824,1,1,none,138
L001659,2026-06-11T05:00:00,S0110,J026,v1.1,1,0.8547,0.9484,0.0937,4.247,1.4,3,1.4,2,semi_urban,0.6935,1,0.8234,1,1,skew_induced,139
L004422,2026-05-03T15:00:00,S0002,J049,v1.2,1,0.8103,0.8743,0.064,3.322,1.39,4,0.0,3,semi_urban,0.7297,1,0.8231,1,0,skew_induced,140
L002196,2026-06-26T19:00:00,S0209,J044,v1.0,1,0.3796,0.3796,0.0,3.04,-0.86,8,1.6,2,urban,0.8217,1,0.8217,0,0,none,141
L005031,2026-04-12T07:00:00,S0137,J007,v1.2,1,0.6927,0.7436,0.0508,2.855,0.63,4,1.2,2,semi_urban,0.7429,1,0.8183,1,1,skew_induced,142
L007360,2026-06-27T01:00:00,S0283,J033,v1.0,1,0.3895,0.3895,0.0,2.21,-0.39,6,2.5,1,urban,0.8173,1,0.8173,0,0,none,143
L005238,2026-05-23T12:00:00,S0190,J046,v1.1,1,0.7063,0.7851,0.0788,2.599,0.66,7,0.0,3,semi_urban,0.7047,1,0.8158,1,0,skew_induced,144
L004998,2026-05-24T12:00:00,S0196,J020,v1.0,1,0.8743,0.8743,0.0,4.08,1.78,6,1.5,2,urban,0.8151,1,0.8151,1,1,none,145
L005113,2026-06-10T20:00:00,S0168,J007,v1.1,1,0.8099,0.8659,0.0561,3.768,1.54,7,1.3,2,urban,0.7322,1,0.8144,1,0,skew_induced,146
L005544,2026-05-31T05:00:00,S0235,J007,v1.1,1,0.7054,0.7519,0.0465,3.223,1.0,8,1.1,3,urban,0.7446,1,0.8139,1,0,none,147
L006374,2026-05-15T07:00:00,S0263,J016,v1.0,1,0.8919,0.8919,0.0,4.52,2.12,2,1.5,1,semi_urban,0.8121,1,0.8121,1,1,none,148
L006348,2026-06-06T16:00:00,S0054,J027,v1.2,1,0.7054,0.7896,0.0842,5.042,1.6,6,1.0,3,urban,0.6908,1,0.8071,1,1,skew_induced,149
L003970,2026-06-15T08:00:00,S0235,J007,v1.1,1,0.7501,0.8117,0.0616,3.231,1.0,8,1.1,3,urban,0.7178,1,0.8062,0,0,false_positive,150
L006868,2026-06-18T02:00:00,S0149,J010,v1.0,1,0.3496,0.3496,0.0,3.23,-0.07,5,0.7,1,semi_urban,0.8061,1,0.8061,0,0,none,151
L003738,2026-05-02T22:00:00,S0062,J048,v1.0,1,0.3952,0.3952,0.0,3.42,0.12,4,0.4,2,urban,0.8054,1,0.8054,0,0,none,152
L007716,2026-06-05T07:00:00,S0049,J001,v1.0,1,0.3947,0.3947,0.0,2.67,-1.03,7,0.2,1,urban,0.8007,1,0.8007,1,0,false_negative,153
L001635,2026-05-28T13:00:00,S0053,J022,v1.1,1,0.7745,0.8679,0.0935,4.337,1.09,3,3.7,2,semi_urban,0.6738,1,0.7998,1,0,skew_induced,154
L000202,2026-06-25T01:00:00,S0021,J023,v1.2,1,0.6926,0.7743,0.0817,3.231,0.69,5,0.8,2,urban,0.6853,1,0.7973,0,0,false_positive,155
