log_id,student_id,job_id,match_score_train,skill_gap,verified_skills,years_exp,model_score,skill_score_feature
L000100,S0193,J027,0.6815,0.98,4,0.0,0.6815,3.98
L000101,S0029,J035,0.5677,0.81,5,3.5,0.5677,3.81
L000102,S0256,J026,0.4252,-0.1,6,2.5,0.4252,2.9
L000103,S0128,J006,0.516,0.52,3,1.7,0.516,3.52
L000104,S0110,J033,0.7342,1.6,3,1.4,0.7342,4.6
L000105,S0079,J044,0.243,-1.6,8,1.9,0.243,1.4
L000106,S0083,J018,0.1795,-1.65,5,0.9,0.1795,1.35
L000107,S0024,J015,0.4628,-0.36,7,0.7,0.4628,2.64
L000108,S0124,J044,0.2712,-1.1,8,2.3,0.2712,1.9
L000109,S0069,J001,0.5135,-0.21,4,1.6,0.5135,2.79
L000110,S0280,J024,0.3936,-0.26,7,1.3,0.3936,2.74
L000111,S0276,J014,0.0756,-1.88,3,1.5,0.0756,1.12
L000112,S0041,J029,0.3083,-0.69,7,1.5,0.3083,2.31
L000113,S0097,J007,0.7245,1.47,5,1.5,0.7245,4.47
L000114,S0017,J038,0.4234,0.18,2,2.3,0.4234,3.18
L000115,S0255,J021,0.0064,-2.5,4,1.3,0.0064,0.5
L000116,S0067,J038,0.5786,0.93,3,1.5,0.5786,3.93
L000117,S0021,J010,0.4201,-0.11,5,0.8,0.4201,2.89
L000118,S0123,J020,0.7542,1.59,3,1.2,0.7542,4.59
L000119,S0243,J016,0.5639,0.22,5,2.0,0.5639,3.22
L000120,S0177,J005,0.6459,0.93,2,1.1,0.6459,3.93
L000121,S0273,J028,0.6946,0.61,4,1.0,0.6946,3.61
L000122,S0028,J022,0.5523,0.23,4,1.6,0.5523,3.23
L000123,S0151,J040,0.3918,-0.61,3,0.2,0.3918,2.39
L000124,S0154,J041,0.4649,-0.25,6,1.8,0.4649,2.75
L000125,S0080,J021,0.2645,-1.46,7,0.6,0.2645,1.54
L000126,S0170,J005,0.4882,-0.09,3,3.0,0.4882,2.91
L000127,S0040,J035,0.5437,0.39,5,1.0,0.5437,3.39
L000128,S0296,J045,0.4047,-0.65,7,0.9,0.4047,2.35
L000129,S0193,J018,0.6897,1.08,4,0.0,0.6897,4.08
L000130,S0247,J037,0.0606,-2.09,5,2.7,0.0606,0.9100000000000001
L000131,S0124,J041,0.4895,-0.5,8,2.3,0.4895,2.5
L000132,S0146,J028,0.413,-0.3,7,0.6,0.413,2.7
L000133,S0282,J027,0.5299,0.13,8,0.7,0.5299,3.13
L000134,S0169,J001,0.6615,0.74,3,2.1,0.6615,3.74
L000135,S0162,J030,0.0,-3.1,6,1.2,0.0,-0.10000000000000009
L000136,S0109,J020,0.7762,1.33,2,2.6,0.7762,4.33
L000137,S0176,J001,0.6839,0.94,7,0.4,0.6839,3.94
L000138,S0031,J003,0.5508,-0.25,3,2.7,0.5508,2.75
L000139,S0277,J008,0.4565,-0.38,7,0.0,0.4565,2.62
L000140,S0077,J021,0.2354,-1.13,7,2.0,0.2354,1.87
L000141,S0226,J039,0.4752,-0.3,3,2.3,0.4752,2.7
L000142,S0241,J026,0.521,0.42,4,1.4,0.521,3.42
L000143,S0235,J032,0.5745,0.5,8,1.1,0.5745,3.5
L000144,S0036,J012,0.5092,0.06,2,1.4,0.5092,3.06
L000145,S0189,J037,0.3343,-0.53,3,0.9,0.3343,2.4699999999999998
L000146,S0078,J021,0.2301,-1.34,6,2.0,0.2301,1.66
L000147,S0019,J019,0.4506,-0.02,4,1.6,0.4506,2.98
L000148,S0232,J021,0.2505,-1.43,3,2.1,0.2505,1.57
L000149,S0015,J031,0.6854,1.16,2,2.0,0.6854,4.16
L000150,S0264,J034,0.5909,0.33,4,3.1,0.5909,3.33
L000151,S0226,J016,0.7055,0.9,3,2.3,0.7055,3.9
L000152,S0181,J033,0.6766,0.91,3,1.0,0.6766,3.91
L000153,S0172,J002,0.3222,-0.91,5,0.5,0.3222,2.09
L000154,S0247,J025,0.2099,-1.39,5,2.7,0.2099,1.61
L000155,S0181,J029,0.5657,0.31,3,1.0,0.5657,3.31
L000156,S0088,J003,0.4563,-0.26,4,0.6,0.4563,2.74
L000157,S0014,J012,0.4842,-0.1,6,2.1,0.4842,2.9
L000158,S0233,J006,0.7149,1.14,4,1.5,0.7149,4.14
L000159,S0193,J010,0.6993,1.08,4,0.0,0.6993,4.08
L000160,S0040,J004,0.5123,0.29,5,1.0,0.5123,3.29
L000161,S0203,J030,0.3218,-1.34,6,1.0,0.3218,1.66
L000162,S0128,J004,0.5128,-0.68,3,1.7,0.5128,2.32
L000163,S0133,J018,0.491,-0.31,6,2.7,0.491,2.69
L000164,S0185,J048,0.549,0.29,5,1.7,0.549,3.29
L000165,S0150,J007,0.765,1.41,7,1.4,0.765,4.41
L000166,S0039,J026,0.5981,0.77,6,2.4,0.5981,3.77
L000167,S0255,J038,0.5068,0.3,4,1.3,0.5068,3.3
L000168,S0186,J031,0.6002,0.21,7,2.2,0.6002,3.21
L000169,S0058,J049,0.6141,0.87,3,1.8,0.6141,3.87
L000170,S0101,J010,0.5186,0.01,5,1.3,0.5186,3.01
L000171,S0184,J017,0.5191,0.21,4,3.3,0.5191,3.21
L000172,S0220,J028,0.7219,1.75,8,2.3,0.7219,4.75
L000173,S0208,J010,0.4586,-0.1,6,0.6,0.4586,2.9
L000174,S0092,J025,0.1024,-1.95,2,2.4,0.1024,1.05
L000175,S0232,J045,0.3956,-0.53,3,2.1,0.3956,2.4699999999999998
L000176,S0094,J039,0.4046,-0.38,2,1.8,0.4046,2.62
L000177,S0291,J002,0.3647,-0.67,3,3.0,0.3647,2.33
L000178,S0110,J028,0.8563,2.1,3,1.4,0.8563,5.1
L000179,S0186,J009,0.5125,0.31,7,2.2,0.5125,3.31
L000180,S0043,J011,0.1705,-1.65,4,1.9,0.1705,1.35
L000181,S0239,J021,0.1147,-1.92,7,1.1,0.1147,1.08
L000182,S0197,J001,0.4048,-0.69,4,2.5,0.4048,2.31
L000183,S0283,J009,0.2679,-0.99,6,2.5,0.2679,2.01
L000184,S0067,J040,0.4532,0.03,3,1.5,0.4532,3.03
L000185,S0031,J021,0.0305,-2.95,3,2.7,0.0305,0.04999999999999982
L000186,S0095,J019,0.5165,-0.17,7,0.7,0.5165,2.83
L000187,S0208,J013,0.4433,-0.3,6,0.6,0.4433,2.7
L000188,S0272,J034,0.7282,1.08,8,0.2,0.7282,4.08
L000189,S0004,J005,0.2549,-1.43,4,1.5,0.2549,1.57
L000190,S0267,J039,0.3708,-0.5,6,1.1,0.3708,2.5
L000191,S0107,J004,0.4854,-0.25,2,1.3,0.4854,2.75
L000192,S0244,J009,0.6918,0.95,3,2.0,0.6918,3.95
L000193,S0121,J000,0.1794,-0.93,3,2.1,0.1794,2.07
L000194,S0059,J044,0.2837,-1.05,8,1.5,0.2837,1.95
L000195,S0003,J028,0.3284,-1.03,7,1.5,0.3284,1.97
L000196,S0162,J026,0.3259,-1.6,6,1.2,0.3259,1.4
L000197,S0159,J034,0.7257,0.92,4,2.0,0.7257,3.92
L000198,S0198,J022,0.5392,-0.04,4,1.8,0.5392,2.96
L000199,S0110,J000,0.6555,1.0,3,1.4,0.6555,4.0
L000200,S0133,J045,0.3505,-0.71,6,2.7,0.3505,2.29
L000201,S0269,J007,1.0,2.8,6,0.0,1.0,5.8
L000202,S0021,J023,0.6926,0.69,5,0.8,0.6926,3.69
L000203,S0033,J028,0.5328,0.07,3,1.8,0.5328,3.07
L000204,S0138,J003,0.5863,0.13,5,1.3,0.5863,3.13
L000205,S0244,J022,0.56,0.95,3,2.0,0.56,3.95
L000206,S0227,J000,0.6043,0.83,8,2.7,0.6043,3.83
L000207,S0238,J043,0.3584,-0.65,7,2.1,0.3584,2.35
L000208,S0267,J001,0.4337,-0.6,6,1.1,0.4337,2.4
L000209,S0231,J044,0.1885,-1.16,6,1.0,0.1885,1.84
L000210,S0154,J028,0.6622,0.95,6,1.8,0.6622,3.95
L000211,S0272,J028,0.8335,1.68,8,0.2,0.8335,4.68
L000212,S0186,J042,0.6265,1.31,7,2.2,0.6265,4.3100000000000005
L000213,S0142,J031,0.3769,-1.12,7,3.5,0.3769,1.88
L000214,S0143,J017,0.5582,-0.38,8,2.9,0.5582,2.62
L000215,S0176,J045,0.7086,0.94,7,0.4,0.7086,3.94
L000216,S0057,J037,0.4266,-0.85,2,1.4,0.4266,2.15
L000217,S0138,J037,0.1824,-1.57,5,1.3,0.1824,1.43
L000218,S0183,J013,0.6295,0.5,2,0.8,0.6295,3.5
L000219,S0162,J037,0.0,-2.4,6,1.2,0.0,0.6000000000000001
L000220,S0272,J010,0.4884,0.48,8,0.2,0.4884,3.48
L000221,S0012,J020,0.8002,1.99,4,2.3,0.8002,4.99
L000222,S0224,J025,0.3908,-0.77,7,1.4,0.3908,2.23
L000223,S0191,J012,0.2191,-1.32,6,0.4,0.2191,1.68
L000224,S0262,J039,0.2248,-0.87,7,0.4,0.2248,2.13
L000225,S0028,J016,0.6133,1.03,4,1.6,0.6133,4.03
L000226,S0171,J018,0.3604,-0.6,8,3.1,0.3604,2.4
L000227,S0237,J031,0.4335,-0.8,4,1.6,0.4335,2.2
L000228,S0172,J036,0.5315,-0.41,5,0.5,0.5315,2.59
L000229,S0117,J041,0.2511,-0.96,3,0.0,0.2511,2.04
L000230,S0037,J005,0.2809,-1.15,7,2.7,0.2809,1.85
L000231,S0133,J047,0.404,-0.61,6,2.7,0.404,2.39
L000232,S0060,J017,0.3144,-1.19,7,1.6,0.3144,1.81
L000233,S0191,J037,0.1896,-1.62,6,0.4,0.1896,1.38
L000234,S0009,J041,0.25,-1.24,8,1.9,0.25,1.76
L000235,S0054,J037,0.7565,1.4,6,1.0,0.7565,4.4
L000236,S0042,J021,0.325,-0.44,7,0.6,0.325,2.56
L000237,S0173,J014,0.1247,-1.89,5,0.8,0.1247,1.11
L000238,S0031,J005,0.2331,-1.85,3,2.7,0.2331,1.15
L000239,S0077,J043,0.439,-0.43,7,2.0,0.439,2.57
L000240,S0278,J020,0.5262,0.71,8,2.0,0.5262,3.71
L000241,S0172,J000,0.2921,-0.91,5,0.5,0.2921,2.09
L000242,S0256,J045,0.315,-1.0,6,2.5,0.315,2.0
L000243,S0051,J017,0.2965,-1.13,7,1.7,0.2965,1.87
L000244,S0102,J001,0.3125,-0.83,4,2.9,0.3125,2.17
L000245,S0026,J007,0.4444,0.3,7,0.5,0.4444,3.3
L000246,S0287,J034,0.4674,-0.25,3,2.1,0.4674,2.75
L000247,S0134,J019,0.7489,0.96,2,0.0,0.7489,3.96
L000248,S0079,J015,0.3619,-0.6,8,1.9,0.3619,2.4
L000249,S0118,J049,0.5553,0.47,4,0.0,0.5553,3.4699999999999998
L000250,S0188,J040,0.211,-1.13,5,1.4,0.211,1.87
L000251,S0186,J009,0.5451,0.31,7,2.2,0.5451,3.31
L000252,S0088,J023,0.3793,-0.86,4,0.6,0.3793,2.14
L000253,S0171,J040,0.5574,0.0,8,3.1,0.5574,3.0
L000254,S0281,J013,0.1223,-2.05,3,0.0,0.1223,0.9500000000000002
L000255,S0037,J011,0.1806,-1.95,7,2.7,0.1806,1.05
L000256,S0136,J035,0.5182,0.19,8,0.6,0.5182,3.19
L000257,S0155,J049,0.8782,1.54,4,1.8,0.8782,4.54
L000258,S0114,J034,0.434,0.1,7,1.4,0.434,3.1
L000259,S0052,J016,0.2416,-1.33,2,2.6,0.2416,1.67
L000260,S0202,J004,0.4053,-0.94,4,2.1,0.4053,2.06
L000261,S0299,J038,0.7983,1.19,5,0.2,0.7983,4.1899999999999995
L000262,S0162,J032,0.252,-1.5,6,1.2,0.252,1.5
L000263,S0174,J026,0.5665,-0.04,4,2.7,0.5665,2.96
L000264,S0008,J020,0.8732,2.3,2,1.1,0.8732,5.3
L000265,S0122,J031,0.4656,-0.46,3,1.9,0.4656,2.54
L000266,S0163,J009,0.6577,0.6,6,1.8,0.6577,3.6
L000267,S0090,J036,0.5825,0.69,2,1.6,0.5825,3.69
L000268,S0120,J030,0.047,-2.07,8,1.5,0.047,0.9300000000000002
L000269,S0229,J018,0.4781,-0.41,5,1.7,0.4781,2.59
L000270,S0214,J034,0.3842,-0.7,2,2.0,0.3842,2.3
L000271,S0129,J004,0.428,-0.63,8,1.1,0.428,2.37
L000272,S0162,J013,0.0559,-2.3,6,1.2,0.0559,0.7000000000000002
L000273,S0160,J013,0.5735,0.15,2,1.5,0.5735,3.15
L000274,S0263,J023,0.8294,2.02,2,1.5,0.8294,5.02
L000275,S0109,J027,0.6091,0.23,2,2.6,0.6091,3.23
L000276,S0196,J007,0.8429,1.88,6,1.5,0.8429,4.88
L000277,S0260,J035,0.8016,1.34,3,1.5,0.8016,4.34
L000278,S0277,J009,0.4743,0.02,7,0.0,0.4743,3.02
L000279,S0126,J022,0.5274,-0.25,4,1.6,0.5274,2.75
L000280,S0250,J016,0.6064,0.51,4,1.0,0.6064,3.51
L000281,S0254,J030,0.5553,-0.05,4,1.8,0.5553,2.95
L000282,S0140,J040,0.6664,0.85,6,0.7,0.6664,3.85
L000283,S0068,J024,0.3372,-0.71,6,2.1,0.3372,2.29
L000284,S0267,J015,0.5419,0.2,6,1.1,0.5419,3.2
L000285,S0066,J016,0.6678,0.74,6,1.0,0.6678,3.74
L000286,S0177,J020,0.9077,2.13,2,1.1,0.9077,5.13
L000287,S0220,J049,0.7623,1.95,8,2.3,0.7623,4.95
L000288,S0245,J039,0.2744,-1.53,7,2.0,0.2744,1.47
L000289,S0088,J041,0.1134,-1.66,4,0.6,0.1134,1.34
L000290,S0172,J006,0.5422,0.59,5,0.5,0.5422,3.59
L000291,S0146,J010,0.2777,-1.5,7,0.6,0.2777,1.5
L000292,S0280,J031,0.4641,0.04,7,1.3,0.4641,3.04
L000293,S0173,J043,0.3503,-0.89,5,0.8,0.3503,2.11
L000294,S0143,J023,0.4325,0.42,8,2.9,0.4325,3.42
L000295,S0090,J007,0.7105,1.19,2,1.6,0.7105,4.1899999999999995
L000296,S0222,J018,0.4571,-0.27,4,1.2,0.4571,2.73
L000297,S0264,J043,0.4079,-0.87,4,3.1,0.4079,2.13
L000298,S0019,J020,0.5211,0.28,4,1.6,0.5211,3.2800000000000002
L000299,S0269,J014,0.4548,0.1,6,0.0,0.4548,3.1
L000300,S0054,J002,0.8009,1.8,6,1.0,0.8009,4.8
L000301,S0000,J037,0.6949,0.4,2,0.0,0.6949,3.4
L000302,S0241,J041,0.444,-0.08,4,1.4,0.444,2.92
L000303,S0094,J032,0.6459,0.52,2,1.8,0.6459,3.52
L000304,S0100,J025,0.5266,0.44,5,1.4,0.5266,3.44
L000305,S0260,J042,0.8549,1.94,3,1.5,0.8549,4.9399999999999995
L000306,S0017,J025,0.3663,-0.92,2,2.3,0.3663,2.08
L000307,S0106,J013,0.2536,-0.92,4,0.8,0.2536,2.08
L000308,S0035,J026,0.3037,-0.94,3,1.9,0.3037,2.06
L000309,S0128,J044,0.2361,-1.68,3,1.7,0.2361,1.32
L000310,S0109,J015,0.6232,0.73,2,2.6,0.6232,3.73
L000311,S0135,J035,0.4099,-0.63,5,0.4,0.4099,2.37
L000312,S0007,J008,0.4615,-0.03,8,1.7,0.4615,2.97
L000313,S0046,J043,0.2485,-1.4,7,1.3,0.2485,1.6
L000314,S0291,J024,0.2849,-1.07,3,3.0,0.2849,1.93
L000315,S0083,J039,0.204,-1.95,5,0.9,0.204,1.05
L000316,S0162,J023,0.2947,-1.3,6,1.2,0.2947,1.7
L000317,S0031,J006,0.4419,-0.05,3,2.7,0.4419,2.95
L000318,S0225,J036,0.6907,0.58,7,0.3,0.6907,3.58
L000319,S0002,J023,0.6105,0.79,4,0.0,0.6105,3.79
L000320,S0093,J010,0.5598,0.33,8,1.2,0.5598,3.33
L000321,S0130,J024,0.5152,-0.15,2,2.1,0.5152,2.85
L000322,S0270,J020,0.6968,1.38,4,1.7,0.6968,4.38
L000323,S0159,J032,0.7618,0.92,4,2.0,0.7618,3.92
L000324,S0286,J029,0.4308,-0.13,8,0.6,0.4308,2.87
L000325,S0042,J000,0.6674,0.96,7,0.6,0.6674,3.96
L000326,S0162,J036,0.2338,-1.5,6,1.2,0.2338,1.5
L000327,S0239,J020,0.605,0.38,7,1.1,0.605,3.38
L000328,S0045,J010,0.4546,-0.08,4,1.4,0.4546,2.92
L000329,S0074,J016,0.6512,0.46,8,2.3,0.6512,3.46
L000330,S0123,J007,0.883,1.69,3,1.2,0.883,4.6899999999999995
L000331,S0150,J047,0.4573,0.01,7,1.4,0.4573,3.01
L000332,S0213,J043,0.1908,-1.5,3,2.0,0.1908,1.5
L000333,S0155,J004,0.6737,0.54,4,1.8,0.6737,3.54
L000334,S0258,J022,0.3005,-0.92,5,0.0,0.3005,2.08
L000335,S0208,J006,0.7039,1.5,6,0.6,0.7039,4.5
L000336,S0254,J016,0.8528,1.85,4,1.8,0.8528,4.85
L000337,S0015,J024,0.6547,0.86,2,2.0,0.6547,3.86
L000338,S0250,J047,0.3559,-0.69,4,1.0,0.3559,2.31
L000339,S0173,J011,0.2346,-1.29,5,0.8,0.2346,1.71
L000340,S0215,J000,0.5867,0.21,6,2.7,0.5867,3.21
L000341,S0023,J033,0.5755,0.81,2,1.9,0.5755,3.81
L000342,S0065,J037,0.6893,1.04,7,1.3,0.6893,4.04
L000343,S0222,J027,0.4092,-0.37,4,1.2,0.4092,2.63
L000344,S0283,J035,0.4117,-0.59,6,2.5,0.4117,2.41
L000345,S0101,J034,0.6554,0.61,5,1.3,0.6554,3.61
L000346,S0022,J036,0.2348,-1.12,4,1.1,0.2348,1.88
L000347,S0134,J014,0.2726,-1.34,2,0.0,0.2726,1.66
L000348,S0249,J028,0.7091,0.92,8,1.8,0.7091,3.92
L000349,S0005,J006,0.6025,1.06,8,2.3,0.6025,4.0600000000000005
L000350,S0069,J029,0.6343,0.29,4,1.6,0.6343,3.29
L000351,S0164,J012,0.6284,0.65,2,2.0,0.6284,3.65
L000352,S0208,J037,0.4865,-0.4,6,0.6,0.4865,2.6
L000353,S0090,J017,0.3904,0.09,2,1.6,0.3904,3.09
L000354,S0004,J028,0.5003,-0.03,4,1.5,0.5003,2.97
L000355,S0189,J049,0.7258,1.17,3,0.9,0.7258,4.17
L000356,S0007,J010,0.6191,0.27,8,1.7,0.6191,3.27
L000357,S0221,J039,0.5369,0.22,5,1.6,0.5369,3.22
L000358,S0088,J015,0.2792,-1.26,4,0.6,0.2792,1.74
L000359,S0068,J004,0.4919,-0.01,6,2.1,0.4919,2.99
L000360,S0020,J014,0.3523,-1.25,3,0.9,0.3523,1.75
L000361,S0162,J005,0.1571,-2.3,6,1.2,0.1571,0.7000000000000002
L000362,S0100,J032,0.6844,0.64,5,1.4,0.6844,3.64
L000363,S0274,J030,0.1715,-1.69,7,0.6,0.1715,1.31
L000364,S0070,J041,0.2386,-1.68,2,1.0,0.2386,1.32
L000365,S0283,J004,0.4741,-0.69,6,2.5,0.4741,2.31
L000366,S0111,J048,0.2807,-0.67,8,2.5,0.2807,2.33
L000367,S0096,J039,0.1853,-1.65,4,1.9,0.1853,1.35
L000368,S0245,J018,0.2503,-1.23,7,2.0,0.2503,1.77
L000369,S0242,J013,0.2196,-1.41,8,0.8,0.2196,1.59
L000370,S0269,J007,1.0,2.8,6,0.0,1.0,5.8
L000371,S0060,J030,0.1426,-2.19,7,1.6,0.1426,0.81
L000372,S0222,J003,0.6984,1.13,4,1.2,0.6984,4.13
L000373,S0127,J032,0.7295,1.14,2,2.3,0.7295,4.14
L000374,S0009,J045,0.2012,-1.64,8,1.9,0.2012,1.36
L000375,S0040,J045,0.4182,-0.51,5,1.0,0.4182,2.49
L000376,S0092,J026,0.1931,-1.85,2,2.4,0.1931,1.15
L000377,S0019,J037,0.2712,-1.02,4,1.6,0.2712,1.98
L000378,S0154,J048,0.3981,-0.25,6,1.8,0.3981,2.75
L000379,S0183,J020,0.7902,1.7,2,0.8,0.7902,4.7
L000380,S0129,J048,0.3231,-1.03,8,1.1,0.3231,1.97
L000381,S0083,J018,0.3068,-1.65,5,0.9,0.3068,1.35
L000382,S0283,J008,0.1712,-1.39,6,2.5,0.1712,1.61
L000383,S0087,J001,0.2751,-0.77,3,1.3,0.2751,2.23
L000384,S0155,J032,0.6099,0.74,4,1.8,0.6099,3.74
L000385,S0234,J037,0.3462,-1.06,4,2.9,0.3462,1.94
L000386,S0188,J027,0.1783,-1.83,5,1.4,0.1783,1.17
L000387,S0189,J008,0.3654,-0.53,3,0.9,0.3654,2.4699999999999998
