log_id,student_id,job_id,match_score_served,skill_score_served,skill_gap,verified_skills,years_exp,skew
L000061,S0048,J015,0.4853,2.591,-0.33,2,1.3,0.0411
L000062,S0145,J031,0.1374,1.223,-2.12,7,1.2,0.0863
L000063,S0028,J039,0.3476,3.43,-0.17,4,1.6,0.0
L000064,S0025,J013,0.6813,4.036,0.52,7,1.9,0.0322
L000065,S0216,J006,0.8035,3.31,1.61,8,2.5,0.0
L000066,S0294,J021,0.1254,2.228,-2.41,8,0.3,0.0756
L000067,S0183,J010,0.6785,4.034,0.7,2,0.8,0.0677
L000068,S0264,J040,0.6406,3.071,0.33,4,3.1,0.0812
L000069,S0239,J043,0.3651,2.723,-1.22,7,1.1,0.0851
L000070,S0293,J001,0.51,3.256,-0.48,6,1.8,0.0722
L000071,S0235,J029,0.5562,3.25,0.0,8,1.1,0.1002
L000072,S0156,J047,0.4561,2.901,-0.75,5,0.4,0.1024
L000073,S0083,J001,0.222,1.693,-2.05,5,0.9,0.0866
L000074,S0210,J013,0.4322,2.88,-0.66,5,1.8,0.0803
L000075,S0255,J044,0.2241,2.123,-1.8,4,1.3,0.0465
L000076,S0039,J013,0.5952,3.606,0.07,6,2.4,0.071
L000077,S0173,J013,0.5558,3.056,-0.49,5,0.8,0.0918
L000078,S0044,J026,0.7227,3.085,0.23,7,2.7,0.1107
L000079,S0189,J018,0.4401,3.07,-0.23,3,0.9,0.0
L000080,S0154,J041,0.4684,3.072,-0.25,6,1.8,0.0442
L000081,S0003,J011,0.0312,1.086,-3.23,7,1.5,0.0312
L000082,S0145,J038,0.4132,1.19,-0.62,7,1.2,0.0198
L000083,S0253,J004,0.7135,3.375,0.42,6,2.8,0.1107
L000084,S0055,J017,0.4376,2.711,-0.62,8,2.6,0.0626
L000085,S0104,J012,0.5083,3.5,0.2,7,1.3,0.0
L000086,S0047,J021,0.3565,3.403,-1.22,4,0.6,0.0452
L000087,S0073,J006,1.0,4.528,2.78,3,1.9,0.0953
L000088,S0256,J036,0.4091,2.731,0.0,6,2.5,0.0615
L000089,S0001,J030,0.3037,2.811,-1.5,4,1.2,0.0224
L000090,S0180,J022,0.6067,3.705,0.48,3,1.0,0.0495
L000091,S0008,J038,1.0,4.659,2.8,2,1.1,0.1188
L000092,S0181,J046,0.7914,3.54,1.61,3,1.0,0.0597
L000093,S0240,J007,0.6396,3.234,1.0,4,1.5,0.0686
L000094,S0044,J043,0.4399,3.1,-0.87,7,2.7,0.14
L000095,S0129,J045,0.3026,2.295,-1.43,8,1.1,0.0493
L000096,S0279,J011,0.3702,3.312,-1.03,8,2.1,0.0849
L000097,S0292,J017,0.4631,2.96,-0.34,3,1.3,0.0
L000098,S0136,J034,0.592,2.99,0.29,8,0.6,0.0
L000099,S0073,J040,0.7534,4.48,1.78,3,1.9,0.0
L000100,S0006,J034,0.478,2.14,-0.56,7,2.5,0.0
L000101,S0164,J019,0.7868,3.978,1.35,2,2.0,0.0564
L000102,S0028,J025,0.5943,3.45,0.53,4,1.6,0.0392
L000103,S0162,J011,0.0,1.2,-3.1,6,1.2,0.0
L000104,S0120,J027,0.4093,2.303,-1.17,8,1.5,0.1464
L000105,S0125,J034,0.4498,2.237,-0.52,2,2.3,0.1137
L000106,S0175,J005,0.3375,2.211,-1.31,6,0.7,0.0421
L000107,S0018,J040,0.5723,2.66,-0.04,8,2.1,0.0
L000108,S0050,J046,1.0,4.137,2.19,2,0.8,0.0943
L000109,S0133,J046,0.6654,3.008,1.09,6,2.7,0.0358
L000110,S0144,J012,0.7033,3.96,0.6,2,1.2,0.1192
L000111,S0060,J003,0.5746,2.11,0.21,7,1.6,0.0
L000112,S0179,J039,0.2735,2.26,-1.34,8,1.4,0.0
L000113,S0143,J016,0.5748,2.945,0.52,8,2.9,0.0502
L000114,S0194,J006,0.9771,4.142,2.39,3,0.5,0.103
L000115,S0187,J042,0.7928,3.319,1.07,2,1.1,0.0975
L000116,S0183,J025,0.6799,4.018,1.1,2,0.8,0.0366
L000117,S0296,J008,0.5013,3.104,-0.55,7,0.9,0.1089
L000118,S0013,J013,0.2543,2.039,-1.48,8,1.1,0.0378
L000119,S0059,J026,0.4447,2.85,0.05,8,1.5,0.0
L000120,S0074,J049,0.7193,2.906,0.96,8,2.3,0.0922
L000121,S0290,J004,0.5746,2.709,-0.23,3,2.0,0.0771
L000122,S0248,J011,0.3782,3.069,-1.28,7,1.2,0.0989
L000123,S0240,J015,0.6534,3.228,0.3,4,1.5,0.0559
L000124,S0195,J029,0.4729,3.229,0.0,8,2.6,0.0586
L000125,S0222,J037,0.4011,3.058,-0.57,4,1.2,0.0561
L000126,S0261,J033,0.9681,4.513,1.87,2,1.7,0.086
L000127,S0008,J037,0.7939,4.652,1.0,2,1.1,0.1032
L000128,S0254,J003,1.0,4.29,2.35,4,1.8,0.0792
L000129,S0112,J023,0.6652,2.701,0.16,2,1.5,0.0829
L000130,S0267,J030,0.3135,3.135,-1.2,6,1.1,0.0695
L000131,S0116,J002,0.2053,1.235,-2.0,3,2.9,0.07
L000132,S0026,J014,0.085,2.526,-2.4,7,0.5,0.0517
L000133,S0010,J034,0.5246,2.357,-0.37,6,1.1,0.0546
L000134,S0141,J013,0.4319,2.748,-0.78,3,0.8,0.0557
L000135,S0253,J004,0.6407,3.32,0.42,6,2.8,0.0
L000136,S0121,J025,0.556,2.284,-0.63,3,2.1,0.0287
L000137,S0169,J040,0.8417,4.462,1.74,3,2.1,0.0435
L000138,S0010,J021,0.2149,2.379,-2.27,6,1.1,0.0981
L000139,S0250,J020,0.5875,2.924,0.61,4,1.0,0.0278
L000140,S0034,J004,0.6527,3.19,0.29,5,1.6,0.0
L000141,S0174,J021,0.1706,2.76,-1.84,4,2.7,0.0
L000142,S0123,J029,0.6249,3.89,0.69,3,1.2,0.0
L000143,S0164,J006,1.0,3.999,2.25,2,2.0,0.0981
L000144,S0169,J041,0.8254,4.489,1.14,3,2.1,0.0983
L000145,S0094,J034,0.7365,3.247,0.52,2,1.8,0.054
L000146,S0165,J010,0.3014,2.198,-1.12,7,1.4,0.0354
L000147,S0053,J027,0.6922,4.334,0.89,3,3.7,0.087
L000148,S0136,J012,0.5526,3.037,-0.31,8,0.6,0.0946
L000149,S0141,J008,0.3682,2.759,-0.88,3,0.8,0.0788
L000150,S0099,J006,1.0,4.91,3.21,5,1.3,0.0
L000151,S0147,J029,0.3323,2.276,-0.94,7,0.0,0.0325
L000152,S0146,J019,0.3042,1.8,-0.8,7,0.6,0.0
L000153,S0083,J039,0.1798,1.695,-1.95,5,0.9,0.09
L000154,S0221,J039,0.4772,3.848,0.22,5,1.6,0.0565
L000155,S0282,J048,0.6454,3.567,0.23,8,0.7,0.0736
L000156,S0128,J040,0.458,2.269,-0.48,3,1.7,0.0989
L000157,S0206,J043,0.6255,3.752,-0.18,2,1.1,0.0636
L000158,S0055,J000,0.55,2.724,-0.52,8,2.6,0.0883
L000159,S0073,J010,0.7935,4.496,1.18,3,1.9,0.0326
L000160,S0136,J020,0.6029,2.99,0.69,8,0.6,0.0
L000161,S0106,J026,0.5058,2.615,-0.22,4,0.8,0.0708
L000162,S0064,J003,0.8681,3.606,1.66,3,2.0,0.0911
L000163,S0261,J006,1.0,4.522,2.77,2,1.7,0.1048
L000164,S0005,J017,0.5186,2.805,-0.54,8,2.3,0.091
L000165,S0217,J019,0.4533,1.629,-1.03,7,0.7,0.1177
L000166,S0033,J001,0.2639,2.177,-1.53,3,1.8,0.0134
L000167,S0043,J010,0.3932,2.694,-0.65,4,1.9,0.0878
L000168,S0096,J047,0.3414,1.95,-1.65,4,1.9,0.0
L000169,S0284,J001,0.1575,1.85,-1.85,3,0.0,0.0
L000170,S0071,J045,0.3489,3.13,-0.57,5,2.5,0.0
L000171,S0248,J028,0.6982,3.02,0.92,7,1.2,0.0
L000172,S0245,J049,0.4857,2.077,0.17,7,2.0,0.0144
L000173,S0275,J045,0.634,3.755,0.03,3,0.7,0.0501
L000174,S0100,J033,0.8208,3.397,0.74,5,1.4,0.1136
L000175,S0126,J025,0.5736,2.988,0.05,4,1.6,0.0766
L000176,S0282,J048,0.6257,3.56,0.23,8,0.7,0.059
L000177,S0230,J036,0.3618,2.032,-0.7,7,0.9,0.0645
L000178,S0282,J016,0.8505,3.587,1.13,8,0.7,0.1137
L000179,S0063,J008,0.1914,1.8,-1.8,3,0.3,0.0
L000180,S0116,J007,0.3715,1.23,-1.0,3,2.9,0.0607
L000181,S0079,J017,0.3391,2.327,-1.0,8,1.9,0.054
L000182,S0054,J044,0.6433,5.032,1.1,6,1.0,0.0639
L000183,S0279,J012,0.6708,3.33,-0.03,8,2.1,0.1207
L000184,S0039,J031,0.4564,3.582,0.27,6,2.4,0.0242
L000185,S0137,J030,0.2921,2.83,-1.47,4,1.2,0.0
L000186,S0280,J001,0.5606,3.357,-0.36,7,1.3,0.0343
L000187,S0289,J017,0.256,1.955,-1.37,2,1.8,0.0505
L000188,S0059,J034,0.5305,2.85,0.15,8,1.5,0.0
L000189,S0116,J038,0.5909,1.234,-0.6,3,2.9,0.0687
L000190,S0262,J015,0.5106,2.764,-0.17,7,0.4,0.0679
L000191,S0012,J007,0.9879,4.321,2.09,4,2.3,0.0619
L000192,S0088,J023,0.2795,1.64,-0.86,4,0.6,0.0
L000193,S0189,J003,0.8082,3.13,1.17,3,0.9,0.1197
L000194,S0276,J021,0.2838,3.065,-1.58,3,1.5,0.0898
L000195,S0252,J029,0.1923,0.911,-2.34,3,1.0,0.1029
L000196,S0003,J016,0.3504,1.109,-1.33,7,1.5,0.0789
L000197,S0209,J018,0.602,3.08,-0.26,8,1.6,0.0799
L000198,S0047,J016,0.6383,3.38,0.98,4,0.6,0.0
L000199,S0142,J021,0.154,2.238,-2.42,7,3.5,0.117
L000200,S0221,J023,0.8784,3.878,1.32,5,1.6,0.1165
L000201,S0209,J016,0.6618,3.071,0.64,8,1.6,0.062
L000202,S0164,J013,0.6496,3.981,0.45,2,2.0,0.0624
L000203,S0045,J022,0.6263,3.287,0.02,4,1.4,0.1335
L000204,S0156,J023,0.6098,2.918,0.35,5,0.4,0.1368
L000205,S0230,J032,0.4613,2.057,-0.7,7,0.9,0.1144
L000206,S0175,J014,0.1148,2.246,-2.71,6,0.7,0.1114
L000207,S0282,J018,0.6576,3.576,0.23,8,0.7,0.0922
L000208,S0200,J002,0.5679,3.355,0.12,7,0.8,0.0706
L000209,S0224,J013,0.315,2.163,-1.37,7,1.4,0.067
L000210,S0130,J035,0.6172,3.503,0.65,2,2.1,0.1052
L000211,S0175,J031,0.4971,2.255,-1.11,6,0.7,0.1305
L000212,S0193,J040,0.8501,4.393,1.68,4,0.0,0.0257
L000213,S0153,J040,0.6279,3.36,0.66,8,1.6,0.0
L000214,S0233,J023,0.631,2.899,0.34,4,1.5,0.118
L000215,S0005,J029,0.5316,2.807,-0.44,8,2.3,0.0938
L000216,S0209,J004,0.6394,3.089,0.14,8,1.6,0.0987
L000217,S0168,J034,0.6621,3.768,1.04,7,1.3,0.0553
L000218,S0237,J047,0.4176,2.532,-1.1,4,1.6,0.0637
L000219,S0211,J047,0.2407,2.155,-1.47,4,0.9,0.0502
L000220,S0021,J042,0.5948,3.19,0.99,5,0.8,0.0
L000221,S0081,J033,0.7924,4.01,1.37,4,2.1,0.0798
L000222,S0258,J038,0.6117,2.31,0.48,5,0.0,0.0595
L000223,S0054,J038,1.0,5.062,3.2,6,1.0,0.124
L000224,S0078,J023,0.6658,3.299,0.76,6,2.0,0.0783
L000225,S0219,J010,0.7205,3.835,0.5,2,1.1,0.0701
L000226,S0297,J016,0.443,1.529,-0.91,3,1.1,0.0774
L000227,S0148,J019,0.9292,4.202,1.57,4,1.4,0.0646
L000228,S0047,J036,0.6461,3.439,0.68,4,0.6,0.1186
L000229,S0293,J022,0.5307,3.257,0.02,6,1.8,0.0746
L000230,S0056,J011,0.0371,1.469,-2.85,4,1.7,0.0371
L000231,S0066,J016,0.6925,3.17,0.74,6,1.0,0.0603
L000232,S0157,J033,0.7087,3.256,0.62,2,2.2,0.0728
L000233,S0264,J000,0.6091,3.088,-0.17,4,3.1,0.117
L000234,S0067,J010,0.4074,2.772,-0.57,3,1.5,0.0842
L000235,S0072,J039,0.3213,2.715,-0.91,3,2.8,0.049
L000236,S0183,J019,0.8946,4.047,1.4,2,0.8,0.0949
L000237,S0256,J024,0.3875,2.753,-0.9,6,2.5,0.1051
L000238,S0220,J001,0.5412,3.847,0.15,8,2.3,-0.0058
L000239,S0133,J016,0.6483,3.013,0.59,6,2.7,0.0458
L000240,S0022,J019,0.4357,1.636,-1.02,4,1.1,0.1112
L000241,S0266,J013,0.4688,2.961,-0.57,2,1.6,0.0624
L000242,S0098,J047,0.5765,3.301,-0.32,3,0.9,0.0421
L000243,S0237,J037,0.3686,2.534,-1.1,4,1.6,0.0679
L000244,S0277,J048,0.6096,3.247,-0.08,7,0.0,0.0544
L000245,S0173,J043,0.5092,3.066,-0.89,5,0.8,0.1114
L000246,S0183,J032,0.6814,4.0,1.3,2,0.8,0.0
L000247,S0176,J010,0.8392,4.662,1.34,7,0.4,0.0441
L000248,S0211,J000,0.4102,2.16,-1.07,4,0.9,0.0592
L000249,S0224,J003,0.5321,2.143,0.23,7,1.4,0.0254
L000250,S0011,J034,0.7339,3.239,0.49,8,1.5,0.0973
L000251,S0243,J002,0.4895,2.653,-0.58,5,2.0,0.0661
L000252,S0215,J017,0.5818,3.458,0.11,6,2.7,0.095
L000253,S0238,J015,0.6229,3.281,0.35,7,2.1,0.0627
L000254,S0180,J019,0.7196,3.712,1.08,3,1.0,0.0645
L000255,S0123,J039,0.6365,3.939,0.29,3,1.2,0.0972
L000256,S0125,J024,0.3387,2.205,-1.42,2,2.3,0.0505
L000257,S0188,J022,0.2592,1.589,-1.63,5,1.4,0.0387
L000258,S0116,J022,0.1935,1.24,-2.0,3,2.9,0.0802
L000259,S0233,J033,0.6191,2.857,0.24,4,1.5,0.0338
L000260,S0163,J021,0.433,3.838,-0.8,6,1.8,0.0765
L000261,S0215,J022,0.6015,3.465,0.21,6,2.7,0.1094
L000262,S0298,J028,0.4707,1.478,-0.67,8,1.5,0.0966
L000263,S0157,J013,0.6018,3.269,-0.28,2,2.2,0.0974
L000264,S0290,J008,0.3656,2.701,-0.93,3,2.0,0.0614
L000265,S0094,J006,0.842,3.22,1.52,2,1.8,0.0
L000266,S0007,J049,0.8813,3.612,1.67,8,1.7,0.0838
L000267,S0212,J032,0.665,2.966,0.18,5,1.5,0.1718
L000268,S0282,J037,0.6458,3.571,-0.07,8,0.7,0.0819
L000269,S0279,J017,0.4834,3.312,-0.03,8,2.1,0.0835
L000270,S0090,J002,0.5845,3.436,0.19,2,1.6,0.0919
L000271,S0134,J016,0.7978,3.605,1.16,2,0.0,0.0891
L000272,S0018,J001,0.2962,2.66,-1.04,8,2.1,0.0
L000273,S0162,J003,0.3421,1.2,-0.7,6,1.2,0.0
L000274,S0109,J017,0.6907,3.671,0.33,2,2.6,0.0824
L000275,S0200,J045,0.5465,3.352,-0.38,7,0.8,0.0639
L000276,S0083,J026,0.294,1.65,-1.15,5,0.9,0.0
L000277,S0083,J036,0.3239,1.656,-1.05,5,0.9,0.0129
L000278,S0027,J046,0.6977,2.49,0.59,6,1.3,0.0
L000279,S0142,J014,0.0607,2.21,-2.72,7,3.5,0.0607
L000280,S0009,J022,0.3481,2.08,-1.14,8,1.9,0.0395
L000281,S0140,J047,0.6012,3.579,-0.05,6,0.7,0.0573
L000282,S0258,J022,0.3718,2.309,-0.92,5,0.0,0.0575
L000283,S0065,J012,0.8214,4.683,1.34,7,1.3,0.0868
L000284,S0278,J022,0.5692,3.032,-0.19,8,2.0,0.0449
L000285,S0207,J003,0.6428,3.035,1.11,5,0.6,0.0495
L000286,S0235,J027,0.5615,3.2,-0.2,8,1.1,0.0
L000287,S0018,J008,0.3642,2.676,-0.94,8,2.1,0.032
L000288,S0284,J043,0.2402,1.905,-2.05,3,0.0,0.1108
L000289,S0133,J016,0.6786,3.018,0.59,6,2.7,0.0565
L000290,S0057,J019,0.6489,2.813,0.15,2,1.4,0.1264
L000291,S0122,J042,0.7726,2.883,0.64,3,1.9,0.0863
L000292,S0093,J002,0.7383,3.694,0.43,8,1.2,0.1288
L000293,S0120,J018,0.3968,2.305,-1.07,8,1.5,0.1499
L000294,S0189,J006,0.781,3.07,1.37,3,0.9,0.0
L000295,S0143,J028,0.6607,2.976,0.82,8,2.9,0.1118
L000296,S0043,J026,0.5227,2.684,-0.15,4,1.9,0.0674
L000297,S0149,J008,0.5776,3.276,-0.37,5,0.7,0.0914
L000298,S0183,J014,0.4018,4.063,-0.9,2,0.8,0.125
L000299,S0057,J017,0.4758,2.801,-0.55,2,1.4,0.1021
L000300,S0064,J047,0.585,3.609,-0.04,3,2.0,0.0972
L000301,S0088,J028,0.4242,1.64,-0.46,4,0.6,0.0
L000302,S0038,J030,0.22,2.008,-2.33,4,1.1,0.0764
L000303,S0244,J001,0.701,4.198,0.45,3,2.0,0.0957
L000304,S0088,J040,0.3154,1.666,-1.06,4,0.6,0.0529
L000305,S0205,J011,0.5613,4.47,0.14,6,2.0,0.0598
L000306,S0247,J010,0.3865,1.553,-1.79,5,2.7,0.0851
L000307,S0154,J046,0.8655,3.077,1.15,6,1.8,0.0546
L000308,S0176,J039,0.8438,4.699,1.04,7,0.4,0.118
L000309,S0178,J015,0.8002,3.943,1.01,5,1.8,0.066
L000310,S0117,J013,0.2677,2.34,-1.16,3,0.0,0.0
L000311,S0198,J031,0.6404,3.219,-0.14,4,1.8,0.1171
L000312,S0289,J037,0.2907,1.93,-1.67,2,1.8,0.0
L000313,S0067,J016,0.6385,2.755,0.33,3,1.5,0.0495
L000314,S0247,J048,0.2556,1.551,-1.79,5,2.7,0.0813
L000315,S0135,J044,0.3168,2.228,-1.73,5,0.4,0.1165
L000316,S0201,J036,0.6604,3.08,0.35,5,1.9,0.06
L000317,S0265,J012,0.8079,4.45,1.1,6,2.2,0.1006
L000318,S0191,J014,0.0,1.98,-2.92,6,0.4,0.0
L000319,S0274,J036,0.5319,2.651,-0.09,7,0.6,0.0816
L000320,S0084,J021,0.2735,2.99,-1.61,7,2.5,0.0
L000321,S0028,J036,0.8562,3.467,0.73,4,1.6,0.0732
L000322,S0045,J039,0.55,3.258,-0.38,4,1.4,0.0766
L000323,S0113,J004,0.6599,3.288,0.35,5,1.5,0.076
L000324,S0099,J038,1.0,4.928,3.11,5,1.3,0.0363
L000325,S0089,J005,0.2723,1.74,-1.79,3,1.3,0.0607
L000326,S0106,J037,0.3149,2.602,-1.02,4,0.8,0.0443
L000327,S0144,J013,0.638,3.914,0.4,2,1.2,0.0272
L000328,S0011,J035,0.6396,3.215,0.39,8,1.5,0.0504
L000329,S0201,J031,0.4372,3.075,-0.25,5,1.9,0.0506
L000330,S0250,J007,0.612,2.938,0.71,4,1.0,0.0553
L000331,S0000,J033,0.6869,4.0,1.4,2,0.0,0.0
L000332,S0232,J002,0.5808,3.227,-0.03,3,2.1,0.1149
L000333,S0039,J014,0.2846,3.57,-1.33,6,2.4,0.0
L000334,S0156,J009,0.4391,2.85,-0.35,5,0.4,0.0
L000335,S0033,J039,0.2659,2.17,-1.43,3,1.8,0.0
L000336,S0046,J013,0.4929,2.561,-1.0,7,1.3,0.1228
L000337,S0260,J004,0.7462,4.166,1.24,3,1.5,0.0526
L000338,S0283,J017,0.371,2.228,-1.09,6,2.5,0.0364
L000339,S0142,J004,0.3462,2.18,-0.72,7,3.5,0.0
L000340,S0026,J002,0.4649,2.523,-0.7,7,0.5,0.0455
L000341,S0254,J036,0.8934,4.295,1.55,4,1.8,0.0901
L000342,S0027,J007,0.676,2.547,0.29,6,1.3,0.1145
L000343,S0148,J025,0.8063,4.2,1.27,4,1.4,0.0606
L000344,S0000,J034,0.7866,4.024,1.3,2,0.0,0.0472
L000345,S0041,J014,0.0788,2.549,-2.39,7,1.5,0.0788
L000346,S0132,J044,0.49,3.557,-0.38,8,1.5,0.0747
L000347,S0036,J019,0.5313,3.36,0.76,2,1.4,0.0
L000348,S0128,J038,0.6773,2.252,0.42,3,1.7,0.0633
L000349,S0198,J045,0.5243,3.194,-0.54,4,1.8,0.0678
L000350,S0159,J049,0.8815,3.668,1.72,4,2.0,0.0966
L000351,S0186,J001,0.4437,3.51,-0.19,7,2.2,0.0
L000352,S0107,J049,0.7913,2.705,0.75,2,1.3,0.1093
L000353,S0180,J033,0.7106,3.713,1.08,3,1.0,0.0667
L000354,S0174,J025,0.5943,2.816,-0.14,4,2.7,0.1126
L000355,S0172,J044,0.2807,2.306,-1.61,5,0.5,0.0318
L000356,S0214,J041,0.4,2.044,-1.3,2,2.0,0.0885
L000357,S0242,J010,0.3621,2.129,-1.21,8,0.8,0.079
L000358,S0292,J023,0.6413,2.996,0.46,3,1.3,0.0726
L000359,S0149,J004,0.7282,3.295,0.33,5,0.7,0.1306
L000360,S0177,J022,0.8196,4.473,1.23,2,1.1,0.0853
L000361,S0289,J007,0.5485,1.958,-0.27,2,1.8,0.0558
L000362,S0072,J042,0.7155,2.722,0.49,3,2.8,0.0643
L000363,S0276,J011,0.2804,3.02,-1.28,3,1.5,0.0
L000364,S0150,J011,0.3773,3.61,-0.69,7,1.4,0.0
L000365,S0045,J019,0.5705,3.238,0.62,4,1.4,0.0357
L000366,S0059,J012,0.4503,2.85,-0.45,8,1.5,0.0
L000367,S0167,J034,0.721,3.148,0.38,7,2.3,0.1364
L000368,S0157,J017,0.4844,3.22,-0.08,2,2.2,0.0
L000369,S0085,J003,0.5382,2.308,0.38,3,2.2,0.0561
L000370,S0206,J000,0.6206,3.756,0.52,2,1.1,0.0722
L000371,S0097,J006,0.9305,3.726,1.97,5,1.5,0.1116
L000372,S0067,J013,0.5398,2.777,-0.77,3,1.5,0.0948
L000373,S0268,J047,0.3431,3.29,-0.31,7,1.2,0.0
L000374,S0152,J045,0.2987,2.142,-1.6,7,0.9,0.0835
L000375,S0083,J038,0.5792,1.706,-0.15,5,0.9,0.1119
L000376,S0234,J002,0.496,2.588,-0.66,4,2.9,0.0958
L000377,S0098,J017,0.5626,3.322,-0.02,3,0.9,0.0832
L000378,S0228,J006,0.8974,3.88,2.18,5,0.9,0.0
L000379,S0210,J026,0.5104,2.84,0.04,5,1.8,0.0
L000380,S0108,J032,0.4645,2.62,-0.08,4,1.0,0.0
L000381,S0133,J023,0.6234,2.99,0.49,6,2.7,0.0
L000382,S0030,J003,0.8076,3.404,1.46,5,0.4,0.0871
L000383,S0119,J009,0.0991,1.16,-2.06,5,1.1,0.0405
L000384,S0275,J025,0.7406,3.742,0.83,3,0.7,0.0231
L000385,S0189,J003,0.8619,3.118,1.17,3,0.9,0.0965
L000386,S0076,J033,0.5166,2.177,-0.48,2,2.4,0.1141
L000387,S0077,J038,0.8661,3.47,1.67,7,2.0,0.0
L000388,S0235,J026,0.668,3.241,0.4,8,1.1,0.0827
L000389,S0091,J027,0.4877,2.642,-0.82,8,1.6,0.1232
L000390,S0228,J025,0.7627,3.929,0.98,5,0.9,0.0978
L000391,S0048,J044,0.3981,2.635,-1.33,2,1.3,0.1294
L000392,S0089,J001,0.1853,1.758,-1.99,3,1.3,0.0953
L000393,S0047,J033,0.7247,3.425,0.78,4,0.6,0.0907
L000394,S0216,J037,0.5481,3.36,-0.29,8,2.5,0.0997
