student_id,college_tier,region,skill_score,verified_skills,years_experience
S0212,1,urban,2.88,5,1.5
S0213,3,urban,2.4,3,2.0
S0214,3,urban,2.0,2,2.0
S0215,3,urban,3.41,6,2.7
S0216,1,urban,3.31,8,2.5
S0217,1,semi_urban,1.57,7,0.7
S0218,3,urban,2.9,6,2.8
S0219,2,rural,3.8,2,1.1
S0220,2,rural,3.85,8,2.3
S0221,2,urban,3.82,5,1.6
S0222,2,urban,3.03,4,1.2
S0223,3,semi_urban,2.32,8,0.1
S0224,2,urban,2.13,7,1.4
S0225,3,urban,3.28,7,0.3
S0226,1,rural,3.3,3,2.3
S0227,2,rural,4.03,8,2.7
S0228,2,semi_urban,3.88,5,0.9
S0229,1,urban,2.89,5,1.7
S0230,1,semi_urban,2.0,7,0.9
S0231,2,semi_urban,2.74,6,1.0
S0232,3,urban,3.17,3,2.1
S0233,2,semi_urban,2.84,4,1.5
S0234,3,urban,2.54,4,2.9
S0235,3,urban,3.2,8,1.1
S0236,2,semi_urban,2.6,7,2.3
S0237,3,urban,2.5,4,1.6
S0238,1,urban,3.25,7,2.1
S0239,1,rural,2.68,7,1.1
S0240,3,rural,3.2,4,1.5
S0241,3,semi_urban,3.22,4,1.4
S0242,1,rural,2.09,8,0.8
S0243,2,rural,2.62,5,2.0
S0244,2,urban,4.15,3,2.0
S0245,3,urban,2.07,7,2.0
S0246,2,urban,1.31,6,2.7
S0247,2,urban,1.51,5,2.7
S0248,2,semi_urban,3.02,7,1.2
S0249,2,urban,3.02,8,1.8
S0250,2,urban,2.91,4,1.0
S0251,3,urban,3.97,4,1.5
S0252,2,urban,0.86,3,1.0
S0253,1,rural,3.32,6,2.8
S0254,1,urban,4.25,4,1.8
S0255,3,urban,2.1,4,1.3
S0256,3,urban,2.7,6,2.5
S0257,1,urban,2.4,4,0.0
S0258,1,semi_urban,2.28,5,0.0
S0259,2,urban,2.74,5,2.1
S0260,1,urban,4.14,3,1.5
S0261,3,urban,4.47,2,1.7
S0262,2,rural,2.73,7,0.4
S0263,1,semi_urban,4.52,2,1.5
S0264,3,semi_urban,3.03,4,3.1
S0265,1,semi_urban,4.4,6,2.2
S0266,2,semi_urban,2.93,2,1.6
S0267,1,urban,3.1,6,1.1
S0268,1,urban,3.29,7,1.2
S0269,1,semi_urban,5.0,6,0.0
S0270,1,urban,3.68,4,1.7
S0271,1,rural,2.43,2,2.2
S0272,1,urban,3.78,8,0.2
S0273,2,semi_urban,2.71,4,1.0
S0274,2,rural,2.61,7,0.6
S0275,2,semi_urban,3.73,3,0.7
S0276,2,rural,3.02,3,1.5
S0277,2,semi_urban,3.22,7,0.0
S0278,3,rural,3.01,8,2.0
S0279,3,urban,3.27,8,2.1
S0280,1,urban,3.34,7,1.3
S0281,1,semi_urban,1.45,3,0.0
S0282,1,urban,3.53,8,0.7
S0283,1,urban,2.21,6,2.5
S0284,2,rural,1.85,3,0.0
S0285,2,semi_urban,2.95,2,1.2
S0286,1,urban,3.07,8,0.6
S0287,2,urban,2.45,3,2.1
S0288,2,urban,3.66,7,1.0
S0289,1,urban,1.93,2,1.8
S0290,3,rural,2.67,3,2.0
S0291,1,urban,2.53,3,3.0
S0292,3,urban,2.96,3,1.3
S0293,1,semi_urban,3.22,6,1.8
S0294,3,urban,2.19,8,0.3
S0295,3,urban,3.58,8,2.5
S0296,3,semi_urban,3.05,7,0.9
S0297,3,semi_urban,1.49,3,1.1
S0298,3,rural,1.43,8,1.5
S0299,2,semi_urban,2.99,5,0.2
