impression_id,candidate_id,job_id,years_experience,skill_match_score,profile_completeness,seniority_level,req_skill_score,recency_feature_train,recency_feature_serve,event_ts,clicked,applied,shortlisted,true_relevance
I0046574,C03653,J0065,2.2,0.771,0.547,2,0.74,103,2472.0,2026-02-18,0,0,0,0.6865
I0010530,C00812,J0075,0.0,0.3,0.469,3,0.62,128,3072.0,2026-01-24,0,0,0,0.4235
I0044628,C02489,J0119,0.2,0.676,0.77,1,0.541,383,9192.0,2025-05-14,0,0,0,0.6422
I0000273,C02002,J0033,8.9,0.523,0.831,1,0.649,355,8520.0,2025-06-11,1,0,0,0.8129
I0019269,C03756,J0149,2.4,0.33,0.791,1,0.593,186,4464.0,2025-11-27,0,0,0,0.5951
I0036911,C01747,J0004,3.5,0.133,0.747,2,0.655,308,7392.0,2025-07-28,0,0,0,0.4187
I0010121,C01610,J0103,6.4,0.62,0.878,4,0.476,171,4104.0,2025-12-12,0,0,0,0.7712
I0013290,C01136,J0060,0.0,0.62,0.626,1,0.633,44,1056.0,2026-04-18,0,0,0,0.6842
I0057606,C00563,J0056,1.7,0.498,0.932,3,0.397,41,984.0,2026-04-21,0,0,0,0.7372
I0047189,C03679,J0028,1.1,0.441,0.917,3,0.898,227,5448.0,1970-01-01 00:00:00,0,0,0,0.4719
I0029209,C03422,J0021,4.2,0.745,0.933,2,0.438,105,2520.0,2026-02-16,0,0,0,0.6346
I0042187,C01452,J0097,2.5,0.529,1.0,1,0.65,207,4968.0,2025-11-06,1,0,0,0.7558
I0025386,C01109,J0092,2.5,0.614,0.64,4,0.623,175,4200.0,2025-12-08,0,0,0,0.7333
I0017005,C01980,J0020,6.7,0.391,0.881,4,0.849,256,6144.0,2025-09-18,0,0,0,0.5558
I0010981,C01049,J0078,0.0,0.808,0.723,2,0.5,399,9576.0,2025-04-28,0,0,0,0.5036
I0047313,C01231,J0089,5.4,0.23,0.825,3,0.39,88,2112.0,2026-03-05,0,0,0,0.728
I0027070,C01960,J0128,5.4,0.682,0.792,3,0.677,24,576.0,2026-05-08,0,0,0,0.828
I0006685,C03739,J0065,,0.357,0.874,2,0.74,13,312.0,2026-05-19,0,0,0,0.6303
I0054960,C03985,J0128,2.2,0.835,1.0,3,0.677,188,4512.0,2025-11-25,0,0,0,0.7247
I0058125,C03210,J0095,2.9,0.499,0.815,3,0.582,362,8688.0,2025-06-04,0,0,0,0.7372
I0040700,C00285,J0133,1.0,0.488,0.871,4,0.772,245,5880.0,2025-09-29,0,0,0,0.5792
I0013902,C00516,J0101,1.0,0.589,0.777,2,0.588,151,3624.0,2026-01-01,1,0,0,0.7522
I0031539,C00319,J0049,9.9,0.329,0.69,2,0.631,53,1272.0,2026-04-09,0,0,0,0.666
I0049716,C02545,J0103,5.0,0.553,0.649,4,0.476,5,120.0,2026-05-27,0,0,0,0.7302
I0049519,C00302,J0067,,0.6,0.476,4,0.443,323,7752.0,2025-07-13,1,0,0,0.6098
I0051923,C02179,J0020,,0.586,0.688,4,0.849,67,1608.0,2026-03-26,0,0,0,0.6286
I0003502,C00072,J0007,5.0,0.386,0.888,3,0.673,7,168.0,2026-05-25,0,0,0,0.6495
I0039336,C00522,J0102,3.8,0.616,0.62,2,0.438,157,3768.0,2025-12-26,0,0,0,0.6305
I0002218,C00815,J0047,2.9,0.535,0.853,2,0.575,85,2040.0,2026-03-08,0,0,0,0.7782
I0018505,C02965,J0081,3.6,0.768,0.602,2,0.644,183,4392.0,2025-11-30,1,1,0,0.6601
I0010689,C00827,J0148,4.0,0.426,0.516,4,0.719,27,648.0,2026-05-05,0,0,0,0.5235
I0021377,C00537,J0060,0.8,0.753,0.558,1,0.633,161,3864.0,2025-12-22,0,0,0,0.6031
I0001866,C00410,J0135,1.2,1.0,0.606,3,0.587,357,8568.0,2025-06-09,0,0,0,0.4169
I0020192,C03924,J0144,4.8,0.739,0.553,2,0.591,275,6600.0,2025-08-30,0,0,0,0.6497
I0028870,C03486,J0103,0.0,0.645,1.0,4,0.476,312,7488.0,2025-07-24,0,0,0,0.6797
I0052203,C03733,J0043,6.6,0.987,0.647,3,0.512,186,4464.0,2025-11-27,0,0,0,0.4761
I0003867,C02857,J0019,2.1,0.503,0.621,1,0.693,13,312.0,2026-05-19,0,0,0,0.5935
I0003222,C03881,J0134,2.9,0.427,0.83,2,0.353,29,696.0,2026-05-03,0,0,0,0.7478
I0021785,C01576,J0043,6.4,0.516,0.944,3,0.512,328,7872.0,2025-07-08,0,0,0,0.8885
I0020984,C00741,J0117,3.3,0.546,0.769,1,0.842,40,960.0,2026-04-22,0,0,0,0.5809
I0048539,C02844,J0076,1.6,0.587,0.683,4,0.695,87,2088.0,2026-03-06,0,0,0,0.6604
I0040694,C03405,J0088,4.5,0.635,0.709,2,0.856,352,8448.0,2025-06-14,0,0,0,0.6371
I0008440,C03656,J0005,2.5,0.531,0.533,1,0.566,297,7128.0,2025-08-08,1,0,0,0.6848
I0009951,C03779,J0031,5.5,0.657,0.938,3,0.886,136,3264.0,2026-01-16,0,0,0,0.713
I0001334,C02669,J0088,0.0,0.705,0.661,2,0.856,392,9408.0,2025-05-05,0,0,0,0.5968
I0032572,C01421,J0117,5.7,0.631,0.592,1,0.842,271,6504.0,2025-09-03,0,0,0,0.6315
I0028344,C02590,J0132,5.4,1.0,0.515,3,0.612,17,408.0,1970-01-01 00:00:00,0,0,0,0.4799
I0046503,C00204,J0122,2.1,0.497,0.818,2,0.704,388,9312.0,2025-05-09,1,0,0,0.6371
I0034482,C00027,J0029,4.6,0.453,0.487,1,0.913,363,8712.0,2025-06-03,0,0,0,0.4077
I0036271,C02471,J0031,3.8,0.328,0.473,3,0.886,155,3720.0,2025-12-28,0,0,0,0.3212
I0036874,C02268,J0077,1.7,0.559,0.677,4,0.837,357,8568.0,2025-06-09,0,0,0,0.5405
I0011512,C01731,J0100,5.8,0.706,0.647,1,0.169,193,4632.0,2025-11-20,0,0,0,0.4189
I0023847,C02475,J0086,0.5,0.98,0.793,3,0.489,371,8904.0,1970-01-01 00:00:00,0,0,0,0.4028
I0009937,C01277,J0081,4.7,0.422,0.671,2,0.644,99,2376.0,2026-02-22,0,0,0,0.6291
I0052122,C01396,J0050,8.5,0.474,0.596,3,0.587,198,4752.0,2025-11-15,0,0,0,0.749
I0009189,C02907,J0093,4.1,0.389,0.67,3,0.757,67,1608.0,2026-03-26,0,0,0,0.5157
I0055990,C00467,J0018,0.0,0.784,0.886,4,0.73,182,4368.0,2025-12-01,0,0,0,0.7286
I0011744,C03224,J0090,3.4,0.516,0.915,3,0.558,282,6768.0,2025-08-23,0,0,0,0.8028
I0034545,C02001,J0086,8.1,0.551,0.766,3,0.489,232,5568.0,2025-10-12,0,0,0,0.8262
I0013152,C01892,J0117,2.6,0.598,0.42,1,0.842,226,5424.0,2025-10-18,0,0,0,0.5073
I0013059,C00174,J0042,4.2,0.845,0.687,3,0.496,173,4152.0,2025-12-10,0,0,0,0.5356
I0049858,C00761,J0101,1.6,0.607,0.713,2,0.588,307,7368.0,2025-07-29,0,0,0,0.7316
I0052310,C02278,J0071,4.7,0.777,0.872,2,0.587,333,7992.0,2025-07-03,1,1,0,0.7083
I0008914,C00038,J0149,7.9,0.72,0.982,1,0.593,231,5544.0,2025-10-13,1,1,0,0.8379
I0042178,C00302,J0113,4.1,0.6,0.476,1,0.579,199,4776.0,2025-11-14,0,0,0,0.7056
I0009199,C01070,J0079,7.4,0.198,0.614,2,0.518,263,6312.0,2025-09-11,0,0,0,0.5896
I0037940,C03340,J0132,6.7,0.613,0.966,3,0.612,176,4224.0,2025-12-07,1,0,0,0.9019
I0054184,C02687,J0146,2.4,0.441,0.631,3,0.57,278,6672.0,2025-08-27,0,0,0,0.6444
I0048596,C02906,J0046,4.7,1.0,0.853,3,0.767,356,8544.0,2025-06-10,0,0,0,0.6726
I0058585,C00592,J0061,0.0,0.607,0.885,1,0.484,202,4848.0,2025-11-11,0,0,0,0.6797
I0008063,C03021,J0045,4.6,0.633,0.676,4,0.544,85,2040.0,2026-03-08,1,1,0,0.7225
I0021052,C01295,J0113,0.4,0.961,0.698,1,0.579,88,2112.0,2026-03-05,0,0,0,0.4511
I0030487,C03926,J0109,7.6,0.534,0.856,2,0.714,42,1008.0,2026-04-20,0,0,0,0.7599
I0007528,C02688,J0122,3.3,0.66,0.995,2,0.704,156,3744.0,2025-12-27,0,0,0,0.8222
I0009935,C00950,J0046,2.4,0.514,0.654,3,0.767,302,7248.0,2025-08-03,1,0,0,0.5635
I0031354,C00673,J0031,6.4,0.66,0.922,3,0.886,209,5016.0,2025-11-04,0,0,0,0.7258
I0048001,C02398,J0070,0.0,0.494,0.986,3,0.423,117,2808.0,2026-02-04,0,0,0,0.7448
I0049675,C01607,J0042,2.8,0.034,0.414,3,0.496,202,4848.0,2025-11-11,0,0,0,0.3553
I0049979,C00783,J0144,4.9,0.54,0.735,2,0.591,285,6840.0,2025-08-20,0,0,0,0.771
I0034356,C03509,J0004,1.7,0.432,0.589,2,0.655,53,1272.0,2026-04-09,0,0,0,0.5545
I0038895,C02194,J0010,2.3,0.558,0.627,4,0.566,86,2064.0,2026-03-07,1,0,0,0.7269
I0046280,C02693,J0117,3.1,0.374,0.85,1,0.842,81,1944.0,2026-03-12,0,0,0,0.4791
I0009073,C02474,J0091,6.2,0.991,0.639,2,0.409,259,6216.0,2025-09-15,0,0,0,0.3917
I0024961,C01891,J0038,5.2,0.351,0.486,4,0.713,379,9096.0,2025-05-18,0,0,0,0.4867
I0000476,C00293,J0000,0.0,0.26,0.757,4,0.534,354,8496.0,2025-06-12,0,0,0,0.5371
I0016358,C01454,J0134,,1.0,0.774,2,0.353,343,8232.0,2025-06-23,0,0,0,0.4448
I0024839,C03620,J0057,5.8,0.503,0.784,2,0.372,108,2592.0,2026-02-13,1,0,0,0.7437
I0024915,C02070,J0029,2.3,0.596,0.732,1,0.913,179,4296.0,2025-12-04,0,0,0,0.5387
I0015359,C01912,J0126,2.9,0.512,0.952,2,0.635,24,576.0,2026-05-08,0,0,0,0.7476
I0016242,C00959,J0139,3.0,0.779,0.81,2,0.561,89,2136.0,2026-03-04,0,0,0,0.6423
I0033821,C02855,J0060,8.1,0.334,0.857,1,0.633,302,7248.0,2025-08-03,0,0,0,0.6848
I0031935,C00429,J0002,2.6,0.581,0.722,3,0.479,279,6696.0,2025-08-26,0,0,0,0.6925
I0048297,C00210,J0111,1.9,0.33,0.858,1,0.646,121,2904.0,2026-01-31,0,0,0,0.5682
I0025311,C02913,J0131,1.0,0.999,0.552,2,0.716,362,8688.0,2025-06-04,0,0,0,0.4899
I0004402,C02438,J0096,5.1,0.405,0.584,3,0.799,66,1584.0,2026-03-27,0,0,0,0.4901
I0052611,C01765,J0018,3.1,1.0,0.797,4,0.73,114,2736.0,2026-02-07,0,0,0,0.6037
I0027692,C01756,J0069,7.0,0.491,0.903,2,0.698,284,6816.0,2025-08-21,0,0,0,0.744
I0036474,C02611,J0005,4.7,0.809,0.726,1,0.566,146,3504.0,2026-01-06,0,0,0,0.6298
I0033603,C00704,J0077,2.7,0.5,0.631,4,0.837,266,6384.0,2025-09-08,0,0,0,0.5029
I0024219,C00989,J0069,7.8,0.86,0.689,2,0.698,172,4128.0,2025-12-11,0,0,0,0.7289
I0041145,C03804,J0082,8.4,1.0,1.0,1,0.615,211,5064.0,2025-11-02,0,0,0,0.6695
I0031168,C00873,J0093,7.7,0.688,0.761,3,0.757,118,2832.0,2026-02-03,0,0,0,0.8131
I0031382,C00670,J0115,2.6,0.928,0.833,1,0.627,139,3336.0,2026-01-13,0,0,0,0.5835
I0057527,C00051,J0133,,0.56,0.773,4,0.772,56,1344.0,2026-04-06,0,0,0,0.6107
I0048272,C00874,J0138,,0.632,1.0,2,0.343,294,7056.0,2025-08-11,0,0,0,0.6188
I0023534,C03469,J0143,0.0,0.783,0.652,1,0.714,289,6936.0,2025-08-16,0,0,0,0.6521
I0045163,C02387,J0111,0.0,0.717,0.63,1,0.646,21,504.0,2026-05-11,0,0,0,0.6444
I0005874,C03466,J0089,3.4,0.528,0.99,3,0.39,246,5904.0,2025-09-28,0,0,0,0.7562
I0030088,C03444,J0133,0.0,0.41,0.706,4,0.772,268,6432.0,2025-09-06,0,0,0,0.4607
I0059052,C01356,J0143,1.0,1.0,0.719,1,0.714,317,7608.0,2025-07-19,0,0,0,0.5349
I0017179,C02711,J0088,2.2,0.658,0.72,2,0.856,187,4488.0,2025-11-26,0,0,0,0.6175
I0045513,C00051,J0139,1.5,0.56,0.773,2,0.561,305,7320.0,2025-07-31,0,0,0,0.7595
I0039996,C02106,J0107,1.4,0.437,0.786,2,0.389,21,504.0,2026-05-11,0,0,0,0.7283
I0008478,C01993,J0133,3.0,0.65,0.937,4,0.772,11,264.0,2026-05-21,0,0,0,0.7458
I0036198,C03843,J0139,4.6,0.628,0.652,2,0.561,234,5616.0,2025-10-10,0,0,0,0.7313
I0050196,C01086,J0117,5.3,0.601,0.843,1,0.842,180,4320.0,2025-12-03,0,0,0,0.6743
I0052352,C00099,J0088,5.4,0.441,0.895,2,0.856,149,3576.0,2026-01-03,1,0,0,0.568
I0052625,C03387,J0123,4.8,0.645,0.826,3,0.315,88,2112.0,2026-03-05,1,0,0,0.5983
I0037788,C01106,J0014,,0.896,0.563,1,0.37,2,48.0,2026-05-30,0,0,0,0.3911
I0000212,C02723,J0036,2.9,0.308,0.821,4,0.6,244,5856.0,2025-09-30,0,0,0,0.5916
I0004248,C03030,J0039,3.4,0.698,0.617,1,0.53,355,8520.0,2025-06-11,0,0,0,0.6299
I0026773,C01146,J0107,4.1,0.69,0.662,2,0.389,315,7560.0,2025-07-21,0,0,0,0.5607
I0047225,C03610,J0070,,0.684,0.561,3,0.423,190,4560.0,2025-11-23,0,0,0,0.5807
I0038606,C02393,J0051,1.8,0.852,1.0,3,0.624,1,24.0,2026-05-31,0,0,0,0.6685
I0047023,C02171,J0057,0.0,0.627,0.51,2,0.372,34,816.0,2026-04-28,0,0,0,0.4809
I0050318,C03300,J0138,1.9,0.753,0.553,2,0.343,41,984.0,2026-04-21,1,0,0,0.4159
I0007984,C03964,J0005,3.9,0.93,0.676,1,0.566,88,2112.0,2026-03-05,0,0,0,0.5168
I0016164,C03350,J0075,8.2,0.555,0.637,3,0.62,63,1512.0,2026-03-30,1,0,0,0.7894
I0015325,C03578,J0007,5.4,0.378,0.953,3,0.673,301,7224.0,2025-08-04,0,0,0,0.669
I0053791,C00001,J0096,0.0,0.093,0.712,3,0.799,234,5616.0,2025-10-10,0,0,0,0.2199
I0059920,C01032,J0094,5.1,0.096,0.759,2,0.625,147,3528.0,2026-01-05,0,0,0,0.4442
I0021634,C00299,J0097,6.7,0.615,0.724,1,0.65,332,7968.0,2025-07-04,0,0,0,0.8097
I0005748,C00769,J0067,6.4,0.535,0.499,4,0.443,152,3648.0,2025-12-31,0,0,0,0.701
I0040744,C01728,J0001,5.3,0.444,0.85,3,0.47,134,3216.0,2026-01-18,0,0,0,0.8279
I0002095,C02966,J0134,0.4,0.229,0.8,2,0.353,123,2952.0,2026-01-29,0,0,0,0.6618
I0051747,C02262,J0035,8.0,0.587,0.965,4,0.644,308,7392.0,2025-07-28,1,1,0,0.8841
I0038858,C03449,J0129,2.9,0.498,0.667,1,0.574,141,3384.0,2026-01-11,1,0,0,0.7004
I0030281,C02672,J0094,0.0,0.716,0.696,2,0.625,108,2592.0,2026-02-13,1,1,1,0.6489
I0009134,C03770,J0049,2.8,0.431,0.673,2,0.631,64,1536.0,2026-03-29,0,0,0,0.613
I0006994,C00469,J0096,3.6,0.506,0.858,3,0.799,247,5928.0,2025-09-27,0,0,0,0.6131
I0043502,C02693,J0017,3.1,0.374,0.85,2,0.748,268,6432.0,2025-09-06,1,0,0,0.5453
I0009998,C01475,J0102,5.1,0.622,0.642,2,0.438,61,1464.0,2026-04-01,0,0,0,0.6544
I0022494,C03268,J0062,5.3,0.611,0.663,4,0.382,2,48.0,2026-05-30,0,0,0,0.632
I0050702,C00010,J0116,4.7,0.717,0.632,4,0.696,217,5208.0,2025-10-27,1,0,0,0.7598
I0026457,C01684,J0098,6.8,0.695,0.632,1,0.723,268,6432.0,2025-09-06,0,0,0,0.7904
I0056099,C03134,J0084,0.0,0.792,0.514,4,0.431,161,3864.0,2025-12-22,0,0,0,0.4073
I0021543,C00100,J0010,1.5,0.563,0.655,4,0.566,82,1968.0,2026-03-11,0,0,0,0.7248
I0001422,C03582,J0077,0.0,0.771,0.67,4,0.837,57,1368.0,2026-04-05,1,1,0,0.6592
I0011024,C01575,J0115,8.3,0.626,0.591,1,0.627,184,4416.0,2025-11-29,0,0,0,0.8232
I0016732,C00504,J0064,6.2,0.445,0.596,1,0.487,185,4440.0,2025-11-28,0,0,0,0.7602
I0012678,C02316,J0002,4.1,0.534,0.444,3,0.479,179,4296.0,2025-12-04,1,0,0,0.6726
I0026242,C01128,J0054,6.1,0.313,0.491,2,0.727,292,7008.0,2025-08-13,0,0,0,0.4667
I0032673,C00081,J0097,1.3,0.526,0.705,1,0.65,251,6024.0,2025-09-23,1,0,0,0.6502
I0029542,C01925,J0067,1.6,0.562,0.734,4,0.443,398,9552.0,2025-04-29,0,0,0,0.667
I0054773,C03223,J0115,4.4,0.293,0.91,1,0.627,281,6744.0,2025-08-24,0,0,0,0.6124
I0049177,C02297,J0048,0.0,0.44,0.851,2,0.774,150,3600.0,2026-01-02,1,0,0,0.5214
I0028872,C01621,J0141,3.9,0.328,0.673,3,0.672,171,4104.0,2025-12-12,0,0,0,0.5301
I0039283,C02849,J0011,0.4,0.818,0.767,3,0.484,42,1008.0,2026-04-20,0,0,0,0.5044
I0023532,C02205,J0120,1.9,0.455,0.662,2,0.522,397,9528.0,2025-04-30,0,0,0,0.6884
I0004614,C02757,J0077,3.2,0.605,0.758,4,0.837,287,6888.0,2025-08-18,0,0,0,0.6212
I0003131,C00700,J0098,0.6,0.531,0.595,1,0.723,303,7272.0,2025-08-02,0,0,0,0.5594
I0011988,C01656,J0055,1.7,0.349,0.731,3,0.749,112,2688.0,2026-02-09,0,0,0,0.4698
I0052076,C01225,J0045,0.0,0.727,0.763,4,0.544,154,3696.0,2025-12-29,1,0,0,0.603
I0032090,C00299,J0100,6.7,0.615,0.724,1,0.169,167,4008.0,2025-12-16,0,0,0,0.5199
I0027585,C00514,J0044,0.0,0.646,0.764,2,0.579,188,4512.0,2025-11-25,0,0,0,0.685
I0042027,C03454,J0074,2.6,0.384,0.73,1,0.343,92,2208.0,2026-03-01,0,0,0,0.7378
I0044318,C02797,J0110,4.0,0.493,0.514,2,0.549,144,3456.0,2026-01-08,0,0,0,0.69
I0042226,C03968,J0024,2.8,0.292,0.656,1,0.346,111,2664.0,2026-02-10,0,0,0,0.7111
I0057247,C01310,J0049,,0.63,0.735,2,0.631,142,3408.0,2026-01-10,0,0,0,0.8367
I0031638,C02493,J0146,1.1,0.387,0.741,3,0.57,187,4488.0,2025-11-26,0,0,0,0.6154
I0035827,C02656,J0033,7.8,0.134,0.739,1,0.649,318,7632.0,2025-07-18,0,0,0,0.4941
I0001638,C02020,J0018,5.8,0.6,0.728,4,0.73,229,5496.0,2025-10-15,0,0,0,0.7286
I0020715,C01660,J0097,3.6,0.727,0.772,1,0.65,130,3120.0,2026-01-22,0,0,0,0.7412
I0028297,C00465,J0058,9.3,0.877,0.656,1,0.519,132,3168.0,2026-01-20,0,0,0,0.6068
I0057718,C00596,J0101,1.9,0.375,0.741,2,0.588,17,408.0,2026-05-15,0,0,0,0.6078
I0043545,C03186,J0132,5.0,0.492,0.781,3,0.612,219,5256.0,2025-10-25,0,0,0,0.7371
I0031505,C01237,J0060,4.3,0.719,0.912,1,0.633,140,3360.0,2026-01-12,0,0,0,0.7861
I0027797,C00714,J0131,4.2,0.562,1.0,2,0.716,250,6000.0,2025-09-24,0,0,0,0.7613
I0039025,C00065,J0100,9.1,0.732,0.914,1,0.169,152,3648.0,2025-12-31,0,0,0,0.5317
I0022799,C02196,J0004,4.9,0.659,0.603,2,0.655,295,7080.0,2025-08-10,0,0,0,0.767
I0052766,C00781,J0094,2.2,0.718,0.627,2,0.625,18,432.0,2026-05-14,0,0,0,0.6653
I0058622,C01699,J0060,4.3,0.797,0.893,1,0.633,192,4608.0,2025-11-21,0,0,0,0.7258
I0054014,C02109,J0028,0.0,0.781,0.734,3,0.898,295,7080.0,2025-08-10,0,0,0,0.6413
I0021130,C01729,J0036,7.5,0.497,0.907,4,0.6,285,6840.0,2025-08-20,0,0,0,0.8269
I0027060,C03818,J0068,3.3,0.537,0.502,2,0.713,247,5928.0,2025-09-27,0,0,0,0.5902
I0027917,C03877,J0086,10.5,0.666,0.816,3,0.489,38,912.0,2026-04-24,0,0,0,0.7998
I0016695,C03029,J0069,2.4,0.498,0.893,2,0.698,191,4584.0,2025-11-22,0,0,0,0.6683
I0056034,C03692,J0101,4.8,0.62,0.869,2,0.588,19,456.0,2026-05-13,0,0,0,0.8205
I0023494,C03689,J0129,0.8,0.345,0.826,1,0.574,377,9048.0,2025-05-20,0,0,0,0.6019
I0006650,C01129,J0030,1.7,0.874,0.627,2,1.0,101,2424.0,2026-02-20,0,0,0,0.6336
I0007055,C03807,J0043,0.5,0.492,0.819,3,0.512,38,912.0,2026-04-24,1,0,0,0.7421
I0027375,C03113,J0037,7.6,0.605,0.734,2,0.622,336,8064.0,2025-06-30,0,0,0,0.8404
I0021138,C01258,J0009,0.0,0.425,0.711,3,0.437,45,1080.0,2026-04-17,0,0,0,0.7089
I0039320,C00876,J0124,4.2,0.535,0.509,4,0.309,116,2784.0,2026-02-05,0,0,0,0.5721
I0052445,C03393,J0061,2.2,0.87,0.851,1,0.484,231,5544.0,2025-10-13,1,0,0,0.5219
I0003882,C02195,J0117,9.2,0.256,0.786,1,0.842,311,7464.0,2025-07-25,0,0,0,0.481
I0029068,C00049,J0134,6.9,0.667,0.681,2,0.353,239,5736.0,2025-10-05,0,0,0,0.6043
I0032248,C03895,J0032,0.0,0.541,0.981,2,0.954,134,3216.0,2026-01-18,0,0,0,0.5023
I0004503,C02718,J0057,5.5,0.793,0.659,2,0.372,15,360.0,2026-05-17,0,0,0,0.4989
I0040877,C02774,J0135,0.0,0.601,0.787,3,0.587,379,9096.0,2025-05-18,0,0,0,0.7289
