candidate_id,years_experience,skill_match_score,profile_completeness,protected_group,consent_ts
C00049,6.9,0.667,0.681,A,2025-03-12T00:00:00
C00051,1.5,0.56,0.773,A,2025-09-06T00:00:00
C00052,7.9,0.161,0.661,B,2025-02-20T00:00:00
C00053,8.0,0.292,0.543,B,2025-10-19T00:00:00
C00054,5.6,1.0,0.946,B,2025-08-05T00:00:00
C00055,2.6,0.381,0.697,B,2025-11-14T00:00:00
C00056,3.3,0.885,0.631,A,2025-04-14T00:00:00
C00057,1.6,0.413,0.8,B,2025-03-14T00:00:00
C00058,1.0,0.564,0.847,A,2025-02-20T00:00:00
C00059,0.9,0.725,0.845,A,2025-02-17T00:00:00
C00060,2.1,0.436,0.753,B,2025-02-06T00:00:00
C00061,0.9,0.918,0.774,A,2025-05-10T00:00:00
C00062,0.0,0.615,0.785,B,2026-02-05T00:00:00
C00063,4.7,0.692,0.8,B,2025-10-31T00:00:00
C00064,4.7,0.546,0.814,B,2025-05-06T00:00:00
C00065,9.1,0.732,0.914,B,2026-04-11T00:00:00
C00066,2.0,0.916,0.758,B,2026-01-16T00:00:00
C00067,4.9,0.574,0.627,A,2026-01-25T00:00:00
C00068,4.9,0.946,0.728,A,2026-03-26T00:00:00
C00069,3.2,0.478,0.863,A,2026-01-08T00:00:00
C00070,6.2,0.753,0.482,A,2026-04-24T00:00:00
C00071,6.3,0.698,0.483,A,2025-06-15T00:00:00
C00072,5.0,0.386,0.888,B,2026-03-05T00:00:00
C00073,3.2,0.643,0.978,A,2025-02-25T00:00:00
C00074,2.9,0.601,0.56,A,2025-05-31T00:00:00
C00075,0.0,0.429,0.765,A,2026-03-22T00:00:00
C00076,1.6,0.672,0.69,A,2025-03-08T00:00:00
C00077,2.1,0.629,0.711,B,2025-09-08T00:00:00
C00078,0.6,0.585,0.796,B,2025-06-20T00:00:00
C00079,5.3,0.586,0.556,B,2025-02-20T00:00:00
C00080,7.6,0.582,0.584,B,2025-04-28T00:00:00
C00081,1.3,0.526,0.705,A,2025-09-25T00:00:00
C00082,4.9,0.628,0.728,B,2025-11-12T00:00:00
C00083,0.9,0.471,0.581,A,2025-12-04T00:00:00
C00084,3.1,1.0,0.868,A,2025-03-07T00:00:00
C00085,1.9,0.318,0.687,A,2025-06-09T00:00:00
C00086,5.8,0.483,0.687,B,2025-02-22T00:00:00
C00087,2.0,0.499,0.792,A,2025-01-05T00:00:00
C00088,7.0,1.0,0.731,A,2025-07-15T00:00:00
C00089,3.3,0.336,0.876,A,2025-11-07T00:00:00
C00090,2.1,0.685,0.61,A,2025-07-05T00:00:00
C00091,0.2,0.65,0.54,B,2025-01-21T00:00:00
C00092,4.8,0.667,0.704,A,2025-04-20T00:00:00
C00093,6.7,0.847,0.759,A,2025-08-05T00:00:00
C00094,4.8,0.843,0.564,A,2025-06-27T00:00:00
C00095,10.7,0.51,0.542,B,2026-02-17T00:00:00
C00096,8.3,0.639,0.777,A,2025-10-26T00:00:00
C00097,3.1,0.227,0.636,A,2026-05-15T00:00:00
C00098,3.0,0.62,0.532,A,2025-03-29T00:00:00
C00099,5.4,0.441,0.895,B,2025-07-05T00:00:00
C00100,1.5,0.563,0.655,B,2025-02-13T00:00:00
C00101,7.5,0.263,0.922,B,2025-01-11T00:00:00
C00102,5.1,0.681,0.754,A,2026-04-07T00:00:00
C00103,4.8,0.261,0.794,B,2025-09-04T00:00:00
C00104,6.1,0.63,0.718,B,2025-11-26T00:00:00
C00105,9.2,0.355,0.352,B,2025-05-19T00:00:00
C00106,4.5,0.43,0.579,A,2025-01-26T00:00:00
C00107,3.7,0.831,0.731,A,2026-03-23T00:00:00
C00108,8.5,0.718,0.805,A,2025-11-26T00:00:00
C00109,6.9,0.83,0.482,B,2025-12-22T00:00:00
C00110,3.0,0.912,0.742,A,2025-09-24T00:00:00
C00111,4.0,0.445,0.582,A,2025-07-22T00:00:00
C00112,4.6,0.9,0.785,A,2025-07-31T00:00:00
C00113,5.1,0.307,0.747,B,2026-01-17T00:00:00
C00114,0.0,0.749,0.862,A,2025-04-24T00:00:00
C00115,0.0,0.501,0.91,B,2025-06-20T00:00:00
C00116,1.3,0.414,0.819,B,2025-06-03T00:00:00
C00117,1.1,0.723,0.879,B,2025-09-18T00:00:00
C00118,2.1,0.789,0.697,A,2026-04-29T00:00:00
C00119,5.9,0.783,1.0,B,2026-04-07T00:00:00
C00120,3.5,0.643,0.567,B,2025-09-30T00:00:00
C00121,4.6,0.626,0.671,B,2025-04-11T00:00:00
C00122,0.3,0.705,0.885,A,2026-04-16T00:00:00
C00123,2.6,0.661,0.863,A,2025-06-06T00:00:00
C00124,5.8,0.708,0.823,A,2025-06-28T00:00:00
C00125,5.8,0.641,0.851,A,2026-03-19T00:00:00
C00126,1.8,0.769,0.437,A,2025-05-12T00:00:00
C00127,4.5,0.275,0.988,A,2025-08-19T00:00:00
C00128,10.6,0.574,0.719,A,2026-04-04T00:00:00
C00129,3.9,0.323,0.937,B,2025-06-08T00:00:00
C00130,1.9,0.655,0.445,A,2025-11-09T00:00:00
C00131,3.5,0.928,0.788,B,2025-01-19T00:00:00
C00132,4.3,0.505,0.665,B,2026-05-13T00:00:00
C00133,3.5,0.625,0.836,A,2025-07-29T00:00:00
C00134,3.9,0.751,0.798,B,2025-12-02T00:00:00
C00135,0.0,0.186,0.805,A,2025-09-08T00:00:00
C00136,1.1,0.496,0.591,B,2025-08-05T00:00:00
C00137,3.6,0.673,0.741,A,2025-07-23T00:00:00
C00138,3.5,0.021,0.723,B,2025-01-09T00:00:00
C00139,2.3,0.405,0.824,A,2025-05-19T00:00:00
C00140,3.5,0.82,0.898,A,2025-07-10T00:00:00
C00141,4.2,0.801,0.773,A,2025-07-04T00:00:00
C00142,6.7,0.675,0.559,B,2025-05-17T00:00:00
C00143,3.7,0.776,0.766,B,2025-11-18T00:00:00
C00144,5.2,0.643,1.0,A,2026-02-19T00:00:00
C00145,2.4,0.711,0.997,A,2026-03-22T00:00:00
C00146,5.7,0.537,0.304,A,2026-05-02T00:00:00
C00147,5.1,0.623,0.76,A,2025-11-21T00:00:00
C00148,6.6,0.474,0.89,A,2025-07-25T00:00:00
C00149,6.1,0.853,0.723,A,2025-11-20T00:00:00
C00150,5.8,0.904,0.681,B,2025-03-08T00:00:00
C00151,3.7,0.876,0.71,B,2026-02-13T00:00:00
C00152,4.7,0.518,0.833,A,2025-09-25T00:00:00
C00153,7.2,0.409,0.578,B,2025-03-24T00:00:00
C00154,2.0,0.855,0.928,A,2025-08-01T00:00:00
C00155,2.1,0.709,0.742,B,2025-05-31T00:00:00
C00156,4.5,0.666,0.61,A,2025-06-24T00:00:00
C00157,5.2,0.473,0.919,B,2025-01-26T00:00:00
C00158,1.5,0.685,0.518,B,2025-01-09T00:00:00
C00159,3.8,0.383,0.667,B,2025-06-24T00:00:00
C00160,3.7,0.727,0.664,A,2025-05-31T00:00:00
C00161,0.0,0.876,1.0,B,2026-05-15T00:00:00
C00162,3.3,0.926,0.647,A,2025-05-12T00:00:00
C00163,3.5,0.742,0.427,A,2025-06-14T00:00:00
C00164,3.5,0.324,0.663,B,2026-04-03T00:00:00
C00165,8.2,0.639,0.818,A,2026-03-06T00:00:00
C00166,0.4,1.0,0.868,B,2025-01-29T00:00:00
C00167,1.5,0.426,1.0,B,2025-02-12T00:00:00
C00168,0.0,0.588,0.961,A,2025-02-17T00:00:00
C00169,2.6,0.883,0.778,B,2025-08-18T00:00:00
C00170,2.8,0.723,0.616,A,2025-10-14T00:00:00
C00171,2.5,1.0,0.994,A,2025-06-25T00:00:00
C00172,7.3,0.453,0.695,A,2025-01-07T00:00:00
C00173,6.6,0.402,0.651,B,2025-04-11T00:00:00
C00174,4.2,0.845,0.687,A,2025-11-04T00:00:00
C00175,2.9,0.361,0.562,A,2025-07-06T00:00:00
C00176,7.1,0.561,0.68,A,2025-03-03T00:00:00
C00177,3.9,0.587,0.715,B,2025-11-22T00:00:00
C00178,1.5,0.807,0.86,B,2025-11-03T00:00:00
C00179,0.0,0.723,0.692,B,2025-09-03T00:00:00
C00180,2.7,0.691,0.56,B,2026-04-16T00:00:00
C00181,6.3,0.52,0.509,B,2026-02-27T00:00:00
C00182,10.8,0.843,0.781,A,2025-01-20T00:00:00
C00183,4.2,1.0,0.761,A,2026-03-29T00:00:00
C00184,1.7,0.738,0.667,B,2025-01-25T00:00:00
C00185,0.4,0.62,0.68,B,2025-08-29T00:00:00
C00186,5.7,0.34,0.808,A,2026-03-27T00:00:00
C00187,0.0,0.473,0.959,A,2026-05-06T00:00:00
C00188,5.7,0.557,0.633,B,2025-01-12T00:00:00
C00189,6.5,0.493,0.763,A,2025-02-06T00:00:00
C00190,5.3,0.597,0.894,B,2025-05-01T00:00:00
C00191,3.3,0.956,0.634,A,2025-05-19T00:00:00
C00192,5.7,0.849,0.748,A,2025-05-20T00:00:00
C00193,4.5,0.568,0.744,B,2025-07-28T00:00:00
C00194,1.7,0.358,0.553,A,2025-06-09T00:00:00
C00195,9.6,0.867,0.775,A,2025-10-19T00:00:00
C00196,2.9,0.59,0.755,B,2026-03-03T00:00:00
C00197,6.3,0.255,0.833,B,2025-09-30T00:00:00
C00198,0.0,0.742,0.572,A,2025-06-15T00:00:00
C00199,7.8,0.805,0.751,A,2025-10-11T00:00:00
C00200,8.4,0.115,0.957,B,2025-11-07T00:00:00
C00201,4.1,0.435,1.0,B,2026-03-25T00:00:00
C00202,5.7,0.578,0.942,A,2026-04-19T00:00:00
C00203,5.7,0.747,0.573,A,2025-05-19T00:00:00
C00204,2.1,0.497,0.818,A,2026-04-05T00:00:00
C00205,5.6,0.434,0.678,A,2026-02-13T00:00:00
C00206,1.6,0.745,0.793,A,2025-03-06T00:00:00
C00207,2.2,0.506,0.634,B,2025-10-07T00:00:00
C00208,7.4,0.708,0.493,A,2025-03-18T00:00:00
C00209,6.9,0.378,0.698,A,2025-09-03T00:00:00
C00210,1.9,0.33,0.858,B,2025-01-23T00:00:00
C00211,1.8,0.751,0.793,B,2025-05-30T00:00:00
C00212,2.1,0.651,0.81,A,2025-10-22T00:00:00
C00213,6.2,0.784,0.782,B,2025-06-02T00:00:00
C00214,1.0,0.493,0.811,B,2025-01-06T00:00:00
C00215,5.1,0.441,0.829,B,2025-07-14T00:00:00
C00216,6.2,0.872,0.709,A,2025-09-28T00:00:00
C00217,3.7,0.295,0.762,A,2026-01-17T00:00:00
C00218,7.0,0.85,1.0,B,2025-03-10T00:00:00
C00219,3.1,0.864,0.771,A,2025-08-27T00:00:00
C00220,3.4,0.772,0.756,A,2025-04-10T00:00:00
C00221,1.1,0.462,0.765,A,2025-03-18T00:00:00
C00222,7.1,0.437,0.717,B,2025-03-02T00:00:00
C00223,1.7,0.558,0.685,B,2026-01-15T00:00:00
C00224,5.0,0.341,0.781,A,2026-04-05T00:00:00
C00225,3.8,0.408,0.674,B,2025-11-28T00:00:00
C00226,0.8,0.729,0.728,A,2025-07-09T00:00:00
C00227,2.2,0.73,0.631,B,2026-04-20T00:00:00
C00228,8.1,0.39,0.766,B,2025-09-06T00:00:00
C00229,4.6,0.735,0.838,A,2025-09-22T00:00:00
C00230,1.0,0.691,0.718,A,2025-11-14T00:00:00
C00231,4.9,0.902,0.449,A,2025-11-24T00:00:00
C00232,3.6,0.714,0.839,B,2025-09-04T00:00:00
C00233,14.4,0.812,0.768,B,2025-08-28T00:00:00
C00234,4.9,0.695,0.601,B,2025-06-08T00:00:00
C00235,2.9,0.796,0.866,B,2025-12-07T00:00:00
C00236,8.3,0.343,0.54,A,2025-12-03T00:00:00
C00237,0.0,0.576,0.907,B,2025-08-07T00:00:00
C00238,4.3,0.592,0.741,A,2025-12-23T00:00:00
C00239,10.0,0.551,0.41,A,2025-03-10T00:00:00
C00240,3.7,0.689,0.777,B,2025-07-28T00:00:00
C00241,0.0,0.727,0.689,B,2026-05-09T00:00:00
C00242,2.8,0.678,0.666,A,2026-01-02T00:00:00
C00243,8.4,0.565,0.639,A,2025-12-27T00:00:00
C00244,5.1,0.453,0.731,B,2026-03-08T00:00:00
C00245,1.5,0.819,0.677,B,2025-11-01T00:00:00
C00246,1.9,0.67,0.471,B,2025-11-28T00:00:00
C00247,2.3,0.396,0.941,A,2025-08-29T00:00:00
C00248,5.1,0.561,0.713,A,2026-02-18T00:00:00
C00249,8.0,0.251,0.64,A,2025-12-22T00:00:00
C00250,7.2,0.607,0.581,B,2025-09-19T00:00:00
C00251,5.4,0.56,0.866,B,2025-03-05T00:00:00
C00252,0.0,0.485,0.555,A,2026-02-08T00:00:00
C00253,0.0,0.917,0.77,A,2025-06-13T00:00:00
C00254,5.6,0.369,0.662,A,2025-06-29T00:00:00
C00255,0.0,0.741,0.671,B,2025-03-04T00:00:00
C00256,3.3,1.0,0.584,B,2025-04-19T00:00:00
C00257,4.9,0.815,0.657,A,2025-03-05T00:00:00
C00258,0.6,0.594,0.751,A,2025-02-18T00:00:00
C00259,0.9,0.373,0.785,B,2025-01-11T00:00:00
C00260,3.7,0.328,0.632,A,2025-05-28T00:00:00
C00261,5.5,0.518,0.736,B,2026-01-13T00:00:00
C00262,7.2,0.463,0.883,A,2026-03-08T00:00:00
C00263,5.8,0.456,0.501,A,2025-04-24T00:00:00
C00264,4.2,0.535,0.749,B,2025-07-31T00:00:00
C00265,1.8,0.58,0.607,A,2026-02-21T00:00:00
C00266,0.8,0.697,0.592,A,2025-12-20T00:00:00
C00267,2.5,0.352,0.789,A,2026-03-29T00:00:00
C00268,5.2,0.464,0.668,A,2025-07-30T00:00:00
C00269,5.0,0.568,0.567,A,2025-03-26T00:00:00
C00270,0.0,0.561,0.949,A,2025-03-13T00:00:00
C00271,1.6,0.967,0.888,A,2025-12-21T00:00:00
C00272,7.6,0.646,0.46,A,2025-01-14T00:00:00
C00273,4.2,0.277,0.529,B,2025-08-19T00:00:00
C00274,0.0,0.684,0.839,B,2025-06-26T00:00:00
C00275,11.1,0.709,0.707,A,2026-04-05T00:00:00
C00276,3.9,0.575,0.975,A,2026-05-15T00:00:00
C00277,5.2,0.357,0.842,A,2025-08-31T00:00:00
C00278,5.2,0.952,0.795,B,2025-10-18T00:00:00
C00279,2.9,0.386,0.597,B,2025-07-09T00:00:00
C00280,1.8,0.732,0.824,A,2026-01-24T00:00:00
C00281,10.4,0.64,0.559,A,2025-05-28T00:00:00
C00282,7.0,0.72,0.946,A,2026-01-08T00:00:00
C00283,6.5,0.941,0.813,A,2026-03-28T00:00:00
C00284,5.7,0.712,0.626,B,2025-03-27T00:00:00
C00285,1.0,0.488,0.871,A,2025-04-24T00:00:00
C00286,7.8,0.821,1.0,A,2025-07-09T00:00:00
C00287,1.5,0.474,0.717,A,2026-02-18T00:00:00
C00288,4.8,0.633,0.833,A,2025-11-17T00:00:00
C00289,0.0,0.341,0.685,A,2025-04-08T00:00:00
C00290,0.0,0.393,0.763,B,2025-07-04T00:00:00
C00291,5.0,0.61,0.524,A,2025-11-18T00:00:00
C00292,1.6,0.674,0.75,B,2026-04-28T00:00:00
C00293,0.0,0.26,0.757,A,2025-08-14T00:00:00
C00294,5.6,0.699,1.0,B,2025-02-07T00:00:00
C00295,10.4,0.436,0.481,B,2025-02-22T00:00:00
C00296,8.2,0.856,0.708,B,2025-01-15T00:00:00
C00297,3.2,0.53,0.943,B,2025-03-04T00:00:00
C00298,4.0,0.375,0.714,B,2025-07-26T00:00:00
C00299,6.7,0.615,0.724,B,2025-05-21T00:00:00
C00300,7.4,0.417,0.625,B,2025-05-31T00:00:00
C00301,3.0,0.854,0.61,A,2026-01-19T00:00:00
C00302,4.1,0.6,0.476,A,2025-08-27T00:00:00
C00303,4.9,0.57,0.656,A,2025-12-31T00:00:00
C00304,5.7,0.718,0.602,B,2025-09-28T00:00:00
C00305,3.6,0.399,0.768,A,2025-04-13T00:00:00
C00306,3.6,0.342,0.632,A,2026-04-20T00:00:00
C00307,8.1,0.682,0.678,B,2025-08-27T00:00:00
C00308,7.6,0.38,0.682,A,2026-02-23T00:00:00
C00309,5.4,0.38,0.743,A,2025-02-18T00:00:00
C00310,9.2,0.767,0.671,A,2026-03-01T00:00:00
C00311,2.8,0.705,0.591,A,2025-12-24T00:00:00
C00312,8.9,0.349,0.763,A,2025-05-05T00:00:00
C00313,5.6,0.476,0.91,A,2026-02-01T00:00:00
C00314,13.8,0.419,0.769,A,2026-01-07T00:00:00
C00315,0.4,0.955,0.659,A,2026-03-23T00:00:00
C00316,1.9,0.781,0.732,A,2025-04-15T00:00:00
C00317,5.3,0.516,0.442,B,2026-03-19T00:00:00
C00318,5.2,0.715,0.729,A,2026-01-17T00:00:00
C00319,9.9,0.329,0.69,B,2025-06-18T00:00:00
C00320,2.0,0.465,0.61,B,2025-06-25T00:00:00
C00321,6.7,0.621,0.637,A,2025-05-08T00:00:00
C00322,7.5,0.69,0.688,A,2025-08-27T00:00:00
C00323,6.1,0.581,0.899,A,2026-03-25T00:00:00
C00324,1.1,0.65,0.914,B,2026-02-23T00:00:00
C00325,8.2,0.616,0.611,B,2025-03-15T00:00:00
C00326,7.7,0.567,0.672,B,2025-03-07T00:00:00
C00327,5.8,0.541,0.676,A,2025-01-30T00:00:00
C00328,4.6,0.515,0.871,B,2025-11-04T00:00:00
C00329,4.7,0.646,0.772,A,2025-06-07T00:00:00
C00330,3.8,0.682,0.764,B,2026-01-16T00:00:00
C00331,5.9,0.64,0.83,A,2026-01-16T00:00:00
C00332,4.1,0.364,0.661,B,2025-04-09T00:00:00
C00333,1.5,0.4,0.955,B,2025-12-14T00:00:00
C00334,0.9,0.68,0.75,A,2026-01-18T00:00:00
C00335,1.7,0.894,0.622,B,2026-05-09T00:00:00
C00336,4.7,0.63,0.716,A,2025-12-28T00:00:00
C00337,3.9,0.518,0.935,B,2025-06-29T00:00:00
C00338,4.6,0.645,0.686,A,2026-05-15T00:00:00
C00339,5.5,0.373,0.892,B,2025-05-18T00:00:00
C00340,2.1,0.862,0.656,A,2026-02-07T00:00:00
C00341,8.4,0.637,0.635,B,2025-07-09T00:00:00
C00342,3.2,0.466,0.849,B,2026-04-13T00:00:00
C00343,2.7,0.567,0.619,B,2026-01-27T00:00:00
C00344,5.4,0.495,0.873,B,2025-10-27T00:00:00
C00345,0.0,0.862,0.803,B,2025-04-18T00:00:00
C00346,1.6,0.56,0.619,B,2025-04-05T00:00:00
C00347,6.9,0.631,0.739,A,2026-04-19T00:00:00
C00348,0.0,0.715,0.668,B,2026-02-05T00:00:00
C00349,7.4,0.452,0.802,A,2025-09-14T00:00:00
C00350,8.5,0.639,1.0,B,2026-03-15T00:00:00
C00351,2.9,0.655,0.694,A,2026-01-27T00:00:00
C00352,4.9,0.289,0.83,B,2025-07-13T00:00:00
C00353,7.4,0.651,0.754,B,2026-02-18T00:00:00
C00354,2.6,0.591,0.754,A,2026-02-03T00:00:00
C00355,6.6,0.626,0.725,A,2025-08-28T00:00:00
C00356,2.0,0.607,0.621,B,2025-01-10T00:00:00
C00357,2.6,0.652,0.8,B,2026-01-06T00:00:00
C00358,1.6,0.867,0.707,A,2025-06-19T00:00:00
C00359,5.0,0.364,0.614,B,2025-07-02T00:00:00
C00360,7.5,0.532,0.902,B,2025-12-23T00:00:00
C00361,3.4,0.733,0.765,A,2026-02-10T00:00:00
C00362,0.2,0.696,0.716,A,2025-02-13T00:00:00
C00363,0.8,0.692,0.951,A,2026-02-16T00:00:00
C00364,5.2,1.0,0.475,B,2025-05-27T00:00:00
C00365,9.5,0.723,0.941,A,2025-10-11T00:00:00
C00366,5.2,0.826,0.618,B,2026-03-11T00:00:00
C00367,2.8,0.539,0.782,B,2025-04-20T00:00:00
C00368,6.3,0.401,0.662,A,2025-04-21T00:00:00
C00369,3.3,0.537,0.612,B,2026-05-01T00:00:00
C00370,2.9,0.742,0.947,B,2025-07-06T00:00:00
C00371,1.1,0.681,1.0,A,2026-04-19T00:00:00
C00372,8.2,0.681,0.717,A,2025-06-28T00:00:00
C00373,0.0,0.557,0.8,A,2025-11-06T00:00:00
C00374,6.4,0.525,0.759,A,2025-09-13T00:00:00
C00375,2.6,0.564,1.0,A,2026-05-07T00:00:00
C00376,2.8,0.745,0.433,B,2025-10-03T00:00:00
C00377,9.1,0.768,0.807,A,2025-09-09T00:00:00
C00378,1.9,0.399,0.641,A,2025-08-22T00:00:00
C00379,2.0,0.752,0.397,B,2025-07-07T00:00:00
C00380,3.6,0.47,0.696,B,2025-08-09T00:00:00
C00381,5.2,0.694,1.0,B,2025-08-19T00:00:00
C00382,2.7,0.562,0.652,B,2026-01-17T00:00:00
C00383,0.0,0.913,0.869,A,2025-01-23T00:00:00
C00384,1.4,0.516,0.93,A,2025-09-08T00:00:00
C00385,7.8,0.636,0.748,B,2025-10-02T00:00:00
C00386,4.2,0.721,0.768,B,2026-01-12T00:00:00
C00387,5.4,0.425,0.493,B,2025-11-30T00:00:00
C00388,3.2,0.585,0.643,A,2025-08-04T00:00:00
C00389,2.0,0.547,0.886,B,2025-02-24T00:00:00
C00390,9.0,0.497,0.759,B,2025-07-06T00:00:00
C00391,3.4,0.512,0.805,A,2025-05-08T00:00:00
C00392,2.7,0.822,0.77,B,2025-04-13T00:00:00
C00393,7.3,0.48,1.0,B,2025-12-27T00:00:00
C00394,1.8,0.713,0.685,A,2025-08-28T00:00:00
C00395,2.2,0.663,0.991,A,2026-02-01T00:00:00
C00396,4.0,0.321,0.77,B,2025-03-11T00:00:00
C00397,4.0,0.704,1.0,A,2026-05-08T00:00:00
C00398,4.8,0.317,0.566,A,2025-08-25T00:00:00
C00399,10.3,0.726,0.778,A,2025-05-07T00:00:00
C00400,5.0,0.499,0.691,A,2025-07-01T00:00:00
C00401,0.0,0.602,0.771,B,2026-02-25T00:00:00
C00402,5.0,0.341,0.933,B,2025-12-21T00:00:00
C00403,4.1,0.624,0.807,A,2025-03-28T00:00:00
C00404,4.1,0.785,0.933,B,2026-05-11T00:00:00
C00405,4.7,0.439,0.649,B,2025-03-07T00:00:00
C00406,3.9,0.479,0.627,A,2025-05-18T00:00:00
C00407,3.8,0.691,0.752,B,2025-12-31T00:00:00
C00408,5.8,0.696,0.744,A,2025-09-22T00:00:00
C00409,2.4,0.113,0.722,B,2025-08-11T00:00:00
C00410,1.2,1.0,0.606,B,2026-04-09T00:00:00
C00411,13.1,0.706,0.93,B,2026-02-01T00:00:00
C00412,1.9,0.739,0.696,A,2026-04-27T00:00:00
C00413,4.3,0.571,0.964,B,2025-05-22T00:00:00
C00414,0.0,0.229,0.752,A,2026-03-02T00:00:00
C00415,4.3,0.735,0.847,A,2025-04-17T00:00:00
C00416,1.2,0.487,0.834,A,2026-02-07T00:00:00
C00417,2.7,0.709,0.626,B,2025-10-02T00:00:00
C00418,7.1,0.556,0.805,A,2025-10-26T00:00:00
C00419,5.4,0.648,1.0,B,2025-02-27T00:00:00
C00420,5.7,0.445,0.788,B,2026-03-16T00:00:00
C00421,0.0,0.773,0.885,A,2025-05-20T00:00:00
C00422,9.5,0.362,0.854,A,2025-10-27T00:00:00
C00423,0.4,1.0,0.796,A,2025-03-25T00:00:00
C00424,8.6,1.0,0.778,B,2026-04-08T00:00:00
C00425,7.1,0.927,0.832,B,2025-06-10T00:00:00
C00426,5.7,0.855,0.864,A,2026-01-17T00:00:00
C00427,1.4,0.583,0.547,B,2026-01-18T00:00:00
C00428,4.5,0.833,0.787,A,2025-10-03T00:00:00
C00429,2.6,0.581,0.722,B,2025-03-02T00:00:00
C00430,4.1,0.289,0.691,B,2025-05-20T00:00:00
C00431,3.3,0.901,0.944,B,2025-11-02T00:00:00
C00432,0.0,0.826,0.64,B,2025-09-25T00:00:00
C00433,7.4,0.594,0.541,B,2025-10-20T00:00:00
C00434,3.8,0.355,0.869,A,2025-05-05T00:00:00
C00435,2.5,0.483,0.537,A,2025-09-27T00:00:00
C00436,2.3,0.236,0.461,A,2025-02-12T00:00:00
C00437,5.1,0.789,0.886,A,2025-08-31T00:00:00
C00438,1.3,0.279,0.774,B,2025-02-15T00:00:00
C00439,0.0,0.657,0.821,B,2025-11-28T00:00:00
C00440,5.2,0.431,0.684,B,2025-10-11T00:00:00
C00441,5.6,0.315,0.542,A,2026-03-02T00:00:00
C00442,3.4,0.648,0.572,B,2025-08-20T00:00:00
C00443,0.6,0.533,0.709,A,2025-03-23T00:00:00
C00444,4.3,0.768,0.559,A,2025-04-28T00:00:00
C00445,0.0,0.346,0.796,B,2026-02-12T00:00:00
C00446,0.9,0.449,0.681,B,2026-04-25T00:00:00
C00447,1.7,0.122,0.778,B,2025-01-31T00:00:00
C00448,6.5,0.163,0.773,A,2025-12-05T00:00:00
C00449,2.9,0.96,0.808,B,2025-08-30T00:00:00
